opposingHand,winningChance,drawChance,lostChance
CLUBS ACE CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.6924,0.004,0.3036
SPADES JACK HEARTS FIVE,0.694,0.004,0.302
SPADES FIVE CLUBS JACK,0.691,0.007,0.302
SPADES FIVE CLUBS TEN,0.6898,0.005,0.3052
CLUBS EIGHT CLUBS JACK,0.663,0.007,0.33
CLUBS EIGHT CLUBS TEN,0.648,0.0068,0.3452
CLUBS EIGHT CLUBS KING,0.6544,0.005,0.3406
SPADES FIVE CLUBS KING,0.6656,0.004,0.3304
DIAMONDS TWO DIAMONDS THREE,0.6428,0.0056,0.3516
DIAMONDS TWO DIAMONDS FIVE,0.6284,0.0054,0.3662
SPADES KING HEARTS FIVE,0.6522,0.0048,0.343
DIAMONDS TWO DIAMONDS FOUR,0.6324,0.0058,0.3618
SPADES QUEEN HEARTS FIVE,0.7672,0.0156,0.2172
DIAMONDS TWO DIAMONDS SEVEN,0.6612,0.0044,0.3344
DIAMONDS TWO DIAMONDS SIX,0.6482,0.0054,0.3464
SPADES ACE HEARTS FIVE,0.7,0.0578,0.2422
DIAMONDS TWO DIAMONDS NINE,0.6514,0.0048,0.3438
DIAMONDS TWO DIAMONDS EIGHT,0.6532,0.0048,0.342
DIAMONDS THREE DIAMONDS FOUR,0.6138,0.0054,0.3808
CLUBS TWO SPADES FOUR,0.6796,0.0058,0.3146
DIAMONDS THREE DIAMONDS FIVE,0.623,0.0052,0.3718
CLUBS TWO SPADES FIVE,0.665,0.005,0.33
CLUBS TWO SPADES TWO,0.501,0.0054,0.4936
CLUBS TWO SPADES THREE,0.6742,0.0056,0.3202
DIAMONDS THREE DIAMONDS EIGHT,0.6406,0.0052,0.3542
SPADES EIGHT CLUBS TWO,0.6776,0.0054,0.317
DIAMONDS THREE DIAMONDS NINE,0.6554,0.0058,0.3388
SPADES NINE CLUBS TWO,0.7008,0.0046,0.2946
DIAMONDS THREE DIAMONDS SIX,0.626,0.0042,0.3698
CLUBS TWO SPADES SIX,0.6866,0.0046,0.3088
DIAMONDS THREE DIAMONDS SEVEN,0.6436,0.005,0.3514
CLUBS TWO SPADES SEVEN,0.6972,0.006,0.2968
CLUBS SIX CLUBS TWO,0.6734,0.0052,0.3214
CLUBS SEVEN CLUBS TWO,0.6942,0.0056,0.3002
CLUBS FOUR CLUBS TWO,0.6612,0.0062,0.3326
CLUBS FIVE CLUBS TWO,0.6582,0.0058,0.336
CLUBS JACK CLUBS TEN,0.6528,0.0046,0.3426
DIAMONDS FOUR DIAMONDS SIX,0.6136,0.0052,0.3812
DIAMONDS FOUR DIAMONDS SEVEN,0.6298,0.004,0.3662
CLUBS KING CLUBS TEN,0.6368,0.0066,0.3566
CLUBS EIGHT CLUBS TWO,0.6834,0.0044,0.3122
DIAMONDS FIVE DIAMONDS FOUR,0.5984,0.0052,0.3964
CLUBS NINE CLUBS TWO,0.6828,0.0072,0.31
DIAMONDS NINE DIAMONDS FOUR,0.6514,0.0046,0.344
DIAMONDS EIGHT DIAMONDS FOUR,0.6406,0.005,0.3544
CLUBS TWO CLUBS THREE,0.6612,0.0072,0.3316
DIAMONDS NINE DIAMONDS FIVE,0.6302,0.005,0.3648
DIAMONDS TWO CLUBS JACK,0.7088,0.0068,0.2844
DIAMONDS EIGHT DIAMONDS FIVE,0.6198,0.0038,0.3764
DIAMONDS TWO CLUBS TEN,0.7042,0.006,0.2898
DIAMONDS FIVE DIAMONDS SEVEN,0.6152,0.0046,0.3802
DIAMONDS FIVE DIAMONDS SIX,0.6074,0.0048,0.3878
DIAMONDS TWO CLUBS KING,0.662,0.005,0.333
DIAMONDS EIGHT DIAMONDS SIX,0.6348,0.005,0.3602
DIAMONDS NINE DIAMONDS SIX,0.6228,0.0042,0.373
HEARTS ACE SPADES THREE,0.6842,0.0614,0.2544
HEARTS KING SPADES THREE,0.6692,0.0064,0.3244
DIAMONDS SEVEN DIAMONDS SIX,0.6198,0.0042,0.376
SPADES THREE HEARTS QUEEN,0.7654,0.0178,0.2168
HEARTS JACK SPADES THREE,0.6938,0.0058,0.3004
SPADES THREE HEARTS TEN,0.6924,0.0046,0.303
DIAMONDS EIGHT DIAMONDS SEVEN,0.6142,0.0052,0.3806
DIAMONDS NINE DIAMONDS SEVEN,0.6244,0.0034,0.3722
DIAMONDS NINE DIAMONDS EIGHT,0.6122,0.005,0.3828
DIAMONDS KING HEARTS TEN,0.649,0.0044,0.3466
HEARTS THREE HEARTS TEN,0.649,0.004,0.347
CLUBS SIX SPADES JACK,0.7014,0.0048,0.2938
DIAMONDS KING HEARTS JACK,0.646,0.0038,0.3502
HEARTS THREE HEARTS JACK,0.6544,0.0038,0.3418
CLUBS SIX SPADES TEN,0.6652,0.0052,0.3296
SPADES JACK SPADES FIVE,0.6464,0.003,0.3506
SPADES TEN SPADES FIVE,0.6412,0.0056,0.3532
DIAMONDS KING HEARTS ACE,0.2856,0.044,0.6704
HEARTS THREE HEARTS ACE,0.644,0.0594,0.2966
SPADES ACE CLUBS SIX,0.7004,0.064,0.2356
DIAMONDS KING HEARTS QUEEN,0.7606,0.0092,0.2302
HEARTS THREE HEARTS QUEEN,0.724,0.019,0.257
SPADES KING CLUBS SIX,0.6632,0.0052,0.3316
DIAMONDS KING HEARTS KING,0.3072,0.0034,0.6894
HEARTS THREE HEARTS KING,0.6258,0.006,0.3682
SPADES QUEEN CLUBS SIX,0.7644,0.014,0.2216
SPADES NINE HEARTS TEN,0.6596,0.0044,0.336
SPADES NINE HEARTS JACK,0.6614,0.0028,0.3358
SPADES QUEEN SPADES FIVE,0.7234,0.0176,0.259
SPADES KING SPADES FIVE,0.616,0.0044,0.3796
SPADES ACE SPADES FIVE,0.673,0.055,0.272
SPADES NINE HEARTS QUEEN,0.7572,0.0162,0.2266
SPADES NINE HEARTS KING,0.6562,0.0038,0.34
SPADES NINE HEARTS ACE,0.714,0.0594,0.2266
SPADES JACK CLUBS TEN,0.6514,0.0058,0.3428
SPADES TEN CLUBS TEN,0.4716,0.0044,0.524
SPADES ACE CLUBS TEN,0.695,0.0638,0.2412
