opposingHand,winningChance,drawChance,lostChance
CLUBS ACE DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.6306,0.0016,0.3678
HEARTS FIVE SPADES JACK,0.6412,0.0026,0.3562
SPADES FIVE CLUBS JACK,0.6436,0.0052,0.3512
CLUBS TEN SPADES FIVE,0.6376,0.0048,0.3576
CLUBS EIGHT CLUBS JACK,0.5882,0.0044,0.4074
CLUBS TEN CLUBS EIGHT,0.579,0.0052,0.4158
CLUBS EIGHT CLUBS KING,0.615,0.0036,0.3814
CLUBS EIGHT CLUBS QUEEN,0.6042,0.0046,0.3912
SPADES FIVE CLUBS KING,0.6204,0.0034,0.3762
SPADES FIVE CLUBS QUEEN,0.6312,0.0048,0.364
DIAMONDS TWO DIAMONDS THREE,0.6082,0.0044,0.3874
DIAMONDS TWO DIAMONDS FIVE,0.6158,0.006,0.3782
HEARTS FIVE SPADES KING,0.6288,0.0036,0.3676
DIAMONDS TWO DIAMONDS FOUR,0.6094,0.0052,0.3854
HEARTS FIVE SPADES QUEEN,0.6312,0.0042,0.3646
DIAMONDS TWO DIAMONDS SEVEN,0.638,0.0072,0.3548
DIAMONDS TWO DIAMONDS SIX,0.6242,0.006,0.3698
SPADES ACE HEARTS FIVE,0.5706,0.1676,0.2618
DIAMONDS TWO DIAMONDS EIGHT,0.641,0.0042,0.3548
DIAMONDS THREE DIAMONDS FOUR,0.6048,0.0058,0.3894
CLUBS TWO SPADES FOUR,0.661,0.005,0.334
DIAMONDS THREE DIAMONDS FIVE,0.6098,0.004,0.3862
SPADES FIVE CLUBS TWO,0.6432,0.0034,0.3534
CLUBS TWO SPADES TWO,0.4754,0.0064,0.5182
CLUBS TWO SPADES THREE,0.6436,0.0052,0.3512
DIAMONDS THREE DIAMONDS EIGHT,0.6558,0.0034,0.3408
SPADES EIGHT CLUBS TWO,0.679,0.0046,0.3164
SPADES NINE CLUBS TWO,0.7568,0.024,0.2192
DIAMONDS THREE DIAMONDS SIX,0.6132,0.004,0.3828
SPADES SIX CLUBS TWO,0.6658,0.0052,0.329
DIAMONDS THREE DIAMONDS SEVEN,0.6398,0.005,0.3552
SPADES SEVEN CLUBS TWO,0.6774,0.004,0.3186
CLUBS SIX CLUBS TWO,0.629,0.0054,0.3656
CLUBS SEVEN CLUBS TWO,0.631,0.0048,0.3642
CLUBS FOUR CLUBS TWO,0.6222,0.006,0.3718
CLUBS FIVE CLUBS TWO,0.6306,0.005,0.3644
CLUBS TEN CLUBS JACK,0.531,0.0056,0.4634
DIAMONDS FOUR DIAMONDS SIX,0.6116,0.0068,0.3816
CLUBS TEN CLUBS QUEEN,0.558,0.0046,0.4374
DIAMONDS FOUR DIAMONDS SEVEN,0.6202,0.003,0.3768
CLUBS TEN CLUBS KING,0.5592,0.005,0.4358
CLUBS EIGHT CLUBS TWO,0.6414,0.0056,0.353
DIAMONDS FIVE DIAMONDS FOUR,0.5972,0.0046,0.3982
CLUBS NINE CLUBS TWO,0.7162,0.0284,0.2554
DIAMONDS EIGHT DIAMONDS FOUR,0.6308,0.0064,0.3628
CLUBS THREE CLUBS TWO,0.6142,0.0058,0.38
DIAMONDS TWO CLUBS JACK,0.6528,0.0062,0.341
DIAMONDS EIGHT DIAMONDS FIVE,0.6166,0.006,0.3774
CLUBS TEN DIAMONDS TWO,0.6524,0.0044,0.3432
DIAMONDS FIVE DIAMONDS SEVEN,0.6154,0.0046,0.38
DIAMONDS FIVE DIAMONDS SIX,0.6004,0.0064,0.3932
DIAMONDS TWO CLUBS KING,0.6424,0.0052,0.3524
DIAMONDS TWO CLUBS QUEEN,0.6492,0.0056,0.3452
DIAMONDS EIGHT DIAMONDS SIX,0.6068,0.0024,0.3908
HEARTS ACE SPADES THREE,0.5834,0.1654,0.2512
SPADES THREE HEARTS KING,0.6218,0.0026,0.3756
DIAMONDS SEVEN DIAMONDS SIX,0.6074,0.0046,0.388
HEARTS QUEEN SPADES THREE,0.633,0.0052,0.3618
SPADES THREE HEARTS JACK,0.6328,0.004,0.3632
SPADES THREE HEARTS TEN,0.6368,0.0036,0.3596
DIAMONDS EIGHT DIAMONDS SEVEN,0.6004,0.0064,0.3932
DIAMONDS KING HEARTS TEN,0.5836,0.0034,0.413
HEARTS THREE HEARTS TEN,0.5992,0.003,0.3978
SPADES JACK CLUBS SIX,0.641,0.004,0.355
DIAMONDS KING HEARTS JACK,0.5704,0.003,0.4266
HEARTS THREE HEARTS JACK,0.5978,0.003,0.3992
SPADES TEN CLUBS SIX,0.6162,0.0036,0.3802
SPADES JACK SPADES FIVE,0.593,0.0044,0.4026
SPADES TEN SPADES FIVE,0.5908,0.0036,0.4056
DIAMONDS KING HEARTS ACE,0.241,0.0488,0.7102
HEARTS THREE HEARTS ACE,0.5266,0.1706,0.3028
SPADES ACE CLUBS SIX,0.606,0.1674,0.2266
DIAMONDS KING HEARTS QUEEN,0.5706,0.0048,0.4246
HEARTS THREE HEARTS QUEEN,0.58,0.0032,0.4168
SPADES KING CLUBS SIX,0.6398,0.0044,0.3558
DIAMONDS KING HEARTS KING,0.2792,0.0044,0.7164
HEARTS THREE HEARTS KING,0.588,0.005,0.407
SPADES QUEEN CLUBS SIX,0.6438,0.0032,0.353
SPADES NINE HEARTS TEN,0.688,0.0224,0.2896
SPADES NINE HEARTS JACK,0.7076,0.015,0.2774
SPADES QUEEN SPADES FIVE,0.5946,0.0042,0.4012
SPADES KING SPADES FIVE,0.5972,0.0038,0.399
SPADES ACE SPADES FIVE,0.5474,0.1596,0.293
SPADES NINE HEARTS QUEEN,0.709,0.0216,0.2694
SPADES NINE HEARTS KING,0.726,0.0208,0.2532
SPADES NINE HEARTS ACE,0.0212,0.9552,0.0236
CLUBS TEN SPADES JACK,0.572,0.005,0.423
CLUBS TEN SPADES TEN,0.3184,0.0036,0.678
SPADES ACE CLUBS TEN,0.2504,0.1216,0.628
SPADES KING CLUBS TEN,0.5794,0.0042,0.4164
CLUBS TEN SPADES QUEEN,0.5766,0.0028,0.4206
SPADES FIVE HEARTS QUEEN,0.6242,0.003,0.3728
SPADES FIVE HEARTS KING,0.6304,0.003,0.3666
HEARTS ACE SPADES FIVE,0.5702,0.177,0.2528
CLUBS EIGHT SPADES TEN,0.6122,0.003,0.3848
SPADES JACK HEARTS THREE,0.6254,0.0036,0.371
SPADES JACK DIAMONDS KING,0.5824,0.0038,0.4138
SPADES TEN DIAMONDS KING,0.575,0.0044,0.4206
SPADES TEN HEARTS THREE,0.6306,0.004,0.3654
SPADES JACK CLUBS EIGHT,0.6336,0.0044,0.362
CLUBS SIX HEARTS ACE,0.5904,0.1692,0.2404
SPADES ACE CLUBS EIGHT,0.602,0.1738,0.2242
HEARTS FIVE CLUBS JACK,0.64,0.0054,0.3546
HEARTS FIVE CLUBS TEN,0.6376,0.0052,0.3572
CLUBS SIX HEARTS QUEEN,0.6378,0.0038,0.3584
SPADES QUEEN CLUBS EIGHT,0.624,0.0044,0.3716
CLUBS TEN SPADES THREE,0.6384,0.0028,0.3588
CLUBS SIX HEARTS KING,0.6322,0.0028,0.365
SPADES KING CLUBS EIGHT,0.6448,0.005,0.3502
SPADES THREE CLUBS JACK,0.6398,0.0054,0.3548
DIAMONDS TWO HEARTS JACK,0.632,0.003,0.365
SPADES THREE CLUBS QUEEN,0.6316,0.0052,0.3632
DIAMONDS TWO HEARTS TEN,0.6448,0.0048,0.3504
SPADES THREE CLUBS KING,0.62,0.0054,0.3746
SPADES FIVE HEARTS TEN,0.6356,0.0028,0.3616
HEARTS FIVE CLUBS KING,0.6384,0.0034,0.3582
SPADES FIVE HEARTS JACK,0.6382,0.0046,0.3572
