opposingHand,winningChance,drawChance,lostChance
CLUBS ACE HEARTS NINE
HEARTS FIVE SPADES TEN,0.6422,0.0046,0.3532
SPADES JACK HEARTS FIVE,0.6234,0.0048,0.3718
SPADES FIVE CLUBS JACK,0.6386,0.0052,0.3562
CLUBS TEN SPADES FIVE,0.6446,0.005,0.3504
CLUBS EIGHT CLUBS JACK,0.5854,0.0056,0.409
CLUBS TEN CLUBS EIGHT,0.5848,0.0056,0.4096
CLUBS EIGHT CLUBS KING,0.6156,0.0054,0.379
CLUBS EIGHT CLUBS QUEEN,0.6086,0.0042,0.3872
SPADES FIVE CLUBS KING,0.629,0.0038,0.3672
SPADES FIVE CLUBS QUEEN,0.6458,0.0042,0.35
DIAMONDS TWO DIAMONDS THREE,0.6232,0.0062,0.3706
DIAMONDS TWO DIAMONDS FIVE,0.603,0.003,0.394
SPADES KING HEARTS FIVE,0.6412,0.003,0.3558
DIAMONDS TWO DIAMONDS FOUR,0.601,0.0038,0.3952
SPADES QUEEN HEARTS FIVE,0.6344,0.0054,0.3602
DIAMONDS TWO DIAMONDS SEVEN,0.6228,0.0034,0.3738
DIAMONDS TWO DIAMONDS SIX,0.611,0.0046,0.3844
SPADES ACE HEARTS FIVE,0.5772,0.1672,0.2556
DIAMONDS TWO DIAMONDS NINE,0.7108,0.0272,0.262
DIAMONDS TWO DIAMONDS EIGHT,0.627,0.0026,0.3704
DIAMONDS THREE DIAMONDS FOUR,0.5884,0.0046,0.407
CLUBS TWO SPADES FOUR,0.679,0.0042,0.3168
DIAMONDS THREE DIAMONDS FIVE,0.5918,0.0046,0.4036
SPADES FIVE CLUBS TWO,0.6512,0.004,0.3448
CLUBS TWO SPADES TWO,0.4754,0.0056,0.519
CLUBS TWO SPADES THREE,0.6488,0.0066,0.3446
DIAMONDS THREE DIAMONDS EIGHT,0.638,0.003,0.359
SPADES EIGHT CLUBS TWO,0.6832,0.0026,0.3142
DIAMONDS THREE DIAMONDS NINE,0.6998,0.0254,0.2748
SPADES NINE CLUBS TWO,0.7598,0.0278,0.2124
DIAMONDS THREE DIAMONDS SIX,0.6042,0.0042,0.3916
SPADES SIX CLUBS TWO,0.6626,0.005,0.3324
DIAMONDS THREE DIAMONDS SEVEN,0.6036,0.0028,0.3936
SPADES SEVEN CLUBS TWO,0.6788,0.0048,0.3164
CLUBS SIX CLUBS TWO,0.6318,0.0034,0.3648
CLUBS SEVEN CLUBS TWO,0.638,0.005,0.357
CLUBS FOUR CLUBS TWO,0.6318,0.0064,0.3618
CLUBS FIVE CLUBS TWO,0.6236,0.0054,0.371
CLUBS TEN CLUBS JACK,0.5382,0.0058,0.456
DIAMONDS FOUR DIAMONDS SIX,0.6054,0.0052,0.3894
CLUBS TEN CLUBS QUEEN,0.5518,0.0056,0.4426
DIAMONDS FOUR DIAMONDS SEVEN,0.6054,0.005,0.3896
CLUBS TEN CLUBS KING,0.5572,0.0048,0.438
CLUBS EIGHT CLUBS TWO,0.6416,0.0036,0.3548
DIAMONDS FIVE DIAMONDS FOUR,0.5984,0.0052,0.3964
CLUBS NINE CLUBS TWO,0.7304,0.0246,0.245
DIAMONDS NINE DIAMONDS FOUR,0.7036,0.0266,0.2698
DIAMONDS EIGHT DIAMONDS FOUR,0.6244,0.0036,0.372
CLUBS THREE CLUBS TWO,0.623,0.0042,0.3728
DIAMONDS NINE DIAMONDS FIVE,0.6916,0.0226,0.2858
DIAMONDS TWO CLUBS JACK,0.64,0.0048,0.3552
DIAMONDS EIGHT DIAMONDS FIVE,0.6006,0.0034,0.396
CLUBS TEN DIAMONDS TWO,0.6424,0.0062,0.3514
DIAMONDS FIVE DIAMONDS SEVEN,0.5962,0.0036,0.4002
DIAMONDS FIVE DIAMONDS SIX,0.5794,0.0044,0.4162
DIAMONDS TWO CLUBS KING,0.6432,0.0024,0.3544
DIAMONDS TWO CLUBS QUEEN,0.6384,0.0054,0.3562
DIAMONDS EIGHT DIAMONDS SIX,0.602,0.0032,0.3948
DIAMONDS NINE DIAMONDS SIX,0.6728,0.022,0.3052
HEARTS ACE SPADES THREE,0.579,0.1738,0.2472
SPADES THREE HEARTS KING,0.6284,0.004,0.3676
DIAMONDS SEVEN DIAMONDS SIX,0.583,0.0042,0.4128
HEARTS QUEEN SPADES THREE,0.6216,0.0058,0.3726
SPADES THREE HEARTS JACK,0.6342,0.005,0.3608
SPADES THREE HEARTS TEN,0.6204,0.0032,0.3764
DIAMONDS EIGHT DIAMONDS SEVEN,0.5802,0.0028,0.417
DIAMONDS NINE DIAMONDS SEVEN,0.666,0.0202,0.3138
DIAMONDS NINE DIAMONDS EIGHT,0.6592,0.0194,0.3214
DIAMONDS KING HEARTS TEN,0.588,0.0044,0.4076
HEARTS THREE HEARTS TEN,0.6116,0.0042,0.3842
SPADES JACK CLUBS SIX,0.6478,0.0042,0.348
DIAMONDS KING HEARTS JACK,0.5746,0.0044,0.421
