opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT CLUBS ACE
HEARTS FIVE SPADES TEN,0.6674,0.003,0.3296
SPADES JACK HEARTS FIVE,0.66,0.0058,0.3342
SPADES FIVE CLUBS JACK,0.6552,0.0038,0.341
CLUBS TEN SPADES FIVE,0.6552,0.0056,0.3392
SPADES FIVE CLUBS KING,0.658,0.0046,0.3374
SPADES FIVE CLUBS QUEEN,0.659,0.006,0.335
DIAMONDS TWO DIAMONDS THREE,0.6244,0.0038,0.3718
DIAMONDS TWO DIAMONDS FIVE,0.6266,0.0036,0.3698
SPADES KING HEARTS FIVE,0.6606,0.0046,0.3348
DIAMONDS TWO DIAMONDS FOUR,0.6384,0.0058,0.3558
SPADES QUEEN HEARTS FIVE,0.6604,0.0042,0.3354
DIAMONDS TWO DIAMONDS SEVEN,0.6538,0.006,0.3402
DIAMONDS TWO DIAMONDS SIX,0.6564,0.0042,0.3394
SPADES ACE HEARTS FIVE,0.5552,0.2206,0.2242
DIAMONDS TWO DIAMONDS NINE,0.6224,0.0038,0.3738
DIAMONDS TWO DIAMONDS EIGHT,0.7088,0.0248,0.2664
DIAMONDS THREE DIAMONDS FOUR,0.6152,0.0074,0.3774
CLUBS TWO SPADES FOUR,0.6704,0.005,0.3246
DIAMONDS THREE DIAMONDS FIVE,0.6192,0.0038,0.377
CLUBS TWO SPADES FIVE,0.6708,0.0048,0.3244
CLUBS TWO SPADES TWO,0.495,0.006,0.499
CLUBS TWO SPADES THREE,0.6672,0.0064,0.3264
DIAMONDS THREE DIAMONDS EIGHT,0.7264,0.0288,0.2448
SPADES EIGHT CLUBS TWO,0.7596,0.0322,0.2082
DIAMONDS THREE DIAMONDS NINE,0.623,0.0054,0.3716
SPADES NINE CLUBS TWO,0.6616,0.0038,0.3346
DIAMONDS THREE DIAMONDS SIX,0.6394,0.0038,0.3568
CLUBS TWO SPADES SIX,0.6942,0.0052,0.3006
DIAMONDS THREE DIAMONDS SEVEN,0.6436,0.0048,0.3516
CLUBS TWO SPADES SEVEN,0.6904,0.0062,0.3034
CLUBS SIX CLUBS TWO,0.6732,0.0072,0.3196
CLUBS SEVEN CLUBS TWO,0.6918,0.005,0.3032
CLUBS FOUR CLUBS TWO,0.6806,0.0072,0.3122
CLUBS FIVE CLUBS TWO,0.6742,0.0084,0.3174
CLUBS TEN CLUBS JACK,0.552,0.0074,0.4406
DIAMONDS FOUR DIAMONDS SIX,0.6204,0.0046,0.375
CLUBS TEN CLUBS QUEEN,0.5792,0.005,0.4158
DIAMONDS FOUR DIAMONDS SEVEN,0.6306,0.005,0.3644
CLUBS TEN CLUBS KING,0.6062,0.0044,0.3894
DIAMONDS FIVE DIAMONDS FOUR,0.6072,0.0044,0.3884
CLUBS NINE CLUBS TWO,0.6582,0.0074,0.3344
DIAMONDS NINE DIAMONDS FOUR,0.621,0.005,0.374
DIAMONDS EIGHT DIAMONDS FOUR,0.7234,0.0242,0.2524
CLUBS TWO CLUBS THREE,0.6766,0.0056,0.3178
