opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT CLUBS KING
HEARTS FIVE SPADES TEN,0.643,0.0056,0.3514
SPADES JACK HEARTS FIVE,0.649,0.0058,0.3452
SPADES FIVE CLUBS JACK,0.6504,0.0068,0.3428
CLUBS TEN SPADES FIVE,0.6502,0.007,0.3428
SPADES FIVE CLUBS ACE,0.4208,0.0044,0.5748
SPADES FIVE CLUBS QUEEN,0.6348,0.0064,0.3588
DIAMONDS TWO DIAMONDS THREE,0.6404,0.0082,0.3514
DIAMONDS TWO DIAMONDS FIVE,0.6272,0.0084,0.3644
SPADES KING HEARTS FIVE,0.5662,0.2078,0.226
DIAMONDS TWO DIAMONDS FOUR,0.6288,0.0094,0.3618
SPADES QUEEN HEARTS FIVE,0.6464,0.0078,0.3458
DIAMONDS TWO DIAMONDS SEVEN,0.6516,0.006,0.3424
DIAMONDS TWO DIAMONDS SIX,0.643,0.0086,0.3484
SPADES ACE HEARTS FIVE,0.4296,0.0066,0.5638
DIAMONDS TWO DIAMONDS NINE,0.6126,0.0068,0.3806
DIAMONDS TWO DIAMONDS EIGHT,0.7008,0.0354,0.2638
DIAMONDS THREE DIAMONDS FOUR,0.613,0.008,0.379
CLUBS TWO SPADES FOUR,0.6614,0.009,0.3296
DIAMONDS THREE DIAMONDS FIVE,0.6076,0.008,0.3844
CLUBS TWO SPADES FIVE,0.6502,0.0104,0.3394
CLUBS TWO SPADES TWO,0.4736,0.016,0.5104
CLUBS TWO SPADES THREE,0.6662,0.009,0.3248
DIAMONDS THREE DIAMONDS EIGHT,0.7136,0.0316,0.2548
SPADES EIGHT CLUBS TWO,0.7544,0.0396,0.206
DIAMONDS THREE DIAMONDS NINE,0.6206,0.0082,0.3712
SPADES NINE CLUBS TWO,0.6472,0.0082,0.3446
DIAMONDS THREE DIAMONDS SIX,0.6294,0.0062,0.3644
CLUBS TWO SPADES SIX,0.674,0.0082,0.3178
DIAMONDS THREE DIAMONDS SEVEN,0.6422,0.008,0.3498
CLUBS TWO SPADES SEVEN,0.6846,0.0086,0.3068
CLUBS SIX CLUBS TWO,0.6764,0.0094,0.3142
CLUBS SEVEN CLUBS TWO,0.7,0.0092,0.2908
CLUBS FOUR CLUBS TWO,0.6528,0.009,0.3382
CLUBS FIVE CLUBS TWO,0.6642,0.0086,0.3272
CLUBS TEN CLUBS JACK,0.575,0.0082,0.4168
DIAMONDS FOUR DIAMONDS SIX,0.6164,0.0072,0.3764
CLUBS TEN CLUBS QUEEN,0.5724,0.0064,0.4212
DIAMONDS FOUR DIAMONDS SEVEN,0.626,0.0058,0.3682
CLUBS TEN CLUBS ACE,0.3194,0.0056,0.675
DIAMONDS FIVE DIAMONDS FOUR,0.6022,0.008,0.3898
CLUBS NINE CLUBS TWO,0.6402,0.0094,0.3504
DIAMONDS NINE DIAMONDS FOUR,0.6166,0.007,0.3764
DIAMONDS EIGHT DIAMONDS FOUR,0.6864,0.0368,0.2768
CLUBS TWO CLUBS THREE,0.6748,0.0104,0.3148
DIAMONDS NINE DIAMONDS FIVE,0.61,0.0082,0.3818
DIAMONDS TWO CLUBS JACK,0.6462,0.0088,0.345
DIAMONDS EIGHT DIAMONDS FIVE,0.6854,0.0328,0.2818
CLUBS TEN DIAMONDS TWO,0.6336,0.0082,0.3582
DIAMONDS FIVE DIAMONDS SEVEN,0.6168,0.008,0.3752
DIAMONDS FIVE DIAMONDS SIX,0.6082,0.0076,0.3842
DIAMONDS TWO CLUBS ACE,0.4216,0.0058,0.5726
DIAMONDS TWO CLUBS QUEEN,0.658,0.0088,0.3332
DIAMONDS EIGHT DIAMONDS SIX,0.6738,0.0324,0.2938
DIAMONDS NINE DIAMONDS SIX,0.6014,0.006,0.3926
HEARTS ACE SPADES THREE,0.4436,0.0046,0.5518
HEARTS KING SPADES THREE,0.564,0.2204,0.2156
DIAMONDS SEVEN DIAMONDS SIX,0.616,0.0076,0.3764
SPADES THREE HEARTS QUEEN,0.6692,0.0064,0.3244
HEARTS JACK SPADES THREE,0.6466,0.0088,0.3446
SPADES THREE HEARTS TEN,0.657,0.0074,0.3356
DIAMONDS EIGHT DIAMONDS SEVEN,0.6632,0.0298,0.307
DIAMONDS NINE DIAMONDS SEVEN,0.5906,0.0052,0.4042
DIAMONDS NINE DIAMONDS EIGHT,0.6532,0.0312,0.3156
DIAMONDS KING HEARTS TEN,0.2802,0.1092,0.6106
HEARTS THREE HEARTS TEN,0.6192,0.0098,0.371
CLUBS SIX SPADES JACK,0.6406,0.0056,0.3538
