opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT CLUBS THREE
HEARTS FIVE SPADES TEN,0.3902,0.0242,0.5856
SPADES JACK HEARTS FIVE,0.401,0.0178,0.5812
CLUBS JACK SPADES FIVE,0.378,0.0218,0.6002
CLUBS TEN SPADES FIVE,0.3834,0.0308,0.5858
SPADES FIVE CLUBS ACE,0.385,0.0052,0.6098
SPADES FIVE CLUBS KING,0.368,0.0072,0.6248
SPADES FIVE CLUBS QUEEN,0.3884,0.0136,0.598
DIAMONDS TWO DIAMONDS THREE,0.5736,0.135,0.2914
DIAMONDS TWO DIAMONDS FIVE,0.5444,0.0578,0.3978
SPADES KING HEARTS FIVE,0.3972,0.0078,0.595
DIAMONDS TWO DIAMONDS FOUR,0.553,0.0578,0.3892
SPADES QUEEN HEARTS FIVE,0.3874,0.0152,0.5974
DIAMONDS TWO DIAMONDS SEVEN,0.5718,0.0672,0.361
DIAMONDS TWO DIAMONDS SIX,0.5584,0.0598,0.3818
SPADES ACE HEARTS FIVE,0.3834,0.0032,0.6134
DIAMONDS TWO DIAMONDS NINE,0.3998,0.0404,0.5598
DIAMONDS TWO DIAMONDS EIGHT,0.2942,0.4608,0.245
DIAMONDS THREE DIAMONDS FOUR,0.5496,0.145,0.3054
CLUBS TWO SPADES FOUR,0.5804,0.0672,0.3524
DIAMONDS THREE DIAMONDS FIVE,0.57,0.1302,0.2998
CLUBS TWO SPADES FIVE,0.574,0.0706,0.3554
CLUBS TWO SPADES TWO,0.3922,0.1128,0.495
CLUBS TWO SPADES THREE,0.6204,0.1328,0.2468
DIAMONDS THREE DIAMONDS EIGHT,0.0732,0.8528,0.074
SPADES EIGHT CLUBS TWO,0.2968,0.5058,0.1974
DIAMONDS THREE DIAMONDS NINE,0.261,0.0992,0.6398
SPADES NINE CLUBS TWO,0.422,0.041,0.537
DIAMONDS THREE DIAMONDS SIX,0.5796,0.1316,0.2888
CLUBS TWO SPADES SIX,0.581,0.0708,0.3482
DIAMONDS THREE DIAMONDS SEVEN,0.5956,0.1312,0.2732
CLUBS TWO SPADES SEVEN,0.6016,0.0682,0.3302
CLUBS SIX CLUBS TWO,0.5946,0.0652,0.3402
CLUBS SEVEN CLUBS TWO,0.59,0.068,0.342
CLUBS TWO CLUBS FOUR,0.5776,0.0668,0.3556
CLUBS FIVE CLUBS TWO,0.5702,0.0662,0.3636
CLUBS TEN CLUBS JACK,0.2962,0.014,0.6898
DIAMONDS FOUR DIAMONDS SIX,0.5168,0.0626,0.4206
CLUBS TEN CLUBS QUEEN,0.3082,0.0126,0.6792
DIAMONDS FOUR DIAMONDS SEVEN,0.5258,0.0608,0.4134
CLUBS TEN CLUBS KING,0.293,0.0072,0.6998
CLUBS TEN CLUBS ACE,0.2992,0.0048,0.696
DIAMONDS FIVE DIAMONDS FOUR,0.502,0.0618,0.4362
CLUBS NINE CLUBS TWO,0.3638,0.0458,0.5904
DIAMONDS NINE DIAMONDS FOUR,0.3642,0.0392,0.5966
DIAMONDS EIGHT DIAMONDS FOUR,0.2538,0.4404,0.3058
DIAMONDS NINE DIAMONDS FIVE,0.372,0.0388,0.5892
CLUBS JACK DIAMONDS TWO,0.4124,0.0174,0.5702
DIAMONDS EIGHT DIAMONDS FIVE,0.2492,0.3878,0.363
CLUBS TEN DIAMONDS TWO,0.412,0.0324,0.5556
DIAMONDS FIVE DIAMONDS SEVEN,0.5178,0.0608,0.4214
DIAMONDS FIVE DIAMONDS SIX,0.5016,0.0554,0.443
DIAMONDS TWO CLUBS ACE,0.4012,0.0064,0.5924
DIAMONDS TWO CLUBS KING,0.4162,0.011,0.5728
DIAMONDS TWO CLUBS QUEEN,0.4234,0.0138,0.5628
DIAMONDS EIGHT DIAMONDS SIX,0.2422,0.3362,0.4216
DIAMONDS NINE DIAMONDS SIX,0.3566,0.0404,0.603
HEARTS ACE SPADES THREE,0.2878,0.0144,0.6978
HEARTS KING SPADES THREE,0.286,0.0258,0.6882
DIAMONDS SEVEN DIAMONDS SIX,0.4988,0.0604,0.4408
SPADES THREE HEARTS QUEEN,0.2872,0.0366,0.6762
HEARTS JACK SPADES THREE,0.285,0.0504,0.6646
SPADES THREE HEARTS TEN,0.2882,0.0734,0.6384
DIAMONDS EIGHT DIAMONDS SEVEN,0.2372,0.2776,0.4852
DIAMONDS NINE DIAMONDS SEVEN,0.3426,0.0344,0.623
DIAMONDS NINE DIAMONDS EIGHT,0.249,0.0954,0.6556
DIAMONDS KING HEARTS TEN,0.3698,0.0088,0.6214
HEARTS THREE HEARTS TEN,0.2762,0.0716,0.6522
SPADES JACK CLUBS SIX,0.3838,0.0198,0.5964
DIAMONDS KING HEARTS JACK,0.3706,0.008,0.6214
HEARTS THREE HEARTS JACK,0.275,0.0466,0.6784
SPADES TEN CLUBS SIX,0.379,0.0246,0.5964
SPADES JACK SPADES FIVE,0.3798,0.0158,0.6044
SPADES TEN SPADES FIVE,0.3754,0.0252,0.5994
DIAMONDS KING HEARTS ACE,0.3582,0.0056,0.6362
HEARTS THREE HEARTS ACE,0.2654,0.0164,0.7182
SPADES ACE CLUBS SIX,0.3848,0.0052,0.61
DIAMONDS KING HEARTS QUEEN,0.366,0.007,0.627
HEARTS THREE HEARTS QUEEN,0.2638,0.04,0.6962
SPADES KING CLUBS SIX,0.3916,0.007,0.6014
DIAMONDS KING HEARTS KING,0.171,0.0138,0.8152
HEARTS THREE HEARTS KING,0.2794,0.0274,0.6932
SPADES QUEEN CLUBS SIX,0.3918,0.0124,0.5958
SPADES NINE HEARTS TEN,0.3378,0.0228,0.6394
SPADES NINE HEARTS JACK,0.3602,0.016,0.6238
SPADES QUEEN SPADES FIVE,0.3734,0.0152,0.6114
SPADES KING SPADES FIVE,0.3738,0.0084,0.6178
SPADES ACE SPADES FIVE,0.3562,0.005,0.6388
SPADES NINE HEARTS QUEEN,0.3664,0.0102,0.6234
SPADES NINE HEARTS KING,0.3678,0.0078,0.6244
SPADES NINE HEARTS ACE,0.3572,0.004,0.6388
CLUBS TEN SPADES JACK,0.3334,0.0144,0.6522
CLUBS TEN SPADES TEN,0.1674,0.0512,0.7814
SPADES ACE CLUBS TEN,0.3436,0.004,0.6524
CLUBS TEN SPADES KING,0.3612,0.0096,0.6292
