opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT DIAMONDS EIGHT
HEARTS FIVE SPADES TEN,0.6736,0.0438,0.2826
HEARTS FIVE SPADES JACK,0.6734,0.0342,0.2924
CLUBS JACK SPADES FIVE,0.6724,0.0332,0.2944
CLUBS TEN SPADES FIVE,0.6648,0.049,0.2862
SPADES FIVE CLUBS ACE,0.6394,0.003,0.3576
SPADES FIVE CLUBS KING,0.6664,0.0128,0.3208
SPADES FIVE CLUBS QUEEN,0.6692,0.023,0.3078
DIAMONDS TWO DIAMONDS THREE,0.733,0.0946,0.1724
DIAMONDS TWO DIAMONDS FIVE,0.7236,0.0942,0.1822
HEARTS FIVE SPADES KING,0.6596,0.014,0.3264
DIAMONDS TWO DIAMONDS FOUR,0.731,0.0982,0.1708
HEARTS FIVE SPADES QUEEN,0.6598,0.0202,0.32
DIAMONDS TWO DIAMONDS SEVEN,0.753,0.085,0.162
DIAMONDS TWO DIAMONDS SIX,0.7494,0.0836,0.167
SPADES ACE HEARTS FIVE,0.6334,0.0032,0.3634
DIAMONDS TWO DIAMONDS NINE,0.6426,0.0578,0.2996
DIAMONDS THREE DIAMONDS FOUR,0.7228,0.0976,0.1796
CLUBS TWO SPADES FOUR,0.7528,0.1016,0.1456
DIAMONDS THREE DIAMONDS FIVE,0.7026,0.0886,0.2088
SPADES FIVE CLUBS TWO,0.751,0.101,0.148
CLUBS TWO SPADES TWO,0.6362,0.183,0.1808
CLUBS TWO SPADES THREE,0.7632,0.094,0.1428
SPADES EIGHT CLUBS TWO,0.8484,0.0836,0.068
DIAMONDS THREE DIAMONDS NINE,0.6608,0.0562,0.283
SPADES NINE CLUBS TWO,0.683,0.0652,0.2518
DIAMONDS THREE DIAMONDS SIX,0.7288,0.0888,0.1824
SPADES SIX CLUBS TWO,0.7734,0.09,0.1366
DIAMONDS THREE DIAMONDS SEVEN,0.7534,0.078,0.1686
SPADES SEVEN CLUBS TWO,0.7962,0.0804,0.1234
CLUBS SIX CLUBS TWO,0.7412,0.093,0.1658
CLUBS SEVEN CLUBS TWO,0.7582,0.0832,0.1586
CLUBS FOUR CLUBS TWO,0.7174,0.107,0.1756
CLUBS FIVE CLUBS TWO,0.7252,0.0922,0.1826
CLUBS TEN CLUBS JACK,0.4922,0.0214,0.4864
DIAMONDS FOUR DIAMONDS SIX,0.722,0.0852,0.1928
CLUBS TEN CLUBS QUEEN,0.497,0.0144,0.4886
DIAMONDS FOUR DIAMONDS SEVEN,0.7428,0.0804,0.1768
CLUBS TEN CLUBS KING,0.4864,0.0074,0.5062
CLUBS TEN CLUBS ACE,0.5182,0.0042,0.4776
DIAMONDS FIVE DIAMONDS FOUR,0.7004,0.0942,0.2054
CLUBS NINE CLUBS TWO,0.653,0.0584,0.2886
DIAMONDS NINE DIAMONDS FOUR,0.6462,0.0612,0.2926
CLUBS THREE CLUBS TWO,0.7286,0.1046,0.1668
DIAMONDS NINE DIAMONDS FIVE,0.638,0.054,0.308
CLUBS JACK DIAMONDS TWO,0.6818,0.035,0.2832
CLUBS TEN DIAMONDS TWO,0.6768,0.048,0.2752
DIAMONDS FIVE DIAMONDS SEVEN,0.7306,0.0786,0.1908
DIAMONDS FIVE DIAMONDS SIX,0.7042,0.0868,0.209
DIAMONDS TWO CLUBS ACE,0.654,0.0034,0.3426
DIAMONDS TWO CLUBS KING,0.6754,0.016,0.3086
DIAMONDS TWO CLUBS QUEEN,0.6766,0.021,0.3024
DIAMONDS NINE DIAMONDS SIX,0.6354,0.057,0.3076
HEARTS ACE SPADES THREE,0.6506,0.0024,0.347
SPADES THREE HEARTS KING,0.6698,0.0122,0.318
DIAMONDS SEVEN DIAMONDS SIX,0.739,0.0774,0.1836
HEARTS QUEEN SPADES THREE,0.68,0.0222,0.2978
SPADES THREE HEARTS JACK,0.6694,0.0322,0.2984
SPADES THREE HEARTS TEN,0.6856,0.0432,0.2712
DIAMONDS NINE DIAMONDS SEVEN,0.6338,0.0588,0.3074
DIAMONDS KING HEARTS TEN,0.5278,0.0066,0.4656
HEARTS THREE HEARTS TEN,0.6442,0.0478,0.308
SPADES JACK CLUBS SIX,0.6748,0.031,0.2942
DIAMONDS KING HEARTS JACK,0.5358,0.0072,0.457
HEARTS THREE HEARTS JACK,0.642,0.0298,0.3282
SPADES TEN CLUBS SIX,0.6718,0.0406,0.2876
SPADES JACK SPADES FIVE,0.6374,0.0286,0.334
SPADES TEN SPADES FIVE,0.6288,0.0454,0.3258
DIAMONDS KING HEARTS ACE,0.5292,0.0046,0.4662
HEARTS THREE HEARTS ACE,0.6088,0.0034,0.3878
SPADES ACE CLUBS SIX,0.6652,0.0028,0.332
DIAMONDS KING HEARTS QUEEN,0.5266,0.0064,0.467
HEARTS THREE HEARTS QUEEN,0.6476,0.0194,0.333
SPADES KING CLUBS SIX,0.6752,0.0098,0.315
DIAMONDS KING HEARTS KING,0.1776,0.0352,0.7872
HEARTS THREE HEARTS KING,0.6344,0.011,0.3546
SPADES QUEEN CLUBS SIX,0.667,0.0214,0.3116
SPADES NINE HEARTS TEN,0.54,0.0384,0.4216
SPADES NINE HEARTS JACK,0.5414,0.0238,0.4348
SPADES QUEEN SPADES FIVE,0.6372,0.0188,0.344
SPADES KING SPADES FIVE,0.6158,0.011,0.3732
SPADES ACE SPADES FIVE,0.606,0.0036,0.3904
SPADES NINE HEARTS QUEEN,0.5568,0.0144,0.4288
SPADES NINE HEARTS KING,0.5564,0.0092,0.4344
SPADES NINE HEARTS ACE,0.55,0.0034,0.4466
CLUBS TEN SPADES JACK,0.514,0.0218,0.4642
CLUBS TEN SPADES TEN,0.1898,0.131,0.6792
SPADES ACE CLUBS TEN,0.5424,0.0036,0.454
CLUBS TEN SPADES KING,0.528,0.0058,0.4662
CLUBS TEN SPADES QUEEN,0.5292,0.0114,0.4594
SPADES FIVE HEARTS QUEEN,0.6578,0.0224,0.3198
SPADES FIVE HEARTS KING,0.6494,0.0104,0.3402
HEARTS ACE SPADES FIVE,0.6436,0.0046,0.3518
SPADES JACK HEARTS THREE,0.6748,0.0348,0.2904
SPADES JACK DIAMONDS KING,0.5306,0.0058,0.4636
SPADES TEN DIAMONDS KING,0.5356,0.009,0.4554
SPADES TEN HEARTS THREE,0.682,0.0464,0.2716
CLUBS SIX HEARTS ACE,0.6604,0.0026,0.337
HEARTS FIVE CLUBS JACK,0.6606,0.0314,0.308
CLUBS TEN HEARTS FIVE,0.6784,0.046,0.2756
