opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT DIAMONDS TEN
HEARTS FIVE SPADES TEN,0.552,0.2208,0.2272
HEARTS FIVE SPADES JACK,0.4236,0.0162,0.5602
CLUBS JACK SPADES FIVE,0.4216,0.0166,0.5618
CLUBS TEN SPADES FIVE,0.5624,0.223,0.2146
SPADES FIVE CLUBS ACE,0.4264,0.0036,0.57
SPADES FIVE CLUBS KING,0.4262,0.01,0.5638
SPADES FIVE CLUBS QUEEN,0.4328,0.0112,0.556
DIAMONDS TWO DIAMONDS THREE,0.6148,0.0276,0.3576
DIAMONDS TWO DIAMONDS FIVE,0.6128,0.023,0.3642
HEARTS FIVE SPADES KING,0.4334,0.0062,0.5604
DIAMONDS TWO DIAMONDS FOUR,0.6056,0.0306,0.3638
HEARTS FIVE SPADES QUEEN,0.4332,0.0104,0.5564
DIAMONDS TWO DIAMONDS SEVEN,0.6442,0.0234,0.3324
DIAMONDS TWO DIAMONDS SIX,0.6312,0.0274,0.3414
SPADES ACE HEARTS FIVE,0.4248,0.0032,0.572
DIAMONDS TWO DIAMONDS NINE,0.621,0.0258,0.3532
DIAMONDS TWO DIAMONDS EIGHT,0.6604,0.083,0.2566
DIAMONDS THREE DIAMONDS FOUR,0.6012,0.0264,0.3724
CLUBS TWO SPADES FOUR,0.6446,0.0234,0.332
DIAMONDS THREE DIAMONDS FIVE,0.596,0.026,0.378
SPADES FIVE CLUBS TWO,0.637,0.0274,0.3356
CLUBS TWO SPADES TWO,0.45,0.0512,0.4988
CLUBS TWO SPADES THREE,0.6492,0.0302,0.3206
DIAMONDS THREE DIAMONDS EIGHT,0.6662,0.08,0.2538
SPADES EIGHT CLUBS TWO,0.691,0.0784,0.2306
DIAMONDS THREE DIAMONDS NINE,0.6244,0.0246,0.351
SPADES NINE CLUBS TWO,0.6492,0.0224,0.3284
DIAMONDS THREE DIAMONDS SIX,0.616,0.0266,0.3574
SPADES SIX CLUBS TWO,0.6518,0.027,0.3212
DIAMONDS THREE DIAMONDS SEVEN,0.6314,0.0236,0.345
SPADES SEVEN CLUBS TWO,0.6666,0.0272,0.3062
CLUBS SIX CLUBS TWO,0.6282,0.0262,0.3456
CLUBS SEVEN CLUBS TWO,0.6496,0.0266,0.3238
CLUBS FOUR CLUBS TWO,0.6148,0.0318,0.3534
CLUBS FIVE CLUBS TWO,0.6116,0.023,0.3654
CLUBS TEN CLUBS JACK,0.2278,0.0532,0.719
DIAMONDS FOUR DIAMONDS SIX,0.6042,0.0272,0.3686
CLUBS TEN CLUBS QUEEN,0.2378,0.0416,0.7206
DIAMONDS FOUR DIAMONDS SEVEN,0.6,0.0278,0.3722
CLUBS TEN CLUBS KING,0.241,0.0358,0.7232
CLUBS TEN CLUBS ACE,0.2624,0.023,0.7146
DIAMONDS FIVE DIAMONDS FOUR,0.5932,0.0228,0.384
CLUBS NINE CLUBS TWO,0.6214,0.0252,0.3534
DIAMONDS NINE DIAMONDS FOUR,0.6186,0.027,0.3544
DIAMONDS EIGHT DIAMONDS FOUR,0.6496,0.0834,0.267
