opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT HEARTS ACE
HEARTS FIVE SPADES TEN,0.646,0.0042,0.3498
SPADES JACK HEARTS FIVE,0.637,0.0042,0.3588
CLUBS JACK SPADES FIVE,0.6208,0.0046,0.3746
CLUBS TEN SPADES FIVE,0.643,0.0026,0.3544
SPADES FIVE CLUBS ACE,0.522,0.2308,0.2472
SPADES FIVE CLUBS KING,0.6306,0.0064,0.363
SPADES FIVE CLUBS QUEEN,0.632,0.0028,0.3652
DIAMONDS TWO DIAMONDS THREE,0.6224,0.0054,0.3722
DIAMONDS TWO DIAMONDS FIVE,0.6192,0.0054,0.3754
SPADES KING HEARTS FIVE,0.6388,0.0048,0.3564
DIAMONDS TWO DIAMONDS FOUR,0.6136,0.004,0.3824
SPADES QUEEN HEARTS FIVE,0.6264,0.0046,0.369
DIAMONDS TWO DIAMONDS SEVEN,0.6342,0.0046,0.3612
DIAMONDS TWO DIAMONDS SIX,0.6112,0.0038,0.385
SPADES ACE HEARTS FIVE,0.5172,0.2416,0.2412
DIAMONDS TWO DIAMONDS NINE,0.5878,0.0038,0.4084
DIAMONDS TWO DIAMONDS EIGHT,0.7068,0.0278,0.2654
DIAMONDS THREE DIAMONDS FOUR,0.6054,0.0044,0.3902
CLUBS TWO SPADES FOUR,0.6608,0.0062,0.333
DIAMONDS THREE DIAMONDS FIVE,0.5908,0.0056,0.4036
SPADES FIVE CLUBS TWO,0.651,0.0052,0.3438
CLUBS TWO SPADES TWO,0.4746,0.0042,0.5212
CLUBS TWO SPADES THREE,0.665,0.0042,0.3308
DIAMONDS THREE DIAMONDS EIGHT,0.7006,0.0284,0.271
SPADES EIGHT CLUBS TWO,0.7472,0.0356,0.2172
DIAMONDS THREE DIAMONDS NINE,0.606,0.0042,0.3898
SPADES NINE CLUBS TWO,0.6526,0.0034,0.344
DIAMONDS THREE DIAMONDS SIX,0.6176,0.0058,0.3766
SPADES SIX CLUBS TWO,0.6672,0.0048,0.328
DIAMONDS THREE DIAMONDS SEVEN,0.6244,0.003,0.3726
SPADES SEVEN CLUBS TWO,0.6838,0.0044,0.3118
CLUBS SIX CLUBS TWO,0.6398,0.0038,0.3564
CLUBS SEVEN CLUBS TWO,0.654,0.0056,0.3404
CLUBS FOUR CLUBS TWO,0.6266,0.0052,0.3682
CLUBS FIVE CLUBS TWO,0.629,0.0052,0.3658
CLUBS TEN CLUBS JACK,0.5292,0.0042,0.4666
DIAMONDS FOUR DIAMONDS SIX,0.5856,0.0062,0.4082
CLUBS TEN CLUBS QUEEN,0.5398,0.0042,0.456
DIAMONDS FOUR DIAMONDS SEVEN,0.6088,0.0046,0.3866
CLUBS TEN CLUBS KING,0.554,0.005,0.441
CLUBS TEN CLUBS ACE,0.2258,0.1244,0.6498
DIAMONDS FIVE DIAMONDS FOUR,0.5776,0.0034,0.419
CLUBS NINE CLUBS TWO,0.5996,0.0046,0.3958
DIAMONDS NINE DIAMONDS FOUR,0.5996,0.0034,0.397
DIAMONDS EIGHT DIAMONDS FOUR,0.6924,0.0276,0.28
CLUBS THREE CLUBS TWO,0.618,0.0048,0.3772
DIAMONDS NINE DIAMONDS FIVE,0.5672,0.0038,0.429
CLUBS JACK DIAMONDS TWO,0.635,0.005,0.36
DIAMONDS EIGHT DIAMONDS FIVE,0.6784,0.0238,0.2978
CLUBS TEN DIAMONDS TWO,0.627,0.0044,0.3686
DIAMONDS FIVE DIAMONDS SEVEN,0.6056,0.0046,0.3898
DIAMONDS FIVE DIAMONDS SIX,0.593,0.004,0.403
DIAMONDS TWO CLUBS ACE,0.5332,0.2294,0.2374
DIAMONDS TWO CLUBS KING,0.6394,0.0056,0.355
DIAMONDS TWO CLUBS QUEEN,0.6468,0.0046,0.3486
DIAMONDS EIGHT DIAMONDS SIX,0.6696,0.0254,0.305
DIAMONDS NINE DIAMONDS SIX,0.587,0.0046,0.4084
HEARTS KING SPADES THREE,0.6476,0.0072,0.3452
DIAMONDS SEVEN DIAMONDS SIX,0.5928,0.004,0.4032
SPADES THREE HEARTS QUEEN,0.6424,0.005,0.3526
HEARTS JACK SPADES THREE,0.6378,0.0054,0.3568
SPADES THREE HEARTS TEN,0.6472,0.0046,0.3482
DIAMONDS EIGHT DIAMONDS SEVEN,0.6518,0.0222,0.326
DIAMONDS NINE DIAMONDS SEVEN,0.5668,0.0024,0.4308
DIAMONDS NINE DIAMONDS EIGHT,0.6494,0.0204,0.3302
DIAMONDS KING HEARTS TEN,0.5784,0.0048,0.4168
HEARTS THREE HEARTS TEN,0.6146,0.0036,0.3818
SPADES JACK CLUBS SIX,0.6376,0.0038,0.3586
DIAMONDS KING HEARTS JACK,0.5778,0.0038,0.4184
HEARTS THREE HEARTS JACK,0.616,0.0032,0.3808
SPADES TEN CLUBS SIX,0.6534,0.0038,0.3428
SPADES JACK SPADES FIVE,0.5804,0.0042,0.4154
SPADES TEN SPADES FIVE,0.59,0.0034,0.4066
SPADES ACE CLUBS SIX,0.5574,0.2166,0.226
DIAMONDS KING HEARTS QUEEN,0.5856,0.0042,0.4102
HEARTS THREE HEARTS QUEEN,0.6184,0.0078,0.3738
SPADES KING CLUBS SIX,0.6482,0.0038,0.348
DIAMONDS KING HEARTS KING,0.27,0.0048,0.7252
HEARTS THREE HEARTS KING,0.6184,0.0042,0.3774
SPADES QUEEN CLUBS SIX,0.638,0.0034,0.3586
SPADES NINE HEARTS TEN,0.5764,0.0056,0.418
SPADES NINE HEARTS JACK,0.582,0.0044,0.4136
SPADES QUEEN SPADES FIVE,0.593,0.0046,0.4024
SPADES KING SPADES FIVE,0.59,0.0036,0.4064
