opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT HEARTS EIGHT
HEARTS FIVE SPADES TEN,0.6706,0.0478,0.2816
SPADES JACK HEARTS FIVE,0.6728,0.0346,0.2926
CLUBS JACK SPADES FIVE,0.6572,0.0344,0.3084
CLUBS TEN SPADES FIVE,0.671,0.0456,0.2834
SPADES FIVE CLUBS ACE,0.6402,0.0044,0.3554
SPADES FIVE CLUBS KING,0.6618,0.0116,0.3266
SPADES FIVE CLUBS QUEEN,0.6624,0.0208,0.3168
DIAMONDS TWO DIAMONDS THREE,0.7128,0.1006,0.1866
DIAMONDS TWO DIAMONDS FIVE,0.7138,0.0926,0.1936
SPADES KING HEARTS FIVE,0.6636,0.0124,0.324
DIAMONDS TWO DIAMONDS FOUR,0.7112,0.0968,0.192
SPADES QUEEN HEARTS FIVE,0.671,0.0184,0.3106
DIAMONDS TWO DIAMONDS SEVEN,0.7562,0.0706,0.1732
DIAMONDS TWO DIAMONDS SIX,0.7354,0.0826,0.182
SPADES ACE HEARTS FIVE,0.6482,0.0052,0.3466
DIAMONDS TWO DIAMONDS NINE,0.6484,0.0628,0.2888
DIAMONDS TWO DIAMONDS EIGHT,0.7982,0.083,0.1188
DIAMONDS THREE DIAMONDS FOUR,0.6882,0.0932,0.2186
CLUBS TWO SPADES FOUR,0.751,0.102,0.147
DIAMONDS THREE DIAMONDS FIVE,0.7002,0.0952,0.2046
SPADES FIVE CLUBS TWO,0.7588,0.0962,0.145
CLUBS TWO SPADES TWO,0.628,0.1932,0.1788
CLUBS TWO SPADES THREE,0.7592,0.1076,0.1332
DIAMONDS THREE DIAMONDS EIGHT,0.7924,0.0784,0.1292
SPADES EIGHT CLUBS TWO,0.8414,0.0868,0.0718
DIAMONDS THREE DIAMONDS NINE,0.6514,0.0538,0.2948
SPADES NINE CLUBS TWO,0.6778,0.0612,0.261
DIAMONDS THREE DIAMONDS SIX,0.7178,0.0878,0.1944
SPADES SIX CLUBS TWO,0.778,0.0926,0.1294
DIAMONDS THREE DIAMONDS SEVEN,0.7378,0.0802,0.182
SPADES SEVEN CLUBS TWO,0.7904,0.0872,0.1224
CLUBS SIX CLUBS TWO,0.7506,0.0842,0.1652
CLUBS SEVEN CLUBS TWO,0.7594,0.0826,0.158
CLUBS FOUR CLUBS TWO,0.7194,0.1,0.1806
CLUBS FIVE CLUBS TWO,0.7138,0.0992,0.187
CLUBS TEN CLUBS JACK,0.495,0.0242,0.4808
DIAMONDS FOUR DIAMONDS SIX,0.7096,0.0856,0.2048
CLUBS TEN CLUBS QUEEN,0.5106,0.0174,0.472
DIAMONDS FOUR DIAMONDS SEVEN,0.7186,0.0782,0.2032
CLUBS TEN CLUBS KING,0.518,0.0076,0.4744
CLUBS TEN CLUBS ACE,0.518,0.0042,0.4778
DIAMONDS FIVE DIAMONDS FOUR,0.684,0.0946,0.2214
CLUBS NINE CLUBS TWO,0.655,0.057,0.288
DIAMONDS NINE DIAMONDS FOUR,0.6478,0.0598,0.2924
DIAMONDS EIGHT DIAMONDS FOUR,0.7792,0.0752,0.1456
CLUBS THREE CLUBS TWO,0.7304,0.1004,0.1692
DIAMONDS NINE DIAMONDS FIVE,0.6444,0.058,0.2976
CLUBS JACK DIAMONDS TWO,0.6668,0.0328,0.3004
DIAMONDS EIGHT DIAMONDS FIVE,0.7606,0.0848,0.1546
CLUBS TEN DIAMONDS TWO,0.6788,0.0408,0.2804
DIAMONDS FIVE DIAMONDS SEVEN,0.7258,0.0762,0.198
DIAMONDS FIVE DIAMONDS SIX,0.6986,0.0906,0.2108
DIAMONDS TWO CLUBS ACE,0.6488,0.0048,0.3464
DIAMONDS TWO CLUBS KING,0.662,0.0138,0.3242
DIAMONDS TWO CLUBS QUEEN,0.6708,0.0208,0.3084
DIAMONDS EIGHT DIAMONDS SIX,0.7538,0.081,0.1652
DIAMONDS NINE DIAMONDS SIX,0.634,0.0568,0.3092
HEARTS ACE SPADES THREE,0.6524,0.0052,0.3424
SPADES THREE HEARTS KING,0.6592,0.0114,0.3294
DIAMONDS SEVEN DIAMONDS SIX,0.718,0.0742,0.2078
HEARTS QUEEN SPADES THREE,0.6752,0.02,0.3048
SPADES THREE HEARTS JACK,0.6672,0.0332,0.2996
SPADES THREE HEARTS TEN,0.6726,0.0478,0.2796
DIAMONDS EIGHT DIAMONDS SEVEN,0.742,0.0746,0.1834
DIAMONDS NINE DIAMONDS SEVEN,0.6232,0.0588,0.318
DIAMONDS NINE DIAMONDS EIGHT,0.5996,0.051,0.3494
DIAMONDS KING HEARTS TEN,0.5448,0.0084,0.4468
HEARTS THREE HEARTS TEN,0.6514,0.0458,0.3028
SPADES JACK CLUBS SIX,0.6668,0.033,0.3002
DIAMONDS KING HEARTS JACK,0.5244,0.0074,0.4682
HEARTS THREE HEARTS JACK,0.6322,0.0346,0.3332
SPADES TEN CLUBS SIX,0.6824,0.0444,0.2732
SPADES JACK SPADES FIVE,0.6394,0.026,0.3346
SPADES TEN SPADES FIVE,0.6238,0.0478,0.3284
DIAMONDS KING HEARTS ACE,0.5266,0.005,0.4684
HEARTS THREE HEARTS ACE,0.6244,0.0046,0.371
