opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT HEARTS KING
HEARTS FIVE SPADES TEN,0.6394,0.0084,0.3522
SPADES JACK HEARTS FIVE,0.6324,0.0088,0.3588
CLUBS JACK SPADES FIVE,0.619,0.0092,0.3718
CLUBS TEN SPADES FIVE,0.6344,0.0054,0.3602
SPADES FIVE CLUBS ACE,0.3752,0.0054,0.6194
SPADES FIVE CLUBS KING,0.528,0.2334,0.2386
SPADES FIVE CLUBS QUEEN,0.6172,0.0068,0.376
DIAMONDS TWO DIAMONDS THREE,0.6164,0.0086,0.375
DIAMONDS TWO DIAMONDS FIVE,0.6138,0.0084,0.3778
SPADES KING HEARTS FIVE,0.5332,0.23,0.2368
DIAMONDS TWO DIAMONDS FOUR,0.6028,0.0092,0.388
SPADES QUEEN HEARTS FIVE,0.6278,0.0072,0.365
DIAMONDS TWO DIAMONDS SEVEN,0.6158,0.0072,0.377
DIAMONDS TWO DIAMONDS SIX,0.6128,0.0068,0.3804
SPADES ACE HEARTS FIVE,0.4024,0.0036,0.594
DIAMONDS TWO DIAMONDS NINE,0.5964,0.0084,0.3952
DIAMONDS TWO DIAMONDS EIGHT,0.6796,0.0414,0.279
DIAMONDS THREE DIAMONDS FOUR,0.5946,0.0086,0.3968
CLUBS TWO SPADES FOUR,0.6434,0.0082,0.3484
DIAMONDS THREE DIAMONDS FIVE,0.5878,0.0072,0.405
SPADES FIVE CLUBS TWO,0.6464,0.0054,0.3482
CLUBS TWO SPADES TWO,0.4656,0.0158,0.5186
CLUBS TWO SPADES THREE,0.6366,0.0094,0.354
DIAMONDS THREE DIAMONDS EIGHT,0.6976,0.036,0.2664
SPADES EIGHT CLUBS TWO,0.7364,0.038,0.2256
DIAMONDS THREE DIAMONDS NINE,0.587,0.0074,0.4056
SPADES NINE CLUBS TWO,0.6422,0.0062,0.3516
DIAMONDS THREE DIAMONDS SIX,0.6062,0.0068,0.387
SPADES SIX CLUBS TWO,0.6702,0.0076,0.3222
DIAMONDS THREE DIAMONDS SEVEN,0.6126,0.0066,0.3808
