opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.6462,0.011,0.3428
SPADES JACK HEARTS FIVE,0.633,0.0098,0.3572
CLUBS JACK SPADES FIVE,0.632,0.0106,0.3574
CLUBS TEN SPADES FIVE,0.6342,0.0108,0.355
SPADES FIVE CLUBS ACE,0.3916,0.0042,0.6042
SPADES FIVE CLUBS KING,0.4104,0.0068,0.5828
SPADES FIVE CLUBS QUEEN,0.5488,0.2142,0.237
DIAMONDS TWO DIAMONDS THREE,0.6146,0.0102,0.3752
DIAMONDS TWO DIAMONDS FIVE,0.6,0.014,0.386
SPADES KING HEARTS FIVE,0.4012,0.0062,0.5926
DIAMONDS TWO DIAMONDS FOUR,0.5888,0.0132,0.398
SPADES QUEEN HEARTS FIVE,0.5458,0.2338,0.2204
DIAMONDS TWO DIAMONDS SEVEN,0.6238,0.0148,0.3614
DIAMONDS TWO DIAMONDS SIX,0.612,0.0118,0.3762
SPADES ACE HEARTS FIVE,0.4048,0.003,0.5922
DIAMONDS TWO DIAMONDS NINE,0.6054,0.0098,0.3848
DIAMONDS TWO DIAMONDS EIGHT,0.677,0.0522,0.2708
DIAMONDS THREE DIAMONDS FOUR,0.5876,0.0126,0.3998
CLUBS TWO SPADES FOUR,0.634,0.0142,0.3518
DIAMONDS THREE DIAMONDS FIVE,0.5794,0.014,0.4066
SPADES FIVE CLUBS TWO,0.6492,0.011,0.3398
CLUBS TWO SPADES TWO,0.4634,0.028,0.5086
CLUBS TWO SPADES THREE,0.6442,0.0146,0.3412
DIAMONDS THREE DIAMONDS EIGHT,0.681,0.0468,0.2722
SPADES EIGHT CLUBS TWO,0.7104,0.0542,0.2354
DIAMONDS THREE DIAMONDS NINE,0.601,0.0108,0.3882
SPADES NINE CLUBS TWO,0.6428,0.0088,0.3484
DIAMONDS THREE DIAMONDS SIX,0.5898,0.0106,0.3996
SPADES SIX CLUBS TWO,0.669,0.0104,0.3206
DIAMONDS THREE DIAMONDS SEVEN,0.6086,0.0116,0.3798
SPADES SEVEN CLUBS TWO,0.6734,0.0102,0.3164
CLUBS SIX CLUBS TWO,0.6176,0.0104,0.372
CLUBS SEVEN CLUBS TWO,0.6508,0.0116,0.3376
CLUBS FOUR CLUBS TWO,0.6094,0.0126,0.378
CLUBS FIVE CLUBS TWO,0.6014,0.0136,0.385
CLUBS TEN CLUBS JACK,0.5216,0.0104,0.468
DIAMONDS FOUR DIAMONDS SIX,0.5866,0.0106,0.4028
CLUBS TEN CLUBS QUEEN,0.2174,0.1152,0.6674
DIAMONDS FOUR DIAMONDS SEVEN,0.6074,0.011,0.3816
CLUBS TEN CLUBS KING,0.3244,0.0074,0.6682
CLUBS TEN CLUBS ACE,0.3424,0.0044,0.6532
DIAMONDS FIVE DIAMONDS FOUR,0.5778,0.0102,0.412
CLUBS NINE CLUBS TWO,0.6122,0.0126,0.3752
DIAMONDS NINE DIAMONDS FOUR,0.6012,0.0118,0.387
DIAMONDS EIGHT DIAMONDS FOUR,0.6666,0.0458,0.2876
CLUBS THREE CLUBS TWO,0.6126,0.014,0.3734
