opposingHand,winningChance,drawChance,lostChance
CLUBS EIGHT SPADES TWO
HEARTS FIVE SPADES TEN,0.3464,0.0334,0.6202
SPADES JACK HEARTS FIVE,0.3584,0.018,0.6236
SPADES FIVE CLUBS JACK,0.3452,0.0212,0.6336
CLUBS TEN SPADES FIVE,0.3392,0.028,0.6328
SPADES FIVE CLUBS ACE,0.3352,0.0044,0.6604
SPADES FIVE CLUBS KING,0.3416,0.008,0.6504
SPADES FIVE CLUBS QUEEN,0.3406,0.0154,0.644
DIAMONDS TWO DIAMONDS THREE,0.5596,0.1414,0.299
DIAMONDS TWO DIAMONDS FIVE,0.568,0.1374,0.2946
SPADES KING HEARTS FIVE,0.354,0.0092,0.6368
DIAMONDS TWO DIAMONDS FOUR,0.5602,0.1344,0.3054
SPADES QUEEN HEARTS FIVE,0.349,0.013,0.638
DIAMONDS TWO DIAMONDS SEVEN,0.595,0.1358,0.2692
DIAMONDS TWO DIAMONDS SIX,0.5862,0.1344,0.2794
SPADES ACE HEARTS FIVE,0.3354,0.0048,0.6598
DIAMONDS TWO DIAMONDS NINE,0.2238,0.0996,0.6766
DIAMONDS TWO DIAMONDS EIGHT,0.021,0.9078,0.0712
DIAMONDS THREE DIAMONDS FOUR,0.4878,0.0674,0.4448
CLUBS TWO SPADES FOUR,0.5882,0.1558,0.256
DIAMONDS THREE DIAMONDS FIVE,0.4774,0.0666,0.456
CLUBS TWO SPADES FIVE,0.588,0.1492,0.2628
CLUBS TWO SPADES THREE,0.5862,0.1482,0.2656
DIAMONDS THREE DIAMONDS EIGHT,0.2074,0.4862,0.3064
SPADES EIGHT CLUBS TWO,0.0076,0.986,0.0064
DIAMONDS THREE DIAMONDS NINE,0.3384,0.0442,0.6174
SPADES NINE CLUBS TWO,0.239,0.1056,0.6554
DIAMONDS THREE DIAMONDS SIX,0.4872,0.0676,0.4452
CLUBS TWO SPADES SIX,0.627,0.1396,0.2334
DIAMONDS THREE DIAMONDS SEVEN,0.4984,0.0664,0.4352
CLUBS TWO SPADES SEVEN,0.6152,0.1468,0.238
CLUBS SIX CLUBS TWO,0.5882,0.1394,0.2724
CLUBS SEVEN CLUBS TWO,0.6028,0.1424,0.2548
CLUBS FOUR CLUBS TWO,0.5662,0.1332,0.3006
CLUBS FIVE CLUBS TWO,0.5708,0.1426,0.2866
CLUBS TEN CLUBS JACK,0.2828,0.0154,0.7018
DIAMONDS FOUR DIAMONDS SIX,0.4852,0.0682,0.4466
CLUBS TEN CLUBS QUEEN,0.293,0.0128,0.6942
DIAMONDS FOUR DIAMONDS SEVEN,0.49,0.0614,0.4486
CLUBS TEN CLUBS KING,0.3034,0.008,0.6886
CLUBS TEN CLUBS ACE,0.298,0.0054,0.6966
DIAMONDS FIVE DIAMONDS FOUR,0.465,0.0634,0.4716
CLUBS NINE CLUBS TWO,0.2382,0.104,0.6578
DIAMONDS NINE DIAMONDS FOUR,0.338,0.0456,0.6164
DIAMONDS EIGHT DIAMONDS FOUR,0.198,0.4844,0.3176
CLUBS TWO CLUBS THREE,0.5748,0.1484,0.2768
DIAMONDS NINE DIAMONDS FIVE,0.3254,0.0382,0.6364
DIAMONDS TWO CLUBS JACK,0.2366,0.0576,0.7058
DIAMONDS EIGHT DIAMONDS FIVE,0.1984,0.4048,0.3968
CLUBS TEN DIAMONDS TWO,0.2288,0.0738,0.6974
DIAMONDS FIVE DIAMONDS SEVEN,0.4722,0.0626,0.4652
DIAMONDS FIVE DIAMONDS SIX,0.4658,0.0628,0.4714
DIAMONDS TWO CLUBS ACE,0.2256,0.0156,0.7588
DIAMONDS TWO CLUBS KING,0.2422,0.0274,0.7304
DIAMONDS TWO CLUBS QUEEN,0.2424,0.0432,0.7144
DIAMONDS EIGHT DIAMONDS SIX,0.2058,0.346,0.4482
DIAMONDS NINE DIAMONDS SIX,0.3028,0.0402,0.657
HEARTS ACE SPADES THREE,0.3472,0.0054,0.6474
HEARTS KING SPADES THREE,0.3492,0.0106,0.6402
DIAMONDS SEVEN DIAMONDS SIX,0.4582,0.0578,0.484
SPADES THREE HEARTS QUEEN,0.3582,0.0122,0.6296
HEARTS JACK SPADES THREE,0.3678,0.018,0.6142
SPADES THREE HEARTS TEN,0.3322,0.0306,0.6372
DIAMONDS EIGHT DIAMONDS SEVEN,0.2002,0.2818,0.518
DIAMONDS NINE DIAMONDS SEVEN,0.307,0.0362,0.6568
DIAMONDS NINE DIAMONDS EIGHT,0.202,0.1028,0.6952
DIAMONDS KING HEARTS TEN,0.318,0.0084,0.6736
HEARTS THREE HEARTS TEN,0.3456,0.027,0.6274
CLUBS SIX SPADES JACK,0.3488,0.0164,0.6348
DIAMONDS KING HEARTS JACK,0.3306,0.006,0.6634
HEARTS THREE HEARTS JACK,0.3384,0.019,0.6426
CLUBS SIX SPADES TEN,0.3478,0.029,0.6232
SPADES JACK SPADES FIVE,0.3306,0.0168,0.6526
SPADES TEN SPADES FIVE,0.3342,0.0254,0.6404
DIAMONDS KING HEARTS ACE,0.3232,0.0044,0.6724
HEARTS THREE HEARTS ACE,0.328,0.0046,0.6674
SPADES ACE CLUBS SIX,0.351,0.0052,0.6438
DIAMONDS KING HEARTS QUEEN,0.3256,0.0064,0.668
HEARTS THREE HEARTS QUEEN,0.3358,0.0114,0.6528
SPADES KING CLUBS SIX,0.3618,0.0092,0.629
DIAMONDS KING HEARTS KING,0.1282,0.0144,0.8574
HEARTS THREE HEARTS KING,0.3454,0.0088,0.6458
SPADES QUEEN CLUBS SIX,0.3506,0.014,0.6354
SPADES NINE HEARTS TEN,0.2954,0.0256,0.679
SPADES NINE HEARTS JACK,0.3026,0.0146,0.6828
SPADES QUEEN SPADES FIVE,0.3326,0.0148,0.6526
SPADES KING SPADES FIVE,0.3306,0.0088,0.6606
SPADES ACE SPADES FIVE,0.3472,0.0062,0.6466
SPADES NINE HEARTS QUEEN,0.3178,0.012,0.6702
SPADES NINE HEARTS KING,0.3194,0.0082,0.6724
SPADES NINE HEARTS ACE,0.3154,0.0038,0.6808
CLUBS TEN SPADES JACK,0.2962,0.0156,0.6882
CLUBS TEN SPADES TEN,0.112,0.0454,0.8426
SPADES ACE CLUBS TEN,0.3022,0.0038,0.694
SPADES KING CLUBS TEN,0.3058,0.0076,0.6866
CLUBS TEN SPADES QUEEN,0.3086,0.0098,0.6816
SPADES FIVE HEARTS QUEEN,0.3696,0.012,0.6184
HEARTS KING SPADES FIVE,0.3454,0.0064,0.6482
SPADES FIVE HEARTS ACE,0.3348,0.0052,0.66
HEARTS THREE SPADES JACK,0.357,0.0216,0.6214
SPADES JACK DIAMONDS KING,0.3316,0.007,0.6614
SPADES TEN DIAMONDS KING,0.3234,0.006,0.6706
HEARTS THREE SPADES TEN,0.352,0.0314,0.6166
HEARTS FIVE CLUBS JACK,0.363,0.018,0.619
CLUBS SIX HEARTS ACE,0.3672,0.0044,0.6284
CLUBS TEN HEARTS FIVE,0.3544,0.0298,0.6158
CLUBS TEN SPADES THREE,0.3534,0.0354,0.6112
CLUBS SIX HEARTS QUEEN,0.3576,0.0166,0.6258
SPADES THREE CLUBS JACK,0.3556,0.022,0.6224
CLUBS SIX HEARTS KING,0.365,0.0084,0.6266
DIAMONDS TWO HEARTS JACK,0.2334,0.0588,0.7078
SPADES THREE CLUBS QUEEN,0.3664,0.0148,0.6188
DIAMONDS TWO HEARTS TEN,0.2478,0.079,0.6732
SPADES THREE CLUBS KING,0.3436,0.0096,0.6468
HEARTS FIVE CLUBS ACE,0.3472,0.004,0.6488
SPADES FIVE HEARTS TEN,0.3544,0.0278,0.6178
SPADES THREE CLUBS ACE,0.3486,0.005,0.6464
HEARTS FIVE CLUBS KING,0.3588,0.0084,0.6328
SPADES FIVE HEARTS JACK,0.3552,0.0166,0.6282
HEARTS FIVE CLUBS QUEEN,0.3478,0.012,0.6402
HEARTS THREE CLUBS KING,0.3588,0.0074,0.6338
DIAMONDS KING CLUBS KING,0.1276,0.0182,0.8542
HEARTS THREE CLUBS QUEEN,0.3586,0.0154,0.626
DIAMONDS KING CLUBS QUEEN,0.314,0.008,0.678
HEARTS FIVE HEARTS JACK,0.328,0.0184,0.6536
HEARTS FIVE HEARTS TEN,0.3248,0.0252,0.65
HEARTS THREE CLUBS ACE,0.3468,0.0066,0.6466
DIAMONDS KING CLUBS ACE,0.3164,0.0058,0.6778
SPADES ACE CLUBS QUEEN,0.3218,0.0056,0.6726
SPADES KING CLUBS QUEEN,0.3034,0.008,0.6886
HEARTS THREE CLUBS JACK,0.3636,0.0174,0.619
DIAMONDS KING CLUBS JACK,0.3228,0.005,0.6722
SPADES QUEEN CLUBS QUEEN,0.1222,0.0254,0.8524
CLUBS TEN HEARTS THREE,0.3606,0.025,0.6144
CLUBS TEN DIAMONDS KING,0.3306,0.0074,0.662
SPADES JACK CLUBS QUEEN,0.286,0.0102,0.7038
CLUBS SIX CLUBS QUEEN,0.3382,0.0122,0.6496
SPADES TEN CLUBS QUEEN,0.313,0.013,0.674
CLUBS SIX CLUBS KING,0.3338,0.0096,0.6566
CLUBS SIX CLUBS ACE,0.3326,0.0048,0.6626
HEARTS FIVE HEARTS KING,0.3412,0.0084,0.6504
HEARTS FIVE HEARTS QUEEN,0.3314,0.0146,0.654
CLUBS TEN CLUBS SIX,0.3196,0.0292,0.6512
