opposingHand,winningChance,drawChance,lostChance
CLUBS FIVE CLUBS THREE
HEARTS FIVE SPADES TEN,0.3228,0.075,0.6022
SPADES JACK HEARTS FIVE,0.3168,0.0666,0.6166
CLUBS JACK SPADES FIVE,0.2938,0.0624,0.6438
CLUBS TEN SPADES FIVE,0.3082,0.0824,0.6094
CLUBS JACK CLUBS EIGHT,0.3474,0.0168,0.6358
CLUBS TEN CLUBS EIGHT,0.3316,0.0294,0.639
CLUBS EIGHT CLUBS KING,0.3352,0.0098,0.655
SPADES FIVE CLUBS ACE,0.2782,0.0244,0.6974
CLUBS EIGHT CLUBS QUEEN,0.352,0.0136,0.6344
SPADES FIVE CLUBS KING,0.2988,0.0368,0.6644
SPADES FIVE CLUBS QUEEN,0.2996,0.0534,0.647
CLUBS EIGHT CLUBS ACE,0.3374,0.0082,0.6544
DIAMONDS TWO DIAMONDS THREE,0.411,0.352,0.237
DIAMONDS TWO DIAMONDS FIVE,0.2852,0.459,0.2558
SPADES KING HEARTS FIVE,0.3136,0.0384,0.648
DIAMONDS TWO DIAMONDS FOUR,0.4252,0.2196,0.3552
SPADES QUEEN HEARTS FIVE,0.3102,0.0508,0.639
DIAMONDS TWO DIAMONDS SEVEN,0.4314,0.092,0.4766
DIAMONDS TWO DIAMONDS SIX,0.4232,0.1362,0.4406
SPADES ACE HEARTS FIVE,0.297,0.0234,0.6796
DIAMONDS TWO DIAMONDS NINE,0.4122,0.0424,0.5454
DIAMONDS TWO DIAMONDS EIGHT,0.4272,0.0576,0.5152
DIAMONDS THREE DIAMONDS FOUR,0.4122,0.3338,0.254
CLUBS TWO SPADES FOUR,0.4518,0.232,0.3162
DIAMONDS THREE DIAMONDS FIVE,0.0706,0.8594,0.07
CLUBS TWO SPADES FIVE,0.3054,0.4806,0.214
CLUBS TWO SPADES TWO,0.3718,0.145,0.4832
CLUBS TWO SPADES THREE,0.428,0.3632,0.2088
DIAMONDS THREE DIAMONDS EIGHT,0.3098,0.1298,0.5604
SPADES EIGHT CLUBS TWO,0.4402,0.0684,0.4914
DIAMONDS THREE DIAMONDS NINE,0.306,0.1016,0.5924
SPADES NINE CLUBS TWO,0.4488,0.0446,0.5066
DIAMONDS THREE DIAMONDS SIX,0.2736,0.2452,0.4812
CLUBS TWO SPADES SIX,0.4264,0.1522,0.4214
DIAMONDS THREE DIAMONDS SEVEN,0.2838,0.1792,0.537
CLUBS TWO SPADES SEVEN,0.4474,0.0996,0.453
CLUBS SIX CLUBS TWO,0.3728,0.1596,0.4676
CLUBS SEVEN CLUBS TWO,0.3904,0.1202,0.4894
CLUBS TWO CLUBS FOUR,0.4578,0.2378,0.3044
CLUBS TEN CLUBS JACK,0.3334,0.0152,0.6514
DIAMONDS FOUR DIAMONDS SIX,0.3668,0.1428,0.4904
CLUBS TEN CLUBS QUEEN,0.3362,0.0112,0.6526
DIAMONDS FOUR DIAMONDS SEVEN,0.3802,0.0954,0.5244
CLUBS TEN CLUBS KING,0.3316,0.011,0.6574
CLUBS TEN CLUBS ACE,0.337,0.0072,0.6558
CLUBS EIGHT CLUBS TWO,0.3976,0.0644,0.538
DIAMONDS FIVE DIAMONDS FOUR,0.2456,0.4446,0.3098
CLUBS NINE CLUBS TWO,0.3908,0.046,0.5632
DIAMONDS NINE DIAMONDS FOUR,0.4086,0.0352,0.5562
DIAMONDS EIGHT DIAMONDS FOUR,0.3934,0.0644,0.5422
DIAMONDS NINE DIAMONDS FIVE,0.287,0.1122,0.6008
CLUBS JACK DIAMONDS TWO,0.4466,0.0216,0.5318
DIAMONDS EIGHT DIAMONDS FIVE,0.2746,0.1332,0.5922
CLUBS TEN DIAMONDS TWO,0.4326,0.0284,0.539
DIAMONDS FIVE DIAMONDS SEVEN,0.2862,0.1874,0.5264
DIAMONDS FIVE DIAMONDS SIX,0.268,0.255,0.477
DIAMONDS TWO CLUBS ACE,0.4292,0.0076,0.5632
DIAMONDS TWO CLUBS KING,0.4364,0.0106,0.553
DIAMONDS TWO CLUBS QUEEN,0.4484,0.0144,0.5372
DIAMONDS EIGHT DIAMONDS SIX,0.3704,0.0596,0.57
DIAMONDS NINE DIAMONDS SIX,0.3742,0.0366,0.5892
HEARTS ACE SPADES THREE,0.2968,0.017,0.6862
HEARTS KING SPADES THREE,0.3168,0.0294,0.6538
DIAMONDS SEVEN DIAMONDS SIX,0.3492,0.0852,0.5656
SPADES THREE HEARTS QUEEN,0.3192,0.0434,0.6374
HEARTS JACK SPADES THREE,0.3224,0.0556,0.622
SPADES THREE HEARTS TEN,0.3298,0.0734,0.5968
DIAMONDS EIGHT DIAMONDS SEVEN,0.3576,0.0514,0.591
DIAMONDS NINE DIAMONDS SEVEN,0.3674,0.0388,0.5938
DIAMONDS NINE DIAMONDS EIGHT,0.3562,0.0414,0.6024
DIAMONDS KING HEARTS TEN,0.387,0.0066,0.6064
HEARTS THREE HEARTS TEN,0.3038,0.072,0.6242
SPADES JACK CLUBS SIX,0.3884,0.0192,0.5924
DIAMONDS KING HEARTS JACK,0.3918,0.0074,0.6008
HEARTS THREE HEARTS JACK,0.3112,0.0528,0.636
SPADES TEN CLUBS SIX,0.3832,0.0288,0.588
SPADES JACK SPADES FIVE,0.2976,0.058,0.6444
SPADES TEN SPADES FIVE,0.297,0.0714,0.6316
DIAMONDS KING HEARTS ACE,0.4032,0.004,0.5928
HEARTS THREE HEARTS ACE,0.2852,0.0176,0.6972
SPADES ACE CLUBS SIX,0.3938,0.0058,0.6004
DIAMONDS KING HEARTS QUEEN,0.4064,0.0088,0.5848
HEARTS THREE HEARTS QUEEN,0.3104,0.0352,0.6544
SPADES KING CLUBS SIX,0.3996,0.0094,0.591
DIAMONDS KING HEARTS KING,0.2056,0.022,0.7724
HEARTS THREE HEARTS KING,0.3072,0.0276,0.6652
SPADES QUEEN CLUBS SIX,0.3844,0.0144,0.6012
SPADES NINE HEARTS TEN,0.382,0.0228,0.5952
SPADES NINE HEARTS JACK,0.3962,0.0164,0.5874
SPADES QUEEN SPADES FIVE,0.2892,0.0534,0.6574
SPADES KING SPADES FIVE,0.2952,0.0362,0.6686
SPADES ACE SPADES FIVE,0.2834,0.0276,0.689
SPADES NINE HEARTS QUEEN,0.388,0.0108,0.6012
SPADES NINE HEARTS KING,0.398,0.0088,0.5932
SPADES NINE HEARTS ACE,0.4042,0.0048,0.591
CLUBS TEN SPADES JACK,0.3668,0.0154,0.6178
CLUBS TEN SPADES TEN,0.1988,0.0608,0.7404
SPADES ACE CLUBS TEN,0.3726,0.0056,0.6218
CLUBS TEN SPADES KING,0.3788,0.0074,0.6138
CLUBS TEN SPADES QUEEN,0.384,0.0108,0.6052
SPADES FIVE HEARTS QUEEN,0.3172,0.0518,0.631
