opposingHand,winningChance,drawChance,lostChance
CLUBS FIVE DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.276,0.0824,0.6416
HEARTS FIVE SPADES JACK,0.2908,0.059,0.6502
CLUBS JACK SPADES FIVE,0.2728,0.0648,0.6624
CLUBS TEN SPADES FIVE,0.2762,0.071,0.6528
CLUBS JACK CLUBS EIGHT,0.3478,0.0162,0.636
CLUBS TEN CLUBS EIGHT,0.333,0.0272,0.6398
CLUBS EIGHT CLUBS KING,0.3444,0.0078,0.6478
SPADES FIVE CLUBS ACE,0.2804,0.0196,0.7
CLUBS EIGHT CLUBS QUEEN,0.3396,0.0122,0.6482
SPADES FIVE CLUBS KING,0.2768,0.0346,0.6886
SPADES FIVE CLUBS QUEEN,0.2782,0.0486,0.6732
CLUBS EIGHT CLUBS ACE,0.3472,0.0038,0.649
DIAMONDS TWO DIAMONDS THREE,0.5606,0.0944,0.345
DIAMONDS TWO DIAMONDS FIVE,0.5426,0.2046,0.2528
HEARTS FIVE SPADES KING,0.2758,0.0304,0.6938
DIAMONDS TWO DIAMONDS FOUR,0.5602,0.0972,0.3426
HEARTS FIVE SPADES QUEEN,0.279,0.0432,0.6778
DIAMONDS TWO DIAMONDS SIX,0.5514,0.0986,0.35
SPADES ACE HEARTS FIVE,0.267,0.0234,0.7096
DIAMONDS TWO DIAMONDS NINE,0.4084,0.0406,0.551
DIAMONDS TWO DIAMONDS EIGHT,0.41,0.058,0.532
DIAMONDS THREE DIAMONDS FOUR,0.5334,0.0946,0.372
CLUBS TWO SPADES FOUR,0.5674,0.1038,0.3288
DIAMONDS THREE DIAMONDS FIVE,0.5276,0.1984,0.274
SPADES FIVE CLUBS TWO,0.5908,0.1904,0.2188
CLUBS TWO SPADES TWO,0.3902,0.1148,0.495
CLUBS TWO SPADES THREE,0.5708,0.1042,0.325
DIAMONDS THREE DIAMONDS EIGHT,0.3972,0.0592,0.5436
SPADES EIGHT CLUBS TWO,0.4162,0.064,0.5198
DIAMONDS THREE DIAMONDS NINE,0.4042,0.0394,0.5564
SPADES NINE CLUBS TWO,0.4354,0.0444,0.5202
DIAMONDS THREE DIAMONDS SIX,0.5442,0.0976,0.3582
SPADES SIX CLUBS TWO,0.5664,0.1088,0.3248
SPADES SEVEN CLUBS TWO,0.3442,0.4536,0.2022
CLUBS SIX CLUBS TWO,0.5454,0.095,0.3596
CLUBS SEVEN CLUBS TWO,0.3282,0.424,0.2478
CLUBS FOUR CLUBS TWO,0.542,0.1042,0.3538
CLUBS TEN CLUBS JACK,0.3174,0.014,0.6686
DIAMONDS FOUR DIAMONDS SIX,0.5284,0.1012,0.3704
CLUBS TEN CLUBS QUEEN,0.3454,0.0084,0.6462
CLUBS TEN CLUBS KING,0.3532,0.0078,0.639
CLUBS TEN CLUBS ACE,0.343,0.0052,0.6518
CLUBS EIGHT CLUBS TWO,0.4084,0.063,0.5286
DIAMONDS FIVE DIAMONDS FOUR,0.5176,0.1944,0.288
CLUBS NINE CLUBS TWO,0.4038,0.0426,0.5536
DIAMONDS NINE DIAMONDS FOUR,0.3806,0.0434,0.576
DIAMONDS FOUR DIAMONDS EIGHT,0.3862,0.0672,0.5466
CLUBS THREE CLUBS TWO,0.5556,0.0962,0.3482
DIAMONDS NINE DIAMONDS FIVE,0.264,0.0974,0.6386
CLUBS JACK DIAMONDS TWO,0.4276,0.0176,0.5548
DIAMONDS FIVE DIAMONDS EIGHT,0.2324,0.1416,0.626
CLUBS TEN DIAMONDS TWO,0.423,0.0378,0.5392
DIAMONDS FIVE DIAMONDS SIX,0.5264,0.1936,0.28
DIAMONDS TWO CLUBS ACE,0.417,0.0054,0.5776
DIAMONDS TWO CLUBS KING,0.4448,0.0086,0.5466
DIAMONDS TWO CLUBS QUEEN,0.4338,0.0168,0.5494
DIAMONDS EIGHT DIAMONDS SIX,0.3454,0.0608,0.5938
DIAMONDS NINE DIAMONDS SIX,0.348,0.0382,0.6138
HEARTS ACE SPADES THREE,0.4128,0.0026,0.5846
SPADES THREE HEARTS KING,0.4258,0.0072,0.567
HEARTS QUEEN SPADES THREE,0.4118,0.0142,0.574
SPADES THREE HEARTS JACK,0.4212,0.0152,0.5636
SPADES THREE HEARTS TEN,0.4218,0.0294,0.5488
DIAMONDS NINE DIAMONDS EIGHT,0.3132,0.0362,0.6506
DIAMONDS KING HEARTS TEN,0.375,0.0074,0.6176
HEARTS THREE HEARTS TEN,0.3944,0.0254,0.5802
SPADES JACK CLUBS SIX,0.3808,0.019,0.6002
DIAMONDS KING HEARTS JACK,0.3548,0.007,0.6382
HEARTS THREE HEARTS JACK,0.394,0.018,0.588
SPADES TEN CLUBS SIX,0.3714,0.0296,0.599
SPADES JACK SPADES FIVE,0.269,0.0562,0.6748
SPADES TEN SPADES FIVE,0.2632,0.0718,0.665
DIAMONDS KING HEARTS ACE,0.3536,0.0046,0.6418
HEARTS THREE HEARTS ACE,0.3914,0.0052,0.6034
SPADES ACE CLUBS SIX,0.3808,0.003,0.6162
DIAMONDS KING HEARTS QUEEN,0.3646,0.006,0.6294
HEARTS THREE HEARTS QUEEN,0.3962,0.0126,0.5912
SPADES KING CLUBS SIX,0.3682,0.0084,0.6234
DIAMONDS KING HEARTS KING,0.171,0.0152,0.8138
HEARTS THREE HEARTS KING,0.4008,0.0098,0.5894
SPADES QUEEN CLUBS SIX,0.3684,0.0124,0.6192
SPADES NINE HEARTS TEN,0.3452,0.0246,0.6302
SPADES NINE HEARTS JACK,0.3578,0.0174,0.6248
SPADES QUEEN SPADES FIVE,0.2528,0.0462,0.701
SPADES KING SPADES FIVE,0.2586,0.0338,0.7076
SPADES ACE SPADES FIVE,0.2512,0.0198,0.729
SPADES NINE HEARTS QUEEN,0.3702,0.0088,0.621
SPADES NINE HEARTS KING,0.3654,0.0052,0.6294
SPADES NINE HEARTS ACE,0.3554,0.0024,0.6422
CLUBS TEN SPADES JACK,0.341,0.0126,0.6464
CLUBS TEN SPADES TEN,0.1762,0.0584,0.7654
SPADES ACE CLUBS TEN,0.3554,0.0056,0.639
CLUBS TEN SPADES KING,0.3524,0.0062,0.6414
CLUBS TEN SPADES QUEEN,0.3474,0.009,0.6436
SPADES FIVE HEARTS QUEEN,0.2792,0.0476,0.6732
SPADES FIVE HEARTS KING,0.2882,0.0324,0.6794
HEARTS ACE SPADES FIVE,0.2782,0.0212,0.7006
CLUBS EIGHT SPADES TEN,0.3342,0.0284,0.6374
SPADES JACK HEARTS THREE,0.4138,0.016,0.5702
SPADES JACK DIAMONDS KING,0.354,0.008,0.638
SPADES TEN DIAMONDS KING,0.3452,0.007,0.6478
SPADES TEN HEARTS THREE,0.4128,0.0278,0.5594
CLUBS EIGHT SPADES JACK,0.3518,0.019,0.6292
CLUBS SIX HEARTS ACE,0.3862,0.003,0.6108
SPADES ACE CLUBS EIGHT,0.3606,0.0044,0.635
HEARTS FIVE CLUBS JACK,0.2596,0.0602,0.6802
CLUBS TEN HEARTS FIVE,0.2596,0.0846,0.6558
CLUBS SIX HEARTS QUEEN,0.3892,0.012,0.5988
SPADES QUEEN CLUBS EIGHT,0.3464,0.0116,0.642
CLUBS TEN SPADES THREE,0.4094,0.0296,0.561
CLUBS SIX HEARTS KING,0.3924,0.007,0.6006
SPADES KING CLUBS EIGHT,0.3514,0.0076,0.641
CLUBS JACK SPADES THREE,0.4258,0.016,0.5582
DIAMONDS TWO HEARTS JACK,0.4334,0.0198,0.5468
SPADES THREE CLUBS QUEEN,0.423,0.012,0.565
DIAMONDS TWO HEARTS TEN,0.424,0.0298,0.5462
SPADES THREE CLUBS KING,0.4168,0.0078,0.5754
HEARTS FIVE CLUBS ACE,0.2544,0.02,0.7256
SPADES FIVE HEARTS TEN,0.2902,0.0784,0.6314
SPADES THREE CLUBS ACE,0.4036,0.0066,0.5898
HEARTS FIVE CLUBS KING,0.285,0.0336,0.6814
SPADES FIVE HEARTS JACK,0.2862,0.0664,0.6474
HEARTS FIVE CLUBS QUEEN,0.2736,0.0476,0.6788
HEARTS THREE CLUBS KING,0.4202,0.0092,0.5706
DIAMONDS KING CLUBS KING,0.1696,0.016,0.8144
HEARTS THREE CLUBS QUEEN,0.4138,0.0136,0.5726
DIAMONDS KING CLUBS QUEEN,0.353,0.0044,0.6426
HEARTS FIVE HEARTS JACK,0.2658,0.0566,0.6776
HEARTS FIVE HEARTS TEN,0.2668,0.0762,0.657
HEARTS THREE CLUBS ACE,0.4046,0.0052,0.5902
DIAMONDS KING CLUBS ACE,0.358,0.0052,0.6368
SPADES ACE CLUBS QUEEN,0.3558,0.0036,0.6406
SPADES KING CLUBS QUEEN,0.3642,0.006,0.6298
CLUBS JACK HEARTS THREE,0.4022,0.0214,0.5764
CLUBS JACK DIAMONDS KING,0.3594,0.0078,0.6328
SPADES QUEEN CLUBS QUEEN,0.172,0.0308,0.7972
CLUBS TEN HEARTS THREE,0.4154,0.0264,0.5582
CLUBS TEN DIAMONDS KING,0.3472,0.006,0.6468
SPADES JACK CLUBS QUEEN,0.3444,0.0098,0.6458
CLUBS SIX CLUBS QUEEN,0.372,0.0138,0.6142
SPADES TEN CLUBS QUEEN,0.346,0.0092,0.6448
CLUBS SIX CLUBS KING,0.3798,0.007,0.6132
CLUBS SIX CLUBS ACE,0.358,0.0036,0.6384
HEARTS FIVE HEARTS KING,0.2654,0.0298,0.7048
HEARTS FIVE HEARTS QUEEN,0.2568,0.0436,0.6996
CLUBS TEN CLUBS SIX,0.3538,0.0278,0.6184
HEARTS FIVE HEARTS ACE,0.261,0.0208,0.7182
CLUBS JACK CLUBS SIX,0.3714,0.017,0.6116
SPADES SEVEN HEARTS JACK,0.2842,0.0568,0.659
SPADES SEVEN HEARTS TEN,0.261,0.079,0.66
DIAMONDS TWO CLUBS TWO,0.4072,0.114,0.4788
DIAMONDS TWO CLUBS THREE,0.5804,0.1036,0.316
DIAMONDS TWO HEARTS SIX,0.585,0.101,0.314
DIAMONDS TWO HEARTS QUEEN,0.442,0.0138,0.5442
HEARTS SEVEN DIAMONDS TWO,0.3504,0.4522,0.1974
DIAMONDS TWO HEARTS KING,0.4364,0.0072,0.5564
DIAMONDS TWO HEARTS EIGHT,0.4274,0.0644,0.5082
DIAMONDS TWO HEARTS ACE,0.43,0.005,0.565
DIAMONDS TWO HEARTS NINE,0.4368,0.0416,0.5216
DIAMONDS TWO DIAMONDS QUEEN,0.4124,0.0118,0.5758
DIAMONDS TWO HEARTS TWO,0.399,0.1162,0.4848
DIAMONDS TWO DIAMONDS KING,0.414,0.0084,0.5776
DIAMONDS TWO HEARTS THREE,0.576,0.1042,0.3198
DIAMONDS TWO DIAMONDS ACE,0.3952,0.0052,0.5996
HEARTS FOUR DIAMONDS TWO,0.5812,0.0982,0.3206
HEARTS FIVE DIAMONDS TWO,0.5712,0.2098,0.219
SPADES SEVEN HEARTS ACE,0.2588,0.0244,0.7168
DIAMONDS TWO DIAMONDS TEN,0.41,0.0286,0.5614
SPADES SEVEN HEARTS KING,0.2664,0.0414,0.6922
DIAMONDS TWO DIAMONDS JACK,0.4056,0.0196,0.5748
SPADES SEVEN HEARTS QUEEN,0.2862,0.045,0.6688
DIAMONDS TWO SPADES NINE,0.4372,0.0428,0.52
DIAMONDS TWO SPADES EIGHT,0.4356,0.0652,0.4992
DIAMONDS TWO SPADES SEVEN,0.348,0.4538,0.1982
DIAMONDS TWO SPADES SIX,0.585,0.094,0.321
DIAMONDS TWO SPADES FIVE,0.5896,0.1906,0.2198
DIAMONDS TWO SPADES FOUR,0.5726,0.102,0.3254
DIAMONDS TWO SPADES THREE,0.5806,0.107,0.3124
DIAMONDS TWO SPADES TWO,0.388,0.1128,0.4992
DIAMONDS TWO CLUBS NINE,0.4266,0.0438,0.5296
CLUBS EIGHT DIAMONDS TWO,0.4188,0.0732,0.508
DIAMONDS TWO CLUBS SEVEN,0.3444,0.4588,0.1968
DIAMONDS TWO CLUBS SIX,0.5772,0.1066,0.3162
DIAMONDS TWO CLUBS FOUR,0.587,0.099,0.314
CLUBS FOUR SPADES FIVE,0.547,0.204,0.249
CLUBS FOUR SPADES FOUR,0.3584,0.1162,0.5254
CLUBS FOUR SPADES THREE,0.5642,0.1066,0.3292
CLUBS FOUR SPADES TWO,0.5812,0.1022,0.3166
SPADES NINE CLUBS FOUR,0.4178,0.046,0.5362
SPADES EIGHT CLUBS FOUR,0.411,0.0682,0.5208
SPADES SEVEN CLUBS FOUR,0.3216,0.4702,0.2082
CLUBS FOUR SPADES SIX,0.5518,0.108,0.3402
SPADES ACE DIAMONDS SIX,0.3996,0.0026,0.5978
SPADES QUEEN DIAMONDS SIX,0.3986,0.0126,0.5888
SPADES KING DIAMONDS SIX,0.384,0.0074,0.6086
SPADES TEN DIAMONDS SIX,0.3864,0.0304,0.5832
