opposingHand,winningChance,drawChance,lostChance
CLUBS FIVE HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.7194,0.047,0.2336
SPADES JACK HEARTS FIVE,0.7192,0.0496,0.2312
CLUBS JACK SPADES FIVE,0.7024,0.0494,0.2482
CLUBS TEN SPADES FIVE,0.7116,0.0504,0.238
CLUBS JACK CLUBS EIGHT,0.5472,0.0114,0.4414
CLUBS TEN CLUBS EIGHT,0.5318,0.0108,0.4574
CLUBS EIGHT CLUBS KING,0.3586,0.0066,0.6348
SPADES FIVE CLUBS ACE,0.2244,0.031,0.7446
CLUBS EIGHT CLUBS QUEEN,0.2154,0.22,0.5646
SPADES FIVE CLUBS KING,0.216,0.0412,0.7428
SPADES FIVE CLUBS QUEEN,0.01,0.9706,0.0194
CLUBS EIGHT CLUBS ACE,0.3512,0.0046,0.6442
DIAMONDS TWO DIAMONDS THREE,0.605,0.0138,0.3812
DIAMONDS TWO DIAMONDS FIVE,0.6618,0.051,0.2872
SPADES KING HEARTS FIVE,0.2348,0.0438,0.7214
DIAMONDS TWO DIAMONDS FOUR,0.5906,0.013,0.3964
SPADES QUEEN HEARTS FIVE,0.0204,0.9688,0.0108
DIAMONDS TWO DIAMONDS SEVEN,0.5962,0.0136,0.3902
DIAMONDS TWO DIAMONDS SIX,0.603,0.0132,0.3838
SPADES ACE HEARTS FIVE,0.2316,0.031,0.7374
DIAMONDS TWO DIAMONDS NINE,0.6012,0.0104,0.3884
DIAMONDS TWO DIAMONDS EIGHT,0.588,0.0102,0.4018
DIAMONDS THREE DIAMONDS FOUR,0.5916,0.015,0.3934
CLUBS TWO SPADES FOUR,0.655,0.0134,0.3316
DIAMONDS THREE DIAMONDS FIVE,0.6328,0.05,0.3172
SPADES FIVE CLUBS TWO,0.6994,0.0478,0.2528
CLUBS TWO SPADES TWO,0.4406,0.0322,0.5272
CLUBS TWO SPADES THREE,0.6386,0.0142,0.3472
DIAMONDS THREE DIAMONDS EIGHT,0.605,0.0132,0.3818
SPADES EIGHT CLUBS TWO,0.6344,0.0122,0.3534
DIAMONDS THREE DIAMONDS NINE,0.5842,0.0134,0.4024
SPADES NINE CLUBS TWO,0.6278,0.0118,0.3604
DIAMONDS THREE DIAMONDS SIX,0.5964,0.0132,0.3904
SPADES SIX CLUBS TWO,0.6264,0.016,0.3576
DIAMONDS THREE DIAMONDS SEVEN,0.5902,0.0112,0.3986
SPADES SEVEN CLUBS TWO,0.6542,0.0136,0.3322
CLUBS SIX CLUBS TWO,0.5938,0.016,0.3902
CLUBS SEVEN CLUBS TWO,0.5978,0.012,0.3902
CLUBS FOUR CLUBS TWO,0.6218,0.0132,0.365
CLUBS TEN CLUBS JACK,0.4974,0.0108,0.4918
DIAMONDS FOUR DIAMONDS SIX,0.5694,0.013,0.4176
CLUBS TEN CLUBS QUEEN,0.2258,0.1136,0.6606
DIAMONDS FOUR DIAMONDS SEVEN,0.578,0.0156,0.4064
CLUBS TEN CLUBS KING,0.3174,0.0086,0.674
CLUBS TEN CLUBS ACE,0.3274,0.0052,0.6674
CLUBS EIGHT CLUBS TWO,0.6046,0.0122,0.3832
