opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR CLUBS ACE
HEARTS FIVE SPADES TEN,0.6366,0.0058,0.3576
SPADES JACK HEARTS FIVE,0.652,0.0028,0.3452
SPADES FIVE CLUBS JACK,0.6456,0.0052,0.3492
CLUBS TEN SPADES FIVE,0.6386,0.0058,0.3556
CLUBS EIGHT CLUBS JACK,0.598,0.005,0.397
CLUBS TEN CLUBS EIGHT,0.5856,0.0054,0.409
CLUBS EIGHT CLUBS KING,0.6096,0.006,0.3844
CLUBS EIGHT CLUBS QUEEN,0.5994,0.0056,0.395
SPADES FIVE CLUBS KING,0.6324,0.0036,0.364
SPADES FIVE CLUBS QUEEN,0.6456,0.0048,0.3496
DIAMONDS TWO DIAMONDS THREE,0.6468,0.0044,0.3488
DIAMONDS TWO DIAMONDS FIVE,0.625,0.005,0.37
SPADES KING HEARTS FIVE,0.6374,0.0028,0.3598
DIAMONDS TWO DIAMONDS FOUR,0.7116,0.0202,0.2682
SPADES QUEEN HEARTS FIVE,0.6428,0.004,0.3532
DIAMONDS TWO DIAMONDS SEVEN,0.62,0.004,0.376
DIAMONDS TWO DIAMONDS SIX,0.632,0.005,0.363
SPADES ACE HEARTS FIVE,0.2574,0.4282,0.3144
DIAMONDS TWO DIAMONDS NINE,0.6312,0.004,0.3648
DIAMONDS TWO DIAMONDS EIGHT,0.6304,0.006,0.3636
DIAMONDS THREE DIAMONDS FOUR,0.691,0.0222,0.2868
CLUBS TWO SPADES FOUR,0.7534,0.0244,0.2222
DIAMONDS THREE DIAMONDS FIVE,0.6118,0.0048,0.3834
CLUBS TWO SPADES FIVE,0.6442,0.0068,0.349
CLUBS TWO SPADES TWO,0.4938,0.0062,0.5
CLUBS TWO SPADES THREE,0.6778,0.0048,0.3174
DIAMONDS THREE DIAMONDS EIGHT,0.6374,0.0062,0.3564
SPADES EIGHT CLUBS TWO,0.6708,0.0058,0.3234
DIAMONDS THREE DIAMONDS NINE,0.6404,0.005,0.3546
SPADES NINE CLUBS TWO,0.6716,0.0036,0.3248
DIAMONDS THREE DIAMONDS SIX,0.6124,0.0044,0.3832
CLUBS TWO SPADES SIX,0.675,0.0062,0.3188
DIAMONDS THREE DIAMONDS SEVEN,0.6194,0.0046,0.376
CLUBS TWO SPADES SEVEN,0.677,0.0058,0.3172
CLUBS SIX CLUBS TWO,0.6752,0.0052,0.3196
CLUBS SEVEN CLUBS TWO,0.6792,0.0064,0.3144
CLUBS FIVE CLUBS TWO,0.6604,0.0078,0.3318
CLUBS TEN CLUBS JACK,0.5556,0.0066,0.4378
DIAMONDS FOUR DIAMONDS SIX,0.7014,0.0178,0.2808
CLUBS TEN CLUBS QUEEN,0.5744,0.0056,0.42
DIAMONDS FOUR DIAMONDS SEVEN,0.6966,0.0194,0.284
CLUBS TEN CLUBS KING,0.5806,0.0056,0.4138
CLUBS EIGHT CLUBS TWO,0.6642,0.0054,0.3304
DIAMONDS FIVE DIAMONDS FOUR,0.6756,0.0182,0.3062
CLUBS NINE CLUBS TWO,0.65,0.0056,0.3444
DIAMONDS NINE DIAMONDS FOUR,0.7164,0.0176,0.266
DIAMONDS EIGHT DIAMONDS FOUR,0.7054,0.0176,0.277
CLUBS TWO CLUBS THREE,0.6854,0.007,0.3076
DIAMONDS NINE DIAMONDS FIVE,0.5848,0.0038,0.4114
DIAMONDS TWO CLUBS JACK,0.6558,0.0054,0.3388
DIAMONDS EIGHT DIAMONDS FIVE,0.591,0.0056,0.4034
CLUBS TEN DIAMONDS TWO,0.664,0.0064,0.3296
DIAMONDS FIVE DIAMONDS SEVEN,0.5808,0.0042,0.415
DIAMONDS FIVE DIAMONDS SIX,0.5826,0.0056,0.4118
DIAMONDS TWO CLUBS KING,0.6646,0.0058,0.3296
DIAMONDS TWO CLUBS QUEEN,0.6592,0.0068,0.334
DIAMONDS EIGHT DIAMONDS SIX,0.566,0.0044,0.4296
DIAMONDS NINE DIAMONDS SIX,0.5792,0.0052,0.4156
HEARTS ACE SPADES THREE,0.305,0.4814,0.2136
HEARTS KING SPADES THREE,0.6696,0.0046,0.3258
DIAMONDS SEVEN DIAMONDS SIX,0.5628,0.0056,0.4316
SPADES THREE HEARTS QUEEN,0.6712,0.0056,0.3232
HEARTS JACK SPADES THREE,0.6518,0.006,0.3422
SPADES THREE HEARTS TEN,0.6626,0.0034,0.334
DIAMONDS EIGHT DIAMONDS SEVEN,0.56,0.0042,0.4358
DIAMONDS NINE DIAMONDS SEVEN,0.557,0.0048,0.4382
DIAMONDS NINE DIAMONDS EIGHT,0.5476,0.0044,0.448
DIAMONDS KING HEARTS TEN,0.5926,0.0034,0.404
HEARTS THREE HEARTS TEN,0.627,0.0054,0.3676
SPADES JACK CLUBS SIX,0.622,0.0068,0.3712
DIAMONDS KING HEARTS JACK,0.5916,0.0046,0.4038
HEARTS THREE HEARTS JACK,0.6286,0.0036,0.3678
SPADES TEN CLUBS SIX,0.6134,0.006,0.3806
SPADES JACK SPADES FIVE,0.593,0.0054,0.4016
SPADES TEN SPADES FIVE,0.5928,0.0054,0.4018
DIAMONDS KING HEARTS ACE,0.2978,0.0502,0.652
HEARTS THREE HEARTS ACE,0.289,0.4624,0.2486
SPADES ACE CLUBS SIX,0.2786,0.3568,0.3646
DIAMONDS KING HEARTS QUEEN,0.6036,0.005,0.3914
HEARTS THREE HEARTS QUEEN,0.6352,0.0038,0.361
SPADES KING CLUBS SIX,0.6306,0.0038,0.3656
DIAMONDS KING HEARTS KING,0.3376,0.0032,0.6592
HEARTS THREE HEARTS KING,0.6282,0.0068,0.365
SPADES QUEEN CLUBS SIX,0.6272,0.0048,0.368
SPADES NINE HEARTS TEN,0.5834,0.0044,0.4122
SPADES NINE HEARTS JACK,0.599,0.0044,0.3966
SPADES QUEEN SPADES FIVE,0.6048,0.0056,0.3896
SPADES KING SPADES FIVE,0.6076,0.0058,0.3866
SPADES ACE SPADES FIVE,0.248,0.4042,0.3478
SPADES NINE HEARTS QUEEN,0.6052,0.0026,0.3922
SPADES NINE HEARTS KING,0.6152,0.0036,0.3812
SPADES NINE HEARTS ACE,0.2806,0.1662,0.5532
CLUBS TEN SPADES JACK,0.5644,0.005,0.4306
CLUBS TEN SPADES TEN,0.3758,0.004,0.6202
SPADES ACE CLUBS TEN,0.2932,0.118,0.5888
SPADES KING CLUBS TEN,0.5876,0.0062,0.4062
CLUBS TEN SPADES QUEEN,0.5796,0.0062,0.4142
SPADES FIVE HEARTS QUEEN,0.6454,0.0038,0.3508
HEARTS KING SPADES FIVE,0.6348,0.0054,0.3598
SPADES FIVE HEARTS ACE,0.2608,0.4324,0.3068
CLUBS EIGHT SPADES TEN,0.5862,0.0048,0.409
HEARTS THREE SPADES JACK,0.6636,0.0054,0.331
SPADES JACK DIAMONDS KING,0.606,0.0048,0.3892
SPADES TEN DIAMONDS KING,0.597,0.0042,0.3988
HEARTS THREE SPADES TEN,0.6564,0.005,0.3386
SPADES JACK CLUBS EIGHT,0.6028,0.0044,0.3928
CLUBS SIX HEARTS ACE,0.2822,0.3576,0.3602
SPADES ACE CLUBS EIGHT,0.2824,0.2266,0.491
HEARTS FIVE CLUBS JACK,0.6202,0.0062,0.3736
CLUBS TEN HEARTS FIVE,0.6376,0.0054,0.357
CLUBS SIX HEARTS QUEEN,0.6178,0.0058,0.3764
SPADES QUEEN CLUBS EIGHT,0.6124,0.0062,0.3814
CLUBS TEN SPADES THREE,0.6648,0.0052,0.33
CLUBS SIX HEARTS KING,0.6196,0.004,0.3764
SPADES KING CLUBS EIGHT,0.6224,0.006,0.3716
SPADES THREE CLUBS JACK,0.6522,0.0048,0.343
DIAMONDS TWO HEARTS JACK,0.6614,0.0044,0.3342
SPADES THREE CLUBS QUEEN,0.6554,0.0062,0.3384
DIAMONDS TWO HEARTS TEN,0.6686,0.004,0.3274
SPADES THREE CLUBS KING,0.6748,0.0082,0.317
SPADES FIVE HEARTS TEN,0.6308,0.005,0.3642
HEARTS FIVE CLUBS KING,0.6334,0.006,0.3606
SPADES FIVE HEARTS JACK,0.6498,0.0044,0.3458
HEARTS FIVE CLUBS QUEEN,0.6294,0.0066,0.364
HEARTS THREE CLUBS KING,0.6722,0.006,0.3218
DIAMONDS KING CLUBS KING,0.324,0.004,0.672
HEARTS THREE CLUBS QUEEN,0.6642,0.007,0.3288
DIAMONDS KING CLUBS QUEEN,0.5946,0.005,0.4004
HEARTS FIVE HEARTS JACK,0.5982,0.005,0.3968
HEARTS FIVE HEARTS TEN,0.5958,0.0058,0.3984
SPADES ACE CLUBS QUEEN,0.2848,0.0618,0.6534
SPADES KING CLUBS QUEEN,0.61,0.0058,0.3842
HEARTS THREE CLUBS JACK,0.6778,0.006,0.3162
DIAMONDS KING CLUBS JACK,0.6076,0.0032,0.3892
SPADES QUEEN CLUBS QUEEN,0.3404,0.0046,0.655
CLUBS TEN HEARTS THREE,0.6756,0.004,0.3204
CLUBS TEN DIAMONDS KING,0.594,0.005,0.401
SPADES JACK CLUBS QUEEN,0.5788,0.0062,0.415
CLUBS SIX CLUBS QUEEN,0.6208,0.007,0.3722
SPADES TEN CLUBS QUEEN,0.5738,0.0054,0.4208
CLUBS SIX CLUBS KING,0.6202,0.0058,0.374
HEARTS FIVE HEARTS KING,0.5962,0.0066,0.3972
HEARTS FIVE HEARTS QUEEN,0.592,0.0056,0.4024
CLUBS TEN CLUBS SIX,0.6152,0.0044,0.3804
HEARTS FIVE HEARTS ACE,0.249,0.4202,0.3308
CLUBS SIX CLUBS JACK,0.6168,0.0068,0.3764
SPADES SEVEN HEARTS JACK,0.6274,0.004,0.3686
SPADES SEVEN HEARTS TEN,0.6082,0.0032,0.3886
DIAMONDS TWO CLUBS TWO,0.505,0.01,0.485
DIAMONDS TWO CLUBS THREE,0.6932,0.0062,0.3006
HEARTS SIX DIAMONDS TWO,0.6686,0.0062,0.3252
DIAMONDS TWO HEARTS QUEEN,0.6668,0.0052,0.328
DIAMONDS TWO HEARTS SEVEN,0.6776,0.0038,0.3186
DIAMONDS TWO HEARTS KING,0.6702,0.0054,0.3244
DIAMONDS TWO HEARTS EIGHT,0.666,0.0034,0.3306
DIAMONDS TWO HEARTS ACE,0.3202,0.481,0.1988
DIAMONDS TWO HEARTS NINE,0.667,0.0048,0.3282
DIAMONDS TWO DIAMONDS QUEEN,0.6128,0.0044,0.3828
DIAMONDS TWO HEARTS TWO,0.4966,0.0068,0.4966
DIAMONDS TWO DIAMONDS KING,0.6386,0.0052,0.3562
HEARTS THREE DIAMONDS TWO,0.6828,0.0056,0.3116
