opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR CLUBS TWO
HEARTS FIVE SPADES TEN,0.373,0.0274,0.5996
SPADES JACK HEARTS FIVE,0.3926,0.019,0.5884
CLUBS JACK SPADES FIVE,0.3726,0.0204,0.607
CLUBS TEN SPADES FIVE,0.371,0.0302,0.5988
CLUBS JACK CLUBS EIGHT,0.3274,0.0194,0.6532
CLUBS TEN CLUBS EIGHT,0.3218,0.0246,0.6536
CLUBS EIGHT CLUBS KING,0.3298,0.0088,0.6614
SPADES FIVE CLUBS ACE,0.3472,0.0042,0.6486
CLUBS EIGHT CLUBS QUEEN,0.33,0.012,0.658
SPADES FIVE CLUBS KING,0.3546,0.0112,0.6342
SPADES FIVE CLUBS QUEEN,0.3744,0.0156,0.61
CLUBS EIGHT CLUBS ACE,0.3352,0.0042,0.6606
DIAMONDS TWO DIAMONDS THREE,0.302,0.4452,0.2528
DIAMONDS TWO DIAMONDS FIVE,0.2424,0.3442,0.4134
SPADES KING HEARTS FIVE,0.3914,0.0104,0.5982
DIAMONDS TWO DIAMONDS FOUR,0.065,0.8598,0.0752
SPADES QUEEN HEARTS FIVE,0.3826,0.0132,0.6042
DIAMONDS TWO DIAMONDS SEVEN,0.278,0.1848,0.5372
DIAMONDS TWO DIAMONDS SIX,0.2754,0.2486,0.476
SPADES ACE HEARTS FIVE,0.376,0.0056,0.6184
DIAMONDS TWO DIAMONDS NINE,0.2918,0.0972,0.611
DIAMONDS TWO DIAMONDS EIGHT,0.2816,0.1284,0.59
DIAMONDS THREE DIAMONDS FOUR,0.261,0.4406,0.2984
DIAMONDS THREE DIAMONDS FIVE,0.3506,0.2228,0.4266
DIAMONDS THREE DIAMONDS EIGHT,0.3944,0.0656,0.54
DIAMONDS THREE DIAMONDS NINE,0.3922,0.0432,0.5646
DIAMONDS THREE DIAMONDS SIX,0.356,0.1432,0.5008
DIAMONDS THREE DIAMONDS SEVEN,0.379,0.0924,0.5286
CLUBS TEN CLUBS JACK,0.315,0.0162,0.6688
DIAMONDS FOUR DIAMONDS SIX,0.265,0.2428,0.4922
CLUBS TEN CLUBS QUEEN,0.3252,0.0148,0.66
DIAMONDS FOUR DIAMONDS SEVEN,0.272,0.1888,0.5392
CLUBS TEN CLUBS KING,0.3206,0.011,0.6684
CLUBS TEN CLUBS ACE,0.3202,0.0068,0.673
DIAMONDS FIVE DIAMONDS FOUR,0.2506,0.3132,0.4362
DIAMONDS NINE DIAMONDS FOUR,0.2864,0.0936,0.62
DIAMONDS EIGHT DIAMONDS FOUR,0.2814,0.1292,0.5894
DIAMONDS NINE DIAMONDS FIVE,0.3484,0.045,0.6066
CLUBS JACK DIAMONDS TWO,0.2908,0.0542,0.655
DIAMONDS EIGHT DIAMONDS FIVE,0.3562,0.0556,0.5882
CLUBS TEN DIAMONDS TWO,0.2884,0.0716,0.64
DIAMONDS FIVE DIAMONDS SEVEN,0.3422,0.0892,0.5686
DIAMONDS FIVE DIAMONDS SIX,0.333,0.1326,0.5344
DIAMONDS TWO CLUBS ACE,0.2658,0.015,0.7192
DIAMONDS TWO CLUBS KING,0.2834,0.0274,0.6892
