opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.3564,0.0244,0.6192
HEARTS FIVE SPADES JACK,0.3506,0.0192,0.6302
CLUBS JACK SPADES FIVE,0.3482,0.0184,0.6334
CLUBS TEN SPADES FIVE,0.3634,0.0274,0.6092
CLUBS JACK CLUBS EIGHT,0.309,0.017,0.674
CLUBS TEN CLUBS EIGHT,0.3178,0.0246,0.6576
CLUBS EIGHT CLUBS KING,0.344,0.0082,0.6478
SPADES FIVE CLUBS ACE,0.343,0.0028,0.6542
CLUBS EIGHT CLUBS QUEEN,0.3312,0.0116,0.6572
SPADES FIVE CLUBS KING,0.3382,0.009,0.6528
SPADES FIVE CLUBS QUEEN,0.3462,0.0144,0.6394
CLUBS EIGHT CLUBS ACE,0.3328,0.0066,0.6606
DIAMONDS TWO DIAMONDS THREE,0.583,0.0456,0.3714
DIAMONDS TWO DIAMONDS FIVE,0.557,0.0442,0.3988
HEARTS FIVE SPADES KING,0.3528,0.0062,0.641
DIAMONDS TWO DIAMONDS FOUR,0.6126,0.1064,0.281
HEARTS FIVE SPADES QUEEN,0.3616,0.0134,0.625
DIAMONDS TWO DIAMONDS SEVEN,0.5756,0.0476,0.3768
DIAMONDS TWO DIAMONDS SIX,0.5744,0.044,0.3816
SPADES ACE HEARTS FIVE,0.3422,0.0032,0.6546
DIAMONDS TWO DIAMONDS EIGHT,0.5614,0.0428,0.3958
DIAMONDS THREE DIAMONDS FOUR,0.6032,0.1072,0.2896
CLUBS TWO SPADES FOUR,0.6558,0.112,0.2322
DIAMONDS THREE DIAMONDS FIVE,0.5524,0.0416,0.406
SPADES FIVE CLUBS TWO,0.5836,0.0438,0.3726
CLUBS TWO SPADES TWO,0.3908,0.0764,0.5328
CLUBS TWO SPADES THREE,0.6066,0.0472,0.3462
DIAMONDS THREE DIAMONDS EIGHT,0.5792,0.044,0.3768
SPADES EIGHT CLUBS TWO,0.6102,0.0386,0.3512
SPADES NINE CLUBS TWO,0.2694,0.5356,0.195
DIAMONDS THREE DIAMONDS SIX,0.5628,0.035,0.4022
SPADES SIX CLUBS TWO,0.6,0.045,0.355
DIAMONDS THREE DIAMONDS SEVEN,0.5756,0.0428,0.3816
SPADES SEVEN CLUBS TWO,0.6,0.0422,0.3578
CLUBS SIX CLUBS TWO,0.5524,0.0422,0.4054
CLUBS SEVEN CLUBS TWO,0.574,0.0416,0.3844
CLUBS FIVE CLUBS TWO,0.5392,0.0398,0.421
CLUBS TEN CLUBS JACK,0.288,0.0146,0.6974
DIAMONDS FOUR DIAMONDS SIX,0.6002,0.093,0.3068
CLUBS TEN CLUBS QUEEN,0.2972,0.008,0.6948
DIAMONDS FOUR DIAMONDS SEVEN,0.595,0.1026,0.3024
CLUBS TEN CLUBS KING,0.2876,0.0078,0.7046
CLUBS TEN CLUBS ACE,0.2948,0.004,0.7012
CLUBS EIGHT CLUBS TWO,0.5764,0.0336,0.39
DIAMONDS FIVE DIAMONDS FOUR,0.5786,0.1056,0.3158
CLUBS NINE CLUBS TWO,0.2486,0.503,0.2484
DIAMONDS EIGHT DIAMONDS FOUR,0.6144,0.0976,0.288
CLUBS THREE CLUBS TWO,0.5706,0.0494,0.38
CLUBS JACK DIAMONDS TWO,0.3914,0.022,0.5866
DIAMONDS EIGHT DIAMONDS FIVE,0.5268,0.0412,0.432
CLUBS TEN DIAMONDS TWO,0.3918,0.028,0.5802
DIAMONDS FIVE DIAMONDS SEVEN,0.512,0.0448,0.4432
DIAMONDS FIVE DIAMONDS SIX,0.503,0.0468,0.4502
DIAMONDS TWO CLUBS ACE,0.3794,0.0062,0.6144
DIAMONDS TWO CLUBS KING,0.3882,0.0082,0.6036
DIAMONDS TWO CLUBS QUEEN,0.3922,0.0132,0.5946
DIAMONDS EIGHT DIAMONDS SIX,0.5166,0.0384,0.445
HEARTS ACE SPADES THREE,0.3648,0.0038,0.6314
SPADES THREE HEARTS KING,0.3866,0.0088,0.6046
DIAMONDS SEVEN DIAMONDS SIX,0.505,0.0388,0.4562
HEARTS QUEEN SPADES THREE,0.3806,0.0114,0.608
SPADES THREE HEARTS JACK,0.3942,0.0162,0.5896
SPADES THREE HEARTS TEN,0.3844,0.0298,0.5858
DIAMONDS EIGHT DIAMONDS SEVEN,0.4978,0.0426,0.4596
DIAMONDS KING HEARTS TEN,0.304,0.0064,0.6896
HEARTS THREE HEARTS TEN,0.3592,0.0286,0.6122
SPADES JACK CLUBS SIX,0.3576,0.0192,0.6232
DIAMONDS KING HEARTS JACK,0.324,0.0086,0.6674
HEARTS THREE HEARTS JACK,0.3728,0.0158,0.6114
SPADES TEN CLUBS SIX,0.365,0.0252,0.6098
SPADES JACK SPADES FIVE,0.3202,0.0222,0.6576
SPADES TEN SPADES FIVE,0.3174,0.023,0.6596
DIAMONDS KING HEARTS ACE,0.3236,0.005,0.6714
HEARTS THREE HEARTS ACE,0.3514,0.0054,0.6432
SPADES ACE CLUBS SIX,0.3542,0.0032,0.6426
DIAMONDS KING HEARTS QUEEN,0.3176,0.007,0.6754
HEARTS THREE HEARTS QUEEN,0.3704,0.0112,0.6184
SPADES KING CLUBS SIX,0.3532,0.007,0.6398
