opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR HEARTS NINE
HEARTS FIVE SPADES TEN,0.3558,0.0254,0.6188
SPADES JACK HEARTS FIVE,0.3496,0.0176,0.6328
CLUBS JACK SPADES FIVE,0.3468,0.0182,0.635
CLUBS TEN SPADES FIVE,0.3458,0.0292,0.625
CLUBS JACK CLUBS EIGHT,0.3168,0.0172,0.666
CLUBS TEN CLUBS EIGHT,0.3174,0.0288,0.6538
CLUBS EIGHT CLUBS KING,0.343,0.0068,0.6502
SPADES FIVE CLUBS ACE,0.3376,0.0064,0.656
CLUBS EIGHT CLUBS QUEEN,0.3368,0.0114,0.6518
SPADES FIVE CLUBS KING,0.3366,0.0104,0.653
SPADES FIVE CLUBS QUEEN,0.358,0.0096,0.6324
CLUBS EIGHT CLUBS ACE,0.3264,0.0044,0.6692
DIAMONDS TWO DIAMONDS THREE,0.5626,0.044,0.3934
DIAMONDS TWO DIAMONDS FIVE,0.55,0.0478,0.4022
SPADES KING HEARTS FIVE,0.354,0.0078,0.6382
DIAMONDS TWO DIAMONDS FOUR,0.5822,0.1066,0.3112
SPADES QUEEN HEARTS FIVE,0.353,0.0126,0.6344
DIAMONDS TWO DIAMONDS SEVEN,0.5702,0.0404,0.3894
DIAMONDS TWO DIAMONDS SIX,0.5644,0.0424,0.3932
SPADES ACE HEARTS FIVE,0.3506,0.0048,0.6446
DIAMONDS TWO DIAMONDS NINE,0.2432,0.4882,0.2686
DIAMONDS TWO DIAMONDS EIGHT,0.5736,0.042,0.3844
DIAMONDS THREE DIAMONDS FOUR,0.5848,0.103,0.3122
CLUBS TWO SPADES FOUR,0.6392,0.1132,0.2476
DIAMONDS THREE DIAMONDS FIVE,0.533,0.0436,0.4234
SPADES FIVE CLUBS TWO,0.6002,0.0448,0.355
CLUBS TWO SPADES TWO,0.3838,0.0888,0.5274
CLUBS TWO SPADES THREE,0.614,0.0488,0.3372
DIAMONDS THREE DIAMONDS EIGHT,0.5616,0.037,0.4014
SPADES EIGHT CLUBS TWO,0.5996,0.0452,0.3552
DIAMONDS THREE DIAMONDS NINE,0.2528,0.4808,0.2664
SPADES NINE CLUBS TWO,0.2576,0.531,0.2114
DIAMONDS THREE DIAMONDS SIX,0.5498,0.0412,0.409
SPADES SIX CLUBS TWO,0.6084,0.0454,0.3462
DIAMONDS THREE DIAMONDS SEVEN,0.548,0.0404,0.4116
SPADES SEVEN CLUBS TWO,0.6036,0.0484,0.348
CLUBS SIX CLUBS TWO,0.5646,0.046,0.3894
CLUBS SEVEN CLUBS TWO,0.5746,0.0482,0.3772
CLUBS FIVE CLUBS TWO,0.55,0.0468,0.4032
CLUBS TEN CLUBS JACK,0.282,0.0122,0.7058
DIAMONDS FOUR DIAMONDS SIX,0.6036,0.0908,0.3056
CLUBS TEN CLUBS QUEEN,0.2956,0.0088,0.6956
DIAMONDS FOUR DIAMONDS SEVEN,0.5874,0.1048,0.3078
CLUBS TEN CLUBS KING,0.2946,0.0088,0.6966
CLUBS TEN CLUBS ACE,0.3032,0.0062,0.6906
CLUBS EIGHT CLUBS TWO,0.57,0.039,0.391
DIAMONDS FIVE DIAMONDS FOUR,0.5546,0.1056,0.3398
CLUBS NINE CLUBS TWO,0.2638,0.4934,0.2428
DIAMONDS NINE DIAMONDS FOUR,0.022,0.9058,0.0722
DIAMONDS EIGHT DIAMONDS FOUR,0.5952,0.1098,0.295
CLUBS THREE CLUBS TWO,0.5828,0.0496,0.3676
DIAMONDS NINE DIAMONDS FIVE,0.2118,0.4098,0.3784
CLUBS JACK DIAMONDS TWO,0.3982,0.02,0.5818
DIAMONDS EIGHT DIAMONDS FIVE,0.5152,0.0438,0.441
CLUBS TEN DIAMONDS TWO,0.3948,0.0314,0.5738
DIAMONDS FIVE DIAMONDS SEVEN,0.5186,0.0434,0.438
DIAMONDS FIVE DIAMONDS SIX,0.506,0.0432,0.4508
DIAMONDS TWO CLUBS ACE,0.3688,0.0062,0.625
DIAMONDS TWO CLUBS KING,0.382,0.0088,0.6092
DIAMONDS TWO CLUBS QUEEN,0.3938,0.0142,0.592
DIAMONDS EIGHT DIAMONDS SIX,0.4974,0.0398,0.4628
DIAMONDS NINE DIAMONDS SIX,0.2018,0.347,0.4512
HEARTS ACE SPADES THREE,0.3752,0.0046,0.6202
SPADES THREE HEARTS KING,0.3866,0.011,0.6024
DIAMONDS SEVEN DIAMONDS SIX,0.4912,0.0434,0.4654
