opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR HEARTS THREE
HEARTS FIVE SPADES TEN,0.3632,0.0274,0.6094
HEARTS FIVE SPADES JACK,0.3568,0.0208,0.6224
CLUBS JACK SPADES FIVE,0.3642,0.0188,0.617
CLUBS TEN SPADES FIVE,0.3446,0.028,0.6274
CLUBS JACK CLUBS EIGHT,0.3242,0.0212,0.6546
CLUBS TEN CLUBS EIGHT,0.3388,0.029,0.6322
CLUBS EIGHT CLUBS KING,0.3368,0.0078,0.6554
SPADES FIVE CLUBS ACE,0.3324,0.0054,0.6622
CLUBS EIGHT CLUBS QUEEN,0.3322,0.0144,0.6534
SPADES FIVE CLUBS KING,0.3486,0.0098,0.6416
SPADES FIVE CLUBS QUEEN,0.3454,0.0164,0.6382
CLUBS EIGHT CLUBS ACE,0.3356,0.0044,0.66
DIAMONDS TWO DIAMONDS THREE,0.2758,0.4674,0.2568
DIAMONDS TWO DIAMONDS FIVE,0.3482,0.2384,0.4134
HEARTS FIVE SPADES KING,0.3548,0.0102,0.635
DIAMONDS TWO DIAMONDS FOUR,0.2644,0.4706,0.265
HEARTS FIVE SPADES QUEEN,0.3516,0.0114,0.637
DIAMONDS TWO DIAMONDS SEVEN,0.374,0.1012,0.5248
DIAMONDS TWO DIAMONDS SIX,0.3736,0.1504,0.476
SPADES ACE HEARTS FIVE,0.3324,0.0038,0.6638
DIAMONDS TWO DIAMONDS NINE,0.3914,0.042,0.5666
DIAMONDS TWO DIAMONDS EIGHT,0.3852,0.0594,0.5554
DIAMONDS THREE DIAMONDS FOUR,0.0202,0.91,0.0698
CLUBS TWO SPADES FOUR,0.2694,0.5146,0.216
DIAMONDS THREE DIAMONDS FIVE,0.2094,0.3378,0.4528
SPADES FIVE CLUBS TWO,0.39,0.2484,0.3616
CLUBS TWO SPADES TWO,0.3208,0.1686,0.5106
CLUBS TWO SPADES THREE,0.2928,0.4962,0.211
DIAMONDS THREE DIAMONDS EIGHT,0.253,0.1466,0.6004
SPADES EIGHT CLUBS TWO,0.413,0.0706,0.5164
DIAMONDS THREE DIAMONDS NINE,0.2414,0.1086,0.65
SPADES NINE CLUBS TWO,0.416,0.0524,0.5316
DIAMONDS THREE DIAMONDS SIX,0.242,0.258,0.5
SPADES SIX CLUBS TWO,0.401,0.1578,0.4412
DIAMONDS THREE DIAMONDS SEVEN,0.242,0.2038,0.5542
SPADES SEVEN CLUBS TWO,0.4048,0.113,0.4822
CLUBS SIX CLUBS TWO,0.3764,0.161,0.4626
CLUBS SEVEN CLUBS TWO,0.3882,0.0998,0.512
CLUBS FIVE CLUBS TWO,0.3594,0.244,0.3966
CLUBS TEN CLUBS JACK,0.3332,0.0144,0.6524
DIAMONDS FOUR DIAMONDS SIX,0.236,0.2592,0.5048
CLUBS TEN CLUBS QUEEN,0.3426,0.0126,0.6448
DIAMONDS FOUR DIAMONDS SEVEN,0.2494,0.1964,0.5542
CLUBS TEN CLUBS KING,0.3436,0.0098,0.6466
CLUBS TEN CLUBS ACE,0.3356,0.0056,0.6588
CLUBS EIGHT CLUBS TWO,0.3928,0.0666,0.5406
DIAMONDS FIVE DIAMONDS FOUR,0.2114,0.3386,0.45
CLUBS NINE CLUBS TWO,0.3958,0.0424,0.5618
DIAMONDS NINE DIAMONDS FOUR,0.2538,0.1092,0.637
DIAMONDS EIGHT DIAMONDS FOUR,0.2442,0.1374,0.6184
CLUBS THREE CLUBS TWO,0.279,0.4846,0.2364
DIAMONDS NINE DIAMONDS FIVE,0.3342,0.042,0.6238
CLUBS JACK DIAMONDS TWO,0.4052,0.024,0.5708
DIAMONDS EIGHT DIAMONDS FIVE,0.3168,0.0624,0.6208
CLUBS TEN DIAMONDS TWO,0.409,0.0324,0.5586
DIAMONDS FIVE DIAMONDS SEVEN,0.3056,0.1,0.5944
DIAMONDS FIVE DIAMONDS SIX,0.3002,0.144,0.5558
DIAMONDS TWO CLUBS ACE,0.4098,0.006,0.5842
DIAMONDS TWO CLUBS KING,0.4064,0.0074,0.5862
DIAMONDS TWO CLUBS QUEEN,0.4192,0.0164,0.5644
DIAMONDS EIGHT DIAMONDS SIX,0.328,0.0614,0.6106
DIAMONDS NINE DIAMONDS SIX,0.3356,0.0412,0.6232
HEARTS ACE SPADES THREE,0.2528,0.0168,0.7304
SPADES THREE HEARTS KING,0.2804,0.029,0.6906
DIAMONDS SEVEN DIAMONDS SIX,0.311,0.095,0.594
HEARTS QUEEN SPADES THREE,0.2656,0.0374,0.697
SPADES THREE HEARTS JACK,0.2708,0.0598,0.6694
SPADES THREE HEARTS TEN,0.2612,0.0868,0.652
DIAMONDS EIGHT DIAMONDS SEVEN,0.315,0.0596,0.6254
DIAMONDS NINE DIAMONDS SEVEN,0.3332,0.036,0.6308
DIAMONDS NINE DIAMONDS EIGHT,0.3086,0.0326,0.6588
DIAMONDS KING HEARTS TEN,0.3462,0.0096,0.6442
SPADES JACK CLUBS SIX,0.3656,0.0202,0.6142
DIAMONDS KING HEARTS JACK,0.3566,0.0078,0.6356
SPADES TEN CLUBS SIX,0.3436,0.0346,0.6218
SPADES JACK SPADES FIVE,0.341,0.0198,0.6392
SPADES TEN SPADES FIVE,0.344,0.0286,0.6274
DIAMONDS KING HEARTS ACE,0.3502,0.0064,0.6434
SPADES ACE CLUBS SIX,0.361,0.0042,0.6348
DIAMONDS KING HEARTS QUEEN,0.3492,0.0058,0.645
