opposingHand,winningChance,drawChance,lostChance
CLUBS FOUR SPADES THREE
HEARTS FIVE SPADES TEN,0.356,0.0306,0.6134
SPADES JACK HEARTS FIVE,0.3494,0.0236,0.627
SPADES FIVE CLUBS JACK,0.3612,0.0194,0.6194
CLUBS TEN SPADES FIVE,0.364,0.0338,0.6022
CLUBS EIGHT CLUBS JACK,0.3372,0.0196,0.6432
CLUBS TEN CLUBS EIGHT,0.328,0.026,0.646
CLUBS EIGHT CLUBS KING,0.3376,0.0066,0.6558
SPADES FIVE CLUBS ACE,0.3272,0.0064,0.6664
CLUBS EIGHT CLUBS QUEEN,0.3396,0.0132,0.6472
SPADES FIVE CLUBS KING,0.3418,0.0122,0.646
SPADES FIVE CLUBS QUEEN,0.3496,0.0176,0.6328
CLUBS EIGHT CLUBS ACE,0.3312,0.0064,0.6624
DIAMONDS TWO DIAMONDS THREE,0.2766,0.4742,0.2492
DIAMONDS TWO DIAMONDS FIVE,0.3632,0.2372,0.3996
SPADES KING HEARTS FIVE,0.356,0.0088,0.6352
DIAMONDS TWO DIAMONDS FOUR,0.2512,0.4858,0.263
SPADES QUEEN HEARTS FIVE,0.3684,0.0134,0.6182
DIAMONDS TWO DIAMONDS SEVEN,0.3854,0.0968,0.5178
DIAMONDS TWO DIAMONDS SIX,0.371,0.1476,0.4814
SPADES ACE HEARTS FIVE,0.3394,0.0056,0.655
DIAMONDS TWO DIAMONDS NINE,0.3866,0.0418,0.5716
DIAMONDS TWO DIAMONDS EIGHT,0.3798,0.0692,0.551
DIAMONDS THREE DIAMONDS FOUR,0.0212,0.9044,0.0744
CLUBS TWO SPADES FOUR,0.2654,0.5256,0.209
DIAMONDS THREE DIAMONDS FIVE,0.2132,0.3606,0.4262
CLUBS TWO SPADES FIVE,0.389,0.2556,0.3554
CLUBS TWO SPADES TWO,0.3278,0.161,0.5112
DIAMONDS THREE DIAMONDS EIGHT,0.2644,0.1336,0.602
SPADES EIGHT CLUBS TWO,0.4118,0.0694,0.5188
DIAMONDS THREE DIAMONDS NINE,0.2674,0.0918,0.6408
SPADES NINE CLUBS TWO,0.3954,0.0464,0.5582
DIAMONDS THREE DIAMONDS SIX,0.2388,0.266,0.4952
CLUBS TWO SPADES SIX,0.4036,0.1586,0.4378
DIAMONDS THREE DIAMONDS SEVEN,0.2452,0.1926,0.5622
CLUBS TWO SPADES SEVEN,0.4124,0.1056,0.482
CLUBS SIX CLUBS TWO,0.3938,0.1586,0.4476
CLUBS SEVEN CLUBS TWO,0.3914,0.1032,0.5054
CLUBS FIVE CLUBS TWO,0.3526,0.2414,0.406
CLUBS TEN CLUBS JACK,0.3298,0.0138,0.6564
DIAMONDS FOUR DIAMONDS SIX,0.2214,0.2634,0.5152
CLUBS TEN CLUBS QUEEN,0.3392,0.0132,0.6476
DIAMONDS FOUR DIAMONDS SEVEN,0.23,0.1932,0.5768
CLUBS TEN CLUBS KING,0.3314,0.0098,0.6588
CLUBS TEN CLUBS ACE,0.3346,0.0046,0.6608
CLUBS EIGHT CLUBS TWO,0.3862,0.0676,0.5462
DIAMONDS FIVE DIAMONDS FOUR,0.2054,0.359,0.4356
CLUBS NINE CLUBS TWO,0.3956,0.0476,0.5568
DIAMONDS NINE DIAMONDS FOUR,0.2736,0.0926,0.6338
