opposingHand,winningChance,drawChance,lostChance
CLUBS JACK CLUBS FOUR
HEARTS FIVE SPADES TEN,0.6144,0.0168,0.3688
SPADES JACK HEARTS FIVE,0.2568,0.4304,0.3128
CLUBS TEN SPADES FIVE,0.6124,0.0196,0.368
CLUBS TEN CLUBS EIGHT,0.56,0.0144,0.4256
CLUBS EIGHT CLUBS KING,0.3468,0.0106,0.6426
SPADES FIVE CLUBS ACE,0.3668,0.0054,0.6278
CLUBS EIGHT CLUBS QUEEN,0.3354,0.0116,0.653
SPADES FIVE CLUBS KING,0.3752,0.0066,0.6182
SPADES FIVE CLUBS QUEEN,0.3832,0.0118,0.605
CLUBS EIGHT CLUBS ACE,0.3452,0.0078,0.647
DIAMONDS TWO DIAMONDS THREE,0.6316,0.0226,0.3458
DIAMONDS TWO DIAMONDS FIVE,0.5956,0.0174,0.387
SPADES KING HEARTS FIVE,0.402,0.0082,0.5898
DIAMONDS TWO DIAMONDS FOUR,0.6636,0.0598,0.2766
SPADES QUEEN HEARTS FIVE,0.3966,0.0124,0.591
DIAMONDS TWO DIAMONDS SEVEN,0.616,0.018,0.366
DIAMONDS TWO DIAMONDS SIX,0.604,0.0164,0.3796
SPADES ACE HEARTS FIVE,0.392,0.0038,0.6042
DIAMONDS TWO DIAMONDS NINE,0.6116,0.0158,0.3726
DIAMONDS TWO DIAMONDS EIGHT,0.5912,0.0222,0.3866
DIAMONDS THREE DIAMONDS FOUR,0.645,0.0584,0.2966
CLUBS TWO SPADES FOUR,0.6832,0.0622,0.2546
DIAMONDS THREE DIAMONDS FIVE,0.574,0.02,0.406
CLUBS TWO SPADES FIVE,0.628,0.02,0.352
CLUBS TWO SPADES TWO,0.436,0.0506,0.5134
CLUBS TWO SPADES THREE,0.6564,0.0248,0.3188
DIAMONDS THREE DIAMONDS EIGHT,0.6062,0.0154,0.3784
SPADES EIGHT CLUBS TWO,0.6426,0.0188,0.3386
DIAMONDS THREE DIAMONDS NINE,0.5998,0.0208,0.3794
SPADES NINE CLUBS TWO,0.639,0.0176,0.3434
DIAMONDS THREE DIAMONDS SIX,0.5876,0.0208,0.3916
CLUBS TWO SPADES SIX,0.6596,0.0212,0.3192
DIAMONDS THREE DIAMONDS SEVEN,0.5982,0.0226,0.3792
CLUBS TWO SPADES SEVEN,0.637,0.0204,0.3426
CLUBS SIX CLUBS TWO,0.634,0.0234,0.3426
CLUBS SEVEN CLUBS TWO,0.6434,0.0198,0.3368
CLUBS FIVE CLUBS TWO,0.631,0.0234,0.3456
DIAMONDS FOUR DIAMONDS SIX,0.6354,0.0536,0.311
CLUBS TEN CLUBS QUEEN,0.3104,0.0122,0.6774
DIAMONDS FOUR DIAMONDS SEVEN,0.649,0.0512,0.2998
CLUBS TEN CLUBS KING,0.3258,0.0064,0.6678
CLUBS TEN CLUBS ACE,0.3342,0.0062,0.6596
CLUBS EIGHT CLUBS TWO,0.6402,0.0198,0.34
DIAMONDS FIVE DIAMONDS FOUR,0.6256,0.055,0.3194
CLUBS NINE CLUBS TWO,0.6368,0.0254,0.3378
DIAMONDS NINE DIAMONDS FOUR,0.6834,0.0534,0.2632
DIAMONDS EIGHT DIAMONDS FOUR,0.6702,0.0546,0.2752
CLUBS TWO CLUBS THREE,0.6494,0.024,0.3266
DIAMONDS NINE DIAMONDS FIVE,0.5668,0.0166,0.4166
DIAMONDS EIGHT DIAMONDS FIVE,0.5544,0.017,0.4286
CLUBS TEN DIAMONDS TWO,0.6278,0.0198,0.3524
DIAMONDS FIVE DIAMONDS SEVEN,0.557,0.0188,0.4242
DIAMONDS FIVE DIAMONDS SIX,0.5488,0.02,0.4312
DIAMONDS TWO CLUBS ACE,0.4136,0.0056,0.5808
DIAMONDS TWO CLUBS KING,0.4298,0.0082,0.562
DIAMONDS TWO CLUBS QUEEN,0.422,0.0146,0.5634
DIAMONDS EIGHT DIAMONDS SIX,0.5518,0.0176,0.4306
DIAMONDS NINE DIAMONDS SIX,0.5672,0.0174,0.4154
HEARTS ACE SPADES THREE,0.4106,0.005,0.5844
HEARTS KING SPADES THREE,0.4418,0.0092,0.549
DIAMONDS SEVEN DIAMONDS SIX,0.5482,0.0176,0.4342
SPADES THREE HEARTS QUEEN,0.4274,0.0114,0.5612
HEARTS JACK SPADES THREE,0.3008,0.485,0.2142
SPADES THREE HEARTS TEN,0.649,0.0156,0.3354
DIAMONDS EIGHT DIAMONDS SEVEN,0.5542,0.0158,0.43
DIAMONDS NINE DIAMONDS SEVEN,0.5434,0.0176,0.439
DIAMONDS NINE DIAMONDS EIGHT,0.542,0.017,0.441
DIAMONDS KING HEARTS TEN,0.3828,0.0054,0.6118
HEARTS THREE HEARTS TEN,0.6082,0.0186,0.3732
SPADES JACK CLUBS SIX,0.2572,0.3686,0.3742
DIAMONDS KING HEARTS JACK,0.2844,0.03,0.6856
HEARTS THREE HEARTS JACK,0.2906,0.4554,0.254
SPADES TEN CLUBS SIX,0.6078,0.017,0.3752
SPADES JACK SPADES FIVE,0.249,0.413,0.338
SPADES TEN SPADES FIVE,0.5668,0.0174,0.4158
DIAMONDS KING HEARTS ACE,0.3634,0.0044,0.6322
HEARTS THREE HEARTS ACE,0.4052,0.0068,0.588
SPADES ACE CLUBS SIX,0.3888,0.005,0.6062
DIAMONDS KING HEARTS QUEEN,0.3608,0.0068,0.6324
HEARTS THREE HEARTS QUEEN,0.4158,0.0092,0.575
SPADES KING CLUBS SIX,0.4016,0.0082,0.5902
DIAMONDS KING HEARTS KING,0.1838,0.0078,0.8084
HEARTS THREE HEARTS KING,0.4082,0.0056,0.5862
SPADES QUEEN CLUBS SIX,0.3864,0.0106,0.603
SPADES NINE HEARTS TEN,0.5594,0.0132,0.4274
SPADES NINE HEARTS JACK,0.2776,0.1482,0.5742
SPADES QUEEN SPADES FIVE,0.379,0.0104,0.6106
SPADES KING SPADES FIVE,0.3652,0.0072,0.6276
SPADES ACE SPADES FIVE,0.3726,0.0048,0.6226
SPADES NINE HEARTS QUEEN,0.3726,0.0092,0.6182
SPADES NINE HEARTS KING,0.397,0.0076,0.5954
SPADES NINE HEARTS ACE,0.4038,0.0052,0.591
CLUBS TEN SPADES JACK,0.2606,0.1216,0.6178
CLUBS TEN SPADES TEN,0.2992,0.0256,0.6752
SPADES ACE CLUBS TEN,0.3744,0.006,0.6196
SPADES KING CLUBS TEN,0.3812,0.0068,0.612
CLUBS TEN SPADES QUEEN,0.3528,0.0086,0.6386
SPADES FIVE HEARTS QUEEN,0.3974,0.0136,0.589
HEARTS KING SPADES FIVE,0.3944,0.0074,0.5982
SPADES FIVE HEARTS ACE,0.399,0.0054,0.5956
CLUBS EIGHT SPADES TEN,0.5688,0.0152,0.416
HEARTS THREE SPADES JACK,0.3076,0.4862,0.2062
SPADES JACK DIAMONDS KING,0.2694,0.0274,0.7032
SPADES TEN DIAMONDS KING,0.3752,0.0072,0.6176
HEARTS THREE SPADES TEN,0.643,0.0188,0.3382
SPADES JACK CLUBS EIGHT,0.2688,0.2086,0.5226
CLUBS SIX HEARTS ACE,0.3912,0.0056,0.6032
SPADES ACE CLUBS EIGHT,0.3894,0.0046,0.606
CLUBS TEN HEARTS FIVE,0.6134,0.0212,0.3654
CLUBS SIX HEARTS QUEEN,0.3982,0.0138,0.588
SPADES QUEEN CLUBS EIGHT,0.3816,0.0122,0.6062
CLUBS TEN SPADES THREE,0.6444,0.0176,0.338
CLUBS SIX HEARTS KING,0.3986,0.0078,0.5936
SPADES KING CLUBS EIGHT,0.3948,0.01,0.5952
DIAMONDS TWO HEARTS JACK,0.2922,0.489,0.2188
SPADES THREE CLUBS QUEEN,0.4046,0.0112,0.5842
DIAMONDS TWO HEARTS TEN,0.6466,0.02,0.3334
SPADES THREE CLUBS KING,0.432,0.0098,0.5582
HEARTS FIVE CLUBS ACE,0.3762,0.0028,0.621
SPADES FIVE HEARTS TEN,0.6166,0.014,0.3694
SPADES THREE CLUBS ACE,0.3982,0.0072,0.5946
HEARTS FIVE CLUBS KING,0.3994,0.0088,0.5918
SPADES FIVE HEARTS JACK,0.2606,0.4298,0.3096
HEARTS FIVE CLUBS QUEEN,0.3902,0.0144,0.5954
HEARTS THREE CLUBS KING,0.4128,0.0126,0.5746
DIAMONDS KING CLUBS KING,0.159,0.007,0.834
HEARTS THREE CLUBS QUEEN,0.4152,0.0106,0.5742
DIAMONDS KING CLUBS QUEEN,0.3376,0.0072,0.6552
HEARTS FIVE HEARTS JACK,0.256,0.3982,0.3458
HEARTS FIVE HEARTS TEN,0.5772,0.0168,0.406
HEARTS THREE CLUBS ACE,0.4122,0.0052,0.5826
DIAMONDS KING CLUBS ACE,0.356,0.0052,0.6388
SPADES ACE CLUBS QUEEN,0.352,0.0046,0.6434
SPADES KING CLUBS QUEEN,0.3332,0.0066,0.6602
SPADES QUEEN CLUBS QUEEN,0.1764,0.012,0.8116
CLUBS TEN HEARTS THREE,0.6534,0.0178,0.3288
CLUBS TEN DIAMONDS KING,0.3828,0.008,0.6092
SPADES JACK CLUBS QUEEN,0.2662,0.0398,0.694
CLUBS SIX CLUBS QUEEN,0.3454,0.0114,0.6432
SPADES TEN CLUBS QUEEN,0.3538,0.0086,0.6376
CLUBS SIX CLUBS KING,0.3448,0.0072,0.648
CLUBS SIX CLUBS ACE,0.3548,0.0046,0.6406
HEARTS FIVE HEARTS KING,0.3718,0.0084,0.6198
HEARTS FIVE HEARTS QUEEN,0.3808,0.0114,0.6078
CLUBS TEN CLUBS SIX,0.599,0.0164,0.3846
HEARTS FIVE HEARTS ACE,0.3756,0.005,0.6194
SPADES SEVEN HEARTS JACK,0.2618,0.2964,0.4418
SPADES SEVEN HEARTS TEN,0.6002,0.0158,0.384
DIAMONDS TWO CLUBS TWO,0.4298,0.0532,0.517
DIAMONDS TWO CLUBS THREE,0.6426,0.022,0.3354
HEARTS SIX DIAMONDS TWO,0.6492,0.016,0.3348
DIAMONDS TWO HEARTS QUEEN,0.434,0.0136,0.5524
DIAMONDS TWO HEARTS SEVEN,0.6568,0.0142,0.329
DIAMONDS TWO HEARTS KING,0.4384,0.0084,0.5532
DIAMONDS TWO HEARTS EIGHT,0.65,0.0188,0.3312
DIAMONDS TWO HEARTS ACE,0.432,0.0054,0.5626
DIAMONDS TWO HEARTS NINE,0.6428,0.0164,0.3408
DIAMONDS TWO DIAMONDS QUEEN,0.406,0.012,0.582
DIAMONDS TWO HEARTS TWO,0.4446,0.0484,0.507
DIAMONDS TWO DIAMONDS KING,0.43,0.0072,0.5628
HEARTS THREE DIAMONDS TWO,0.6608,0.0212,0.318
DIAMONDS TWO DIAMONDS ACE,0.3888,0.0046,0.6066
HEARTS FOUR DIAMONDS TWO,0.7036,0.0592,0.2372
DIAMONDS TWO HEARTS FIVE,0.63,0.0226,0.3474
SPADES SEVEN HEARTS ACE,0.3996,0.0032,0.5972
DIAMONDS TWO DIAMONDS TEN,0.6032,0.0198,0.377
SPADES SEVEN HEARTS KING,0.4144,0.0056,0.58
DIAMONDS TWO DIAMONDS JACK,0.2968,0.4502,0.253
SPADES SEVEN HEARTS QUEEN,0.406,0.011,0.583
DIAMONDS TWO SPADES NINE,0.6432,0.0188,0.338
DIAMONDS TWO SPADES EIGHT,0.6586,0.0158,0.3256
DIAMONDS TWO SPADES SEVEN,0.6526,0.0176,0.3298
DIAMONDS TWO SPADES SIX,0.6464,0.0154,0.3382
DIAMONDS TWO SPADES FIVE,0.6308,0.0182,0.351
DIAMONDS TWO SPADES FOUR,0.6964,0.0616,0.242
DIAMONDS TWO SPADES THREE,0.6356,0.024,0.3404
DIAMONDS TWO SPADES TWO,0.4354,0.0542,0.5104
CLUBS NINE DIAMONDS TWO,0.6302,0.0204,0.3494
DIAMONDS TWO CLUBS EIGHT,0.6382,0.0202,0.3416
CLUBS SEVEN DIAMONDS TWO,0.6592,0.0174,0.3234
DIAMONDS TWO CLUBS SIX,0.6462,0.02,0.3338
DIAMONDS TWO CLUBS FIVE,0.6178,0.0212,0.361
SPADES ACE DIAMONDS SIX,0.41,0.0032,0.5868
SPADES QUEEN DIAMONDS SIX,0.4092,0.0078,0.583
SPADES KING DIAMONDS SIX,0.4096,0.0058,0.5846
SPADES TEN DIAMONDS SIX,0.5952,0.0188,0.386
SPADES JACK DIAMONDS SIX,0.2672,0.3612,0.3716
SPADES QUEEN SPADES TWO,0.4024,0.0144,0.5832
SPADES KING SPADES TWO,0.3992,0.0072,0.5936
SPADES ACE SPADES TWO,0.4118,0.003,0.5852
CLUBS TEN DIAMONDS JACK,0.2596,0.1224,0.618
DIAMONDS JACK CLUBS KING,0.2582,0.0294,0.7124
DIAMONDS JACK CLUBS QUEEN,0.253,0.0426,0.7044
DIAMONDS THREE DIAMONDS JACK,0.2938,0.4504,0.2558
DIAMONDS THREE DIAMONDS TEN,0.5934,0.0178,0.3888
DIAMONDS JACK CLUBS ACE,0.2492,0.0206,0.7302
DIAMONDS THREE DIAMONDS KING,0.4072,0.0092,0.5836
HEARTS THREE DIAMONDS THREE,0.4384,0.0516,0.51
DIAMONDS THREE DIAMONDS QUEEN,0.4064,0.0116,0.582
DIAMONDS THREE HEARTS TWO,0.6512,0.0214,0.3274
HEARTS FIVE DIAMONDS THREE,0.6218,0.0224,0.3558
DIAMONDS THREE DIAMONDS ACE,0.383,0.0044,0.6126
HEARTS FOUR DIAMONDS THREE,0.6864,0.0592,0.2544
DIAMONDS THREE HEARTS SEVEN,0.6344,0.0182,0.3474
SPADES TEN SPADES NINE,0.5266,0.0132,0.4602
HEARTS SIX DIAMONDS THREE,0.6376,0.0204,0.342
SPADES JACK SPADES NINE,0.2586,0.1428,0.5986
DIAMONDS THREE HEARTS NINE,0.6504,0.0178,0.3318
HEARTS JACK DIAMONDS FOUR,0.0752,0.9006,0.0242
HEARTS KING HEARTS ACE,0.346,0.0058,0.6482
SPADES TEN SPADES TWO,0.6002,0.0174,0.3824
DIAMONDS THREE HEARTS EIGHT,0.652,0.0166,0.3314
HEARTS TEN DIAMONDS FOUR,0.7116,0.0654,0.223
SPADES JACK SPADES TWO,0.2868,0.4544,0.2588
HEARTS QUEEN DIAMONDS FOUR,0.2828,0.047,0.6702
HEARTS KING DIAMONDS FOUR,0.2824,0.0312,0.6864
SPADES ACE SPADES NINE,0.3682,0.0046,0.6272
HEARTS ACE DIAMONDS FOUR,0.2966,0.023,0.6804
SPADES KING SPADES NINE,0.377,0.009,0.614
SPADES QUEEN SPADES NINE,0.3672,0.0088,0.624
DIAMONDS THREE SPADES NINE,0.649,0.0158,0.3352
DIAMONDS THREE SPADES EIGHT,0.6344,0.02,0.3456
DIAMONDS THREE SPADES SEVEN,0.6388,0.0196,0.3416
DIAMONDS THREE SPADES SIX,0.635,0.018,0.347
DIAMONDS THREE CLUBS SIX,0.6264,0.0214,0.3522
CLUBS FIVE CLUBS SIX,0.5774,0.0222,0.4004
CLUBS ACE DIAMONDS FOUR,0.271,0.0224,0.7066
CLUBS SEVEN DIAMONDS THREE,0.6352,0.0222,0.3426
