opposingHand,winningChance,drawChance,lostChance
CLUBS JACK CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.6988,0.0086,0.2926
SPADES JACK HEARTS FIVE,0.7416,0.037,0.2214
SPADES FIVE CLUBS TEN,0.6982,0.0116,0.2902
CLUBS EIGHT CLUBS TEN,0.6662,0.0088,0.325
CLUBS EIGHT CLUBS KING,0.4118,0.0082,0.58
SPADES FIVE CLUBS ACE,0.4652,0.0058,0.529
SPADES FIVE CLUBS KING,0.462,0.0066,0.5314
CLUBS EIGHT CLUBS ACE,0.408,0.006,0.586
DIAMONDS TWO DIAMONDS THREE,0.6248,0.0136,0.3616
DIAMONDS TWO DIAMONDS FIVE,0.6332,0.0134,0.3534
SPADES KING HEARTS FIVE,0.4714,0.0072,0.5214
DIAMONDS TWO DIAMONDS FOUR,0.6338,0.0092,0.357
SPADES QUEEN HEARTS FIVE,0.688,0.0882,0.2238
DIAMONDS TWO DIAMONDS SEVEN,0.6624,0.0104,0.3272
DIAMONDS TWO DIAMONDS SIX,0.6376,0.009,0.3534
SPADES ACE HEARTS FIVE,0.459,0.0046,0.5364
DIAMONDS TWO DIAMONDS NINE,0.6674,0.0094,0.3232
DIAMONDS TWO DIAMONDS EIGHT,0.65,0.0098,0.3402
DIAMONDS THREE DIAMONDS FOUR,0.625,0.0106,0.3644
CLUBS TWO SPADES FOUR,0.6692,0.0094,0.3214
DIAMONDS THREE DIAMONDS FIVE,0.6166,0.0114,0.372
CLUBS TWO SPADES FIVE,0.6528,0.0112,0.336
CLUBS TWO SPADES TWO,0.4998,0.018,0.4822
CLUBS TWO SPADES THREE,0.6664,0.0106,0.323
DIAMONDS THREE DIAMONDS EIGHT,0.6446,0.0104,0.345
SPADES EIGHT CLUBS TWO,0.6988,0.0124,0.2888
DIAMONDS THREE DIAMONDS NINE,0.6452,0.0094,0.3454
SPADES NINE CLUBS TWO,0.6896,0.0088,0.3016
DIAMONDS THREE DIAMONDS SIX,0.63,0.0104,0.3596
CLUBS TWO SPADES SIX,0.6906,0.01,0.2994
DIAMONDS THREE DIAMONDS SEVEN,0.6402,0.0086,0.3512
CLUBS TWO SPADES SEVEN,0.6924,0.0102,0.2974
CLUBS SIX CLUBS TWO,0.6828,0.011,0.3062
CLUBS SEVEN CLUBS TWO,0.6936,0.0108,0.2956
CLUBS FOUR CLUBS TWO,0.6648,0.0106,0.3246
CLUBS FIVE CLUBS TWO,0.6548,0.0112,0.334
DIAMONDS FOUR DIAMONDS SIX,0.6142,0.01,0.3758
DIAMONDS FOUR DIAMONDS SEVEN,0.63,0.0088,0.3612
CLUBS KING CLUBS TEN,0.3836,0.0084,0.608
CLUBS ACE CLUBS TEN,0.3906,0.0052,0.6042
CLUBS EIGHT CLUBS TWO,0.687,0.0108,0.3022
DIAMONDS FIVE DIAMONDS FOUR,0.5988,0.0104,0.3908
CLUBS NINE CLUBS TWO,0.6924,0.0108,0.2968
DIAMONDS NINE DIAMONDS FOUR,0.6582,0.009,0.3328
DIAMONDS EIGHT DIAMONDS FOUR,0.6398,0.0094,0.3508
CLUBS TWO CLUBS THREE,0.6658,0.0132,0.321
DIAMONDS NINE DIAMONDS FIVE,0.6512,0.009,0.3398
DIAMONDS EIGHT DIAMONDS FIVE,0.636,0.009,0.355
DIAMONDS TWO CLUBS TEN,0.6986,0.0116,0.2898
DIAMONDS FIVE DIAMONDS SEVEN,0.6254,0.0078,0.3668
DIAMONDS FIVE DIAMONDS SIX,0.59,0.0098,0.4002
DIAMONDS TWO CLUBS ACE,0.4594,0.0054,0.5352
DIAMONDS TWO CLUBS KING,0.466,0.0074,0.5266
DIAMONDS EIGHT DIAMONDS SIX,0.6078,0.0092,0.383
DIAMONDS NINE DIAMONDS SIX,0.6314,0.01,0.3586
HEARTS ACE SPADES THREE,0.4572,0.0048,0.538
HEARTS KING SPADES THREE,0.483,0.0074,0.5096
DIAMONDS SEVEN DIAMONDS SIX,0.6214,0.0076,0.371
SPADES THREE HEARTS QUEEN,0.694,0.0944,0.2116
HEARTS JACK SPADES THREE,0.751,0.0356,0.2134
SPADES THREE HEARTS TEN,0.7136,0.0098,0.2766
DIAMONDS EIGHT DIAMONDS SEVEN,0.6146,0.0088,0.3766
DIAMONDS NINE DIAMONDS SEVEN,0.626,0.0092,0.3648
DIAMONDS NINE DIAMONDS EIGHT,0.6124,0.0082,0.3794
DIAMONDS KING HEARTS TEN,0.434,0.0092,0.5568
HEARTS THREE HEARTS TEN,0.6678,0.0094,0.3228
CLUBS SIX SPADES JACK,0.7362,0.0396,0.2242
DIAMONDS KING HEARTS JACK,0.3064,0.0296,0.664
HEARTS THREE HEARTS JACK,0.7088,0.0388,0.2524
CLUBS SIX SPADES TEN,0.6798,0.0104,0.3098
SPADES JACK SPADES FIVE,0.7018,0.0408,0.2574
SPADES TEN SPADES FIVE,0.6608,0.0108,0.3284
DIAMONDS KING HEARTS ACE,0.395,0.0044,0.6006
HEARTS THREE HEARTS ACE,0.4546,0.0048,0.5406
SPADES ACE CLUBS SIX,0.4804,0.0042,0.5154
DIAMONDS KING HEARTS QUEEN,0.2924,0.0246,0.683
HEARTS THREE HEARTS QUEEN,0.6584,0.0822,0.2594
SPADES KING CLUBS SIX,0.4666,0.0066,0.5268
DIAMONDS KING HEARTS KING,0.1878,0.003,0.8092
HEARTS THREE HEARTS KING,0.4536,0.0094,0.537
SPADES QUEEN CLUBS SIX,0.6868,0.0856,0.2276
SPADES NINE HEARTS TEN,0.6732,0.0098,0.317
SPADES NINE HEARTS JACK,0.7266,0.0434,0.23
SPADES QUEEN SPADES FIVE,0.64,0.0872,0.2728
SPADES KING SPADES FIVE,0.4506,0.0068,0.5426
SPADES ACE SPADES FIVE,0.4446,0.0054,0.55
SPADES NINE HEARTS QUEEN,0.6924,0.0852,0.2224
SPADES NINE HEARTS KING,0.4522,0.0054,0.5424
SPADES NINE HEARTS ACE,0.4802,0.0032,0.5166
SPADES JACK CLUBS TEN,0.73,0.0378,0.2322
SPADES TEN CLUBS TEN,0.469,0.0116,0.5194
SPADES ACE CLUBS TEN,0.4472,0.006,0.5468
SPADES KING CLUBS TEN,0.4334,0.0092,0.5574
SPADES QUEEN CLUBS TEN,0.6892,0.0816,0.2292
SPADES FIVE HEARTS QUEEN,0.6862,0.0892,0.2246
HEARTS KING SPADES FIVE,0.4786,0.0052,0.5162
SPADES FIVE HEARTS ACE,0.469,0.0044,0.5266
CLUBS EIGHT SPADES TEN,0.6766,0.0094,0.314
HEARTS THREE SPADES JACK,0.7464,0.0424,0.2112
SPADES JACK DIAMONDS KING,0.2794,0.0224,0.6982
SPADES TEN DIAMONDS KING,0.4366,0.006,0.5574
HEARTS THREE SPADES TEN,0.709,0.0114,0.2796
CLUBS EIGHT SPADES JACK,0.7284,0.0392,0.2324
SPADES ACE CLUBS EIGHT,0.4574,0.0042,0.5384
CLUBS SIX HEARTS ACE,0.4704,0.0038,0.5258
HEARTS FIVE CLUBS TEN,0.6928,0.009,0.2982
CLUBS EIGHT SPADES QUEEN,0.6964,0.0824,0.2212
SPADES THREE CLUBS TEN,0.7084,0.0118,0.2798
CLUBS SIX HEARTS QUEEN,0.702,0.0858,0.2122
CLUBS EIGHT SPADES KING,0.4674,0.0072,0.5254
CLUBS SIX HEARTS KING,0.4622,0.0088,0.529
DIAMONDS TWO HEARTS JACK,0.7486,0.0438,0.2076
DIAMONDS TWO HEARTS TEN,0.7022,0.0108,0.287
SPADES THREE CLUBS KING,0.4694,0.0078,0.5228
HEARTS FIVE CLUBS ACE,0.454,0.0058,0.5402
SPADES FIVE HEARTS TEN,0.7042,0.0088,0.287
SPADES THREE CLUBS ACE,0.4502,0.004,0.5458
HEARTS FIVE CLUBS KING,0.4652,0.0066,0.5282
SPADES FIVE HEARTS JACK,0.7344,0.044,0.2216
HEARTS THREE CLUBS KING,0.4444,0.0078,0.5478
DIAMONDS KING CLUBS KING,0.1824,0.0048,0.8128
HEARTS FIVE HEARTS JACK,0.6906,0.0394,0.27
HEARTS FIVE HEARTS TEN,0.6644,0.0124,0.3232
HEARTS THREE CLUBS ACE,0.454,0.0058,0.5402
DIAMONDS KING CLUBS ACE,0.3802,0.0042,0.6156
HEARTS THREE CLUBS TEN,0.7178,0.0122,0.27
DIAMONDS KING CLUBS TEN,0.4364,0.0064,0.5572
CLUBS SIX CLUBS KING,0.4352,0.0066,0.5582
CLUBS SIX CLUBS ACE,0.4206,0.0052,0.5742
HEARTS FIVE HEARTS KING,0.4478,0.0082,0.544
HEARTS FIVE HEARTS QUEEN,0.6354,0.084,0.2806
CLUBS SIX CLUBS TEN,0.6892,0.0128,0.298
HEARTS FIVE HEARTS ACE,0.4358,0.004,0.5602
SPADES SEVEN HEARTS JACK,0.739,0.0408,0.2202
SPADES SEVEN HEARTS TEN,0.6864,0.01,0.3036
DIAMONDS TWO CLUBS TWO,0.5018,0.0178,0.4804
DIAMONDS TWO CLUBS THREE,0.6542,0.0142,0.3316
HEARTS SIX DIAMONDS TWO,0.6874,0.0096,0.303
DIAMONDS TWO HEARTS QUEEN,0.6918,0.0848,0.2234
DIAMONDS TWO HEARTS SEVEN,0.6896,0.0112,0.2992
DIAMONDS TWO HEARTS KING,0.4804,0.007,0.5126
DIAMONDS TWO HEARTS EIGHT,0.7078,0.0098,0.2824
DIAMONDS TWO HEARTS ACE,0.4688,0.0052,0.526
DIAMONDS TWO HEARTS NINE,0.7036,0.0088,0.2876
DIAMONDS TWO DIAMONDS QUEEN,0.6574,0.083,0.2596
DIAMONDS TWO HEARTS TWO,0.5138,0.0152,0.471
DIAMONDS TWO DIAMONDS KING,0.4694,0.0066,0.524
HEARTS THREE DIAMONDS TWO,0.667,0.0124,0.3206
DIAMONDS TWO DIAMONDS ACE,0.423,0.0048,0.5722
HEARTS FOUR DIAMONDS TWO,0.6678,0.0118,0.3204
DIAMONDS TWO HEARTS FIVE,0.676,0.007,0.317
SPADES SEVEN HEARTS ACE,0.4676,0.0026,0.5298
DIAMONDS TWO DIAMONDS TEN,0.67,0.009,0.321
SPADES SEVEN HEARTS KING,0.4776,0.0046,0.5178
DIAMONDS TWO DIAMONDS JACK,0.6964,0.0428,0.2608
SPADES SEVEN HEARTS QUEEN,0.6842,0.0864,0.2294
DIAMONDS TWO SPADES NINE,0.6984,0.0102,0.2914
DIAMONDS TWO SPADES EIGHT,0.691,0.0096,0.2994
DIAMONDS TWO SPADES SEVEN,0.7046,0.0132,0.2822
DIAMONDS TWO SPADES SIX,0.681,0.008,0.311
DIAMONDS TWO SPADES FIVE,0.658,0.01,0.332
DIAMONDS TWO SPADES FOUR,0.6714,0.0138,0.3148
DIAMONDS TWO SPADES THREE,0.6712,0.011,0.3178
DIAMONDS TWO SPADES TWO,0.5002,0.0174,0.4824
CLUBS NINE DIAMONDS TWO,0.7038,0.0108,0.2854
CLUBS EIGHT DIAMONDS TWO,0.6906,0.0116,0.2978
DIAMONDS TWO CLUBS SEVEN,0.6952,0.0092,0.2956
CLUBS SIX DIAMONDS TWO,0.693,0.0124,0.2946
DIAMONDS TWO CLUBS FIVE,0.6748,0.0132,0.312
DIAMONDS TWO CLUBS FOUR,0.6798,0.0098,0.3104
CLUBS FOUR SPADES FIVE,0.6368,0.0096,0.3536
CLUBS FOUR SPADES FOUR,0.5044,0.014,0.4816
CLUBS FOUR SPADES THREE,0.6518,0.0132,0.335
CLUBS FOUR SPADES TWO,0.6694,0.0122,0.3184
CLUBS FOUR SPADES NINE,0.691,0.0096,0.2994
CLUBS FOUR SPADES EIGHT,0.6706,0.01,0.3194
CLUBS FOUR SPADES SEVEN,0.6608,0.0098,0.3294
CLUBS FOUR SPADES SIX,0.659,0.0104,0.3306
SPADES ACE DIAMONDS SIX,0.476,0.0054,0.5186
SPADES QUEEN DIAMONDS SIX,0.6854,0.0858,0.2288
SPADES KING DIAMONDS SIX,0.4742,0.0078,0.518
SPADES TEN DIAMONDS SIX,0.689,0.0082,0.3028
SPADES JACK DIAMONDS SIX,0.7438,0.0382,0.218
SPADES QUEEN SPADES TWO,0.652,0.0874,0.2606
SPADES KING SPADES TWO,0.4528,0.0084,0.5388
SPADES ACE SPADES TWO,0.4472,0.0064,0.5464
DIAMONDS JACK CLUBS TEN,0.722,0.031,0.247
DIAMONDS JACK CLUBS KING,0.281,0.023,0.696
DIAMONDS THREE DIAMONDS JACK,0.7058,0.0416,0.2526
DIAMONDS THREE DIAMONDS TEN,0.6604,0.0104,0.3292
DIAMONDS JACK CLUBS ACE,0.2946,0.0178,0.6876
DIAMONDS THREE DIAMONDS KING,0.4458,0.0076,0.5466
HEARTS THREE DIAMONDS THREE,0.5132,0.0142,0.4726
DIAMONDS THREE DIAMONDS QUEEN,0.6568,0.0814,0.2618
DIAMONDS THREE HEARTS TWO,0.6744,0.0118,0.3138
HEARTS FIVE DIAMONDS THREE,0.652,0.0092,0.3388
DIAMONDS THREE DIAMONDS ACE,0.4358,0.0074,0.5568
HEARTS FOUR DIAMONDS THREE,0.663,0.0112,0.3258
