opposingHand,winningChance,drawChance,lostChance
CLUBS JACK CLUBS SIX
HEARTS FIVE SPADES TEN,0.6374,0.0178,0.3448
SPADES JACK HEARTS FIVE,0.4118,0.377,0.2112
CLUBS TEN SPADES FIVE,0.64,0.02,0.34
CLUBS TEN CLUBS EIGHT,0.5734,0.014,0.4126
CLUBS EIGHT CLUBS KING,0.3492,0.0058,0.645
SPADES FIVE CLUBS ACE,0.4194,0.0044,0.5762
CLUBS EIGHT CLUBS QUEEN,0.3364,0.0096,0.654
SPADES FIVE CLUBS KING,0.4174,0.0078,0.5748
SPADES FIVE CLUBS QUEEN,0.4148,0.013,0.5722
CLUBS EIGHT CLUBS ACE,0.3432,0.005,0.6518
DIAMONDS TWO DIAMONDS THREE,0.6122,0.019,0.3688
DIAMONDS TWO DIAMONDS FIVE,0.614,0.0164,0.3696
SPADES KING HEARTS FIVE,0.4382,0.007,0.5548
DIAMONDS TWO DIAMONDS FOUR,0.614,0.0184,0.3676
SPADES QUEEN HEARTS FIVE,0.4118,0.0096,0.5786
DIAMONDS TWO DIAMONDS SEVEN,0.608,0.0178,0.3742
DIAMONDS TWO DIAMONDS SIX,0.677,0.0592,0.2638
SPADES ACE HEARTS FIVE,0.4274,0.0036,0.569
DIAMONDS TWO DIAMONDS NINE,0.6078,0.0198,0.3724
DIAMONDS TWO DIAMONDS EIGHT,0.6088,0.0194,0.3718
DIAMONDS THREE DIAMONDS FOUR,0.603,0.02,0.377
CLUBS TWO SPADES FOUR,0.6322,0.02,0.3478
DIAMONDS THREE DIAMONDS FIVE,0.605,0.0166,0.3784
CLUBS TWO SPADES FIVE,0.649,0.0202,0.3308
CLUBS TWO SPADES TWO,0.4612,0.0412,0.4976
CLUBS TWO SPADES THREE,0.6436,0.0202,0.3362
DIAMONDS THREE DIAMONDS EIGHT,0.6224,0.0176,0.36
SPADES EIGHT CLUBS TWO,0.6442,0.0162,0.3396
DIAMONDS THREE DIAMONDS NINE,0.6052,0.0166,0.3782
SPADES NINE CLUBS TWO,0.6432,0.017,0.3398
DIAMONDS THREE DIAMONDS SIX,0.657,0.0596,0.2834
CLUBS TWO SPADES SIX,0.7148,0.0576,0.2276
DIAMONDS THREE DIAMONDS SEVEN,0.5976,0.0176,0.3848
CLUBS TWO SPADES SEVEN,0.6568,0.0168,0.3264
CLUBS SEVEN CLUBS TWO,0.6378,0.0204,0.3418
CLUBS FOUR CLUBS TWO,0.6612,0.023,0.3158
CLUBS FIVE CLUBS TWO,0.6462,0.0168,0.337
DIAMONDS FOUR DIAMONDS SIX,0.6484,0.054,0.2976
