opposingHand,winningChance,drawChance,lostChance
CLUBS JACK DIAMONDS FIVE
HEARTS FIVE SPADES TEN,0.7038,0.0654,0.2308
HEARTS FIVE SPADES JACK,0.019,0.9618,0.0192
CLUBS TEN SPADES FIVE,0.7094,0.0586,0.232
CLUBS TEN CLUBS EIGHT,0.5254,0.0156,0.459
CLUBS EIGHT CLUBS KING,0.3512,0.007,0.6418
SPADES FIVE CLUBS ACE,0.2226,0.0324,0.745
CLUBS EIGHT CLUBS QUEEN,0.3276,0.0104,0.662
SPADES FIVE CLUBS KING,0.2318,0.0424,0.7258
SPADES FIVE CLUBS QUEEN,0.2314,0.0494,0.7192
CLUBS EIGHT CLUBS ACE,0.3528,0.0034,0.6438
DIAMONDS TWO DIAMONDS THREE,0.6082,0.0208,0.371
HEARTS FIVE SPADES KING,0.244,0.0366,0.7194
DIAMONDS TWO DIAMONDS FOUR,0.6064,0.0212,0.3724
HEARTS FIVE SPADES QUEEN,0.2306,0.0504,0.719
DIAMONDS TWO DIAMONDS SEVEN,0.6048,0.0198,0.3754
DIAMONDS TWO DIAMONDS SIX,0.594,0.0176,0.3884
SPADES ACE HEARTS FIVE,0.2408,0.0282,0.731
DIAMONDS TWO DIAMONDS NINE,0.5836,0.0172,0.3992
DIAMONDS TWO DIAMONDS EIGHT,0.5912,0.02,0.3888
DIAMONDS THREE DIAMONDS FOUR,0.5894,0.025,0.3856
CLUBS TWO SPADES FOUR,0.6424,0.0204,0.3372
SPADES FIVE CLUBS TWO,0.684,0.0738,0.2422
CLUBS TWO SPADES TWO,0.4128,0.0518,0.5354
CLUBS TWO SPADES THREE,0.628,0.0244,0.3476
DIAMONDS THREE DIAMONDS EIGHT,0.5914,0.019,0.3896
SPADES EIGHT CLUBS TWO,0.6262,0.0206,0.3532
DIAMONDS THREE DIAMONDS NINE,0.5982,0.0214,0.3804
SPADES NINE CLUBS TWO,0.6334,0.0164,0.3502
DIAMONDS THREE DIAMONDS SIX,0.5694,0.0154,0.4152
SPADES SIX CLUBS TWO,0.6236,0.0198,0.3566
DIAMONDS THREE DIAMONDS SEVEN,0.5852,0.0202,0.3946
SPADES SEVEN CLUBS TWO,0.6354,0.019,0.3456
CLUBS SIX CLUBS TWO,0.5838,0.019,0.3972
CLUBS SEVEN CLUBS TWO,0.6012,0.0208,0.378
CLUBS FOUR CLUBS TWO,0.6096,0.0164,0.374
CLUBS FIVE CLUBS TWO,0.642,0.0652,0.2928
DIAMONDS SIX DIAMONDS FOUR,0.5664,0.0204,0.4132
CLUBS TEN CLUBS QUEEN,0.3154,0.0102,0.6744
DIAMONDS FOUR DIAMONDS SEVEN,0.5644,0.0246,0.411
CLUBS TEN CLUBS KING,0.3176,0.008,0.6744
CLUBS TEN CLUBS ACE,0.3232,0.0048,0.672
CLUBS EIGHT CLUBS TWO,0.611,0.0192,0.3698
CLUBS NINE CLUBS TWO,0.6,0.0218,0.3782
DIAMONDS NINE DIAMONDS FOUR,0.6058,0.019,0.3752
DIAMONDS FOUR DIAMONDS EIGHT,0.5836,0.0194,0.397
CLUBS THREE CLUBS TWO,0.599,0.0218,0.3792
CLUBS TEN DIAMONDS TWO,0.6288,0.0212,0.35
DIAMONDS TWO CLUBS ACE,0.3864,0.0052,0.6084
DIAMONDS TWO CLUBS KING,0.3954,0.0082,0.5964
DIAMONDS TWO CLUBS QUEEN,0.393,0.0124,0.5946
DIAMONDS SIX DIAMONDS EIGHT,0.5388,0.0174,0.4438
DIAMONDS NINE DIAMONDS SIX,0.5382,0.015,0.4468
HEARTS ACE SPADES THREE,0.3696,0.0038,0.6266
SPADES THREE HEARTS KING,0.3992,0.0058,0.595
DIAMONDS SIX DIAMONDS SEVEN,0.5342,0.0192,0.4466
HEARTS QUEEN SPADES THREE,0.4046,0.011,0.5844
SPADES THREE HEARTS JACK,0.3282,0.458,0.2138
SPADES THREE HEARTS TEN,0.6202,0.0224,0.3574
DIAMONDS EIGHT DIAMONDS SEVEN,0.533,0.0178,0.4492
DIAMONDS NINE DIAMONDS SEVEN,0.5364,0.0154,0.4482
DIAMONDS NINE DIAMONDS EIGHT,0.5118,0.0166,0.4716
DIAMONDS KING HEARTS TEN,0.335,0.008,0.657
HEARTS THREE HEARTS TEN,0.5874,0.0182,0.3944
SPADES JACK CLUBS SIX,0.2138,0.4012,0.385
DIAMONDS KING HEARTS JACK,0.2286,0.0354,0.736
HEARTS THREE HEARTS JACK,0.3086,0.424,0.2674
SPADES TEN CLUBS SIX,0.574,0.016,0.41
SPADES JACK SPADES FIVE,0.0224,0.9102,0.0674
SPADES TEN SPADES FIVE,0.653,0.0618,0.2852
DIAMONDS KING HEARTS ACE,0.3176,0.0044,0.678
HEARTS THREE HEARTS ACE,0.364,0.005,0.631
SPADES ACE CLUBS SIX,0.3726,0.0032,0.6242
DIAMONDS KING HEARTS QUEEN,0.3056,0.0048,0.6896
HEARTS THREE HEARTS QUEEN,0.37,0.0102,0.6198
SPADES KING CLUBS SIX,0.3712,0.007,0.6218
DIAMONDS KING HEARTS KING,0.1422,0.0066,0.8512
HEARTS THREE HEARTS KING,0.3706,0.0074,0.622
SPADES QUEEN CLUBS SIX,0.3538,0.013,0.6332
SPADES NINE HEARTS TEN,0.5344,0.0146,0.451
SPADES NINE HEARTS JACK,0.2366,0.1586,0.6048
SPADES QUEEN SPADES FIVE,0.2238,0.048,0.7282
SPADES KING SPADES FIVE,0.2224,0.0394,0.7382
SPADES ACE SPADES FIVE,0.2238,0.028,0.7482
SPADES NINE HEARTS QUEEN,0.339,0.011,0.65
SPADES NINE HEARTS KING,0.3572,0.0054,0.6374
SPADES NINE HEARTS ACE,0.3628,0.0034,0.6338
CLUBS TEN SPADES JACK,0.2342,0.124,0.6418
CLUBS TEN SPADES TEN,0.2872,0.024,0.6888
SPADES ACE CLUBS TEN,0.344,0.0034,0.6526
SPADES KING CLUBS TEN,0.3364,0.006,0.6576
CLUBS TEN SPADES QUEEN,0.3386,0.0104,0.651
SPADES FIVE HEARTS QUEEN,0.2372,0.0512,0.7116
SPADES FIVE HEARTS KING,0.238,0.0464,0.7156
HEARTS ACE SPADES FIVE,0.233,0.0288,0.7382
CLUBS EIGHT SPADES TEN,0.5564,0.0156,0.428
SPADES JACK HEARTS THREE,0.3218,0.456,0.2222
SPADES JACK DIAMONDS KING,0.237,0.03,0.733
SPADES TEN DIAMONDS KING,0.3202,0.0074,0.6724
SPADES TEN HEARTS THREE,0.6134,0.019,0.3676
SPADES JACK CLUBS EIGHT,0.2276,0.2274,0.545
