opposingHand,winningChance,drawChance,lostChance
CLUBS JACK DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.635,0.0166,0.3484
HEARTS FIVE SPADES JACK,0.4866,0.2896,0.2238
CLUBS TEN SPADES FIVE,0.6318,0.0162,0.352
CLUBS TEN CLUBS EIGHT,0.5344,0.0184,0.4472
CLUBS EIGHT CLUBS KING,0.341,0.0072,0.6518
SPADES FIVE CLUBS ACE,0.387,0.0038,0.6092
CLUBS EIGHT CLUBS QUEEN,0.3496,0.0088,0.6416
SPADES FIVE CLUBS KING,0.4074,0.009,0.5836
SPADES FIVE CLUBS QUEEN,0.4018,0.0128,0.5854
CLUBS EIGHT CLUBS ACE,0.3544,0.0058,0.6398
DIAMONDS TWO DIAMONDS THREE,0.6086,0.0226,0.3688
DIAMONDS TWO DIAMONDS FIVE,0.6056,0.0186,0.3758
HEARTS FIVE SPADES KING,0.412,0.0068,0.5812
DIAMONDS TWO DIAMONDS FOUR,0.6156,0.0168,0.3676
HEARTS FIVE SPADES QUEEN,0.4026,0.009,0.5884
DIAMONDS TWO DIAMONDS SIX,0.6242,0.0196,0.3562
SPADES ACE HEARTS FIVE,0.4058,0.0036,0.5906
DIAMONDS TWO DIAMONDS NINE,0.6098,0.0158,0.3744
DIAMONDS TWO DIAMONDS EIGHT,0.6024,0.0182,0.3794
DIAMONDS THREE DIAMONDS FOUR,0.6018,0.018,0.3802
CLUBS TWO SPADES FOUR,0.6354,0.021,0.3436
DIAMONDS THREE DIAMONDS FIVE,0.5786,0.0216,0.3998
SPADES FIVE CLUBS TWO,0.6446,0.0186,0.3368
CLUBS TWO SPADES TWO,0.4444,0.0434,0.5122
CLUBS TWO SPADES THREE,0.638,0.0196,0.3424
DIAMONDS THREE DIAMONDS EIGHT,0.6118,0.0196,0.3686
SPADES EIGHT CLUBS TWO,0.633,0.0216,0.3454
DIAMONDS THREE DIAMONDS NINE,0.5954,0.014,0.3906
SPADES NINE CLUBS TWO,0.6492,0.0164,0.3344
DIAMONDS THREE DIAMONDS SIX,0.6162,0.0172,0.3666
SPADES SIX CLUBS TWO,0.6438,0.019,0.3372
SPADES SEVEN CLUBS TWO,0.722,0.0622,0.2158
CLUBS SIX CLUBS TWO,0.6292,0.018,0.3528
CLUBS SEVEN CLUBS TWO,0.6714,0.0622,0.2664
CLUBS FOUR CLUBS TWO,0.6044,0.0234,0.3722
CLUBS FIVE CLUBS TWO,0.6114,0.0184,0.3702
DIAMONDS FOUR DIAMONDS SIX,0.595,0.0182,0.3868
CLUBS TEN CLUBS QUEEN,0.323,0.0104,0.6666
CLUBS TEN CLUBS KING,0.3394,0.006,0.6546
CLUBS TEN CLUBS ACE,0.341,0.0036,0.6554
CLUBS EIGHT CLUBS TWO,0.6132,0.023,0.3638
DIAMONDS FIVE DIAMONDS FOUR,0.5812,0.022,0.3968
CLUBS NINE CLUBS TWO,0.597,0.0192,0.3838
DIAMONDS NINE DIAMONDS FOUR,0.609,0.0164,0.3746
DIAMONDS FOUR DIAMONDS EIGHT,0.5878,0.0172,0.395
CLUBS THREE CLUBS TWO,0.614,0.0218,0.3642
DIAMONDS NINE DIAMONDS FIVE,0.5946,0.0212,0.3842
DIAMONDS FIVE DIAMONDS EIGHT,0.579,0.0166,0.4044
CLUBS TEN DIAMONDS TWO,0.6458,0.0148,0.3394
DIAMONDS FIVE DIAMONDS SIX,0.5848,0.0204,0.3948
DIAMONDS TWO CLUBS ACE,0.4128,0.0056,0.5816
DIAMONDS TWO CLUBS KING,0.4076,0.009,0.5834
DIAMONDS TWO CLUBS QUEEN,0.4116,0.012,0.5764
DIAMONDS EIGHT DIAMONDS SIX,0.5714,0.0162,0.4124
DIAMONDS NINE DIAMONDS SIX,0.5858,0.0168,0.3974
HEARTS ACE SPADES THREE,0.413,0.004,0.583
SPADES THREE HEARTS KING,0.416,0.0078,0.5762
HEARTS QUEEN SPADES THREE,0.3994,0.0134,0.5872
SPADES THREE HEARTS JACK,0.4752,0.2948,0.23
SPADES THREE HEARTS TEN,0.6282,0.0168,0.355
DIAMONDS NINE DIAMONDS EIGHT,0.5358,0.0194,0.4448
DIAMONDS KING HEARTS TEN,0.3514,0.0068,0.6418
HEARTS THREE HEARTS TEN,0.59,0.0142,0.3958
SPADES JACK CLUBS SIX,0.5014,0.2988,0.1998
DIAMONDS KING HEARTS JACK,0.238,0.03,0.732
HEARTS THREE HEARTS JACK,0.4542,0.2884,0.2574
SPADES TEN CLUBS SIX,0.6236,0.0176,0.3588
SPADES JACK SPADES FIVE,0.4408,0.2774,0.2818
SPADES TEN SPADES FIVE,0.5866,0.0174,0.396
DIAMONDS KING HEARTS ACE,0.3492,0.0042,0.6466
HEARTS THREE HEARTS ACE,0.3768,0.004,0.6192
SPADES ACE CLUBS SIX,0.4068,0.0026,0.5906
DIAMONDS KING HEARTS QUEEN,0.3202,0.007,0.6728
HEARTS THREE HEARTS QUEEN,0.3912,0.011,0.5978
SPADES KING CLUBS SIX,0.4064,0.0046,0.589
DIAMONDS KING HEARTS KING,0.14,0.0052,0.8548
HEARTS THREE HEARTS KING,0.3794,0.0072,0.6134
SPADES QUEEN CLUBS SIX,0.4168,0.0102,0.573
SPADES NINE HEARTS TEN,0.5446,0.0168,0.4386
SPADES NINE HEARTS JACK,0.2296,0.1608,0.6096
SPADES QUEEN SPADES FIVE,0.3738,0.0122,0.614
SPADES KING SPADES FIVE,0.3792,0.0076,0.6132
SPADES ACE SPADES FIVE,0.3842,0.0026,0.6132
SPADES NINE HEARTS QUEEN,0.3472,0.012,0.6408
SPADES NINE HEARTS KING,0.3614,0.0048,0.6338
SPADES NINE HEARTS ACE,0.3642,0.004,0.6318
CLUBS TEN SPADES JACK,0.223,0.1252,0.6518
CLUBS TEN SPADES TEN,0.2854,0.0192,0.6954
SPADES ACE CLUBS TEN,0.3608,0.0058,0.6334
SPADES KING CLUBS TEN,0.3386,0.0064,0.655
CLUBS TEN SPADES QUEEN,0.3422,0.01,0.6478
SPADES FIVE HEARTS QUEEN,0.3984,0.0084,0.5932
SPADES FIVE HEARTS KING,0.4048,0.006,0.5892
HEARTS ACE SPADES FIVE,0.3938,0.0022,0.604
CLUBS EIGHT SPADES TEN,0.5704,0.0168,0.4128
SPADES JACK HEARTS THREE,0.4664,0.2998,0.2338
SPADES JACK DIAMONDS KING,0.2336,0.0308,0.7356
SPADES TEN DIAMONDS KING,0.3528,0.0076,0.6396
SPADES TEN HEARTS THREE,0.6188,0.0174,0.3638
SPADES JACK CLUBS EIGHT,0.2276,0.2272,0.5452
CLUBS SIX HEARTS ACE,0.407,0.0038,0.5892
SPADES ACE CLUBS EIGHT,0.383,0.0038,0.6132
HEARTS FIVE CLUBS TEN,0.6274,0.0174,0.3552
CLUBS SIX HEARTS QUEEN,0.4098,0.0108,0.5794
SPADES QUEEN CLUBS EIGHT,0.3654,0.0112,0.6234
CLUBS TEN SPADES THREE,0.6434,0.0172,0.3394
CLUBS SIX HEARTS KING,0.404,0.0074,0.5886
SPADES KING CLUBS EIGHT,0.3686,0.0074,0.624
DIAMONDS TWO HEARTS JACK,0.497,0.2914,0.2116
SPADES THREE CLUBS QUEEN,0.4002,0.012,0.5878
DIAMONDS TWO HEARTS TEN,0.6396,0.0188,0.3416
SPADES THREE CLUBS KING,0.4056,0.0064,0.588
HEARTS FIVE CLUBS ACE,0.3788,0.0042,0.617
SPADES FIVE HEARTS TEN,0.6338,0.0154,0.3508
SPADES THREE CLUBS ACE,0.4,0.0044,0.5956
HEARTS FIVE CLUBS KING,0.4006,0.0082,0.5912
SPADES FIVE HEARTS JACK,0.4786,0.2954,0.226
HEARTS FIVE CLUBS QUEEN,0.3942,0.0086,0.5972
HEARTS THREE CLUBS KING,0.4018,0.0076,0.5906
DIAMONDS KING CLUBS KING,0.1352,0.0084,0.8564
HEARTS THREE CLUBS QUEEN,0.405,0.0102,0.5848
DIAMONDS KING CLUBS QUEEN,0.3276,0.0072,0.6652
HEARTS FIVE HEARTS JACK,0.4386,0.284,0.2774
