opposingHand,winningChance,drawChance,lostChance
CLUBS JACK DIAMONDS THREE
HEARTS FIVE SPADES TEN,0.584,0.017,0.399
HEARTS FIVE SPADES JACK,0.2224,0.4572,0.3204
CLUBS TEN SPADES FIVE,0.5994,0.0166,0.384
CLUBS TEN CLUBS EIGHT,0.5082,0.0194,0.4724
CLUBS EIGHT CLUBS KING,0.3496,0.0068,0.6436
SPADES FIVE CLUBS ACE,0.3378,0.0048,0.6574
CLUBS EIGHT CLUBS QUEEN,0.3302,0.0096,0.6602
SPADES FIVE CLUBS KING,0.3582,0.0086,0.6332
SPADES FIVE CLUBS QUEEN,0.3432,0.0132,0.6436
CLUBS EIGHT CLUBS ACE,0.3412,0.005,0.6538
DIAMONDS TWO DIAMONDS FIVE,0.5612,0.018,0.4208
HEARTS FIVE SPADES KING,0.3556,0.0068,0.6376
DIAMONDS TWO DIAMONDS FOUR,0.583,0.0204,0.3966
HEARTS FIVE SPADES QUEEN,0.358,0.0104,0.6316
DIAMONDS TWO DIAMONDS SEVEN,0.58,0.0222,0.3978
DIAMONDS TWO DIAMONDS SIX,0.591,0.0238,0.3852
SPADES ACE HEARTS FIVE,0.3504,0.0048,0.6448
DIAMONDS TWO DIAMONDS NINE,0.5996,0.0214,0.379
DIAMONDS TWO DIAMONDS EIGHT,0.5824,0.02,0.3976
CLUBS TWO SPADES FOUR,0.614,0.0204,0.3656
SPADES FIVE CLUBS TWO,0.6048,0.022,0.3732
CLUBS TWO SPADES TWO,0.3998,0.0548,0.5454
CLUBS TWO SPADES THREE,0.6932,0.0586,0.2482
SPADES EIGHT CLUBS TWO,0.6366,0.0178,0.3456
SPADES NINE CLUBS TWO,0.6242,0.022,0.3538
SPADES SIX CLUBS TWO,0.6328,0.0164,0.3508
SPADES SEVEN CLUBS TWO,0.6186,0.0226,0.3588
CLUBS SIX CLUBS TWO,0.59,0.0172,0.3928
CLUBS SEVEN CLUBS TWO,0.6004,0.0214,0.3782
CLUBS FOUR CLUBS TWO,0.5786,0.0242,0.3972
CLUBS FIVE CLUBS TWO,0.587,0.0228,0.3902
DIAMONDS FOUR DIAMONDS SIX,0.546,0.0174,0.4366
CLUBS TEN CLUBS QUEEN,0.3112,0.0098,0.679
DIAMONDS FOUR DIAMONDS SEVEN,0.5418,0.0184,0.4398
CLUBS TEN CLUBS KING,0.3326,0.0078,0.6596
CLUBS TEN CLUBS ACE,0.3328,0.0048,0.6624
CLUBS EIGHT CLUBS TWO,0.5992,0.016,0.3848
DIAMONDS FOUR DIAMONDS FIVE,0.5262,0.0176,0.4562
CLUBS NINE CLUBS TWO,0.6028,0.0218,0.3754
DIAMONDS FOUR DIAMONDS NINE,0.5656,0.02,0.4144
DIAMONDS FOUR DIAMONDS EIGHT,0.554,0.022,0.424
CLUBS THREE CLUBS TWO,0.6608,0.0628,0.2764
DIAMONDS NINE DIAMONDS FIVE,0.5538,0.0172,0.429
DIAMONDS FIVE DIAMONDS EIGHT,0.5486,0.0198,0.4316
CLUBS TEN DIAMONDS TWO,0.6288,0.018,0.3532
DIAMONDS FIVE DIAMONDS SEVEN,0.5316,0.0176,0.4508
DIAMONDS SIX DIAMONDS FIVE,0.5204,0.0168,0.4628
DIAMONDS TWO CLUBS ACE,0.3792,0.006,0.6148
DIAMONDS TWO CLUBS KING,0.399,0.0088,0.5922
