opposingHand,winningChance,drawChance,lostChance
CLUBS JACK HEARTS THREE
HEARTS FIVE SPADES TEN,0.5894,0.0166,0.394
HEARTS FIVE SPADES JACK,0.2124,0.4618,0.3258
CLUBS TEN SPADES FIVE,0.5934,0.0218,0.3848
CLUBS TEN CLUBS EIGHT,0.5244,0.0142,0.4614
CLUBS EIGHT CLUBS KING,0.3418,0.0088,0.6494
SPADES FIVE CLUBS ACE,0.3406,0.0042,0.6552
CLUBS EIGHT CLUBS QUEEN,0.334,0.013,0.653
SPADES FIVE CLUBS KING,0.3602,0.0098,0.63
SPADES FIVE CLUBS QUEEN,0.343,0.0134,0.6436
CLUBS EIGHT CLUBS ACE,0.3506,0.0058,0.6436
DIAMONDS TWO DIAMONDS THREE,0.6348,0.0618,0.3034
DIAMONDS TWO DIAMONDS FIVE,0.5826,0.0184,0.399
HEARTS FIVE SPADES KING,0.3602,0.0068,0.633
DIAMONDS TWO DIAMONDS FOUR,0.5764,0.021,0.4026
HEARTS FIVE SPADES QUEEN,0.3572,0.0086,0.6342
DIAMONDS TWO DIAMONDS SEVEN,0.5804,0.02,0.3996
DIAMONDS TWO DIAMONDS SIX,0.571,0.0178,0.4112
SPADES ACE HEARTS FIVE,0.3418,0.005,0.6532
DIAMONDS TWO DIAMONDS NINE,0.5772,0.0174,0.4054
DIAMONDS TWO DIAMONDS EIGHT,0.5848,0.0214,0.3938
DIAMONDS THREE DIAMONDS FOUR,0.6284,0.0546,0.317
CLUBS TWO SPADES FOUR,0.6048,0.0264,0.3688
DIAMONDS THREE DIAMONDS FIVE,0.628,0.0576,0.3144
SPADES FIVE CLUBS TWO,0.6226,0.022,0.3554
CLUBS TWO SPADES TWO,0.4146,0.0584,0.527
CLUBS TWO SPADES THREE,0.6916,0.058,0.2504
DIAMONDS THREE DIAMONDS EIGHT,0.6666,0.052,0.2814
SPADES EIGHT CLUBS TWO,0.6242,0.0226,0.3532
DIAMONDS THREE DIAMONDS NINE,0.662,0.05,0.288
SPADES NINE CLUBS TWO,0.6256,0.0174,0.357
DIAMONDS THREE DIAMONDS SIX,0.6528,0.0434,0.3038
SPADES SIX CLUBS TWO,0.6198,0.0196,0.3606
DIAMONDS THREE DIAMONDS SEVEN,0.6388,0.051,0.3102
SPADES SEVEN CLUBS TWO,0.6304,0.0206,0.349
CLUBS SIX CLUBS TWO,0.5868,0.02,0.3932
CLUBS SEVEN CLUBS TWO,0.599,0.0184,0.3826
CLUBS FOUR CLUBS TWO,0.5874,0.0214,0.3912
CLUBS FIVE CLUBS TWO,0.5742,0.0232,0.4026
DIAMONDS FOUR DIAMONDS SIX,0.5242,0.0218,0.454
CLUBS TEN CLUBS QUEEN,0.3036,0.0096,0.6868
DIAMONDS FOUR DIAMONDS SEVEN,0.5344,0.0208,0.4448
CLUBS TEN CLUBS KING,0.3292,0.0088,0.662
CLUBS TEN CLUBS ACE,0.3224,0.0056,0.672
CLUBS EIGHT CLUBS TWO,0.5836,0.0162,0.4002
DIAMONDS FIVE DIAMONDS FOUR,0.5222,0.022,0.4558
CLUBS NINE CLUBS TWO,0.5882,0.0208,0.391
DIAMONDS NINE DIAMONDS FOUR,0.5638,0.016,0.4202
DIAMONDS EIGHT DIAMONDS FOUR,0.5436,0.02,0.4364
CLUBS THREE CLUBS TWO,0.6502,0.0598,0.29
DIAMONDS NINE DIAMONDS FIVE,0.539,0.0202,0.4408
DIAMONDS EIGHT DIAMONDS FIVE,0.5316,0.0174,0.451
CLUBS TEN DIAMONDS TWO,0.6284,0.02,0.3516
DIAMONDS FIVE DIAMONDS SEVEN,0.5208,0.0166,0.4626
DIAMONDS FIVE DIAMONDS SIX,0.516,0.018,0.466
DIAMONDS TWO CLUBS ACE,0.3892,0.0034,0.6074
DIAMONDS TWO CLUBS KING,0.3958,0.0072,0.597
DIAMONDS TWO CLUBS QUEEN,0.3712,0.015,0.6138
DIAMONDS EIGHT DIAMONDS SIX,0.5124,0.0192,0.4684
DIAMONDS NINE DIAMONDS SIX,0.5232,0.0156,0.4612
HEARTS ACE SPADES THREE,0.2238,0.0166,0.7596
SPADES THREE HEARTS KING,0.2318,0.0344,0.7338
DIAMONDS SEVEN DIAMONDS SIX,0.5154,0.0192,0.4654
HEARTS QUEEN SPADES THREE,0.2288,0.044,0.7272
SPADES THREE HEARTS JACK,0.0108,0.9696,0.0196
SPADES THREE HEARTS TEN,0.705,0.0564,0.2386
DIAMONDS EIGHT DIAMONDS SEVEN,0.493,0.0156,0.4914
DIAMONDS NINE DIAMONDS SEVEN,0.5166,0.0166,0.4668
DIAMONDS NINE DIAMONDS EIGHT,0.5078,0.0182,0.474
DIAMONDS KING HEARTS TEN,0.3322,0.0062,0.6616
SPADES JACK CLUBS SIX,0.2216,0.3886,0.3898
DIAMONDS KING HEARTS JACK,0.2206,0.0286,0.7508
SPADES TEN CLUBS SIX,0.5682,0.0242,0.4076
SPADES JACK SPADES FIVE,0.2006,0.4392,0.3602
SPADES TEN SPADES FIVE,0.5408,0.0152,0.444
DIAMONDS KING HEARTS ACE,0.3104,0.0038,0.6858
SPADES ACE CLUBS SIX,0.3624,0.005,0.6326
DIAMONDS KING HEARTS QUEEN,0.3118,0.0074,0.6808
SPADES KING CLUBS SIX,0.3616,0.0086,0.6298
DIAMONDS KING HEARTS KING,0.136,0.0072,0.8568
SPADES QUEEN CLUBS SIX,0.3604,0.0124,0.6272
SPADES NINE HEARTS TEN,0.5216,0.0144,0.464
SPADES NINE HEARTS JACK,0.2278,0.17,0.6022
SPADES QUEEN SPADES FIVE,0.3378,0.0124,0.6498
SPADES KING SPADES FIVE,0.327,0.0078,0.6652
SPADES ACE SPADES FIVE,0.3366,0.0064,0.657
SPADES NINE HEARTS QUEEN,0.3498,0.01,0.6402
SPADES NINE HEARTS KING,0.3506,0.0066,0.6428
SPADES NINE HEARTS ACE,0.364,0.0046,0.6314
CLUBS TEN SPADES JACK,0.2256,0.121,0.6534
CLUBS TEN SPADES TEN,0.2718,0.0208,0.7074
SPADES ACE CLUBS TEN,0.3552,0.0046,0.6402
SPADES KING CLUBS TEN,0.3446,0.0068,0.6486
CLUBS TEN SPADES QUEEN,0.3224,0.0128,0.6648
SPADES FIVE HEARTS QUEEN,0.3496,0.0106,0.6398
SPADES FIVE HEARTS KING,0.355,0.0088,0.6362
HEARTS ACE SPADES FIVE,0.3434,0.0046,0.652
CLUBS EIGHT SPADES TEN,0.561,0.0164,0.4226
SPADES JACK DIAMONDS KING,0.231,0.0308,0.7382
SPADES TEN DIAMONDS KING,0.3324,0.0072,0.6604
SPADES JACK CLUBS EIGHT,0.2378,0.223,0.5392
CLUBS SIX HEARTS ACE,0.3604,0.005,0.6346
SPADES ACE CLUBS EIGHT,0.3644,0.0052,0.6304
HEARTS FIVE CLUBS TEN,0.5856,0.022,0.3924
CLUBS SIX HEARTS QUEEN,0.359,0.014,0.627
SPADES QUEEN CLUBS EIGHT,0.3482,0.009,0.6428
CLUBS TEN SPADES THREE,0.7142,0.0578,0.228
CLUBS SIX HEARTS KING,0.3806,0.0078,0.6116
SPADES KING CLUBS EIGHT,0.3584,0.008,0.6336
DIAMONDS TWO HEARTS JACK,0.2594,0.5136,0.227
SPADES THREE CLUBS QUEEN,0.234,0.041,0.725
DIAMONDS TWO HEARTS TEN,0.6182,0.0166,0.3652
SPADES THREE CLUBS KING,0.2294,0.034,0.7366
HEARTS FIVE CLUBS ACE,0.3298,0.0058,0.6644
SPADES FIVE HEARTS TEN,0.5814,0.0158,0.4028
SPADES THREE CLUBS ACE,0.237,0.016,0.747
HEARTS FIVE CLUBS KING,0.358,0.0094,0.6326
SPADES FIVE HEARTS JACK,0.216,0.456,0.328
HEARTS FIVE CLUBS QUEEN,0.3578,0.013,0.6292
DIAMONDS KING CLUBS KING,0.1248,0.0062,0.869
DIAMONDS KING CLUBS QUEEN,0.2974,0.0064,0.6962
HEARTS FIVE HEARTS JACK,0.2058,0.4458,0.3484
HEARTS FIVE HEARTS TEN,0.556,0.0164,0.4276
DIAMONDS KING CLUBS ACE,0.321,0.0066,0.6724
SPADES ACE CLUBS QUEEN,0.3088,0.0066,0.6846
SPADES KING CLUBS QUEEN,0.3054,0.0082,0.6864
SPADES QUEEN CLUBS QUEEN,0.1328,0.0108,0.8564
CLUBS TEN DIAMONDS KING,0.3396,0.0058,0.6546
SPADES JACK CLUBS QUEEN,0.2172,0.0424,0.7404
CLUBS SIX CLUBS QUEEN,0.3444,0.0116,0.644
SPADES TEN CLUBS QUEEN,0.3184,0.0116,0.67
CLUBS SIX CLUBS KING,0.3414,0.0072,0.6514
CLUBS SIX CLUBS ACE,0.3502,0.006,0.6438
HEARTS FIVE HEARTS KING,0.3448,0.0084,0.6468
HEARTS FIVE HEARTS QUEEN,0.3344,0.0136,0.652
CLUBS TEN CLUBS SIX,0.559,0.0174,0.4236
HEARTS FIVE HEARTS ACE,0.337,0.0064,0.6566
SPADES SEVEN HEARTS JACK,0.213,0.3018,0.4852
SPADES SEVEN HEARTS TEN,0.556,0.0202,0.4238
DIAMONDS TWO CLUBS TWO,0.4154,0.0522,0.5324
DIAMONDS TWO CLUBS THREE,0.6956,0.06,0.2444
DIAMONDS TWO HEARTS SIX,0.6046,0.025,0.3704
DIAMONDS TWO HEARTS QUEEN,0.3752,0.0154,0.6094
HEARTS SEVEN DIAMONDS TWO,0.621,0.0208,0.3582
DIAMONDS TWO HEARTS KING,0.3926,0.0096,0.5978
DIAMONDS TWO HEARTS EIGHT,0.6116,0.0172,0.3712
DIAMONDS TWO HEARTS ACE,0.3674,0.0052,0.6274
DIAMONDS TWO HEARTS NINE,0.6222,0.0214,0.3564
DIAMONDS TWO DIAMONDS QUEEN,0.3686,0.0132,0.6182
DIAMONDS TWO HEARTS TWO,0.4128,0.0508,0.5364
DIAMONDS TWO DIAMONDS KING,0.3618,0.0074,0.6308
DIAMONDS TWO DIAMONDS ACE,0.3574,0.0034,0.6392
HEARTS FOUR DIAMONDS TWO,0.6006,0.0222,0.3772
HEARTS FIVE DIAMONDS TWO,0.609,0.0224,0.3686
SPADES SEVEN HEARTS ACE,0.3624,0.0048,0.6328
DIAMONDS TWO DIAMONDS TEN,0.5858,0.0176,0.3966
SPADES SEVEN HEARTS KING,0.3624,0.0076,0.63
DIAMONDS TWO DIAMONDS JACK,0.2446,0.498,0.2574
SPADES SEVEN HEARTS QUEEN,0.3542,0.0106,0.6352
DIAMONDS TWO SPADES NINE,0.619,0.0204,0.3606
DIAMONDS TWO SPADES EIGHT,0.6126,0.0166,0.3708
DIAMONDS TWO SPADES SEVEN,0.6078,0.0198,0.3724
DIAMONDS TWO SPADES SIX,0.6108,0.021,0.3682
DIAMONDS TWO SPADES FIVE,0.6074,0.0222,0.3704
DIAMONDS TWO SPADES FOUR,0.6066,0.0216,0.3718
DIAMONDS TWO SPADES THREE,0.671,0.0644,0.2646
DIAMONDS TWO SPADES TWO,0.4004,0.0502,0.5494
CLUBS NINE DIAMONDS TWO,0.6076,0.019,0.3734
DIAMONDS TWO CLUBS EIGHT,0.6246,0.0168,0.3586
CLUBS SEVEN DIAMONDS TWO,0.6282,0.02,0.3518
DIAMONDS TWO CLUBS SIX,0.6328,0.0198,0.3474
DIAMONDS TWO CLUBS FIVE,0.597,0.0236,0.3794
DIAMONDS TWO CLUBS FOUR,0.6094,0.0212,0.3694
CLUBS FOUR SPADES FIVE,0.55,0.0218,0.4282
CLUBS FOUR SPADES FOUR,0.3186,0.0504,0.631
CLUBS FOUR SPADES THREE,0.6692,0.0584,0.2724
CLUBS FOUR SPADES TWO,0.6042,0.0226,0.3732
SPADES NINE CLUBS FOUR,0.6146,0.0178,0.3676
SPADES EIGHT CLUBS FOUR,0.5944,0.0176,0.388
SPADES SEVEN CLUBS FOUR,0.5818,0.0222,0.396
CLUBS FOUR SPADES SIX,0.5748,0.0216,0.4036
SPADES ACE DIAMONDS SIX,0.3606,0.0038,0.6356
SPADES QUEEN DIAMONDS SIX,0.3584,0.0108,0.6308
SPADES KING DIAMONDS SIX,0.3694,0.0054,0.6252
SPADES TEN DIAMONDS SIX,0.5806,0.0174,0.402
SPADES JACK DIAMONDS SIX,0.2186,0.3872,0.3942
SPADES QUEEN SPADES TWO,0.3636,0.0096,0.6268
SPADES KING SPADES TWO,0.3762,0.0114,0.6124
SPADES ACE SPADES TWO,0.3534,0.0058,0.6408
CLUBS TEN DIAMONDS JACK,0.2204,0.12,0.6596
DIAMONDS JACK CLUBS KING,0.2228,0.033,0.7442
DIAMONDS JACK CLUBS QUEEN,0.2216,0.0434,0.735
DIAMONDS THREE DIAMONDS JACK,0.0182,0.9036,0.0782
DIAMONDS THREE DIAMONDS TEN,0.6702,0.049,0.2808
DIAMONDS JACK CLUBS ACE,0.2272,0.02,0.7528
DIAMONDS THREE DIAMONDS KING,0.236,0.0326,0.7314
DIAMONDS THREE DIAMONDS QUEEN,0.2252,0.0404,0.7344
DIAMONDS THREE HEARTS TWO,0.6868,0.0588,0.2544
HEARTS FIVE DIAMONDS THREE,0.657,0.0582,0.2848
DIAMONDS THREE DIAMONDS ACE,0.233,0.019,0.748
HEARTS FOUR DIAMONDS THREE,0.6532,0.0594,0.2874
HEARTS SEVEN DIAMONDS THREE,0.6954,0.0536,0.251
SPADES TEN SPADES NINE,0.5006,0.016,0.4834
HEARTS SIX DIAMONDS THREE,0.6878,0.0498,0.2624
SPADES JACK SPADES NINE,0.219,0.1494,0.6316
DIAMONDS THREE HEARTS NINE,0.7076,0.0652,0.2272
HEARTS JACK DIAMONDS FOUR,0.217,0.5094,0.2736
HEARTS ACE HEARTS KING,0.2946,0.0048,0.7006
SPADES TEN SPADES TWO,0.5784,0.022,0.3996
DIAMONDS THREE HEARTS EIGHT,0.708,0.0538,0.2382
HEARTS TEN DIAMONDS FOUR,0.5902,0.02,0.3898
SPADES JACK SPADES TWO,0.246,0.49,0.264
HEARTS QUEEN DIAMONDS FOUR,0.3664,0.0106,0.623
HEARTS KING DIAMONDS FOUR,0.359,0.0096,0.6314
SPADES ACE SPADES NINE,0.3452,0.0044,0.6504
HEARTS ACE DIAMONDS FOUR,0.3442,0.0062,0.6496
SPADES KING SPADES NINE,0.3328,0.0068,0.6604
SPADES QUEEN SPADES NINE,0.3296,0.0094,0.661
DIAMONDS THREE SPADES NINE,0.6988,0.0592,0.242
DIAMONDS THREE SPADES EIGHT,0.697,0.054,0.249
DIAMONDS THREE SPADES SEVEN,0.692,0.052,0.256
DIAMONDS THREE SPADES SIX,0.6904,0.0516,0.258
DIAMONDS THREE CLUBS SIX,0.6928,0.052,0.2552
CLUBS FIVE CLUBS SIX,0.536,0.0202,0.4438
CLUBS ACE DIAMONDS FOUR,0.354,0.0068,0.6392
CLUBS SEVEN DIAMONDS THREE,0.6904,0.0634,0.2462
CLUBS SEVEN CLUBS FIVE,0.539,0.0186,0.4424
DIAMONDS THREE CLUBS FOUR,0.6726,0.0648,0.2626
DIAMONDS FOUR CLUBS QUEEN,0.3602,0.0106,0.6292
DIAMONDS THREE CLUBS FIVE,0.6726,0.0572,0.2702
DIAMONDS FOUR CLUBS KING,0.369,0.0078,0.6232
DIAMONDS THREE CLUBS TWO,0.689,0.0624,0.2486
CLUBS TEN DIAMONDS FOUR,0.5954,0.0166,0.388
DIAMONDS THREE CLUBS THREE,0.2942,0.0392,0.6666
DIAMONDS THREE SPADES FOUR,0.6614,0.058,0.2806
DIAMONDS THREE SPADES FIVE,0.659,0.0524,0.2886
DIAMONDS THREE SPADES TWO,0.6854,0.0602,0.2544
DIAMONDS THREE SPADES THREE,0.2946,0.0396,0.6658
CLUBS EIGHT DIAMONDS THREE,0.7178,0.055,0.2272
CLUBS NINE DIAMONDS THREE,0.7034,0.0598,0.2368
SPADES SEVEN CLUBS ACE,0.359,0.004,0.637
SPADES SEVEN CLUBS QUEEN,0.3482,0.011,0.6408
SPADES SEVEN CLUBS KING,0.3646,0.0088,0.6266
CLUBS FIVE SPADES SEVEN,0.5694,0.021,0.4096
CLUBS TEN SPADES SEVEN,0.5712,0.0158,0.413
CLUBS FIVE SPADES SIX,0.563,0.0178,0.4192
CLUBS FIVE SPADES NINE,0.5812,0.018,0.4008
CLUBS FIVE SPADES EIGHT,0.5736,0.018,0.4084
CLUBS FIVE SPADES THREE,0.671,0.0624,0.2666
CLUBS FIVE SPADES TWO,0.597,0.0216,0.3814
CLUBS FIVE SPADES FIVE,0.3142,0.0462,0.6396
CLUBS FIVE SPADES FOUR,0.5584,0.0194,0.4222
CLUBS NINE CLUBS FIVE,0.5496,0.0194,0.431
CLUBS EIGHT CLUBS FIVE,0.5434,0.0182,0.4384
CLUBS ACE CLUBS QUEEN,0.3002,0.006,0.6938
CLUBS KING CLUBS QUEEN,0.2968,0.0076,0.6956
DIAMONDS TEN DIAMONDS FOUR,0.5652,0.0182,0.4166
CLUBS TEN DIAMONDS NINE,0.5342,0.0196,0.4462
DIAMONDS JACK DIAMONDS FOUR,0.199,0.4892,0.3118
CLUBS TEN SPADES NINE,0.541,0.013,0.446
DIAMONDS ACE DIAMONDS FOUR,0.3188,0.003,0.6782
HEARTS FOUR DIAMONDS FOUR,0.3022,0.0536,0.6442
DIAMONDS JACK HEARTS TEN,0.2326,0.1178,0.6496
SPADES NINE CLUBS KING,0.3458,0.008,0.6462
DIAMONDS TWO SPADES TEN,0.621,0.0184,0.3606
DIAMONDS NINE CLUBS ACE,0.3512,0.0046,0.6442
HEARTS FIVE DIAMONDS FOUR,0.546,0.0212,0.4328
DIAMONDS JACK HEARTS JACK,0.0748,0.044,0.8812
