opposingHand,winningChance,drawChance,lostChance
CLUBS JACK SPADES FOUR
HEARTS FIVE SPADES TEN,0.5866,0.021,0.3924
SPADES JACK HEARTS FIVE,0.2164,0.4568,0.3268
SPADES FIVE CLUBS TEN,0.609,0.018,0.373
CLUBS EIGHT CLUBS TEN,0.5366,0.018,0.4454
CLUBS EIGHT CLUBS KING,0.3576,0.0082,0.6342
SPADES FIVE CLUBS ACE,0.3472,0.0054,0.6474
CLUBS EIGHT CLUBS QUEEN,0.3386,0.0124,0.649
SPADES FIVE CLUBS KING,0.3532,0.008,0.6388
SPADES FIVE CLUBS QUEEN,0.3468,0.0138,0.6394
CLUBS EIGHT CLUBS ACE,0.3334,0.006,0.6606
DIAMONDS TWO DIAMONDS THREE,0.594,0.0208,0.3852
DIAMONDS TWO DIAMONDS FIVE,0.5644,0.0184,0.4172
SPADES KING HEARTS FIVE,0.3418,0.007,0.6512
DIAMONDS TWO DIAMONDS FOUR,0.6436,0.0616,0.2948
SPADES QUEEN HEARTS FIVE,0.344,0.0108,0.6452
DIAMONDS TWO DIAMONDS SEVEN,0.5922,0.018,0.3898
DIAMONDS TWO DIAMONDS SIX,0.5792,0.0202,0.4006
SPADES ACE HEARTS FIVE,0.3676,0.0032,0.6292
DIAMONDS TWO DIAMONDS NINE,0.5818,0.0168,0.4014
DIAMONDS TWO DIAMONDS EIGHT,0.5744,0.0206,0.405
DIAMONDS THREE DIAMONDS FOUR,0.6184,0.063,0.3186
DIAMONDS THREE DIAMONDS FIVE,0.555,0.0154,0.4296
CLUBS TWO SPADES FIVE,0.6044,0.0228,0.3728
CLUBS TWO SPADES TWO,0.4066,0.053,0.5404
CLUBS TWO SPADES THREE,0.6368,0.0228,0.3404
DIAMONDS THREE DIAMONDS EIGHT,0.5736,0.018,0.4084
SPADES EIGHT CLUBS TWO,0.6114,0.0176,0.371
DIAMONDS THREE DIAMONDS NINE,0.5782,0.0198,0.402
SPADES NINE CLUBS TWO,0.6328,0.0176,0.3496
DIAMONDS THREE DIAMONDS SIX,0.5724,0.0184,0.4092
CLUBS TWO SPADES SIX,0.6198,0.0236,0.3566
