opposingHand,winningChance,drawChance,lostChance
CLUBS JACK SPADES QUEEN
SPADES TEN HEARTS FIVE,0.691,0.0112,0.2978
SPADES JACK HEARTS FIVE,0.7338,0.0386,0.2276
SPADES FIVE CLUBS TEN,0.6968,0.0116,0.2916
CLUBS EIGHT CLUBS TEN,0.6202,0.013,0.3668
CLUBS EIGHT CLUBS KING,0.4234,0.0082,0.5684
SPADES FIVE CLUBS ACE,0.4254,0.0064,0.5682
CLUBS EIGHT CLUBS QUEEN,0.6476,0.0858,0.2666
SPADES FIVE CLUBS KING,0.4348,0.009,0.5562
SPADES FIVE CLUBS QUEEN,0.6684,0.0932,0.2384
CLUBS EIGHT CLUBS ACE,0.4054,0.004,0.5906
DIAMONDS TWO DIAMONDS THREE,0.5992,0.0096,0.3912
DIAMONDS TWO DIAMONDS FIVE,0.602,0.0082,0.3898
SPADES KING HEARTS FIVE,0.4192,0.0086,0.5722
DIAMONDS TWO DIAMONDS FOUR,0.6092,0.0104,0.3804
DIAMONDS TWO DIAMONDS SEVEN,0.633,0.0108,0.3562
DIAMONDS TWO DIAMONDS SIX,0.6284,0.008,0.3636
SPADES ACE HEARTS FIVE,0.4208,0.0054,0.5738
DIAMONDS TWO DIAMONDS NINE,0.6366,0.0094,0.354
DIAMONDS TWO DIAMONDS EIGHT,0.6272,0.0116,0.3612
DIAMONDS THREE DIAMONDS FOUR,0.6002,0.0104,0.3894
CLUBS TWO SPADES FOUR,0.6516,0.0158,0.3326
DIAMONDS THREE DIAMONDS FIVE,0.5962,0.0082,0.3956
CLUBS TWO SPADES FIVE,0.6502,0.0102,0.3396
CLUBS TWO SPADES TWO,0.483,0.0158,0.5012
CLUBS TWO SPADES THREE,0.6588,0.011,0.3302
DIAMONDS THREE DIAMONDS EIGHT,0.6272,0.0084,0.3644
SPADES EIGHT CLUBS TWO,0.6888,0.0124,0.2988
DIAMONDS THREE DIAMONDS NINE,0.6336,0.0096,0.3568
SPADES NINE CLUBS TWO,0.6868,0.0098,0.3034
DIAMONDS THREE DIAMONDS SIX,0.6192,0.0066,0.3742
CLUBS TWO SPADES SIX,0.6754,0.0134,0.3112
DIAMONDS THREE DIAMONDS SEVEN,0.6178,0.0092,0.373
SPADES SEVEN CLUBS TWO,0.6894,0.011,0.2996
CLUBS SIX CLUBS TWO,0.6352,0.0094,0.3554
CLUBS SEVEN CLUBS TWO,0.6504,0.0112,0.3384
CLUBS FOUR CLUBS TWO,0.632,0.0102,0.3578
CLUBS FIVE CLUBS TWO,0.6144,0.0112,0.3744
DIAMONDS FOUR DIAMONDS SIX,0.5962,0.009,0.3948
CLUBS QUEEN CLUBS TEN,0.6402,0.0844,0.2754
DIAMONDS FOUR DIAMONDS SEVEN,0.6094,0.01,0.3806
CLUBS KING CLUBS TEN,0.3812,0.0066,0.6122
CLUBS ACE CLUBS TEN,0.392,0.0046,0.6034
CLUBS EIGHT CLUBS TWO,0.6396,0.0114,0.349
DIAMONDS FIVE DIAMONDS FOUR,0.5706,0.0084,0.421
CLUBS NINE CLUBS TWO,0.6466,0.0102,0.3432
DIAMONDS NINE DIAMONDS FOUR,0.6262,0.0086,0.3652
DIAMONDS EIGHT DIAMONDS FOUR,0.6078,0.0108,0.3814
CLUBS TWO CLUBS THREE,0.6292,0.0102,0.3606
DIAMONDS NINE DIAMONDS FIVE,0.6196,0.009,0.3714
DIAMONDS EIGHT DIAMONDS FIVE,0.6016,0.009,0.3894
DIAMONDS TWO CLUBS TEN,0.6794,0.0096,0.311
DIAMONDS FIVE DIAMONDS SEVEN,0.5858,0.0094,0.4048
DIAMONDS FIVE DIAMONDS SIX,0.5854,0.0066,0.408
DIAMONDS TWO CLUBS ACE,0.413,0.0058,0.5812
DIAMONDS TWO CLUBS KING,0.4448,0.0086,0.5466
DIAMONDS TWO CLUBS QUEEN,0.6792,0.095,0.2258
DIAMONDS EIGHT DIAMONDS SIX,0.5908,0.0126,0.3966
DIAMONDS NINE DIAMONDS SIX,0.621,0.0118,0.3672
HEARTS ACE SPADES THREE,0.4518,0.0054,0.5428
HEARTS KING SPADES THREE,0.45,0.0074,0.5426
DIAMONDS SEVEN DIAMONDS SIX,0.598,0.0092,0.3928
SPADES THREE HEARTS QUEEN,0.6884,0.0872,0.2244
SPADES THREE HEARTS JACK,0.7206,0.0486,0.2308
SPADES THREE HEARTS TEN,0.692,0.0106,0.2974
DIAMONDS EIGHT DIAMONDS SEVEN,0.5908,0.0098,0.3994
DIAMONDS NINE DIAMONDS SEVEN,0.6058,0.0106,0.3836
DIAMONDS NINE DIAMONDS EIGHT,0.6046,0.0108,0.3846
DIAMONDS KING HEARTS TEN,0.3934,0.0074,0.5992
HEARTS THREE HEARTS TEN,0.6394,0.009,0.3516
SPADES JACK CLUBS SIX,0.7464,0.0414,0.2122
DIAMONDS KING HEARTS JACK,0.2466,0.0266,0.7268
HEARTS THREE HEARTS JACK,0.6934,0.0434,0.2632
CLUBS SIX SPADES TEN,0.6846,0.0118,0.3036
SPADES JACK SPADES FIVE,0.7044,0.0406,0.255
SPADES TEN SPADES FIVE,0.6524,0.01,0.3376
DIAMONDS KING HEARTS ACE,0.3538,0.0034,0.6428
HEARTS THREE HEARTS ACE,0.4206,0.005,0.5744
SPADES ACE CLUBS SIX,0.4406,0.006,0.5534
DIAMONDS KING HEARTS QUEEN,0.2518,0.0234,0.7248
HEARTS THREE HEARTS QUEEN,0.6454,0.084,0.2706
SPADES KING CLUBS SIX,0.4422,0.0074,0.5504
DIAMONDS KING HEARTS KING,0.1578,0.0034,0.8388
HEARTS THREE HEARTS KING,0.3918,0.0082,0.6
SPADES NINE HEARTS TEN,0.6478,0.0096,0.3426
SPADES NINE HEARTS JACK,0.7072,0.0418,0.251
SPADES KING SPADES FIVE,0.4246,0.0062,0.5692
SPADES ACE SPADES FIVE,0.4182,0.0058,0.576
SPADES NINE HEARTS QUEEN,0.6872,0.0842,0.2286
SPADES NINE HEARTS KING,0.4304,0.0066,0.563
SPADES NINE HEARTS ACE,0.4346,0.0034,0.562
SPADES JACK CLUBS TEN,0.719,0.0434,0.2376
SPADES TEN CLUBS TEN,0.4366,0.0078,0.5556
SPADES ACE CLUBS TEN,0.4182,0.0074,0.5744
SPADES KING CLUBS TEN,0.3938,0.0066,0.5996
SPADES FIVE HEARTS QUEEN,0.6738,0.0918,0.2344
SPADES FIVE HEARTS KING,0.4356,0.0078,0.5566
SPADES FIVE HEARTS ACE,0.425,0.0042,0.5708
HEARTS THREE SPADES JACK,0.735,0.0484,0.2166
SPADES JACK DIAMONDS KING,0.2442,0.0276,0.7282
CLUBS EIGHT SPADES TEN,0.671,0.011,0.318
CLUBS EIGHT SPADES JACK,0.7314,0.0376,0.231
HEARTS THREE SPADES TEN,0.6968,0.0096,0.2936
SPADES TEN DIAMONDS KING,0.4032,0.006,0.5908
SPADES ACE CLUBS EIGHT,0.4252,0.004,0.5708
CLUBS SIX HEARTS ACE,0.4516,0.0034,0.545
HEARTS FIVE CLUBS TEN,0.6956,0.009,0.2954
SPADES THREE CLUBS TEN,0.6964,0.0132,0.2904
CLUBS SIX HEARTS QUEEN,0.6864,0.088,0.2256
CLUBS EIGHT SPADES KING,0.431,0.0058,0.5632
CLUBS SIX HEARTS KING,0.44,0.0064,0.5536
DIAMONDS TWO HEARTS JACK,0.7428,0.0396,0.2176
SPADES THREE CLUBS QUEEN,0.6842,0.0926,0.2232
DIAMONDS TWO HEARTS TEN,0.6856,0.0102,0.3042
SPADES THREE CLUBS KING,0.4382,0.0082,0.5536
HEARTS FIVE CLUBS ACE,0.4372,0.0036,0.5592
SPADES FIVE HEARTS TEN,0.6908,0.0086,0.3006
SPADES THREE CLUBS ACE,0.4428,0.0054,0.5518
HEARTS FIVE CLUBS KING,0.431,0.0092,0.5598
SPADES FIVE HEARTS JACK,0.7294,0.0406,0.23
HEARTS FIVE CLUBS QUEEN,0.6656,0.094,0.2404
HEARTS THREE CLUBS KING,0.4426,0.0058,0.5516
DIAMONDS KING CLUBS KING,0.1446,0.0046,0.8508
HEARTS THREE CLUBS QUEEN,0.6736,0.0914,0.235
DIAMONDS KING CLUBS QUEEN,0.2322,0.0252,0.7426
HEARTS FIVE HEARTS JACK,0.685,0.0422,0.2728
HEARTS FIVE HEARTS TEN,0.6382,0.0072,0.3546
HEARTS THREE CLUBS ACE,0.4274,0.0042,0.5684
DIAMONDS KING CLUBS ACE,0.3458,0.0046,0.6496
SPADES ACE CLUBS QUEEN,0.2512,0.014,0.7348
SPADES KING CLUBS QUEEN,0.2348,0.0284,0.7368
HEARTS THREE CLUBS TEN,0.6836,0.01,0.3064
DIAMONDS KING CLUBS TEN,0.4024,0.0048,0.5928
SPADES JACK CLUBS QUEEN,0.0054,0.9876,0.007
CLUBS SIX CLUBS QUEEN,0.6392,0.0886,0.2722
SPADES TEN CLUBS QUEEN,0.6872,0.0946,0.2182
CLUBS SIX CLUBS KING,0.4138,0.0072,0.579
CLUBS SIX CLUBS ACE,0.4144,0.0046,0.581
HEARTS FIVE HEARTS KING,0.4158,0.0062,0.578
HEARTS FIVE HEARTS QUEEN,0.622,0.085,0.293
CLUBS SIX CLUBS TEN,0.642,0.0098,0.3482
HEARTS FIVE HEARTS ACE,0.4144,0.0046,0.581
SPADES SEVEN HEARTS JACK,0.7406,0.0458,0.2136
SPADES SEVEN HEARTS TEN,0.6638,0.0076,0.3286
DIAMONDS TWO CLUBS TWO,0.4796,0.0192,0.5012
DIAMONDS TWO CLUBS THREE,0.6514,0.01,0.3386
HEARTS SIX DIAMONDS TWO,0.664,0.009,0.327
DIAMONDS TWO HEARTS QUEEN,0.6782,0.0928,0.229
DIAMONDS TWO HEARTS SEVEN,0.6752,0.008,0.3168
DIAMONDS TWO HEARTS KING,0.4424,0.0066,0.551
DIAMONDS TWO HEARTS EIGHT,0.6646,0.0124,0.323
DIAMONDS TWO HEARTS ACE,0.4352,0.0048,0.56
DIAMONDS TWO HEARTS NINE,0.6884,0.0074,0.3042
DIAMONDS TWO DIAMONDS QUEEN,0.6302,0.0896,0.2802
DIAMONDS TWO HEARTS TWO,0.4762,0.0164,0.5074
DIAMONDS TWO DIAMONDS KING,0.403,0.0066,0.5904
HEARTS THREE DIAMONDS TWO,0.6508,0.0116,0.3376
DIAMONDS TWO DIAMONDS ACE,0.41,0.0044,0.5856
HEARTS FOUR DIAMONDS TWO,0.6376,0.0098,0.3526
DIAMONDS TWO HEARTS FIVE,0.6292,0.0114,0.3594
SPADES SEVEN HEARTS ACE,0.432,0.0044,0.5636
DIAMONDS TWO DIAMONDS TEN,0.6452,0.0094,0.3454
SPADES SEVEN HEARTS KING,0.4436,0.0056,0.5508
DIAMONDS TWO DIAMONDS JACK,0.6846,0.0386,0.2768
SPADES SEVEN HEARTS QUEEN,0.6808,0.0954,0.2238
DIAMONDS TWO SPADES NINE,0.6934,0.0114,0.2952
DIAMONDS TWO SPADES EIGHT,0.679,0.0114,0.3096
DIAMONDS TWO SPADES SEVEN,0.667,0.0124,0.3206
DIAMONDS TWO SPADES SIX,0.665,0.0102,0.3248
DIAMONDS TWO SPADES FIVE,0.6478,0.0112,0.341
DIAMONDS TWO SPADES FOUR,0.665,0.0102,0.3248
DIAMONDS TWO SPADES THREE,0.659,0.0112,0.3298
DIAMONDS TWO SPADES TWO,0.4912,0.016,0.4928
CLUBS NINE DIAMONDS TWO,0.6916,0.01,0.2984
CLUBS EIGHT DIAMONDS TWO,0.68,0.0106,0.3094
DIAMONDS TWO CLUBS SEVEN,0.6848,0.0124,0.3028
CLUBS SIX DIAMONDS TWO,0.6452,0.0094,0.3454
DIAMONDS TWO CLUBS FIVE,0.6352,0.0128,0.352
DIAMONDS TWO CLUBS FOUR,0.6562,0.0094,0.3344
CLUBS FOUR SPADES FIVE,0.6282,0.015,0.3568
CLUBS FOUR SPADES FOUR,0.4888,0.0136,0.4976
CLUBS FOUR SPADES THREE,0.6502,0.0098,0.34
CLUBS FOUR SPADES TWO,0.651,0.0114,0.3376
SPADES NINE CLUBS FOUR,0.6834,0.0112,0.3054
CLUBS FOUR SPADES EIGHT,0.6774,0.0086,0.314
CLUBS FOUR SPADES SEVEN,0.6626,0.0104,0.327
CLUBS FOUR SPADES SIX,0.6548,0.0078,0.3374
SPADES ACE DIAMONDS SIX,0.4432,0.0048,0.552
SPADES KING DIAMONDS SIX,0.4328,0.0062,0.561
