opposingHand,winningChance,drawChance,lostChance
CLUBS JACK SPADES TWO
HEARTS FIVE SPADES TEN,0.5748,0.0198,0.4054
SPADES JACK HEARTS FIVE,0.2148,0.452,0.3332
SPADES FIVE CLUBS TEN,0.5838,0.0216,0.3946
CLUBS EIGHT CLUBS TEN,0.5204,0.0172,0.4624
CLUBS EIGHT CLUBS KING,0.3364,0.0076,0.656
SPADES FIVE CLUBS ACE,0.3466,0.0064,0.647
CLUBS EIGHT CLUBS QUEEN,0.332,0.009,0.659
SPADES FIVE CLUBS KING,0.3468,0.007,0.6462
SPADES FIVE CLUBS QUEEN,0.3474,0.0122,0.6404
CLUBS EIGHT CLUBS ACE,0.3358,0.0054,0.6588
DIAMONDS TWO DIAMONDS THREE,0.6424,0.051,0.3066
DIAMONDS TWO DIAMONDS FIVE,0.638,0.0512,0.3108
SPADES KING HEARTS FIVE,0.3528,0.009,0.6382
DIAMONDS TWO DIAMONDS FOUR,0.639,0.0536,0.3074
SPADES QUEEN HEARTS FIVE,0.35,0.0108,0.6392
DIAMONDS TWO DIAMONDS SEVEN,0.6602,0.0454,0.2944
DIAMONDS TWO DIAMONDS SIX,0.661,0.0506,0.2884
SPADES ACE HEARTS FIVE,0.3558,0.0052,0.639
DIAMONDS TWO DIAMONDS NINE,0.6568,0.0498,0.2934
DIAMONDS TWO DIAMONDS EIGHT,0.6542,0.0552,0.2906
DIAMONDS THREE DIAMONDS FOUR,0.5348,0.0206,0.4446
CLUBS TWO SPADES FOUR,0.6932,0.0514,0.2554
DIAMONDS THREE DIAMONDS FIVE,0.5266,0.0194,0.454
CLUBS TWO SPADES FIVE,0.6758,0.0568,0.2674
CLUBS TWO SPADES THREE,0.692,0.054,0.254
DIAMONDS THREE DIAMONDS EIGHT,0.554,0.0172,0.4288
SPADES EIGHT CLUBS TWO,0.7094,0.0518,0.2388
DIAMONDS THREE DIAMONDS NINE,0.5526,0.019,0.4284
SPADES NINE CLUBS TWO,0.7116,0.0574,0.231
DIAMONDS THREE DIAMONDS SIX,0.5356,0.017,0.4474
CLUBS TWO SPADES SIX,0.7092,0.0486,0.2422
DIAMONDS THREE DIAMONDS SEVEN,0.5534,0.0196,0.427
CLUBS TWO SPADES SEVEN,0.6954,0.0528,0.2518
CLUBS SIX CLUBS TWO,0.661,0.0524,0.2866
CLUBS SEVEN CLUBS TWO,0.6798,0.0482,0.272
CLUBS FOUR CLUBS TWO,0.6454,0.0542,0.3004
CLUBS FIVE CLUBS TWO,0.6448,0.0544,0.3008
DIAMONDS FOUR DIAMONDS SIX,0.5206,0.0178,0.4616
CLUBS QUEEN CLUBS TEN,0.314,0.009,0.677
DIAMONDS FOUR DIAMONDS SEVEN,0.5256,0.018,0.4564
CLUBS KING CLUBS TEN,0.3154,0.008,0.6766
CLUBS ACE CLUBS TEN,0.3212,0.007,0.6718
CLUBS EIGHT CLUBS TWO,0.673,0.0556,0.2714
DIAMONDS FIVE DIAMONDS FOUR,0.5134,0.02,0.4666
CLUBS NINE CLUBS TWO,0.6746,0.0526,0.2728
DIAMONDS NINE DIAMONDS FOUR,0.5568,0.018,0.4252
DIAMONDS EIGHT DIAMONDS FOUR,0.5438,0.0176,0.4386
CLUBS TWO CLUBS THREE,0.651,0.0514,0.2976
DIAMONDS NINE DIAMONDS FIVE,0.5438,0.0162,0.44
DIAMONDS EIGHT DIAMONDS FIVE,0.505,0.0184,0.4766
DIAMONDS TWO CLUBS TEN,0.7192,0.0484,0.2324
DIAMONDS FIVE DIAMONDS SEVEN,0.513,0.0176,0.4694
DIAMONDS FIVE DIAMONDS SIX,0.5164,0.0202,0.4634
DIAMONDS TWO CLUBS ACE,0.226,0.0174,0.7566
DIAMONDS TWO CLUBS KING,0.2482,0.028,0.7238
DIAMONDS TWO CLUBS QUEEN,0.2236,0.0372,0.7392
DIAMONDS EIGHT DIAMONDS SIX,0.5196,0.0176,0.4628
DIAMONDS NINE DIAMONDS SIX,0.5334,0.0174,0.4492
HEARTS ACE SPADES THREE,0.3412,0.0056,0.6532
HEARTS KING SPADES THREE,0.3578,0.0102,0.632
DIAMONDS SEVEN DIAMONDS SIX,0.524,0.017,0.459
SPADES THREE HEARTS QUEEN,0.3574,0.013,0.6296
HEARTS JACK SPADES THREE,0.211,0.5296,0.2594
SPADES THREE HEARTS TEN,0.5996,0.0182,0.3822
DIAMONDS EIGHT DIAMONDS SEVEN,0.4946,0.0152,0.4902
DIAMONDS NINE DIAMONDS SEVEN,0.5052,0.0182,0.4766
DIAMONDS NINE DIAMONDS EIGHT,0.5078,0.0162,0.476
DIAMONDS KING HEARTS TEN,0.3172,0.0078,0.675
HEARTS THREE HEARTS TEN,0.5592,0.0198,0.421
CLUBS SIX SPADES JACK,0.2136,0.3982,0.3882
DIAMONDS KING HEARTS JACK,0.231,0.0312,0.7378
HEARTS THREE HEARTS JACK,0.1956,0.4912,0.3132
CLUBS SIX SPADES TEN,0.582,0.0176,0.4004
SPADES JACK SPADES FIVE,0.2072,0.4436,0.3492
SPADES TEN SPADES FIVE,0.5514,0.0168,0.4318
DIAMONDS KING HEARTS ACE,0.3212,0.0056,0.6732
HEARTS THREE HEARTS ACE,0.3192,0.0052,0.6756
SPADES ACE CLUBS SIX,0.3468,0.0052,0.648
DIAMONDS KING HEARTS QUEEN,0.319,0.0072,0.6738
HEARTS THREE HEARTS QUEEN,0.3384,0.0098,0.6518
SPADES KING CLUBS SIX,0.3566,0.0092,0.6342
DIAMONDS KING HEARTS KING,0.1314,0.007,0.8616
HEARTS THREE HEARTS KING,0.3312,0.0094,0.6594
SPADES QUEEN CLUBS SIX,0.3634,0.0128,0.6238
SPADES NINE HEARTS TEN,0.5408,0.0202,0.439
SPADES NINE HEARTS JACK,0.211,0.1756,0.6134
SPADES QUEEN SPADES FIVE,0.332,0.012,0.656
SPADES KING SPADES FIVE,0.3394,0.0114,0.6492
SPADES ACE SPADES FIVE,0.3396,0.0044,0.656
SPADES NINE HEARTS QUEEN,0.3286,0.0102,0.6612
SPADES NINE HEARTS KING,0.3478,0.0078,0.6444
SPADES NINE HEARTS ACE,0.345,0.0054,0.6496
SPADES JACK CLUBS TEN,0.2166,0.123,0.6604
SPADES TEN CLUBS TEN,0.2688,0.0254,0.7058
SPADES ACE CLUBS TEN,0.3386,0.0056,0.6558
SPADES KING CLUBS TEN,0.3418,0.0092,0.649
SPADES QUEEN CLUBS TEN,0.3186,0.0128,0.6686
SPADES FIVE HEARTS QUEEN,0.3434,0.0112,0.6454
HEARTS KING SPADES FIVE,0.3552,0.0074,0.6374
SPADES FIVE HEARTS ACE,0.337,0.0036,0.6594
CLUBS EIGHT SPADES TEN,0.5446,0.0198,0.4356
HEARTS THREE SPADES JACK,0.2098,0.5226,0.2676
SPADES JACK DIAMONDS KING,0.2226,0.033,0.7444
SPADES TEN DIAMONDS KING,0.3286,0.0076,0.6638
HEARTS THREE SPADES TEN,0.5916,0.0162,0.3922
CLUBS EIGHT SPADES JACK,0.2182,0.2108,0.571
SPADES ACE CLUBS EIGHT,0.3644,0.0056,0.63
CLUBS SIX HEARTS ACE,0.3652,0.0048,0.63
HEARTS FIVE CLUBS TEN,0.5962,0.021,0.3828
CLUBS EIGHT SPADES QUEEN,0.3398,0.0124,0.6478
SPADES THREE CLUBS TEN,0.5948,0.0204,0.3848
CLUBS SIX HEARTS QUEEN,0.3612,0.0116,0.6272
CLUBS EIGHT SPADES KING,0.355,0.007,0.638
CLUBS SIX HEARTS KING,0.3562,0.0084,0.6354
DIAMONDS TWO HEARTS JACK,0.0228,0.9546,0.0226
SPADES THREE CLUBS QUEEN,0.3478,0.0138,0.6384
DIAMONDS TWO HEARTS TEN,0.6976,0.0532,0.2492
SPADES THREE CLUBS KING,0.3528,0.0082,0.639
HEARTS FIVE CLUBS ACE,0.344,0.0062,0.6498
SPADES FIVE HEARTS TEN,0.5858,0.0198,0.3944
SPADES THREE CLUBS ACE,0.3452,0.0064,0.6484
HEARTS FIVE CLUBS KING,0.3468,0.0078,0.6454
SPADES FIVE HEARTS JACK,0.196,0.4706,0.3334
HEARTS FIVE CLUBS QUEEN,0.3568,0.0098,0.6334
HEARTS THREE CLUBS KING,0.3468,0.0098,0.6434
DIAMONDS KING CLUBS KING,0.1234,0.0098,0.8668
HEARTS THREE CLUBS QUEEN,0.3418,0.0142,0.644
DIAMONDS KING CLUBS QUEEN,0.2972,0.0082,0.6946
HEARTS FIVE HEARTS JACK,0.2034,0.444,0.3526
HEARTS FIVE HEARTS TEN,0.5554,0.0156,0.429
HEARTS THREE CLUBS ACE,0.3482,0.0072,0.6446
DIAMONDS KING CLUBS ACE,0.3096,0.007,0.6834
SPADES ACE CLUBS QUEEN,0.3108,0.0046,0.6846
SPADES KING CLUBS QUEEN,0.303,0.0058,0.6912
SPADES QUEEN CLUBS QUEEN,0.123,0.0136,0.8634
HEARTS THREE CLUBS TEN,0.5936,0.0174,0.389
DIAMONDS KING CLUBS TEN,0.3266,0.0072,0.6662
SPADES JACK CLUBS QUEEN,0.2106,0.0426,0.7468
CLUBS SIX CLUBS QUEEN,0.346,0.0126,0.6414
SPADES TEN CLUBS QUEEN,0.332,0.0068,0.6612
CLUBS SIX CLUBS KING,0.3404,0.0078,0.6518
CLUBS SIX CLUBS ACE,0.3424,0.0044,0.6532
HEARTS FIVE HEARTS KING,0.3494,0.0064,0.6442
HEARTS FIVE HEARTS QUEEN,0.3306,0.012,0.6574
CLUBS SIX CLUBS TEN,0.5644,0.0156,0.42
HEARTS FIVE HEARTS ACE,0.3206,0.006,0.6734
SPADES SEVEN HEARTS JACK,0.2176,0.2954,0.487
SPADES SEVEN HEARTS TEN,0.5642,0.0152,0.4206
DIAMONDS TWO CLUBS TWO,0.2846,0.0404,0.675
DIAMONDS TWO CLUBS THREE,0.6948,0.0592,0.246
HEARTS SIX DIAMONDS TWO,0.7072,0.0506,0.2422
DIAMONDS TWO HEARTS QUEEN,0.2344,0.0436,0.722
DIAMONDS TWO HEARTS SEVEN,0.7044,0.0504,0.2452
DIAMONDS TWO HEARTS KING,0.2346,0.0284,0.737
DIAMONDS TWO HEARTS EIGHT,0.7106,0.0558,0.2336
DIAMONDS TWO HEARTS ACE,0.2418,0.018,0.7402
DIAMONDS TWO HEARTS NINE,0.7012,0.0554,0.2434
DIAMONDS TWO DIAMONDS QUEEN,0.2218,0.037,0.7412
DIAMONDS TWO HEARTS TWO,0.2916,0.0356,0.6728
DIAMONDS TWO DIAMONDS KING,0.232,0.0268,0.7412
HEARTS THREE DIAMONDS TWO,0.6952,0.0504,0.2544
DIAMONDS TWO DIAMONDS ACE,0.2214,0.0176,0.761
HEARTS FOUR DIAMONDS TWO,0.663,0.0562,0.2808
DIAMONDS TWO HEARTS FIVE,0.6744,0.0592,0.2664
SPADES SEVEN HEARTS ACE,0.3494,0.0044,0.6462
DIAMONDS TWO DIAMONDS TEN,0.6682,0.0536,0.2782
SPADES SEVEN HEARTS KING,0.356,0.008,0.636
DIAMONDS TWO DIAMONDS JACK,0.02,0.9062,0.0738
SPADES SEVEN HEARTS QUEEN,0.3582,0.0128,0.629
DIAMONDS TWO SPADES NINE,0.6986,0.0548,0.2466
DIAMONDS TWO SPADES EIGHT,0.7002,0.0548,0.245
DIAMONDS TWO SPADES SEVEN,0.7032,0.0562,0.2406
DIAMONDS TWO SPADES SIX,0.6988,0.0516,0.2496
DIAMONDS TWO SPADES FIVE,0.6786,0.0522,0.2692
DIAMONDS TWO SPADES FOUR,0.6826,0.0536,0.2638
DIAMONDS TWO SPADES THREE,0.678,0.059,0.263
CLUBS NINE DIAMONDS TWO,0.71,0.0548,0.2352
CLUBS EIGHT DIAMONDS TWO,0.7134,0.052,0.2346
DIAMONDS TWO CLUBS SEVEN,0.7098,0.0426,0.2476
CLUBS SIX DIAMONDS TWO,0.7066,0.0464,0.247
DIAMONDS TWO CLUBS FIVE,0.6874,0.0532,0.2594
DIAMONDS TWO CLUBS FOUR,0.6732,0.051,0.2758
CLUBS FOUR SPADES FIVE,0.5396,0.0256,0.4348
CLUBS FOUR SPADES FOUR,0.295,0.0506,0.6544
CLUBS FOUR SPADES THREE,0.5648,0.024,0.4112
CLUBS FOUR SPADES NINE,0.5982,0.02,0.3818
CLUBS FOUR SPADES EIGHT,0.5862,0.0198,0.394
CLUBS FOUR SPADES SEVEN,0.5538,0.0206,0.4256
