opposingHand,winningChance,drawChance,lostChance
CLUBS KING HEARTS TEN
HEARTS FIVE SPADES TEN,0.7436,0.0382,0.2182
SPADES JACK HEARTS FIVE,0.6556,0.0088,0.3356
SPADES FIVE CLUBS JACK,0.6548,0.0074,0.3378
CLUBS TEN SPADES FIVE,0.7394,0.0344,0.2262
CLUBS EIGHT CLUBS JACK,0.6064,0.0054,0.3882
CLUBS TEN CLUBS EIGHT,0.692,0.035,0.273
SPADES FIVE CLUBS ACE,0.4102,0.0042,0.5856
CLUBS EIGHT CLUBS QUEEN,0.6178,0.0084,0.3738
SPADES FIVE CLUBS QUEEN,0.6612,0.0058,0.333
CLUBS EIGHT CLUBS ACE,0.4038,0.0038,0.5924
DIAMONDS TWO DIAMONDS THREE,0.6056,0.0068,0.3876
DIAMONDS TWO DIAMONDS FIVE,0.6112,0.0074,0.3814
SPADES KING HEARTS FIVE,0.6518,0.1216,0.2266
DIAMONDS TWO DIAMONDS FOUR,0.6078,0.0062,0.386
SPADES QUEEN HEARTS FIVE,0.6476,0.0066,0.3458
DIAMONDS TWO DIAMONDS SEVEN,0.6204,0.0076,0.372
DIAMONDS TWO DIAMONDS SIX,0.6046,0.0084,0.387
SPADES ACE HEARTS FIVE,0.421,0.0044,0.5746
DIAMONDS TWO DIAMONDS NINE,0.6462,0.004,0.3498
DIAMONDS TWO DIAMONDS EIGHT,0.621,0.0074,0.3716
DIAMONDS THREE DIAMONDS FOUR,0.5922,0.0078,0.4
CLUBS TWO SPADES FOUR,0.6548,0.0066,0.3386
DIAMONDS THREE DIAMONDS FIVE,0.594,0.0078,0.3982
SPADES FIVE CLUBS TWO,0.6538,0.008,0.3382
CLUBS TWO SPADES TWO,0.4792,0.0108,0.51
CLUBS TWO SPADES THREE,0.6442,0.008,0.3478
DIAMONDS THREE DIAMONDS EIGHT,0.6272,0.0042,0.3686
SPADES EIGHT CLUBS TWO,0.6802,0.008,0.3118
DIAMONDS THREE DIAMONDS NINE,0.626,0.0082,0.3658
SPADES NINE CLUBS TWO,0.6876,0.0076,0.3048
DIAMONDS THREE DIAMONDS SIX,0.6028,0.007,0.3902
SPADES SIX CLUBS TWO,0.6574,0.006,0.3366
DIAMONDS THREE DIAMONDS SEVEN,0.6088,0.0068,0.3844
SPADES SEVEN CLUBS TWO,0.683,0.006,0.311
CLUBS SIX CLUBS TWO,0.633,0.0086,0.3584
CLUBS SEVEN CLUBS TWO,0.6556,0.0074,0.337
CLUBS FOUR CLUBS TWO,0.6172,0.0084,0.3744
CLUBS FIVE CLUBS TWO,0.629,0.0074,0.3636
CLUBS TEN CLUBS JACK,0.6894,0.0262,0.2844
DIAMONDS FOUR DIAMONDS SIX,0.5908,0.007,0.4022
CLUBS TEN CLUBS QUEEN,0.6914,0.0308,0.2778
DIAMONDS FOUR DIAMONDS SEVEN,0.5922,0.008,0.3998
CLUBS TEN CLUBS ACE,0.2458,0.0174,0.7368
CLUBS EIGHT CLUBS TWO,0.6332,0.0076,0.3592
DIAMONDS FIVE DIAMONDS FOUR,0.5836,0.0096,0.4068
CLUBS NINE CLUBS TWO,0.656,0.007,0.337
DIAMONDS NINE DIAMONDS FOUR,0.6364,0.0076,0.356
DIAMONDS EIGHT DIAMONDS FOUR,0.622,0.006,0.372
CLUBS THREE CLUBS TWO,0.6368,0.0088,0.3544
DIAMONDS NINE DIAMONDS FIVE,0.6128,0.007,0.3802
DIAMONDS TWO CLUBS JACK,0.6764,0.0084,0.3152
DIAMONDS EIGHT DIAMONDS FIVE,0.6056,0.0056,0.3888
CLUBS TEN DIAMONDS TWO,0.7358,0.0354,0.2288
DIAMONDS FIVE DIAMONDS SEVEN,0.587,0.0068,0.4062
DIAMONDS FIVE DIAMONDS SIX,0.5688,0.0076,0.4236
DIAMONDS TWO CLUBS ACE,0.4208,0.0052,0.574
DIAMONDS TWO CLUBS QUEEN,0.6564,0.0074,0.3362
DIAMONDS EIGHT DIAMONDS SIX,0.6,0.0056,0.3944
DIAMONDS NINE DIAMONDS SIX,0.6132,0.0058,0.381
HEARTS ACE SPADES THREE,0.4086,0.005,0.5864
SPADES THREE HEARTS KING,0.6632,0.1086,0.2282
DIAMONDS SEVEN DIAMONDS SIX,0.5826,0.005,0.4124
HEARTS QUEEN SPADES THREE,0.654,0.0062,0.3398
SPADES THREE HEARTS JACK,0.648,0.0082,0.3438
DIAMONDS EIGHT DIAMONDS SEVEN,0.5916,0.0064,0.402
DIAMONDS NINE DIAMONDS SEVEN,0.598,0.0062,0.3958
DIAMONDS NINE DIAMONDS EIGHT,0.6002,0.0072,0.3926
SPADES JACK CLUBS SIX,0.6662,0.0072,0.3266
DIAMONDS KING HEARTS JACK,0.2356,0.084,0.6804
HEARTS THREE HEARTS JACK,0.6238,0.0064,0.3698
SPADES TEN CLUBS SIX,0.7284,0.032,0.2396
SPADES JACK SPADES FIVE,0.5972,0.0082,0.3946
SPADES TEN SPADES FIVE,0.6892,0.0314,0.2794
DIAMONDS KING HEARTS ACE,0.2466,0.0116,0.7418
HEARTS THREE HEARTS ACE,0.4108,0.0062,0.583
SPADES ACE CLUBS SIX,0.423,0.0052,0.5718
DIAMONDS KING HEARTS QUEEN,0.2508,0.0608,0.6884
HEARTS THREE HEARTS QUEEN,0.6196,0.008,0.3724
SPADES KING CLUBS SIX,0.6582,0.1196,0.2222
