opposingHand,winningChance,drawChance,lostChance
CLUBS NINE CLUBS ACE
HEARTS FIVE SPADES TEN,0.6636,0.0028,0.3336
SPADES JACK HEARTS FIVE,0.6606,0.0022,0.3372
SPADES FIVE CLUBS JACK,0.6536,0.005,0.3414
CLUBS TEN SPADES FIVE,0.6624,0.0046,0.333
CLUBS EIGHT CLUBS JACK,0.6244,0.0044,0.3712
CLUBS EIGHT CLUBS TEN,0.6268,0.0052,0.368
CLUBS EIGHT CLUBS KING,0.6508,0.0062,0.343
CLUBS EIGHT CLUBS QUEEN,0.6328,0.0066,0.3606
SPADES FIVE CLUBS KING,0.6518,0.006,0.3422
SPADES FIVE CLUBS QUEEN,0.651,0.004,0.345
DIAMONDS TWO DIAMONDS THREE,0.647,0.0066,0.3464
DIAMONDS TWO DIAMONDS FIVE,0.6286,0.0072,0.3642
SPADES KING HEARTS FIVE,0.6564,0.0034,0.3402
DIAMONDS TWO DIAMONDS FOUR,0.6286,0.0048,0.3666
SPADES QUEEN HEARTS FIVE,0.6526,0.0038,0.3436
DIAMONDS TWO DIAMONDS SEVEN,0.6502,0.0056,0.3442
DIAMONDS TWO DIAMONDS SIX,0.6418,0.0048,0.3534
SPADES ACE HEARTS FIVE,0.6028,0.1644,0.2328
DIAMONDS TWO DIAMONDS NINE,0.724,0.0208,0.2552
DIAMONDS TWO DIAMONDS EIGHT,0.6566,0.005,0.3384
DIAMONDS THREE DIAMONDS FOUR,0.6082,0.0064,0.3854
CLUBS TWO SPADES FOUR,0.6616,0.008,0.3304
DIAMONDS THREE DIAMONDS FIVE,0.6106,0.0048,0.3846
CLUBS TWO SPADES FIVE,0.6634,0.005,0.3316
CLUBS TWO SPADES TWO,0.4982,0.0072,0.4946
CLUBS TWO SPADES THREE,0.6726,0.0052,0.3222
DIAMONDS THREE DIAMONDS EIGHT,0.6468,0.0044,0.3488
SPADES EIGHT CLUBS TWO,0.6966,0.005,0.2984
DIAMONDS THREE DIAMONDS NINE,0.7254,0.0238,0.2508
SPADES NINE CLUBS TWO,0.7608,0.0228,0.2164
DIAMONDS THREE DIAMONDS SIX,0.6324,0.0054,0.3622
CLUBS TWO SPADES SIX,0.6906,0.0056,0.3038
DIAMONDS THREE DIAMONDS SEVEN,0.6428,0.0044,0.3528
CLUBS TWO SPADES SEVEN,0.6988,0.0066,0.2946
CLUBS SIX CLUBS TWO,0.6754,0.0068,0.3178
CLUBS SEVEN CLUBS TWO,0.6886,0.0056,0.3058
CLUBS FOUR CLUBS TWO,0.661,0.0072,0.3318
CLUBS FIVE CLUBS TWO,0.6636,0.0078,0.3286
CLUBS TEN CLUBS JACK,0.5702,0.0032,0.4266
DIAMONDS FOUR DIAMONDS SIX,0.621,0.005,0.374
CLUBS TEN CLUBS QUEEN,0.5744,0.0062,0.4194
DIAMONDS FOUR DIAMONDS SEVEN,0.6296,0.0046,0.3658
CLUBS TEN CLUBS KING,0.6058,0.0058,0.3884
CLUBS EIGHT CLUBS TWO,0.6926,0.0064,0.301
DIAMONDS FIVE DIAMONDS FOUR,0.6068,0.0032,0.39
DIAMONDS NINE DIAMONDS FOUR,0.7152,0.0256,0.2592
DIAMONDS EIGHT DIAMONDS FOUR,0.6448,0.0046,0.3506
CLUBS TWO CLUBS THREE,0.665,0.0078,0.3272
DIAMONDS NINE DIAMONDS FIVE,0.7078,0.023,0.2692
DIAMONDS TWO CLUBS JACK,0.6634,0.0038,0.3328
DIAMONDS EIGHT DIAMONDS FIVE,0.6254,0.0036,0.371
CLUBS TEN DIAMONDS TWO,0.6426,0.005,0.3524
DIAMONDS FIVE DIAMONDS SEVEN,0.621,0.0028,0.3762
DIAMONDS FIVE DIAMONDS SIX,0.6178,0.005,0.3772
DIAMONDS TWO CLUBS KING,0.6484,0.0084,0.3432
DIAMONDS TWO CLUBS QUEEN,0.662,0.0054,0.3326
DIAMONDS EIGHT DIAMONDS SIX,0.6152,0.0054,0.3794
DIAMONDS NINE DIAMONDS SIX,0.702,0.0224,0.2756
HEARTS ACE SPADES THREE,0.6182,0.1646,0.2172
HEARTS KING SPADES THREE,0.6666,0.0038,0.3296
DIAMONDS SEVEN DIAMONDS SIX,0.6182,0.0036,0.3782
SPADES THREE HEARTS QUEEN,0.6538,0.006,0.3402
HEARTS JACK SPADES THREE,0.658,0.0044,0.3376
SPADES THREE HEARTS TEN,0.6612,0.0034,0.3354
DIAMONDS EIGHT DIAMONDS SEVEN,0.6106,0.004,0.3854
DIAMONDS NINE DIAMONDS SEVEN,0.6872,0.0214,0.2914
DIAMONDS NINE DIAMONDS EIGHT,0.6636,0.0176,0.3188
DIAMONDS KING HEARTS TEN,0.6002,0.0036,0.3962
HEARTS THREE HEARTS TEN,0.6176,0.0052,0.3772
CLUBS SIX SPADES JACK,0.652,0.0058,0.3422
DIAMONDS KING HEARTS JACK,0.5972,0.004,0.3988
HEARTS THREE HEARTS JACK,0.6162,0.005,0.3788
CLUBS SIX SPADES TEN,0.6508,0.0046,0.3446
SPADES JACK SPADES FIVE,0.6104,0.006,0.3836
SPADES TEN SPADES FIVE,0.6264,0.0036,0.37
DIAMONDS KING HEARTS ACE,0.2858,0.051,0.6632
HEARTS THREE HEARTS ACE,0.5638,0.1604,0.2758
SPADES ACE CLUBS SIX,0.605,0.1654,0.2296
