opposingHand,winningChance,drawChance,lostChance
CLUBS NINE CLUBS SEVEN
HEARTS FIVE SPADES TEN,0.459,0.0262,0.5148
SPADES JACK HEARTS FIVE,0.4404,0.0154,0.5442
CLUBS JACK SPADES FIVE,0.438,0.0176,0.5444
CLUBS TEN SPADES FIVE,0.4448,0.024,0.5312
CLUBS JACK CLUBS EIGHT,0.3626,0.0172,0.6202
CLUBS TEN CLUBS EIGHT,0.337,0.0242,0.6388
CLUBS EIGHT CLUBS KING,0.374,0.0074,0.6186
SPADES FIVE CLUBS ACE,0.4374,0.0044,0.5582
CLUBS EIGHT CLUBS QUEEN,0.3656,0.0096,0.6248
SPADES FIVE CLUBS KING,0.4422,0.0074,0.5504
SPADES FIVE CLUBS QUEEN,0.4462,0.011,0.5428
CLUBS EIGHT CLUBS ACE,0.3602,0.0052,0.6346
DIAMONDS TWO DIAMONDS THREE,0.6014,0.039,0.3596
DIAMONDS TWO DIAMONDS FIVE,0.5998,0.0402,0.36
SPADES KING HEARTS FIVE,0.4668,0.007,0.5262
DIAMONDS TWO DIAMONDS FOUR,0.6064,0.0416,0.352
SPADES QUEEN HEARTS FIVE,0.4662,0.0124,0.5214
DIAMONDS TWO DIAMONDS SEVEN,0.6522,0.0964,0.2514
DIAMONDS TWO DIAMONDS SIX,0.6278,0.0412,0.331
SPADES ACE HEARTS FIVE,0.4508,0.004,0.5452
DIAMONDS TWO DIAMONDS NINE,0.4892,0.2614,0.2494
DIAMONDS TWO DIAMONDS EIGHT,0.6214,0.0376,0.341
DIAMONDS THREE DIAMONDS FOUR,0.606,0.037,0.357
CLUBS TWO SPADES FOUR,0.646,0.0392,0.3148
DIAMONDS THREE DIAMONDS FIVE,0.5904,0.0384,0.3712
CLUBS TWO SPADES FIVE,0.6354,0.0416,0.323
CLUBS TWO SPADES TWO,0.4578,0.0632,0.479
CLUBS TWO SPADES THREE,0.639,0.0436,0.3174
DIAMONDS THREE DIAMONDS EIGHT,0.616,0.035,0.349
SPADES EIGHT CLUBS TWO,0.6524,0.0464,0.3012
DIAMONDS THREE DIAMONDS NINE,0.4834,0.2552,0.2614
SPADES NINE CLUBS TWO,0.5158,0.2796,0.2046
DIAMONDS THREE DIAMONDS SIX,0.6048,0.0388,0.3564
CLUBS TWO SPADES SIX,0.66,0.036,0.304
DIAMONDS THREE DIAMONDS SEVEN,0.6182,0.102,0.2798
CLUBS TWO SPADES SEVEN,0.6724,0.1122,0.2154
CLUBS SIX CLUBS TWO,0.6514,0.0396,0.309
CLUBS FOUR CLUBS TWO,0.645,0.042,0.313
CLUBS FIVE CLUBS TWO,0.646,0.0418,0.3122
CLUBS TEN CLUBS JACK,0.3294,0.0132,0.6574
DIAMONDS FOUR DIAMONDS SIX,0.5974,0.0388,0.3638
CLUBS TEN CLUBS QUEEN,0.331,0.0126,0.6564
DIAMONDS FOUR DIAMONDS SEVEN,0.6322,0.0938,0.274
CLUBS TEN CLUBS KING,0.3486,0.0082,0.6432
CLUBS TEN CLUBS ACE,0.34,0.0054,0.6546
CLUBS EIGHT CLUBS TWO,0.6602,0.0442,0.2956
DIAMONDS FIVE DIAMONDS FOUR,0.5966,0.0372,0.3662
DIAMONDS NINE DIAMONDS FOUR,0.489,0.2552,0.2558
DIAMONDS EIGHT DIAMONDS FOUR,0.6048,0.0368,0.3584
CLUBS TWO CLUBS THREE,0.645,0.0468,0.3082
DIAMONDS NINE DIAMONDS FIVE,0.4918,0.2478,0.2604
CLUBS JACK DIAMONDS TWO,0.4558,0.0158,0.5284
DIAMONDS EIGHT DIAMONDS FIVE,0.6078,0.0364,0.3558
CLUBS TEN DIAMONDS TWO,0.4636,0.0242,0.5122
DIAMONDS FIVE DIAMONDS SEVEN,0.6164,0.0958,0.2878
DIAMONDS FIVE DIAMONDS SIX,0.5836,0.0426,0.3738
DIAMONDS TWO CLUBS ACE,0.457,0.005,0.538
DIAMONDS TWO CLUBS KING,0.4442,0.0084,0.5474
DIAMONDS TWO CLUBS QUEEN,0.4486,0.0144,0.537
DIAMONDS EIGHT DIAMONDS SIX,0.5912,0.034,0.3748
DIAMONDS NINE DIAMONDS SIX,0.479,0.2624,0.2586
HEARTS ACE SPADES THREE,0.4598,0.0038,0.5364
HEARTS KING SPADES THREE,0.4766,0.0062,0.5172
DIAMONDS SEVEN DIAMONDS SIX,0.6168,0.0958,0.2874
SPADES THREE HEARTS QUEEN,0.4728,0.0108,0.5164
HEARTS JACK SPADES THREE,0.4714,0.0224,0.5062
SPADES THREE HEARTS TEN,0.4646,0.0244,0.511
DIAMONDS EIGHT DIAMONDS SEVEN,0.635,0.0938,0.2712
DIAMONDS NINE DIAMONDS SEVEN,0.0758,0.8506,0.0736
DIAMONDS NINE DIAMONDS EIGHT,0.2572,0.2006,0.5422
DIAMONDS KING HEARTS TEN,0.4118,0.0064,0.5818
HEARTS THREE HEARTS TEN,0.4492,0.0226,0.5282
CLUBS SIX SPADES JACK,0.4676,0.0148,0.5176
DIAMONDS KING HEARTS JACK,0.4002,0.006,0.5938
HEARTS THREE HEARTS JACK,0.4368,0.0134,0.5498
CLUBS SIX SPADES TEN,0.4428,0.0282,0.529
SPADES JACK SPADES FIVE,0.4324,0.0168,0.5508
SPADES TEN SPADES FIVE,0.431,0.0272,0.5418
DIAMONDS KING HEARTS ACE,0.4006,0.0032,0.5962
HEARTS THREE HEARTS ACE,0.44,0.0054,0.5546
SPADES ACE CLUBS SIX,0.4524,0.0026,0.545
DIAMONDS KING HEARTS QUEEN,0.3956,0.0046,0.5998
HEARTS THREE HEARTS QUEEN,0.4418,0.009,0.5492
SPADES KING CLUBS SIX,0.4506,0.0076,0.5418
DIAMONDS KING HEARTS KING,0.2078,0.015,0.7772
HEARTS THREE HEARTS KING,0.443,0.007,0.55
SPADES QUEEN CLUBS SIX,0.4498,0.0126,0.5376
SPADES NINE HEARTS TEN,0.291,0.075,0.634
SPADES NINE HEARTS JACK,0.3074,0.059,0.6336
SPADES QUEEN SPADES FIVE,0.4354,0.0102,0.5544
SPADES KING SPADES FIVE,0.4356,0.0058,0.5586
SPADES ACE SPADES FIVE,0.4274,0.0052,0.5674
SPADES NINE HEARTS QUEEN,0.2926,0.0458,0.6616
SPADES NINE HEARTS KING,0.3162,0.0304,0.6534
SPADES NINE HEARTS ACE,0.3114,0.0248,0.6638
CLUBS TEN SPADES JACK,0.3586,0.0126,0.6288
CLUBS TEN SPADES TEN,0.1864,0.0386,0.775
SPADES ACE CLUBS TEN,0.3804,0.0072,0.6124
CLUBS TEN SPADES KING,0.3908,0.0074,0.6018
CLUBS TEN SPADES QUEEN,0.3804,0.01,0.6096
SPADES FIVE HEARTS QUEEN,0.452,0.0106,0.5374
HEARTS KING SPADES FIVE,0.465,0.0072,0.5278
SPADES FIVE HEARTS ACE,0.4426,0.0044,0.553
CLUBS EIGHT SPADES TEN,0.3808,0.0264,0.5928
HEARTS THREE SPADES JACK,0.4626,0.0196,0.5178
SPADES JACK DIAMONDS KING,0.383,0.0068,0.6102
SPADES TEN DIAMONDS KING,0.3892,0.0052,0.6056
HEARTS THREE SPADES TEN,0.4642,0.0196,0.5162
SPADES JACK CLUBS EIGHT,0.4074,0.0166,0.576
SPADES ACE CLUBS EIGHT,0.4298,0.005,0.5652
CLUBS JACK HEARTS FIVE,0.4532,0.0156,0.5312
CLUBS SIX HEARTS ACE,0.4408,0.0038,0.5554
CLUBS TEN HEARTS FIVE,0.4458,0.0282,0.526
SPADES QUEEN CLUBS EIGHT,0.4078,0.0096,0.5826
CLUBS TEN SPADES THREE,0.4618,0.0226,0.5156
CLUBS SIX HEARTS QUEEN,0.4564,0.0128,0.5308
SPADES KING CLUBS EIGHT,0.415,0.0092,0.5758
CLUBS JACK SPADES THREE,0.4534,0.0176,0.529
