opposingHand,winningChance,drawChance,lostChance
CLUBS NINE CLUBS SIX
HEARTS FIVE SPADES TEN,0.444,0.025,0.531
SPADES JACK HEARTS FIVE,0.4442,0.021,0.5348
CLUBS JACK SPADES FIVE,0.4366,0.0158,0.5476
CLUBS TEN SPADES FIVE,0.43,0.0276,0.5424
CLUBS JACK CLUBS EIGHT,0.3426,0.0186,0.6388
CLUBS TEN CLUBS EIGHT,0.3308,0.0222,0.647
CLUBS EIGHT CLUBS KING,0.3732,0.0088,0.618
SPADES FIVE CLUBS ACE,0.4262,0.004,0.5698
CLUBS EIGHT CLUBS QUEEN,0.35,0.011,0.639
SPADES FIVE CLUBS KING,0.438,0.0048,0.5572
SPADES FIVE CLUBS QUEEN,0.4214,0.012,0.5666
CLUBS EIGHT CLUBS ACE,0.364,0.0048,0.6312
DIAMONDS TWO DIAMONDS THREE,0.5966,0.033,0.3704
DIAMONDS TWO DIAMONDS FIVE,0.599,0.04,0.361
SPADES KING HEARTS FIVE,0.4434,0.005,0.5516
DIAMONDS TWO DIAMONDS FOUR,0.5988,0.0368,0.3644
SPADES QUEEN HEARTS FIVE,0.4438,0.0112,0.545
DIAMONDS TWO DIAMONDS SEVEN,0.6132,0.0402,0.3466
DIAMONDS TWO DIAMONDS SIX,0.639,0.1058,0.2552
SPADES ACE HEARTS FIVE,0.4368,0.002,0.5612
DIAMONDS TWO DIAMONDS NINE,0.4226,0.3306,0.2468
DIAMONDS TWO DIAMONDS EIGHT,0.6018,0.041,0.3572
DIAMONDS THREE DIAMONDS FOUR,0.583,0.0394,0.3776
CLUBS TWO SPADES FOUR,0.6398,0.0416,0.3186
DIAMONDS THREE DIAMONDS FIVE,0.5856,0.0406,0.3738
CLUBS TWO SPADES FIVE,0.6382,0.0416,0.3202
CLUBS TWO SPADES TWO,0.439,0.0782,0.4828
CLUBS TWO SPADES THREE,0.632,0.047,0.321
DIAMONDS THREE DIAMONDS EIGHT,0.6184,0.0334,0.3482
SPADES EIGHT CLUBS TWO,0.6392,0.0422,0.3186
DIAMONDS THREE DIAMONDS NINE,0.4284,0.3244,0.2472
SPADES NINE CLUBS TWO,0.437,0.3574,0.2056
DIAMONDS THREE DIAMONDS SIX,0.61,0.1112,0.2788
CLUBS TWO SPADES SIX,0.6726,0.1066,0.2208
DIAMONDS THREE DIAMONDS SEVEN,0.5882,0.043,0.3688
CLUBS TWO SPADES SEVEN,0.6324,0.038,0.3296
CLUBS SEVEN CLUBS TWO,0.6478,0.0452,0.307
CLUBS FOUR CLUBS TWO,0.624,0.0446,0.3314
CLUBS FIVE CLUBS TWO,0.6312,0.0452,0.3236
CLUBS TEN CLUBS JACK,0.312,0.0132,0.6748
DIAMONDS FOUR DIAMONDS SIX,0.6278,0.1084,0.2638
CLUBS TEN CLUBS QUEEN,0.3252,0.0122,0.6626
DIAMONDS FOUR DIAMONDS SEVEN,0.5854,0.0426,0.372
