opposingHand,winningChance,drawChance,lostChance
CLUBS NINE CLUBS THREE
HEARTS FIVE SPADES TEN,0.4044,0.026,0.5696
SPADES JACK HEARTS FIVE,0.3968,0.0186,0.5846
CLUBS JACK SPADES FIVE,0.386,0.0196,0.5944
CLUBS TEN SPADES FIVE,0.3904,0.0246,0.585
CLUBS JACK CLUBS EIGHT,0.3144,0.0164,0.6692
CLUBS TEN CLUBS EIGHT,0.3074,0.0264,0.6662
CLUBS EIGHT CLUBS KING,0.337,0.0074,0.6556
SPADES FIVE CLUBS ACE,0.3608,0.007,0.6322
CLUBS EIGHT CLUBS QUEEN,0.3324,0.0102,0.6574
SPADES FIVE CLUBS KING,0.3894,0.0088,0.6018
SPADES FIVE CLUBS QUEEN,0.3794,0.0138,0.6068
CLUBS EIGHT CLUBS ACE,0.329,0.0052,0.6658
DIAMONDS TWO DIAMONDS THREE,0.6216,0.1022,0.2762
DIAMONDS TWO DIAMONDS FIVE,0.577,0.0454,0.3776
SPADES KING HEARTS FIVE,0.4044,0.0084,0.5872
DIAMONDS TWO DIAMONDS FOUR,0.5758,0.0426,0.3816
SPADES QUEEN HEARTS FIVE,0.4098,0.0118,0.5784
DIAMONDS TWO DIAMONDS SEVEN,0.6008,0.0404,0.3588
DIAMONDS TWO DIAMONDS SIX,0.5836,0.0406,0.3758
SPADES ACE HEARTS FIVE,0.3794,0.0044,0.6162
DIAMONDS TWO DIAMONDS NINE,0.2876,0.4526,0.2598
DIAMONDS TWO DIAMONDS EIGHT,0.5798,0.0374,0.3828
DIAMONDS THREE DIAMONDS FOUR,0.588,0.099,0.313
CLUBS TWO SPADES FOUR,0.592,0.0442,0.3638
DIAMONDS THREE DIAMONDS FIVE,0.5946,0.0964,0.309
CLUBS TWO SPADES FIVE,0.5962,0.0442,0.3596
CLUBS TWO SPADES TWO,0.3918,0.0922,0.516
CLUBS TWO SPADES THREE,0.6416,0.1014,0.257
DIAMONDS THREE DIAMONDS EIGHT,0.6346,0.0984,0.267
SPADES EIGHT CLUBS TWO,0.623,0.0416,0.3354
DIAMONDS THREE DIAMONDS NINE,0.0682,0.8604,0.0714
SPADES NINE CLUBS TWO,0.3002,0.4942,0.2056
DIAMONDS THREE DIAMONDS SIX,0.6156,0.0946,0.2898
CLUBS TWO SPADES SIX,0.6202,0.0468,0.333
DIAMONDS THREE DIAMONDS SEVEN,0.6362,0.0988,0.265
CLUBS TWO SPADES SEVEN,0.6194,0.0424,0.3382
CLUBS SIX CLUBS TWO,0.612,0.045,0.343
CLUBS SEVEN CLUBS TWO,0.6128,0.0462,0.341
CLUBS TWO CLUBS FOUR,0.5956,0.0512,0.3532
CLUBS FIVE CLUBS TWO,0.5976,0.0454,0.357
CLUBS TEN CLUBS JACK,0.2854,0.0146,0.7
DIAMONDS FOUR DIAMONDS SIX,0.529,0.043,0.428
CLUBS TEN CLUBS QUEEN,0.2988,0.0138,0.6874
DIAMONDS FOUR DIAMONDS SEVEN,0.536,0.0444,0.4196
