opposingHand,winningChance,drawChance,lostChance
CLUBS NINE CLUBS TWO
HEARTS FIVE SPADES TEN,0.392,0.0264,0.5816
SPADES JACK HEARTS FIVE,0.3982,0.0206,0.5812
CLUBS JACK SPADES FIVE,0.3848,0.0174,0.5978
CLUBS TEN SPADES FIVE,0.3992,0.032,0.5688
CLUBS JACK CLUBS EIGHT,0.3264,0.021,0.6526
CLUBS TEN CLUBS EIGHT,0.3128,0.0256,0.6616
CLUBS EIGHT CLUBS KING,0.3506,0.0082,0.6412
SPADES FIVE CLUBS ACE,0.3648,0.0064,0.6288
CLUBS EIGHT CLUBS QUEEN,0.3376,0.0122,0.6502
SPADES FIVE CLUBS KING,0.3826,0.011,0.6064
SPADES FIVE CLUBS QUEEN,0.3876,0.013,0.5994
CLUBS EIGHT CLUBS ACE,0.3218,0.0062,0.672
DIAMONDS TWO DIAMONDS THREE,0.6086,0.0922,0.2992
DIAMONDS TWO DIAMONDS FIVE,0.6076,0.095,0.2974
SPADES KING HEARTS FIVE,0.4016,0.0092,0.5892
DIAMONDS TWO DIAMONDS FOUR,0.618,0.1008,0.2812
SPADES QUEEN HEARTS FIVE,0.4034,0.0094,0.5872
DIAMONDS TWO DIAMONDS SEVEN,0.6366,0.0934,0.27
DIAMONDS TWO DIAMONDS SIX,0.6328,0.0998,0.2674
SPADES ACE HEARTS FIVE,0.3922,0.0046,0.6032
DIAMONDS TWO DIAMONDS NINE,0.0674,0.861,0.0716
DIAMONDS TWO DIAMONDS EIGHT,0.6286,0.0952,0.2762
DIAMONDS THREE DIAMONDS FOUR,0.5348,0.0454,0.4198
DIAMONDS THREE DIAMONDS FIVE,0.531,0.04,0.429
DIAMONDS THREE DIAMONDS EIGHT,0.5704,0.0438,0.3858
DIAMONDS THREE DIAMONDS NINE,0.244,0.4664,0.2896
DIAMONDS THREE DIAMONDS SIX,0.5474,0.0422,0.4104
DIAMONDS THREE DIAMONDS SEVEN,0.5424,0.043,0.4146
CLUBS TEN CLUBS JACK,0.274,0.0126,0.7134
