opposingHand,winningChance,drawChance,lostChance
CLUBS NINE DIAMONDS QUEEN
HEARTS FIVE SPADES TEN,0.644,0.0098,0.3462
HEARTS FIVE SPADES JACK,0.638,0.0106,0.3514
CLUBS JACK SPADES FIVE,0.6426,0.0082,0.3492
CLUBS TEN SPADES FIVE,0.646,0.0112,0.3428
CLUBS JACK CLUBS EIGHT,0.6,0.007,0.393
CLUBS TEN CLUBS EIGHT,0.588,0.0126,0.3994
CLUBS EIGHT CLUBS KING,0.4064,0.0086,0.585
SPADES FIVE CLUBS ACE,0.401,0.0038,0.5952
CLUBS EIGHT CLUBS QUEEN,0.5788,0.1626,0.2586
SPADES FIVE CLUBS KING,0.4094,0.0054,0.5852
SPADES FIVE CLUBS QUEEN,0.6,0.1612,0.2388
CLUBS EIGHT CLUBS ACE,0.3942,0.0056,0.6002
DIAMONDS TWO DIAMONDS THREE,0.6258,0.0094,0.3648
DIAMONDS TWO DIAMONDS FIVE,0.608,0.0132,0.3788
HEARTS FIVE SPADES KING,0.4198,0.007,0.5732
DIAMONDS TWO DIAMONDS FOUR,0.6112,0.014,0.3748
HEARTS FIVE SPADES QUEEN,0.5914,0.1682,0.2404
DIAMONDS TWO DIAMONDS SEVEN,0.6374,0.0124,0.3502
DIAMONDS TWO DIAMONDS SIX,0.6262,0.0132,0.3606
SPADES ACE HEARTS FIVE,0.4116,0.0032,0.5852
DIAMONDS TWO DIAMONDS NINE,0.7024,0.0456,0.252
DIAMONDS TWO DIAMONDS EIGHT,0.6408,0.0122,0.347
DIAMONDS THREE DIAMONDS FOUR,0.6014,0.0114,0.3872
CLUBS TWO SPADES FOUR,0.6518,0.0134,0.3348
DIAMONDS THREE DIAMONDS FIVE,0.6092,0.01,0.3808
SPADES FIVE CLUBS TWO,0.6462,0.013,0.3408
CLUBS TWO SPADES TWO,0.4648,0.0256,0.5096
CLUBS TWO SPADES THREE,0.6446,0.0118,0.3436
DIAMONDS THREE DIAMONDS EIGHT,0.6586,0.0088,0.3326
SPADES EIGHT CLUBS TWO,0.6562,0.0132,0.3306
DIAMONDS THREE DIAMONDS NINE,0.7088,0.0444,0.2468
SPADES NINE CLUBS TWO,0.7248,0.0474,0.2278
DIAMONDS THREE DIAMONDS SIX,0.6254,0.0106,0.364
SPADES SIX CLUBS TWO,0.66,0.0092,0.3308
DIAMONDS THREE DIAMONDS SEVEN,0.6344,0.0134,0.3522
SPADES SEVEN CLUBS TWO,0.6804,0.0102,0.3094
CLUBS SIX CLUBS TWO,0.621,0.0106,0.3684
CLUBS SEVEN CLUBS TWO,0.637,0.0114,0.3516
CLUBS FOUR CLUBS TWO,0.6338,0.011,0.3552
CLUBS FIVE CLUBS TWO,0.618,0.0128,0.3692
CLUBS TEN CLUBS JACK,0.5244,0.0112,0.4644
DIAMONDS FOUR DIAMONDS SIX,0.5902,0.0116,0.3982
CLUBS TEN CLUBS QUEEN,0.2146,0.1214,0.664
DIAMONDS FOUR DIAMONDS SEVEN,0.5998,0.0126,0.3876
CLUBS TEN CLUBS KING,0.3316,0.009,0.6594
CLUBS TEN CLUBS ACE,0.3506,0.0044,0.645
CLUBS EIGHT CLUBS TWO,0.6346,0.0134,0.352
DIAMONDS FIVE DIAMONDS FOUR,0.6122,0.0114,0.3764
DIAMONDS NINE DIAMONDS FOUR,0.7086,0.0436,0.2478
DIAMONDS EIGHT DIAMONDS FOUR,0.6334,0.0116,0.355
CLUBS THREE CLUBS TWO,0.614,0.0144,0.3716
DIAMONDS NINE DIAMONDS FIVE,0.6712,0.0486,0.2802
CLUBS JACK DIAMONDS TWO,0.6654,0.0108,0.3238
DIAMONDS EIGHT DIAMONDS FIVE,0.619,0.0122,0.3688
CLUBS TEN DIAMONDS TWO,0.6548,0.011,0.3342
DIAMONDS FIVE DIAMONDS SEVEN,0.61,0.0116,0.3784
DIAMONDS FIVE DIAMONDS SIX,0.5912,0.0102,0.3986
DIAMONDS TWO CLUBS ACE,0.422,0.0056,0.5724
DIAMONDS TWO CLUBS KING,0.4222,0.0088,0.569
DIAMONDS TWO CLUBS QUEEN,0.6054,0.1726,0.222
DIAMONDS EIGHT DIAMONDS SIX,0.6162,0.01,0.3738
DIAMONDS NINE DIAMONDS SIX,0.676,0.044,0.28
HEARTS ACE SPADES THREE,0.4246,0.0038,0.5716
SPADES THREE HEARTS KING,0.4186,0.008,0.5734
DIAMONDS SEVEN DIAMONDS SIX,0.5922,0.0128,0.395
HEARTS QUEEN SPADES THREE,0.6042,0.1634,0.2324
SPADES THREE HEARTS JACK,0.643,0.0112,0.3458
SPADES THREE HEARTS TEN,0.6498,0.0072,0.343
DIAMONDS EIGHT DIAMONDS SEVEN,0.6052,0.0114,0.3834
DIAMONDS NINE DIAMONDS SEVEN,0.6824,0.0406,0.277
DIAMONDS NINE DIAMONDS EIGHT,0.65,0.0474,0.3026
DIAMONDS KING HEARTS TEN,0.3526,0.0072,0.6402
HEARTS THREE HEARTS TEN,0.6094,0.0094,0.3812
SPADES JACK CLUBS SIX,0.6606,0.01,0.3294
DIAMONDS KING HEARTS JACK,0.3586,0.0054,0.636
HEARTS THREE HEARTS JACK,0.6064,0.009,0.3846
SPADES TEN CLUBS SIX,0.6402,0.0096,0.3502
SPADES JACK SPADES FIVE,0.6008,0.009,0.3902
