opposingHand,winningChance,drawChance,lostChance
CLUBS NINE DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.4206,0.0276,0.5518
HEARTS FIVE SPADES JACK,0.424,0.014,0.562
CLUBS JACK SPADES FIVE,0.4072,0.0192,0.5736
CLUBS TEN SPADES FIVE,0.4094,0.0246,0.566
CLUBS JACK CLUBS EIGHT,0.3644,0.0154,0.6202
CLUBS TEN CLUBS EIGHT,0.334,0.0256,0.6404
CLUBS EIGHT CLUBS KING,0.3746,0.008,0.6174
SPADES FIVE CLUBS ACE,0.4104,0.0038,0.5858
CLUBS EIGHT CLUBS QUEEN,0.3626,0.014,0.6234
SPADES FIVE CLUBS KING,0.424,0.0074,0.5686
SPADES FIVE CLUBS QUEEN,0.417,0.01,0.573
CLUBS EIGHT CLUBS ACE,0.3586,0.0052,0.6362
DIAMONDS TWO DIAMONDS THREE,0.605,0.041,0.354
DIAMONDS TWO DIAMONDS FIVE,0.5968,0.0372,0.366
HEARTS FIVE SPADES KING,0.4346,0.0066,0.5588
DIAMONDS TWO DIAMONDS FOUR,0.5876,0.0454,0.367
HEARTS FIVE SPADES QUEEN,0.4238,0.0118,0.5644
DIAMONDS TWO DIAMONDS SIX,0.6178,0.0394,0.3428
SPADES ACE HEARTS FIVE,0.4126,0.003,0.5844
DIAMONDS TWO DIAMONDS NINE,0.474,0.2832,0.2428
DIAMONDS TWO DIAMONDS EIGHT,0.607,0.042,0.351
DIAMONDS THREE DIAMONDS FOUR,0.5786,0.0406,0.3808
CLUBS TWO SPADES FOUR,0.6352,0.041,0.3238
DIAMONDS THREE DIAMONDS FIVE,0.5706,0.0414,0.388
SPADES FIVE CLUBS TWO,0.6246,0.0402,0.3352
CLUBS TWO SPADES TWO,0.4334,0.0654,0.5012
CLUBS TWO SPADES THREE,0.6248,0.0432,0.332
DIAMONDS THREE DIAMONDS EIGHT,0.6124,0.0396,0.348
SPADES EIGHT CLUBS TWO,0.6552,0.0368,0.308
DIAMONDS THREE DIAMONDS NINE,0.473,0.2764,0.2506
SPADES NINE CLUBS TWO,0.5006,0.2826,0.2168
DIAMONDS THREE DIAMONDS SIX,0.5944,0.0436,0.362
SPADES SIX CLUBS TWO,0.6534,0.0438,0.3028
SPADES SEVEN CLUBS TWO,0.6706,0.1074,0.222
CLUBS SIX CLUBS TWO,0.6196,0.0426,0.3378
CLUBS SEVEN CLUBS TWO,0.652,0.1038,0.2442
CLUBS FOUR CLUBS TWO,0.6026,0.041,0.3564
CLUBS FIVE CLUBS TWO,0.6136,0.0384,0.348
CLUBS TEN CLUBS JACK,0.308,0.0144,0.6776
DIAMONDS FOUR DIAMONDS SIX,0.592,0.0366,0.3714
CLUBS TEN CLUBS QUEEN,0.325,0.0122,0.6628
CLUBS TEN CLUBS KING,0.3324,0.0066,0.661
CLUBS TEN CLUBS ACE,0.3328,0.0044,0.6628
CLUBS EIGHT CLUBS TWO,0.6168,0.0402,0.343
DIAMONDS FIVE DIAMONDS FOUR,0.5712,0.0364,0.3924
DIAMONDS NINE DIAMONDS FOUR,0.4662,0.2856,0.2482
DIAMONDS FOUR DIAMONDS EIGHT,0.5844,0.0382,0.3774
CLUBS THREE CLUBS TWO,0.6008,0.0362,0.363
DIAMONDS NINE DIAMONDS FIVE,0.4638,0.2754,0.2608
CLUBS JACK DIAMONDS TWO,0.429,0.0174,0.5536
DIAMONDS FIVE DIAMONDS EIGHT,0.582,0.0452,0.3728
CLUBS TEN DIAMONDS TWO,0.4142,0.0254,0.5604
DIAMONDS FIVE DIAMONDS SIX,0.5824,0.0422,0.3754
DIAMONDS TWO CLUBS ACE,0.4294,0.0056,0.565
DIAMONDS TWO CLUBS KING,0.4456,0.0092,0.5452
DIAMONDS TWO CLUBS QUEEN,0.4286,0.0132,0.5582
DIAMONDS EIGHT DIAMONDS SIX,0.5738,0.0384,0.3878
DIAMONDS NINE DIAMONDS SIX,0.4592,0.2846,0.2562
HEARTS ACE SPADES THREE,0.415,0.005,0.58
SPADES THREE HEARTS KING,0.4318,0.0064,0.5618
HEARTS QUEEN SPADES THREE,0.4342,0.0094,0.5564
SPADES THREE HEARTS JACK,0.426,0.0166,0.5574
SPADES THREE HEARTS TEN,0.4348,0.0274,0.5378
DIAMONDS NINE DIAMONDS EIGHT,0.2104,0.2174,0.5722
DIAMONDS KING HEARTS TEN,0.3542,0.006,0.6398
HEARTS THREE HEARTS TEN,0.4,0.023,0.577
SPADES JACK CLUBS SIX,0.4254,0.0168,0.5578
DIAMONDS KING HEARTS JACK,0.3652,0.006,0.6288
HEARTS THREE HEARTS JACK,0.4128,0.0166,0.5706
SPADES TEN CLUBS SIX,0.4168,0.0242,0.559
SPADES JACK SPADES FIVE,0.3924,0.0184,0.5892
SPADES TEN SPADES FIVE,0.4084,0.0248,0.5668
DIAMONDS KING HEARTS ACE,0.3482,0.0034,0.6484
HEARTS THREE HEARTS ACE,0.3946,0.004,0.6014
SPADES ACE CLUBS SIX,0.4268,0.0034,0.5698
DIAMONDS KING HEARTS QUEEN,0.3568,0.0058,0.6374
HEARTS THREE HEARTS QUEEN,0.406,0.0098,0.5842
SPADES KING CLUBS SIX,0.423,0.007,0.57
DIAMONDS KING HEARTS KING,0.1766,0.0116,0.8118
HEARTS THREE HEARTS KING,0.4064,0.0068,0.5868
SPADES QUEEN CLUBS SIX,0.4188,0.0096,0.5716
SPADES NINE HEARTS TEN,0.239,0.078,0.683
SPADES NINE HEARTS JACK,0.2556,0.0586,0.6858
SPADES QUEEN SPADES FIVE,0.4056,0.011,0.5834
SPADES KING SPADES FIVE,0.393,0.0086,0.5984
SPADES ACE SPADES FIVE,0.3922,0.0046,0.6032
SPADES NINE HEARTS QUEEN,0.2586,0.045,0.6964
SPADES NINE HEARTS KING,0.2798,0.0292,0.691
SPADES NINE HEARTS ACE,0.2656,0.0222,0.7122
CLUBS TEN SPADES JACK,0.3274,0.0164,0.6562
CLUBS TEN SPADES TEN,0.1564,0.036,0.8076
SPADES ACE CLUBS TEN,0.3634,0.0044,0.6322
CLUBS TEN SPADES KING,0.348,0.0066,0.6454
CLUBS TEN SPADES QUEEN,0.3248,0.01,0.6652
SPADES FIVE HEARTS QUEEN,0.4226,0.011,0.5664
SPADES FIVE HEARTS KING,0.4334,0.0058,0.5608
HEARTS ACE SPADES FIVE,0.4096,0.003,0.5874
CLUBS EIGHT SPADES TEN,0.354,0.0266,0.6194
SPADES JACK HEARTS THREE,0.4354,0.0178,0.5468
SPADES JACK DIAMONDS KING,0.3462,0.0072,0.6466
SPADES TEN DIAMONDS KING,0.3562,0.0064,0.6374
SPADES TEN HEARTS THREE,0.4318,0.0258,0.5424
SPADES JACK CLUBS EIGHT,0.3614,0.0202,0.6184
CLUBS SIX HEARTS ACE,0.4134,0.0044,0.5822
SPADES ACE CLUBS EIGHT,0.3852,0.0048,0.61
HEARTS FIVE CLUBS JACK,0.422,0.0158,0.5622
CLUBS TEN HEARTS FIVE,0.4106,0.0246,0.5648
CLUBS SIX HEARTS QUEEN,0.4188,0.012,0.5692
SPADES QUEEN CLUBS EIGHT,0.3882,0.0106,0.6012
CLUBS TEN SPADES THREE,0.432,0.0264,0.5416
CLUBS SIX HEARTS KING,0.42,0.0062,0.5738
SPADES KING CLUBS EIGHT,0.3916,0.008,0.6004
CLUBS JACK SPADES THREE,0.429,0.0184,0.5526
DIAMONDS TWO HEARTS JACK,0.4424,0.0166,0.541
SPADES THREE CLUBS QUEEN,0.4282,0.0126,0.5592
DIAMONDS TWO HEARTS TEN,0.4514,0.0242,0.5244
SPADES THREE CLUBS KING,0.4292,0.0086,0.5622
HEARTS FIVE CLUBS ACE,0.4162,0.0048,0.579
SPADES FIVE HEARTS TEN,0.431,0.0254,0.5436
SPADES THREE CLUBS ACE,0.4166,0.0038,0.5796
HEARTS FIVE CLUBS KING,0.4172,0.0066,0.5762
SPADES FIVE HEARTS JACK,0.4118,0.02,0.5682
HEARTS FIVE CLUBS QUEEN,0.4304,0.0128,0.5568
HEARTS THREE CLUBS KING,0.4184,0.0074,0.5742
DIAMONDS KING CLUBS KING,0.1762,0.0108,0.813
HEARTS THREE CLUBS QUEEN,0.4296,0.0104,0.56
DIAMONDS KING CLUBS QUEEN,0.3448,0.0084,0.6468
HEARTS FIVE HEARTS JACK,0.392,0.0166,0.5914
HEARTS FIVE HEARTS TEN,0.3926,0.024,0.5834
HEARTS THREE CLUBS ACE,0.4182,0.0054,0.5764
DIAMONDS KING CLUBS ACE,0.348,0.0048,0.6472
SPADES ACE CLUBS QUEEN,0.3434,0.0054,0.6512
SPADES KING CLUBS QUEEN,0.3586,0.0058,0.6356
CLUBS JACK HEARTS THREE,0.4294,0.0172,0.5534
CLUBS JACK DIAMONDS KING,0.3482,0.0082,0.6436
SPADES QUEEN CLUBS QUEEN,0.1772,0.0196,0.8032
CLUBS TEN HEARTS THREE,0.4322,0.0314,0.5364
CLUBS TEN DIAMONDS KING,0.34,0.0078,0.6522
SPADES JACK CLUBS QUEEN,0.3496,0.0098,0.6406
CLUBS SIX CLUBS QUEEN,0.3908,0.011,0.5982
SPADES TEN CLUBS QUEEN,0.333,0.0118,0.6552
CLUBS SIX CLUBS KING,0.403,0.0056,0.5914
CLUBS SIX CLUBS ACE,0.3988,0.005,0.5962
HEARTS FIVE HEARTS KING,0.391,0.0118,0.5972
HEARTS FIVE HEARTS QUEEN,0.3986,0.0132,0.5882
CLUBS TEN CLUBS SIX,0.397,0.0238,0.5792
HEARTS FIVE HEARTS ACE,0.412,0.0046,0.5834
CLUBS JACK CLUBS SIX,0.402,0.017,0.581
SPADES SEVEN HEARTS JACK,0.2704,0.0458,0.6838
SPADES SEVEN HEARTS TEN,0.2538,0.0806,0.6656
