opposingHand,winningChance,drawChance,lostChance
CLUBS NINE DIAMONDS TEN
HEARTS FIVE SPADES TEN,0.6096,0.1598,0.2306
HEARTS FIVE SPADES JACK,0.4482,0.0166,0.5352
CLUBS JACK SPADES FIVE,0.4508,0.014,0.5352
CLUBS TEN SPADES FIVE,0.613,0.171,0.216
CLUBS JACK CLUBS EIGHT,0.403,0.0156,0.5814
CLUBS TEN CLUBS EIGHT,0.5726,0.1606,0.2668
CLUBS EIGHT CLUBS KING,0.4012,0.0056,0.5932
SPADES FIVE CLUBS ACE,0.4404,0.0032,0.5564
CLUBS EIGHT CLUBS QUEEN,0.4038,0.009,0.5872
SPADES FIVE CLUBS KING,0.4448,0.0084,0.5468
SPADES FIVE CLUBS QUEEN,0.4572,0.01,0.5328
CLUBS EIGHT CLUBS ACE,0.4074,0.0062,0.5864
DIAMONDS TWO DIAMONDS THREE,0.6248,0.0198,0.3554
DIAMONDS TWO DIAMONDS FIVE,0.6182,0.0224,0.3594
HEARTS FIVE SPADES KING,0.4572,0.007,0.5358
DIAMONDS TWO DIAMONDS FOUR,0.6268,0.0202,0.353
HEARTS FIVE SPADES QUEEN,0.4452,0.0102,0.5446
DIAMONDS TWO DIAMONDS SEVEN,0.6398,0.0234,0.3368
DIAMONDS TWO DIAMONDS SIX,0.6304,0.026,0.3436
SPADES ACE HEARTS FIVE,0.4518,0.0028,0.5454
DIAMONDS TWO DIAMONDS NINE,0.6704,0.0694,0.2602
DIAMONDS TWO DIAMONDS EIGHT,0.6566,0.0238,0.3196
DIAMONDS THREE DIAMONDS FOUR,0.6078,0.023,0.3692
CLUBS TWO SPADES FOUR,0.6282,0.027,0.3448
DIAMONDS THREE DIAMONDS FIVE,0.5974,0.0248,0.3778
SPADES FIVE CLUBS TWO,0.635,0.0238,0.3412
CLUBS TWO SPADES TWO,0.458,0.0446,0.4974
CLUBS TWO SPADES THREE,0.645,0.026,0.329
DIAMONDS THREE DIAMONDS EIGHT,0.6556,0.0194,0.325
SPADES EIGHT CLUBS TWO,0.6812,0.023,0.2958
DIAMONDS THREE DIAMONDS NINE,0.6804,0.0716,0.248
SPADES NINE CLUBS TWO,0.705,0.077,0.218
DIAMONDS THREE DIAMONDS SIX,0.605,0.022,0.373
SPADES SIX CLUBS TWO,0.6578,0.0246,0.3176
DIAMONDS THREE DIAMONDS SEVEN,0.6328,0.0232,0.344
SPADES SEVEN CLUBS TWO,0.6822,0.0236,0.2942
CLUBS SIX CLUBS TWO,0.6398,0.0204,0.3398
CLUBS SEVEN CLUBS TWO,0.6492,0.0282,0.3226
CLUBS FOUR CLUBS TWO,0.601,0.0228,0.3762
CLUBS FIVE CLUBS TWO,0.612,0.0216,0.3664
CLUBS TEN CLUBS JACK,0.2404,0.0536,0.706
DIAMONDS FOUR DIAMONDS SIX,0.6128,0.0238,0.3634
CLUBS TEN CLUBS QUEEN,0.2518,0.0424,0.7058
DIAMONDS FOUR DIAMONDS SEVEN,0.613,0.0242,0.3628
CLUBS TEN CLUBS KING,0.2662,0.0312,0.7026
CLUBS TEN CLUBS ACE,0.2582,0.0212,0.7206
CLUBS EIGHT CLUBS TWO,0.6558,0.0244,0.3198
DIAMONDS FIVE DIAMONDS FOUR,0.5984,0.024,0.3776
DIAMONDS NINE DIAMONDS FOUR,0.6684,0.068,0.2636
DIAMONDS EIGHT DIAMONDS FOUR,0.6414,0.0232,0.3354
CLUBS THREE CLUBS TWO,0.6106,0.0272,0.3622
DIAMONDS NINE DIAMONDS FIVE,0.6642,0.0802,0.2556
CLUBS JACK DIAMONDS TWO,0.4432,0.016,0.5408
DIAMONDS EIGHT DIAMONDS FIVE,0.615,0.025,0.36
CLUBS TEN DIAMONDS TWO,0.6112,0.1716,0.2172
DIAMONDS FIVE DIAMONDS SEVEN,0.61,0.0234,0.3666
DIAMONDS FIVE DIAMONDS SIX,0.5938,0.0238,0.3824
DIAMONDS TWO CLUBS ACE,0.4388,0.005,0.5562
DIAMONDS TWO CLUBS KING,0.4472,0.0086,0.5442
DIAMONDS TWO CLUBS QUEEN,0.4728,0.0096,0.5176
DIAMONDS EIGHT DIAMONDS SIX,0.6238,0.0222,0.354
DIAMONDS NINE DIAMONDS SIX,0.6592,0.0732,0.2676
HEARTS ACE SPADES THREE,0.4438,0.0036,0.5526
SPADES THREE HEARTS KING,0.4472,0.0078,0.545
DIAMONDS SEVEN DIAMONDS SIX,0.619,0.0208,0.3602
HEARTS QUEEN SPADES THREE,0.4382,0.0114,0.5504
SPADES THREE HEARTS JACK,0.4542,0.0164,0.5294
SPADES THREE HEARTS TEN,0.6022,0.1746,0.2232
DIAMONDS EIGHT DIAMONDS SEVEN,0.6126,0.025,0.3624
DIAMONDS NINE DIAMONDS SEVEN,0.6482,0.0702,0.2816
DIAMONDS NINE DIAMONDS EIGHT,0.655,0.0674,0.2776
DIAMONDS KING HEARTS TEN,0.2702,0.0338,0.696
HEARTS THREE HEARTS TEN,0.583,0.1542,0.2628
SPADES JACK CLUBS SIX,0.4486,0.0152,0.5362
DIAMONDS KING HEARTS JACK,0.347,0.0068,0.6462
HEARTS THREE HEARTS JACK,0.4274,0.013,0.5596
SPADES TEN CLUBS SIX,0.6158,0.1658,0.2184
SPADES JACK SPADES FIVE,0.4206,0.0156,0.5638
SPADES TEN SPADES FIVE,0.5702,0.1598,0.27
DIAMONDS KING HEARTS ACE,0.3544,0.0048,0.6408
HEARTS THREE HEARTS ACE,0.4102,0.003,0.5868
SPADES ACE CLUBS SIX,0.4476,0.0028,0.5496
DIAMONDS KING HEARTS QUEEN,0.3632,0.0058,0.631
HEARTS THREE HEARTS QUEEN,0.4352,0.0106,0.5542
SPADES KING CLUBS SIX,0.4422,0.0068,0.551
DIAMONDS KING HEARTS KING,0.1858,0.0118,0.8024
HEARTS THREE HEARTS KING,0.4064,0.0062,0.5874
SPADES QUEEN CLUBS SIX,0.4466,0.0104,0.543
SPADES NINE HEARTS TEN,0.0208,0.957,0.0222
SPADES NINE HEARTS JACK,0.2546,0.0534,0.692
SPADES QUEEN SPADES FIVE,0.4092,0.0092,0.5816
SPADES KING SPADES FIVE,0.433,0.0064,0.5606
SPADES ACE SPADES FIVE,0.4006,0.0058,0.5936
SPADES NINE HEARTS QUEEN,0.27,0.0394,0.6906
SPADES NINE HEARTS KING,0.2692,0.0306,0.7002
SPADES NINE HEARTS ACE,0.3086,0.0166,0.6748
CLUBS TEN SPADES JACK,0.2396,0.0594,0.701
CLUBS TEN SPADES TEN,0.1404,0.0536,0.806
SPADES ACE CLUBS TEN,0.251,0.0202,0.7288
CLUBS TEN SPADES KING,0.2708,0.0336,0.6956
