opposingHand,winningChance,drawChance,lostChance
CLUBS NINE HEARTS FOUR
HEARTS FIVE SPADES TEN,0.3568,0.0268,0.6164
HEARTS FIVE SPADES JACK,0.3436,0.0176,0.6388
CLUBS JACK SPADES FIVE,0.361,0.0204,0.6186
CLUBS TEN SPADES FIVE,0.3544,0.0306,0.615
CLUBS JACK CLUBS EIGHT,0.3064,0.0144,0.6792
CLUBS TEN CLUBS EIGHT,0.31,0.0224,0.6676
CLUBS EIGHT CLUBS KING,0.3448,0.005,0.6502
SPADES FIVE CLUBS ACE,0.342,0.0052,0.6528
CLUBS EIGHT CLUBS QUEEN,0.3242,0.0116,0.6642
SPADES FIVE CLUBS KING,0.3578,0.007,0.6352
SPADES FIVE CLUBS QUEEN,0.3422,0.0132,0.6446
CLUBS EIGHT CLUBS ACE,0.3336,0.0046,0.6618
DIAMONDS TWO DIAMONDS THREE,0.5548,0.0466,0.3986
DIAMONDS TWO DIAMONDS FIVE,0.5444,0.0428,0.4128
HEARTS FIVE SPADES KING,0.3494,0.012,0.6386
DIAMONDS TWO DIAMONDS FOUR,0.5974,0.1004,0.3022
HEARTS FIVE SPADES QUEEN,0.3436,0.015,0.6414
DIAMONDS TWO DIAMONDS SEVEN,0.5746,0.0424,0.383
DIAMONDS TWO DIAMONDS SIX,0.5556,0.0408,0.4036
SPADES ACE HEARTS FIVE,0.3322,0.0032,0.6646
DIAMONDS TWO DIAMONDS NINE,0.2504,0.4846,0.265
DIAMONDS TWO DIAMONDS EIGHT,0.5808,0.0356,0.3836
DIAMONDS THREE DIAMONDS FOUR,0.5608,0.1084,0.3308
CLUBS TWO SPADES FOUR,0.639,0.104,0.257
DIAMONDS THREE DIAMONDS FIVE,0.5442,0.0402,0.4156
SPADES FIVE CLUBS TWO,0.5906,0.0496,0.3598
CLUBS TWO SPADES TWO,0.3692,0.0878,0.543
CLUBS TWO SPADES THREE,0.6126,0.046,0.3414
DIAMONDS THREE DIAMONDS EIGHT,0.5664,0.0424,0.3912
SPADES EIGHT CLUBS TWO,0.599,0.0432,0.3578
DIAMONDS THREE DIAMONDS NINE,0.2438,0.4872,0.269
SPADES NINE CLUBS TWO,0.2642,0.526,0.2098
DIAMONDS THREE DIAMONDS SIX,0.5528,0.0386,0.4086
SPADES SIX CLUBS TWO,0.6044,0.0436,0.352
DIAMONDS THREE DIAMONDS SEVEN,0.5638,0.0436,0.3926
SPADES SEVEN CLUBS TWO,0.6036,0.0496,0.3468
CLUBS SIX CLUBS TWO,0.5636,0.044,0.3924
CLUBS SEVEN CLUBS TWO,0.5948,0.039,0.3662
CLUBS FOUR CLUBS TWO,0.602,0.1142,0.2838
CLUBS FIVE CLUBS TWO,0.5524,0.0488,0.3988
CLUBS TEN CLUBS JACK,0.2846,0.0152,0.7002
DIAMONDS FOUR DIAMONDS SIX,0.5814,0.1,0.3186
CLUBS TEN CLUBS QUEEN,0.287,0.012,0.701
DIAMONDS FOUR DIAMONDS SEVEN,0.5804,0.0972,0.3224
CLUBS TEN CLUBS KING,0.3094,0.0074,0.6832
CLUBS TEN CLUBS ACE,0.3142,0.004,0.6818
CLUBS EIGHT CLUBS TWO,0.5784,0.0396,0.382
DIAMONDS FIVE DIAMONDS FOUR,0.5618,0.1012,0.337
DIAMONDS NINE DIAMONDS FOUR,0.0244,0.9036,0.072
DIAMONDS EIGHT DIAMONDS FOUR,0.6074,0.0964,0.2962
CLUBS THREE CLUBS TWO,0.5874,0.0466,0.366
DIAMONDS NINE DIAMONDS FIVE,0.1946,0.4294,0.376
CLUBS JACK DIAMONDS TWO,0.4014,0.0196,0.579
DIAMONDS EIGHT DIAMONDS FIVE,0.5132,0.0394,0.4474
CLUBS TEN DIAMONDS TWO,0.3752,0.0324,0.5924
DIAMONDS FIVE DIAMONDS SEVEN,0.518,0.039,0.443
DIAMONDS FIVE DIAMONDS SIX,0.49,0.0424,0.4676
DIAMONDS TWO CLUBS ACE,0.3844,0.0042,0.6114
DIAMONDS TWO CLUBS KING,0.3884,0.0076,0.604
DIAMONDS TWO CLUBS QUEEN,0.3858,0.0118,0.6024
DIAMONDS EIGHT DIAMONDS SIX,0.501,0.0414,0.4576
DIAMONDS NINE DIAMONDS SIX,0.2018,0.3548,0.4434
HEARTS ACE SPADES THREE,0.372,0.0062,0.6218
SPADES THREE HEARTS KING,0.38,0.0074,0.6126
DIAMONDS SEVEN DIAMONDS SIX,0.5046,0.0368,0.4586
HEARTS QUEEN SPADES THREE,0.3724,0.0136,0.614
SPADES THREE HEARTS JACK,0.3856,0.0188,0.5956
SPADES THREE HEARTS TEN,0.384,0.0272,0.5888
DIAMONDS EIGHT DIAMONDS SEVEN,0.4896,0.0374,0.473
DIAMONDS NINE DIAMONDS SEVEN,0.1948,0.282,0.5232
DIAMONDS NINE DIAMONDS EIGHT,0.2074,0.2128,0.5798
DIAMONDS KING HEARTS TEN,0.3134,0.0066,0.68
HEARTS THREE HEARTS TEN,0.3662,0.0254,0.6084
SPADES JACK CLUBS SIX,0.3612,0.0198,0.619
DIAMONDS KING HEARTS JACK,0.3174,0.0056,0.677
HEARTS THREE HEARTS JACK,0.365,0.0218,0.6132
SPADES TEN CLUBS SIX,0.3442,0.0248,0.631
SPADES JACK SPADES FIVE,0.325,0.0192,0.6558
SPADES TEN SPADES FIVE,0.3246,0.0252,0.6502
DIAMONDS KING HEARTS ACE,0.3284,0.0054,0.6662
HEARTS THREE HEARTS ACE,0.3636,0.0056,0.6308
