opposingHand,winningChance,drawChance,lostChance
CLUBS NINE HEARTS KING
HEARTS FIVE SPADES TEN,0.6514,0.0066,0.342
SPADES JACK HEARTS FIVE,0.646,0.0092,0.3448
CLUBS JACK SPADES FIVE,0.6326,0.007,0.3604
CLUBS TEN SPADES FIVE,0.6494,0.0074,0.3432
CLUBS JACK CLUBS EIGHT,0.5728,0.006,0.4212
CLUBS TEN CLUBS EIGHT,0.5794,0.007,0.4136
CLUBS EIGHT CLUBS KING,0.5878,0.1528,0.2594
SPADES FIVE CLUBS ACE,0.3984,0.0046,0.597
CLUBS EIGHT CLUBS QUEEN,0.6106,0.0066,0.3828
SPADES FIVE CLUBS KING,0.607,0.1626,0.2304
SPADES FIVE CLUBS QUEEN,0.6392,0.0066,0.3542
CLUBS EIGHT CLUBS ACE,0.3732,0.005,0.6218
DIAMONDS TWO DIAMONDS THREE,0.6126,0.0064,0.381
DIAMONDS TWO DIAMONDS FIVE,0.5978,0.0084,0.3938
SPADES KING HEARTS FIVE,0.6042,0.1692,0.2266
DIAMONDS TWO DIAMONDS FOUR,0.6132,0.0064,0.3804
SPADES QUEEN HEARTS FIVE,0.6218,0.0078,0.3704
DIAMONDS TWO DIAMONDS SEVEN,0.6272,0.0066,0.3662
DIAMONDS TWO DIAMONDS SIX,0.632,0.0064,0.3616
SPADES ACE HEARTS FIVE,0.394,0.0036,0.6024
DIAMONDS TWO DIAMONDS NINE,0.6914,0.035,0.2736
DIAMONDS TWO DIAMONDS EIGHT,0.6286,0.0068,0.3646
DIAMONDS THREE DIAMONDS FOUR,0.5948,0.0078,0.3974
CLUBS TWO SPADES FOUR,0.6404,0.008,0.3516
DIAMONDS THREE DIAMONDS FIVE,0.5814,0.0088,0.4098
SPADES FIVE CLUBS TWO,0.6514,0.0072,0.3414
CLUBS TWO SPADES TWO,0.4664,0.0142,0.5194
CLUBS TWO SPADES THREE,0.6502,0.0068,0.343
DIAMONDS THREE DIAMONDS EIGHT,0.6336,0.0082,0.3582
SPADES EIGHT CLUBS TWO,0.6868,0.0066,0.3066
DIAMONDS THREE DIAMONDS NINE,0.676,0.035,0.289
SPADES NINE CLUBS TWO,0.7396,0.038,0.2224
DIAMONDS THREE DIAMONDS SIX,0.6126,0.006,0.3814
SPADES SIX CLUBS TWO,0.6636,0.0064,0.33
