opposingHand,winningChance,drawChance,lostChance
CLUBS NINE HEARTS NINE
HEARTS FIVE SPADES TEN,0.688,0.0394,0.2726
SPADES JACK HEARTS FIVE,0.6784,0.032,0.2896
CLUBS JACK SPADES FIVE,0.6806,0.0262,0.2932
CLUBS TEN SPADES FIVE,0.6824,0.038,0.2796
CLUBS JACK CLUBS EIGHT,0.6548,0.0274,0.3178
CLUBS TEN CLUBS EIGHT,0.6444,0.0368,0.3188
CLUBS EIGHT CLUBS KING,0.6476,0.009,0.3434
SPADES FIVE CLUBS ACE,0.6384,0.0058,0.3558
CLUBS EIGHT CLUBS QUEEN,0.6416,0.0136,0.3448
SPADES FIVE CLUBS KING,0.6544,0.0102,0.3354
SPADES FIVE CLUBS QUEEN,0.6804,0.0164,0.3032
CLUBS EIGHT CLUBS ACE,0.639,0.0038,0.3572
DIAMONDS TWO DIAMONDS THREE,0.7286,0.0796,0.1918
DIAMONDS TWO DIAMONDS FIVE,0.717,0.0786,0.2044
SPADES KING HEARTS FIVE,0.6902,0.0092,0.3006
DIAMONDS TWO DIAMONDS FOUR,0.7354,0.0848,0.1798
SPADES QUEEN HEARTS FIVE,0.6884,0.0172,0.2944
DIAMONDS TWO DIAMONDS SEVEN,0.7674,0.0596,0.173
DIAMONDS TWO DIAMONDS SIX,0.7442,0.0704,0.1854
SPADES ACE HEARTS FIVE,0.664,0.004,0.332
DIAMONDS TWO DIAMONDS NINE,0.8022,0.0686,0.1292
DIAMONDS TWO DIAMONDS EIGHT,0.7714,0.0568,0.1718
DIAMONDS THREE DIAMONDS FOUR,0.7178,0.078,0.2042
CLUBS TWO SPADES FOUR,0.7638,0.0924,0.1438
DIAMONDS THREE DIAMONDS FIVE,0.7078,0.0794,0.2128
SPADES FIVE CLUBS TWO,0.7724,0.0776,0.15
CLUBS TWO SPADES TWO,0.6512,0.1644,0.1844
CLUBS TWO SPADES THREE,0.7654,0.0848,0.1498
DIAMONDS THREE DIAMONDS EIGHT,0.7622,0.0606,0.1772
SPADES EIGHT CLUBS TWO,0.8128,0.0656,0.1216
DIAMONDS THREE DIAMONDS NINE,0.8036,0.062,0.1344
SPADES NINE CLUBS TWO,0.8554,0.0728,0.0718
DIAMONDS THREE DIAMONDS SIX,0.7314,0.0724,0.1962
SPADES SIX CLUBS TWO,0.7962,0.0772,0.1266
DIAMONDS THREE DIAMONDS SEVEN,0.7348,0.0684,0.1968
SPADES SEVEN CLUBS TWO,0.8132,0.0638,0.123
CLUBS SIX CLUBS TWO,0.745,0.0776,0.1774
CLUBS SEVEN CLUBS TWO,0.7748,0.0676,0.1576
CLUBS FOUR CLUBS TWO,0.7424,0.081,0.1766
CLUBS FIVE CLUBS TWO,0.736,0.0802,0.1838
CLUBS TEN CLUBS JACK,0.5142,0.0222,0.4636
DIAMONDS FOUR DIAMONDS SIX,0.71,0.0786,0.2114
CLUBS TEN CLUBS QUEEN,0.5184,0.0158,0.4658
DIAMONDS FOUR DIAMONDS SEVEN,0.7286,0.0704,0.201
CLUBS TEN CLUBS KING,0.5176,0.0084,0.474
CLUBS TEN CLUBS ACE,0.5242,0.0062,0.4696
CLUBS EIGHT CLUBS TWO,0.7776,0.0534,0.169
DIAMONDS FIVE DIAMONDS FOUR,0.6936,0.0758,0.2306
DIAMONDS NINE DIAMONDS FOUR,0.7976,0.066,0.1364
DIAMONDS EIGHT DIAMONDS FOUR,0.745,0.056,0.199
CLUBS THREE CLUBS TWO,0.7404,0.0868,0.1728
DIAMONDS NINE DIAMONDS FIVE,0.7812,0.0624,0.1564
CLUBS JACK DIAMONDS TWO,0.6818,0.0292,0.289
DIAMONDS EIGHT DIAMONDS FIVE,0.7392,0.0584,0.2024
CLUBS TEN DIAMONDS TWO,0.6904,0.042,0.2676
DIAMONDS FIVE DIAMONDS SEVEN,0.7106,0.071,0.2184
DIAMONDS FIVE DIAMONDS SIX,0.7184,0.0708,0.2108
DIAMONDS TWO CLUBS ACE,0.6494,0.0046,0.346
DIAMONDS TWO CLUBS KING,0.6822,0.0102,0.3076
DIAMONDS TWO CLUBS QUEEN,0.667,0.0198,0.3132
DIAMONDS EIGHT DIAMONDS SIX,0.7436,0.058,0.1984
DIAMONDS NINE DIAMONDS SIX,0.777,0.0644,0.1586
HEARTS ACE SPADES THREE,0.6472,0.0062,0.3466
SPADES THREE HEARTS KING,0.6786,0.012,0.3094
DIAMONDS SEVEN DIAMONDS SIX,0.7182,0.0658,0.216
HEARTS QUEEN SPADES THREE,0.6782,0.0194,0.3024
SPADES THREE HEARTS JACK,0.6864,0.0302,0.2834
SPADES THREE HEARTS TEN,0.6862,0.0426,0.2712
DIAMONDS EIGHT DIAMONDS SEVEN,0.7284,0.058,0.2136
DIAMONDS NINE DIAMONDS SEVEN,0.758,0.0662,0.1758
DIAMONDS NINE DIAMONDS EIGHT,0.7476,0.0584,0.194
DIAMONDS KING HEARTS TEN,0.5522,0.0086,0.4392
HEARTS THREE HEARTS TEN,0.6628,0.0436,0.2936
SPADES JACK CLUBS SIX,0.6888,0.03,0.2812
