opposingHand,winningChance,drawChance,lostChance
CLUBS NINE HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.6346,0.0112,0.3542
SPADES JACK HEARTS FIVE,0.6412,0.0134,0.3454
CLUBS JACK SPADES FIVE,0.6272,0.0104,0.3624
CLUBS TEN SPADES FIVE,0.6392,0.0108,0.35
CLUBS JACK CLUBS EIGHT,0.5972,0.0122,0.3906
CLUBS TEN CLUBS EIGHT,0.5874,0.01,0.4026
CLUBS EIGHT CLUBS KING,0.3994,0.0048,0.5958
SPADES FIVE CLUBS ACE,0.4212,0.004,0.5748
CLUBS EIGHT CLUBS QUEEN,0.5746,0.1594,0.266
SPADES FIVE CLUBS KING,0.4166,0.0078,0.5756
SPADES FIVE CLUBS QUEEN,0.588,0.1674,0.2446
CLUBS EIGHT CLUBS ACE,0.3962,0.006,0.5978
DIAMONDS TWO DIAMONDS THREE,0.605,0.0082,0.3868
DIAMONDS TWO DIAMONDS FIVE,0.5928,0.012,0.3952
SPADES KING HEARTS FIVE,0.4334,0.0072,0.5594
DIAMONDS TWO DIAMONDS FOUR,0.614,0.0122,0.3738
SPADES QUEEN HEARTS FIVE,0.5968,0.1654,0.2378
DIAMONDS TWO DIAMONDS SEVEN,0.617,0.0122,0.3708
DIAMONDS TWO DIAMONDS SIX,0.6172,0.0116,0.3712
SPADES ACE HEARTS FIVE,0.4286,0.0046,0.5668
DIAMONDS TWO DIAMONDS NINE,0.6792,0.043,0.2778
DIAMONDS TWO DIAMONDS EIGHT,0.6336,0.0126,0.3538
DIAMONDS THREE DIAMONDS FOUR,0.6002,0.008,0.3918
CLUBS TWO SPADES FOUR,0.6442,0.013,0.3428
DIAMONDS THREE DIAMONDS FIVE,0.579,0.011,0.41
SPADES FIVE CLUBS TWO,0.6474,0.0134,0.3392
CLUBS TWO SPADES TWO,0.4678,0.0216,0.5106
CLUBS TWO SPADES THREE,0.6544,0.0134,0.3322
DIAMONDS THREE DIAMONDS EIGHT,0.627,0.0106,0.3624
SPADES EIGHT CLUBS TWO,0.6726,0.0112,0.3162
DIAMONDS THREE DIAMONDS NINE,0.6816,0.0424,0.276
SPADES NINE CLUBS TWO,0.7258,0.05,0.2242
DIAMONDS THREE DIAMONDS SIX,0.596,0.0102,0.3938
