opposingHand,winningChance,drawChance,lostChance
CLUBS NINE HEARTS TWO
HEARTS FIVE SPADES TEN,0.3504,0.028,0.6216
HEARTS FIVE SPADES JACK,0.349,0.0176,0.6334
CLUBS JACK SPADES FIVE,0.3394,0.0194,0.6412
CLUBS TEN SPADES FIVE,0.3468,0.0306,0.6226
CLUBS JACK CLUBS EIGHT,0.3154,0.0188,0.6658
CLUBS TEN CLUBS EIGHT,0.3036,0.0232,0.6732
CLUBS EIGHT CLUBS KING,0.3396,0.0088,0.6516
SPADES FIVE CLUBS ACE,0.3416,0.006,0.6524
CLUBS EIGHT CLUBS QUEEN,0.334,0.013,0.653
SPADES FIVE CLUBS KING,0.3538,0.009,0.6372
SPADES FIVE CLUBS QUEEN,0.3586,0.0122,0.6292
CLUBS EIGHT CLUBS ACE,0.323,0.0058,0.6712
DIAMONDS TWO DIAMONDS THREE,0.5914,0.1004,0.3082
DIAMONDS TWO DIAMONDS FIVE,0.5932,0.0958,0.311
HEARTS FIVE SPADES KING,0.3438,0.0106,0.6456
DIAMONDS TWO DIAMONDS FOUR,0.592,0.098,0.31
HEARTS FIVE SPADES QUEEN,0.3548,0.0126,0.6326
DIAMONDS TWO DIAMONDS SEVEN,0.6276,0.0936,0.2788
DIAMONDS TWO DIAMONDS SIX,0.6162,0.095,0.2888
SPADES ACE HEARTS FIVE,0.3258,0.005,0.6692
DIAMONDS TWO DIAMONDS NINE,0.0248,0.9018,0.0734
DIAMONDS TWO DIAMONDS EIGHT,0.6218,0.0944,0.2838
DIAMONDS THREE DIAMONDS FOUR,0.5078,0.044,0.4482
CLUBS TWO SPADES FOUR,0.647,0.0966,0.2564
DIAMONDS THREE DIAMONDS FIVE,0.4984,0.0448,0.4568
SPADES FIVE CLUBS TWO,0.6338,0.1024,0.2638
CLUBS TWO SPADES TWO,0.2732,0.0596,0.6672
CLUBS TWO SPADES THREE,0.6298,0.107,0.2632
DIAMONDS THREE DIAMONDS EIGHT,0.5342,0.0366,0.4292
SPADES EIGHT CLUBS TWO,0.678,0.0982,0.2238
DIAMONDS THREE DIAMONDS NINE,0.2032,0.4988,0.298
SPADES NINE CLUBS TWO,0.0152,0.9748,0.01
DIAMONDS THREE DIAMONDS SIX,0.514,0.0416,0.4444
SPADES SIX CLUBS TWO,0.6632,0.0952,0.2416
DIAMONDS THREE DIAMONDS SEVEN,0.5182,0.041,0.4408
SPADES SEVEN CLUBS TWO,0.688,0.0998,0.2122
CLUBS SIX CLUBS TWO,0.6148,0.1008,0.2844
CLUBS SEVEN CLUBS TWO,0.6352,0.103,0.2618
CLUBS FOUR CLUBS TWO,0.6076,0.1004,0.292
CLUBS FIVE CLUBS TWO,0.6038,0.1014,0.2948
CLUBS TEN CLUBS JACK,0.2846,0.0148,0.7006
DIAMONDS FOUR DIAMONDS SIX,0.5076,0.0356,0.4568
CLUBS TEN CLUBS QUEEN,0.2952,0.011,0.6938
DIAMONDS FOUR DIAMONDS SEVEN,0.5108,0.0422,0.447
CLUBS TEN CLUBS KING,0.3052,0.0076,0.6872
CLUBS TEN CLUBS ACE,0.2936,0.008,0.6984
CLUBS EIGHT CLUBS TWO,0.628,0.1068,0.2652
DIAMONDS FIVE DIAMONDS FOUR,0.4866,0.0432,0.4702
DIAMONDS NINE DIAMONDS FOUR,0.1938,0.489,0.3172
DIAMONDS EIGHT DIAMONDS FOUR,0.5296,0.0434,0.427
CLUBS THREE CLUBS TWO,0.6074,0.0994,0.2932
DIAMONDS NINE DIAMONDS FIVE,0.2096,0.4086,0.3818
CLUBS JACK DIAMONDS TWO,0.2316,0.0562,0.7122
DIAMONDS EIGHT DIAMONDS FIVE,0.5058,0.0418,0.4524
CLUBS TEN DIAMONDS TWO,0.223,0.0754,0.7016
DIAMONDS FIVE DIAMONDS SEVEN,0.4994,0.0386,0.462
DIAMONDS FIVE DIAMONDS SIX,0.4944,0.0408,0.4648
DIAMONDS TWO CLUBS ACE,0.233,0.018,0.749
DIAMONDS TWO CLUBS KING,0.2338,0.0288,0.7374
DIAMONDS TWO CLUBS QUEEN,0.2392,0.042,0.7188
DIAMONDS EIGHT DIAMONDS SIX,0.5048,0.0422,0.453
