opposingHand,winningChance,drawChance,lostChance
CLUBS NINE SPADES THREE
HEARTS FIVE SPADES TEN,0.3516,0.026,0.6224
SPADES JACK HEARTS FIVE,0.3446,0.016,0.6394
SPADES FIVE CLUBS JACK,0.3504,0.0184,0.6312
CLUBS TEN SPADES FIVE,0.3434,0.0272,0.6294
CLUBS EIGHT CLUBS JACK,0.3108,0.02,0.6692
CLUBS EIGHT CLUBS TEN,0.3084,0.0176,0.674
CLUBS EIGHT CLUBS KING,0.3364,0.0106,0.653
SPADES FIVE CLUBS ACE,0.3268,0.0068,0.6664
CLUBS EIGHT CLUBS QUEEN,0.3376,0.0134,0.649
SPADES FIVE CLUBS KING,0.3494,0.0074,0.6432
SPADES FIVE CLUBS QUEEN,0.3538,0.0136,0.6326
CLUBS EIGHT CLUBS ACE,0.3292,0.0046,0.6662
DIAMONDS TWO DIAMONDS THREE,0.597,0.1054,0.2976
DIAMONDS TWO DIAMONDS FIVE,0.5434,0.0462,0.4104
SPADES KING HEARTS FIVE,0.3458,0.0072,0.647
DIAMONDS TWO DIAMONDS FOUR,0.5488,0.0472,0.404
SPADES QUEEN HEARTS FIVE,0.3582,0.0102,0.6316
DIAMONDS TWO DIAMONDS SEVEN,0.5694,0.0416,0.389
DIAMONDS TWO DIAMONDS SIX,0.5448,0.0402,0.415
SPADES ACE HEARTS FIVE,0.3364,0.0062,0.6574
DIAMONDS TWO DIAMONDS NINE,0.2458,0.4872,0.267
DIAMONDS TWO DIAMONDS EIGHT,0.5718,0.042,0.3862
DIAMONDS THREE DIAMONDS FOUR,0.5832,0.1024,0.3144
CLUBS TWO SPADES FOUR,0.5842,0.0486,0.3672
DIAMONDS THREE DIAMONDS FIVE,0.5842,0.104,0.3118
CLUBS TWO SPADES FIVE,0.5774,0.0514,0.3712
CLUBS TWO SPADES TWO,0.3704,0.0956,0.534
DIAMONDS THREE DIAMONDS EIGHT,0.6262,0.0996,0.2742
SPADES EIGHT CLUBS TWO,0.6014,0.045,0.3536
DIAMONDS THREE DIAMONDS NINE,0.0236,0.9036,0.0728
SPADES NINE CLUBS TWO,0.2552,0.528,0.2168
DIAMONDS THREE DIAMONDS SIX,0.5954,0.0974,0.3072
CLUBS TWO SPADES SIX,0.581,0.0484,0.3706
DIAMONDS THREE DIAMONDS SEVEN,0.6084,0.1006,0.291
CLUBS TWO SPADES SEVEN,0.6104,0.0448,0.3448
CLUBS SIX CLUBS TWO,0.5674,0.0504,0.3822
CLUBS SEVEN CLUBS TWO,0.5862,0.0392,0.3746
CLUBS FOUR CLUBS TWO,0.5588,0.0448,0.3964
CLUBS FIVE CLUBS TWO,0.5616,0.0434,0.395
CLUBS TEN CLUBS JACK,0.2814,0.0112,0.7074
DIAMONDS FOUR DIAMONDS SIX,0.5232,0.037,0.4398
CLUBS TEN CLUBS QUEEN,0.2982,0.0102,0.6916
DIAMONDS FOUR DIAMONDS SEVEN,0.5314,0.0406,0.428
CLUBS TEN CLUBS KING,0.3044,0.007,0.6886
CLUBS TEN CLUBS ACE,0.3062,0.0066,0.6872
CLUBS EIGHT CLUBS TWO,0.5706,0.0374,0.392
DIAMONDS FIVE DIAMONDS FOUR,0.4976,0.0406,0.4618
DIAMONDS NINE DIAMONDS FOUR,0.213,0.4874,0.2996
DIAMONDS EIGHT DIAMONDS FOUR,0.526,0.0426,0.4314
CLUBS TWO CLUBS THREE,0.6022,0.1032,0.2946
DIAMONDS NINE DIAMONDS FIVE,0.2062,0.4374,0.3564
DIAMONDS TWO CLUBS JACK,0.3862,0.023,0.5908
DIAMONDS EIGHT DIAMONDS FIVE,0.4928,0.0408,0.4664
CLUBS TEN DIAMONDS TWO,0.3896,0.0292,0.5812
DIAMONDS FIVE DIAMONDS SEVEN,0.5078,0.0376,0.4546
DIAMONDS FIVE DIAMONDS SIX,0.4898,0.0414,0.4688
DIAMONDS TWO CLUBS ACE,0.3746,0.0046,0.6208
DIAMONDS TWO CLUBS KING,0.3904,0.0082,0.6014
DIAMONDS TWO CLUBS QUEEN,0.39,0.0118,0.5982
