opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN CLUBS FOUR
HEARTS FIVE SPADES TEN,0.4136,0.0268,0.5596
SPADES JACK HEARTS FIVE,0.4064,0.0198,0.5738
CLUBS JACK SPADES FIVE,0.402,0.0238,0.5742
CLUBS TEN SPADES FIVE,0.4054,0.0304,0.5642
CLUBS JACK CLUBS EIGHT,0.326,0.015,0.659
CLUBS TEN CLUBS EIGHT,0.3186,0.0274,0.654
CLUBS EIGHT CLUBS KING,0.3414,0.0088,0.6498
SPADES FIVE CLUBS ACE,0.387,0.0056,0.6074
CLUBS EIGHT CLUBS QUEEN,0.3258,0.0156,0.6586
SPADES FIVE CLUBS KING,0.404,0.0082,0.5878
SPADES FIVE CLUBS QUEEN,0.392,0.0116,0.5964
CLUBS EIGHT CLUBS ACE,0.3354,0.0062,0.6584
DIAMONDS TWO DIAMONDS THREE,0.5574,0.0978,0.3448
DIAMONDS TWO DIAMONDS FIVE,0.5282,0.099,0.3728
SPADES KING HEARTS FIVE,0.4098,0.009,0.5812
DIAMONDS TWO DIAMONDS FOUR,0.5508,0.1762,0.273
SPADES QUEEN HEARTS FIVE,0.4062,0.01,0.5838
DIAMONDS TWO DIAMONDS SEVEN,0.305,0.4416,0.2534
DIAMONDS TWO DIAMONDS SIX,0.5442,0.0972,0.3586
SPADES ACE HEARTS FIVE,0.4044,0.0068,0.5888
DIAMONDS TWO DIAMONDS NINE,0.4236,0.0404,0.536
DIAMONDS TWO DIAMONDS EIGHT,0.4202,0.058,0.5218
DIAMONDS THREE DIAMONDS FOUR,0.5242,0.184,0.2918
CLUBS TWO SPADES FOUR,0.582,0.2058,0.2122
DIAMONDS THREE DIAMONDS FIVE,0.527,0.0928,0.3802
CLUBS TWO SPADES FIVE,0.575,0.0954,0.3296
CLUBS TWO SPADES TWO,0.4032,0.1166,0.4802
CLUBS TWO SPADES THREE,0.5896,0.1034,0.307
DIAMONDS THREE DIAMONDS EIGHT,0.4052,0.0654,0.5294
SPADES EIGHT CLUBS TWO,0.441,0.0682,0.4908
DIAMONDS THREE DIAMONDS NINE,0.416,0.0426,0.5414
SPADES NINE CLUBS TWO,0.4484,0.041,0.5106
DIAMONDS THREE DIAMONDS SIX,0.552,0.0838,0.3642
CLUBS TWO SPADES SIX,0.5874,0.0958,0.3168
DIAMONDS THREE DIAMONDS SEVEN,0.3058,0.4408,0.2534
CLUBS TWO SPADES SEVEN,0.3196,0.4824,0.198
CLUBS SIX CLUBS TWO,0.5738,0.1028,0.3234
CLUBS FIVE CLUBS TWO,0.5696,0.0984,0.332
CLUBS TEN CLUBS JACK,0.3192,0.0178,0.663
DIAMONDS FOUR DIAMONDS SIX,0.543,0.1786,0.2784
CLUBS TEN CLUBS QUEEN,0.3284,0.0146,0.657
DIAMONDS FOUR DIAMONDS SEVEN,0.0796,0.8452,0.0752
CLUBS TEN CLUBS KING,0.3284,0.0096,0.662
CLUBS TEN CLUBS ACE,0.3218,0.0064,0.6718
CLUBS EIGHT CLUBS TWO,0.4058,0.0598,0.5344
DIAMONDS FIVE DIAMONDS FOUR,0.5264,0.187,0.2866
CLUBS NINE CLUBS TWO,0.4034,0.043,0.5536
DIAMONDS NINE DIAMONDS FOUR,0.2994,0.096,0.6046
DIAMONDS EIGHT DIAMONDS FOUR,0.2756,0.1362,0.5882
CLUBS TWO CLUBS THREE,0.596,0.0968,0.3072
DIAMONDS NINE DIAMONDS FIVE,0.3814,0.0454,0.5732
CLUBS JACK DIAMONDS TWO,0.4402,0.0216,0.5382
DIAMONDS EIGHT DIAMONDS FIVE,0.372,0.0552,0.5728
CLUBS TEN DIAMONDS TWO,0.4302,0.0338,0.536
DIAMONDS FIVE DIAMONDS SEVEN,0.2428,0.4064,0.3508
DIAMONDS FIVE DIAMONDS SIX,0.4864,0.091,0.4226
DIAMONDS TWO CLUBS ACE,0.4296,0.0056,0.5648
DIAMONDS TWO CLUBS KING,0.4424,0.011,0.5466
DIAMONDS TWO CLUBS QUEEN,0.444,0.0156,0.5404
DIAMONDS EIGHT DIAMONDS SIX,0.3722,0.052,0.5758
DIAMONDS NINE DIAMONDS SIX,0.366,0.0414,0.5926
HEARTS ACE SPADES THREE,0.429,0.0048,0.5662
HEARTS KING SPADES THREE,0.45,0.0088,0.5412
DIAMONDS SEVEN DIAMONDS SIX,0.2526,0.3308,0.4166
SPADES THREE HEARTS QUEEN,0.4424,0.0104,0.5472
HEARTS JACK SPADES THREE,0.4422,0.019,0.5388
SPADES THREE HEARTS TEN,0.4492,0.0302,0.5206
DIAMONDS EIGHT DIAMONDS SEVEN,0.2616,0.1422,0.5962
DIAMONDS NINE DIAMONDS SEVEN,0.2714,0.098,0.6306
DIAMONDS NINE DIAMONDS EIGHT,0.3348,0.0332,0.632
DIAMONDS KING HEARTS TEN,0.3764,0.0064,0.6172
HEARTS THREE HEARTS TEN,0.4086,0.0268,0.5646
SPADES JACK CLUBS SIX,0.4092,0.0174,0.5734
DIAMONDS KING HEARTS JACK,0.3766,0.0068,0.6166
HEARTS THREE HEARTS JACK,0.4182,0.0208,0.561
SPADES TEN CLUBS SIX,0.3804,0.028,0.5916
SPADES JACK SPADES FIVE,0.3876,0.0204,0.592
SPADES TEN SPADES FIVE,0.401,0.0286,0.5704
DIAMONDS KING HEARTS ACE,0.4032,0.0038,0.593
