opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN CLUBS KING
HEARTS FIVE SPADES TEN,0.6786,0.0056,0.3158
SPADES JACK HEARTS FIVE,0.6554,0.007,0.3376
SPADES FIVE CLUBS JACK,0.6396,0.0068,0.3536
CLUBS TEN SPADES FIVE,0.6446,0.0062,0.3492
CLUBS EIGHT CLUBS JACK,0.5946,0.0078,0.3976
CLUBS TEN CLUBS EIGHT,0.5804,0.0096,0.41
SPADES FIVE CLUBS ACE,0.4234,0.0026,0.574
CLUBS EIGHT CLUBS QUEEN,0.6144,0.0086,0.377
SPADES FIVE CLUBS QUEEN,0.6516,0.007,0.3414
CLUBS EIGHT CLUBS ACE,0.3506,0.0056,0.6438
DIAMONDS TWO DIAMONDS THREE,0.6132,0.0134,0.3734
DIAMONDS TWO DIAMONDS FIVE,0.632,0.01,0.358
SPADES KING HEARTS FIVE,0.4974,0.2924,0.2102
DIAMONDS TWO DIAMONDS FOUR,0.6202,0.0094,0.3704
SPADES QUEEN HEARTS FIVE,0.6436,0.0076,0.3488
DIAMONDS TWO DIAMONDS SEVEN,0.7118,0.0404,0.2478
DIAMONDS TWO DIAMONDS SIX,0.6364,0.0052,0.3584
SPADES ACE HEARTS FIVE,0.4222,0.0044,0.5734
DIAMONDS TWO DIAMONDS NINE,0.6272,0.008,0.3648
DIAMONDS TWO DIAMONDS EIGHT,0.6278,0.007,0.3652
DIAMONDS THREE DIAMONDS FOUR,0.6154,0.0082,0.3764
CLUBS TWO SPADES FOUR,0.6734,0.0104,0.3162
DIAMONDS THREE DIAMONDS FIVE,0.6098,0.0094,0.3808
CLUBS TWO SPADES FIVE,0.6642,0.01,0.3258
CLUBS TWO SPADES TWO,0.4814,0.0208,0.4978
CLUBS TWO SPADES THREE,0.668,0.0102,0.3218
DIAMONDS THREE DIAMONDS EIGHT,0.6228,0.0078,0.3694
SPADES EIGHT CLUBS TWO,0.671,0.0078,0.3212
DIAMONDS THREE DIAMONDS NINE,0.6172,0.0088,0.374
SPADES NINE CLUBS TWO,0.661,0.0078,0.3312
DIAMONDS THREE DIAMONDS SIX,0.6298,0.0074,0.3628
CLUBS TWO SPADES SIX,0.6674,0.0078,0.3248
DIAMONDS THREE DIAMONDS SEVEN,0.7006,0.0396,0.2598
CLUBS TWO SPADES SEVEN,0.747,0.042,0.211
CLUBS SIX CLUBS TWO,0.6762,0.0092,0.3146
CLUBS FOUR CLUBS TWO,0.6616,0.0112,0.3272
CLUBS FIVE CLUBS TWO,0.6556,0.0102,0.3342
CLUBS TEN CLUBS JACK,0.5738,0.0074,0.4188
DIAMONDS FOUR DIAMONDS SIX,0.612,0.0066,0.3814
CLUBS TEN CLUBS QUEEN,0.5676,0.0082,0.4242
DIAMONDS FOUR DIAMONDS SEVEN,0.6822,0.038,0.2798
CLUBS TEN CLUBS ACE,0.3326,0.0034,0.664
CLUBS EIGHT CLUBS TWO,0.6454,0.0098,0.3448
DIAMONDS FIVE DIAMONDS FOUR,0.5962,0.0084,0.3954
CLUBS NINE CLUBS TWO,0.652,0.0066,0.3414
DIAMONDS NINE DIAMONDS FOUR,0.6016,0.0072,0.3912
DIAMONDS EIGHT DIAMONDS FOUR,0.6202,0.007,0.3728
CLUBS TWO CLUBS THREE,0.6548,0.0084,0.3368
DIAMONDS NINE DIAMONDS FIVE,0.6106,0.0058,0.3836
DIAMONDS TWO CLUBS JACK,0.6556,0.0082,0.3362
DIAMONDS EIGHT DIAMONDS FIVE,0.6174,0.0058,0.3768
CLUBS TEN DIAMONDS TWO,0.6444,0.0064,0.3492
DIAMONDS FIVE DIAMONDS SEVEN,0.6716,0.04,0.2884
DIAMONDS FIVE DIAMONDS SIX,0.5978,0.007,0.3952
DIAMONDS TWO CLUBS ACE,0.4132,0.006,0.5808
DIAMONDS TWO CLUBS QUEEN,0.6582,0.0094,0.3324
DIAMONDS EIGHT DIAMONDS SIX,0.5914,0.005,0.4036
DIAMONDS NINE DIAMONDS SIX,0.6052,0.0068,0.388
HEARTS ACE SPADES THREE,0.4346,0.0056,0.5598
HEARTS KING SPADES THREE,0.5076,0.281,0.2114
DIAMONDS SEVEN DIAMONDS SIX,0.6518,0.0354,0.3128
SPADES THREE HEARTS QUEEN,0.6464,0.007,0.3466
HEARTS JACK SPADES THREE,0.6368,0.01,0.3532
