opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN CLUBS SIX
DIAMONDS TWO SPADES TEN,0.479,0.0286,0.4924
HEARTS JACK CLUBS KING,0.395,0.007,0.598
CLUBS TEN CLUBS QUEEN,0.3594,0.0108,0.6298
CLUBS FIVE CLUBS TWO,0.6074,0.1,0.2926
HEARTS FOUR HEARTS TEN,0.4352,0.0284,0.5364
SPADES THREE HEARTS SEVEN,0.4576,0.3324,0.21
CLUBS EIGHT DIAMONDS FIVE,0.4214,0.064,0.5146
DIAMONDS EIGHT HEARTS NINE,0.3806,0.0336,0.5858
SPADES FOUR DIAMONDS FIVE,0.5896,0.093,0.3174
DIAMONDS KING DIAMONDS FOUR,0.4366,0.0076,0.5558
SPADES SEVEN CLUBS KING,0.3104,0.0308,0.6588
SPADES JACK HEARTS NINE,0.4056,0.0138,0.5806
HEARTS SIX DIAMONDS TEN,0.3174,0.0758,0.6068
HEARTS SIX SPADES FIVE,0.5886,0.1748,0.2366
SPADES FIVE DIAMONDS EIGHT,0.4422,0.0652,0.4926
HEARTS ACE HEARTS JACK,0.3974,0.0048,0.5978
HEARTS SIX SPADES TWO,0.6018,0.191,0.2072
CLUBS JACK HEARTS NINE,0.3872,0.0174,0.5954
DIAMONDS THREE CLUBS KING,0.449,0.0096,0.5414
DIAMONDS TWO HEARTS THREE,0.6194,0.0936,0.287
SPADES ACE HEARTS NINE,0.4142,0.004,0.5818
CLUBS FIVE HEARTS NINE,0.4304,0.0408,0.5288
CLUBS TWO DIAMONDS FIVE,0.5948,0.0958,0.3094
SPADES QUEEN CLUBS ACE,0.3962,0.0054,0.5984
DIAMONDS THREE DIAMONDS TEN,0.4382,0.0246,0.5372
CLUBS THREE DIAMONDS EIGHT,0.4614,0.0638,0.4748
HEARTS NINE CLUBS QUEEN,0.3962,0.0094,0.5944
SPADES FOUR HEARTS SEVEN,0.4304,0.3496,0.22
SPADES THREE DIAMONDS SEVEN,0.4514,0.347,0.2016
SPADES SEVEN HEARTS TEN,0.315,0.071,0.614
HEARTS FIVE HEARTS EIGHT,0.414,0.0536,0.5324
HEARTS JACK SPADES TWO,0.4688,0.019,0.5122
CLUBS NINE HEARTS JACK,0.371,0.0192,0.6098
HEARTS FOUR DIAMONDS FOUR,0.4166,0.0968,0.4866
SPADES FIVE HEARTS KING,0.457,0.0078,0.5352
SPADES ACE SPADES FOUR,0.4492,0.004,0.5468
SPADES KING HEARTS TWO,0.4772,0.0098,0.513
DIAMONDS KING HEARTS KING,0.2326,0.017,0.7504
SPADES SEVEN DIAMONDS TEN,0.306,0.077,0.617
HEARTS TWO DIAMONDS FOUR,0.6104,0.0872,0.3024
SPADES ACE CLUBS JACK,0.3946,0.0036,0.6018
CLUBS NINE CLUBS FOUR,0.4082,0.0466,0.5452
SPADES QUEEN SPADES FOUR,0.433,0.011,0.556
HEARTS FIVE SPADES NINE,0.457,0.0442,0.4988
HEARTS SIX CLUBS QUEEN,0.3114,0.0468,0.6418
CLUBS NINE SPADES FIVE,0.4306,0.041,0.5284
SPADES KING DIAMONDS QUEEN,0.4036,0.0058,0.5906
DIAMONDS KING DIAMONDS JACK,0.3774,0.0048,0.6178
SPADES ACE DIAMONDS NINE,0.4124,0.0044,0.5832
SPADES JACK DIAMONDS EIGHT,0.4078,0.0154,0.5768
SPADES SEVEN DIAMONDS SIX,0.067,0.9132,0.0198
DIAMONDS JACK CLUBS QUEEN,0.382,0.0076,0.6104
HEARTS SIX HEARTS JACK,0.322,0.0546,0.6234
DIAMONDS THREE HEARTS QUEEN,0.4702,0.0122,0.5176
SPADES KING HEARTS NINE,0.4076,0.0066,0.5858
SPADES FOUR HEARTS TEN,0.4584,0.028,0.5136
CLUBS JACK DIAMONDS TWO,0.4488,0.0178,0.5334
SPADES ACE DIAMONDS TWO,0.4596,0.0072,0.5332
SPADES TEN CLUBS FIVE,0.4446,0.029,0.5264
CLUBS EIGHT CLUBS FIVE,0.4014,0.0594,0.5392
SPADES ACE SPADES SIX,0.3194,0.0184,0.6622
DIAMONDS ACE HEARTS JACK,0.411,0.0036,0.5854
SPADES NINE HEARTS KING,0.421,0.0044,0.5746
DIAMONDS TWO CLUBS EIGHT,0.459,0.0608,0.4802
CLUBS EIGHT SPADES FIVE,0.4344,0.057,0.5086
SPADES FIVE DIAMONDS TEN,0.4664,0.024,0.5096
HEARTS FIVE SPADES THREE,0.5882,0.09,0.3218
SPADES QUEEN SPADES EIGHT,0.3854,0.0124,0.6022
SPADES JACK HEARTS JACK,0.2326,0.0446,0.7228
DIAMONDS JACK SPADES TWO,0.4744,0.0196,0.506
CLUBS TEN SPADES FOUR,0.4686,0.0258,0.5056
CLUBS THREE HEARTS JACK,0.4552,0.0236,0.5212
DIAMONDS TEN HEARTS EIGHT,0.3928,0.0242,0.583
HEARTS ACE DIAMONDS FOUR,0.4666,0.004,0.5294
SPADES THREE CLUBS ACE,0.441,0.0048,0.5542
HEARTS THREE DIAMONDS FOUR,0.5746,0.0944,0.331
HEARTS THREE CLUBS QUEEN,0.463,0.0104,0.5266
HEARTS NINE HEARTS SEVEN,0.2816,0.1012,0.6172
SPADES KING DIAMONDS KING,0.2252,0.019,0.7558
CLUBS TEN SPADES QUEEN,0.3834,0.0104,0.6062
HEARTS THREE DIAMONDS NINE,0.4822,0.0414,0.4764
CLUBS JACK DIAMONDS NINE,0.3822,0.0184,0.5994
HEARTS FIVE CLUBS ACE,0.4306,0.0044,0.565
HEARTS TWO SPADES NINE,0.4724,0.0352,0.4924
DIAMONDS ACE SPADES SEVEN,0.3102,0.026,0.6638
SPADES FOUR SPADES TWO,0.5786,0.0876,0.3338
SPADES FOUR CLUBS QUEEN,0.4456,0.0118,0.5426
DIAMONDS TEN HEARTS TEN,0.2252,0.0472,0.7276
SPADES KING SPADES FIVE,0.4294,0.0062,0.5644
DIAMONDS TWO DIAMONDS KING,0.4394,0.0064,0.5542
SPADES KING DIAMONDS ACE,0.4,0.0052,0.5948
SPADES KING DIAMONDS NINE,0.4094,0.0054,0.5852
SPADES EIGHT SPADES SIX,0.2854,0.136,0.5786
HEARTS QUEEN HEARTS JACK,0.3684,0.0082,0.6234
DIAMONDS TWO DIAMONDS EIGHT,0.4508,0.0598,0.4894
SPADES NINE SPADES FIVE,0.4322,0.0378,0.53
DIAMONDS TEN CLUBS KING,0.3954,0.0066,0.598
HEARTS FIVE CLUBS NINE,0.4416,0.0414,0.517
HEARTS FIVE DIAMONDS TEN,0.4608,0.026,0.5132
HEARTS THREE HEARTS ACE,0.433,0.0066,0.5604
CLUBS KING HEARTS SEVEN,0.3018,0.0348,0.6634
SPADES KING HEARTS KING,0.2178,0.0154,0.7668
CLUBS ACE DIAMONDS FOUR,0.4382,0.0052,0.5566
DIAMONDS THREE HEARTS KING,0.469,0.01,0.521
HEARTS FIVE SPADES JACK,0.464,0.0156,0.5204
SPADES TEN HEARTS SEVEN,0.3148,0.0826,0.6026
SPADES NINE SPADES EIGHT,0.348,0.033,0.619
DIAMONDS THREE HEARTS THREE,0.4302,0.0962,0.4736
SPADES NINE CLUBS TWO,0.477,0.0426,0.4804
CLUBS JACK CLUBS KING,0.3456,0.0068,0.6476
HEARTS QUEEN DIAMONDS SEVEN,0.3304,0.046,0.6236
SPADES EIGHT SPADES FIVE,0.426,0.0576,0.5164
DIAMONDS KING SPADES THREE,0.4702,0.0064,0.5234
CLUBS TEN CLUBS THREE,0.423,0.0356,0.5414
CLUBS FIVE DIAMONDS TEN,0.4566,0.0254,0.518
CLUBS THREE CLUBS TWO,0.6042,0.0968,0.299
CLUBS THREE DIAMONDS FIVE,0.5976,0.0906,0.3118
CLUBS TWO HEARTS EIGHT,0.4678,0.0606,0.4716
SPADES NINE SPADES SIX,0.2916,0.0962,0.6122
SPADES NINE HEARTS JACK,0.4084,0.0158,0.5758
SPADES NINE DIAMONDS NINE,0.2094,0.0634,0.7272
SPADES FIVE DIAMONDS SIX,0.5638,0.1926,0.2436
SPADES EIGHT SPADES FOUR,0.4186,0.061,0.5204
HEARTS JACK DIAMONDS FIVE,0.454,0.0146,0.5314
SPADES TEN SPADES SIX,0.3116,0.0686,0.6198
HEARTS QUEEN HEARTS EIGHT,0.3936,0.0114,0.595
DIAMONDS QUEEN HEARTS EIGHT,0.4174,0.011,0.5716
SPADES JACK DIAMONDS TEN,0.3902,0.0134,0.5964
SPADES TEN SPADES FIVE,0.4294,0.0288,0.5418
SPADES SIX HEARTS KING,0.3338,0.0302,0.636
HEARTS SIX DIAMONDS SEVEN,0.073,0.9082,0.0188
CLUBS ACE HEARTS NINE,0.4106,0.0038,0.5856
CLUBS JACK HEARTS SEVEN,0.2838,0.063,0.6532
CLUBS TEN HEARTS EIGHT,0.3822,0.0234,0.5944
SPADES TWO CLUBS QUEEN,0.4692,0.0142,0.5166
DIAMONDS THREE HEARTS SEVEN,0.4448,0.3482,0.207
CLUBS FOUR CLUBS ACE,0.3974,0.0062,0.5964
HEARTS THREE SPADES TWO,0.6044,0.085,0.3106
SPADES KING CLUBS ACE,0.3936,0.0052,0.6012
SPADES KING DIAMONDS JACK,0.4052,0.006,0.5888
CLUBS TWO CLUBS QUEEN,0.4232,0.0146,0.5622
HEARTS FOUR SPADES NINE,0.4622,0.0386,0.4992
CLUBS NINE DIAMONDS SIX,0.2922,0.1066,0.6012
DIAMONDS TWO CLUBS FIVE,0.6008,0.093,0.3062
SPADES QUEEN DIAMONDS NINE,0.4056,0.012,0.5824
CLUBS THREE SPADES TWO,0.599,0.0956,0.3054
HEARTS KING DIAMONDS SEVEN,0.3176,0.031,0.6514
CLUBS TEN HEARTS QUEEN,0.3956,0.0086,0.5958
DIAMONDS QUEEN CLUBS QUEEN,0.2202,0.0292,0.7506
DIAMONDS THREE SPADES THREE,0.419,0.1052,0.4758
HEARTS ACE DIAMONDS TEN,0.4072,0.002,0.5908
SPADES TEN DIAMONDS SEVEN,0.315,0.0708,0.6142
CLUBS TEN DIAMONDS SEVEN,0.3032,0.078,0.6188
DIAMONDS NINE DIAMONDS FOUR,0.441,0.038,0.521
DIAMONDS SEVEN CLUBS QUEEN,0.3106,0.0418,0.6476
DIAMONDS QUEEN HEARTS KING,0.3964,0.0062,0.5974
HEARTS JACK HEARTS TEN,0.386,0.013,0.601
CLUBS FIVE SPADES SEVEN,0.4284,0.3616,0.21
DIAMONDS TEN DIAMONDS SEVEN,0.2914,0.077,0.6316
SPADES EIGHT DIAMONDS SEVEN,0.292,0.1316,0.5764
DIAMONDS ACE DIAMONDS JACK,0.3838,0.0046,0.6116
SPADES ACE HEARTS SIX,0.3338,0.0204,0.6458
CLUBS TEN DIAMONDS EIGHT,0.3604,0.0256,0.614
HEARTS TEN HEARTS NINE,0.3684,0.0204,0.6112
DIAMONDS TWO HEARTS SEVEN,0.4426,0.3462,0.2112
HEARTS FOUR HEARTS TWO,0.5806,0.0792,0.3402
DIAMONDS NINE CLUBS QUEEN,0.398,0.0114,0.5906
HEARTS FOUR HEARTS THREE,0.5622,0.08,0.3578
DIAMONDS THREE SPADES FOUR,0.5904,0.0896,0.32
HEARTS FOUR HEARTS EIGHT,0.438,0.0608,0.5012
DIAMONDS THREE HEARTS FIVE,0.6008,0.0924,0.3068
SPADES TEN DIAMONDS KING,0.4058,0.0068,0.5874
HEARTS TWO CLUBS QUEEN,0.4488,0.0132,0.538
HEARTS NINE DIAMONDS FIVE,0.4574,0.0384,0.5042
HEARTS SIX SPADES FOUR,0.587,0.1852,0.2278
CLUBS TEN DIAMONDS NINE,0.374,0.0218,0.6042
SPADES FIVE HEARTS QUEEN,0.45,0.01,0.54
CLUBS NINE DIAMONDS JACK,0.3838,0.0176,0.5986
HEARTS SIX CLUBS FIVE,0.5794,0.1862,0.2344
CLUBS NINE DIAMONDS FOUR,0.4556,0.0438,0.5006
HEARTS TEN DIAMONDS SIX,0.3182,0.0694,0.6124
SPADES FIVE SPADES FOUR,0.5444,0.0874,0.3682
HEARTS FIVE DIAMONDS FOUR,0.5944,0.0948,0.3108
SPADES FIVE DIAMONDS SEVEN,0.438,0.3532,0.2088
CLUBS FOUR DIAMONDS QUEEN,0.4608,0.0126,0.5266
HEARTS JACK HEARTS EIGHT,0.3756,0.0174,0.607
CLUBS JACK SPADES TEN,0.3868,0.0164,0.5968
DIAMONDS QUEEN DIAMONDS EIGHT,0.3942,0.0112,0.5946
HEARTS SIX DIAMONDS QUEEN,0.337,0.043,0.62
SPADES TEN SPADES NINE,0.3688,0.0214,0.6098
