opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN CLUBS THREE
HEARTS FIVE SPADES TEN,0.409,0.0284,0.5626
SPADES JACK HEARTS FIVE,0.4026,0.0204,0.577
CLUBS JACK SPADES FIVE,0.383,0.0204,0.5966
CLUBS TEN SPADES FIVE,0.3794,0.0238,0.5968
CLUBS JACK CLUBS EIGHT,0.3088,0.0168,0.6744
CLUBS TEN CLUBS EIGHT,0.299,0.0208,0.6802
CLUBS EIGHT CLUBS KING,0.3234,0.0076,0.669
SPADES FIVE CLUBS ACE,0.389,0.004,0.607
CLUBS EIGHT CLUBS QUEEN,0.308,0.012,0.68
SPADES FIVE CLUBS KING,0.3856,0.0102,0.6042
SPADES FIVE CLUBS QUEEN,0.39,0.0156,0.5944
CLUBS EIGHT CLUBS ACE,0.3104,0.0064,0.6832
DIAMONDS TWO DIAMONDS THREE,0.548,0.1778,0.2742
DIAMONDS TWO DIAMONDS FIVE,0.5236,0.0984,0.378
SPADES KING HEARTS FIVE,0.3944,0.007,0.5986
DIAMONDS TWO DIAMONDS FOUR,0.541,0.0882,0.3708
SPADES QUEEN HEARTS FIVE,0.4032,0.0124,0.5844
DIAMONDS TWO DIAMONDS SEVEN,0.2976,0.4566,0.2458
DIAMONDS TWO DIAMONDS SIX,0.5328,0.0974,0.3698
SPADES ACE HEARTS FIVE,0.395,0.0062,0.5988
DIAMONDS TWO DIAMONDS NINE,0.416,0.035,0.549
DIAMONDS TWO DIAMONDS EIGHT,0.4054,0.0598,0.5348
DIAMONDS THREE DIAMONDS FOUR,0.5198,0.1814,0.2988
CLUBS TWO SPADES FOUR,0.5488,0.104,0.3472
DIAMONDS THREE DIAMONDS FIVE,0.5258,0.1874,0.2868
CLUBS TWO SPADES FIVE,0.5656,0.0968,0.3376
CLUBS TWO SPADES TWO,0.3826,0.1228,0.4946
CLUBS TWO SPADES THREE,0.5844,0.195,0.2206
DIAMONDS THREE DIAMONDS EIGHT,0.2842,0.1284,0.5874
SPADES EIGHT CLUBS TWO,0.437,0.0662,0.4968
DIAMONDS THREE DIAMONDS NINE,0.2736,0.1002,0.6262
SPADES NINE CLUBS TWO,0.4306,0.0468,0.5226
DIAMONDS THREE DIAMONDS SIX,0.5434,0.1774,0.2792
CLUBS TWO SPADES SIX,0.562,0.1104,0.3276
DIAMONDS THREE DIAMONDS SEVEN,0.0668,0.8594,0.0738
CLUBS TWO SPADES SEVEN,0.3124,0.4826,0.205
CLUBS SIX CLUBS TWO,0.5746,0.093,0.3324
CLUBS TWO CLUBS FOUR,0.5516,0.1068,0.3416
CLUBS FIVE CLUBS TWO,0.5458,0.1038,0.3504
CLUBS TEN CLUBS JACK,0.3122,0.0174,0.6704
DIAMONDS FOUR DIAMONDS SIX,0.4938,0.0916,0.4146
CLUBS TEN CLUBS QUEEN,0.305,0.0102,0.6848
DIAMONDS FOUR DIAMONDS SEVEN,0.2486,0.4562,0.2952
CLUBS TEN CLUBS KING,0.3094,0.0106,0.68
CLUBS TEN CLUBS ACE,0.3144,0.0078,0.6778
CLUBS EIGHT CLUBS TWO,0.3814,0.0666,0.552
DIAMONDS FIVE DIAMONDS FOUR,0.4786,0.0962,0.4252
CLUBS NINE CLUBS TWO,0.3746,0.0466,0.5788
DIAMONDS NINE DIAMONDS FOUR,0.388,0.0426,0.5694
DIAMONDS EIGHT DIAMONDS FOUR,0.3802,0.062,0.5578
DIAMONDS NINE DIAMONDS FIVE,0.3762,0.0388,0.585
CLUBS JACK DIAMONDS TWO,0.4262,0.0172,0.5566
DIAMONDS EIGHT DIAMONDS FIVE,0.3662,0.0556,0.5782
CLUBS TEN DIAMONDS TWO,0.4256,0.0312,0.5432
DIAMONDS FIVE DIAMONDS SEVEN,0.246,0.3962,0.3578
DIAMONDS FIVE DIAMONDS SIX,0.4872,0.0876,0.4252
DIAMONDS TWO CLUBS ACE,0.4182,0.0064,0.5754
DIAMONDS TWO CLUBS KING,0.4326,0.0104,0.557
DIAMONDS TWO CLUBS QUEEN,0.432,0.0142,0.5538
DIAMONDS EIGHT DIAMONDS SIX,0.3446,0.0616,0.5938
DIAMONDS NINE DIAMONDS SIX,0.3706,0.036,0.5934
HEARTS ACE SPADES THREE,0.3014,0.0154,0.6832
HEARTS KING SPADES THREE,0.3086,0.0268,0.6646
DIAMONDS SEVEN DIAMONDS SIX,0.2524,0.3228,0.4248
SPADES THREE HEARTS QUEEN,0.298,0.0444,0.6576
HEARTS JACK SPADES THREE,0.3082,0.0504,0.6414
SPADES THREE HEARTS TEN,0.291,0.0782,0.6308
DIAMONDS EIGHT DIAMONDS SEVEN,0.2582,0.138,0.6038
DIAMONDS NINE DIAMONDS SEVEN,0.2666,0.1006,0.6328
DIAMONDS NINE DIAMONDS EIGHT,0.328,0.033,0.639
DIAMONDS KING HEARTS TEN,0.3826,0.0054,0.612
HEARTS THREE HEARTS TEN,0.2932,0.0606,0.6462
SPADES JACK CLUBS SIX,0.394,0.0186,0.5874
DIAMONDS KING HEARTS JACK,0.3702,0.0076,0.6222
HEARTS THREE HEARTS JACK,0.2788,0.0508,0.6704
SPADES TEN CLUBS SIX,0.3802,0.0284,0.5914
SPADES JACK SPADES FIVE,0.3688,0.0184,0.6128
SPADES TEN SPADES FIVE,0.3832,0.0232,0.5936
DIAMONDS KING HEARTS ACE,0.3784,0.0022,0.6194
HEARTS THREE HEARTS ACE,0.2822,0.0152,0.7026
SPADES ACE CLUBS SIX,0.4022,0.0036,0.5942
DIAMONDS KING HEARTS QUEEN,0.3784,0.005,0.6166
HEARTS THREE HEARTS QUEEN,0.2822,0.035,0.6828
SPADES KING CLUBS SIX,0.4016,0.0072,0.5912
DIAMONDS KING HEARTS KING,0.1832,0.017,0.7998
HEARTS THREE HEARTS KING,0.2782,0.0242,0.6976
SPADES QUEEN CLUBS SIX,0.3884,0.013,0.5986
SPADES NINE HEARTS TEN,0.3494,0.022,0.6286
SPADES NINE HEARTS JACK,0.3646,0.0154,0.62
SPADES QUEEN SPADES FIVE,0.3738,0.0114,0.6148
SPADES KING SPADES FIVE,0.3778,0.0072,0.615
SPADES ACE SPADES FIVE,0.368,0.004,0.628
SPADES NINE HEARTS QUEEN,0.38,0.0092,0.6108
SPADES NINE HEARTS KING,0.3842,0.0074,0.6084
