opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN DIAMONDS JACK
HEARTS FIVE SPADES TEN,0.6346,0.0138,0.3516
HEARTS FIVE SPADES JACK,0.4806,0.29,0.2294
CLUBS JACK SPADES FIVE,0.4836,0.293,0.2234
CLUBS TEN SPADES FIVE,0.6316,0.0158,0.3526
CLUBS JACK CLUBS EIGHT,0.2098,0.2148,0.5754
CLUBS TEN CLUBS EIGHT,0.5414,0.0198,0.4388
CLUBS EIGHT CLUBS KING,0.3458,0.0056,0.6486
SPADES FIVE CLUBS ACE,0.395,0.0048,0.6002
CLUBS EIGHT CLUBS QUEEN,0.3366,0.011,0.6524
SPADES FIVE CLUBS KING,0.406,0.0076,0.5864
SPADES FIVE CLUBS QUEEN,0.4078,0.0106,0.5816
CLUBS EIGHT CLUBS ACE,0.347,0.0052,0.6478
DIAMONDS TWO DIAMONDS THREE,0.6108,0.0214,0.3678
DIAMONDS TWO DIAMONDS FIVE,0.6132,0.018,0.3688
HEARTS FIVE SPADES KING,0.4018,0.0054,0.5928
DIAMONDS TWO DIAMONDS FOUR,0.6106,0.0178,0.3716
HEARTS FIVE SPADES QUEEN,0.4182,0.0102,0.5716
DIAMONDS TWO DIAMONDS SEVEN,0.6792,0.0606,0.2602
DIAMONDS TWO DIAMONDS SIX,0.6382,0.0148,0.347
SPADES ACE HEARTS FIVE,0.4018,0.0026,0.5956
DIAMONDS TWO DIAMONDS NINE,0.607,0.0152,0.3778
DIAMONDS TWO DIAMONDS EIGHT,0.6042,0.0186,0.3772
DIAMONDS THREE DIAMONDS FOUR,0.5904,0.0168,0.3928
CLUBS TWO SPADES FOUR,0.6386,0.0198,0.3416
DIAMONDS THREE DIAMONDS FIVE,0.5966,0.0178,0.3856
SPADES FIVE CLUBS TWO,0.6378,0.018,0.3442
CLUBS TWO SPADES TWO,0.4364,0.0418,0.5218
CLUBS TWO SPADES THREE,0.6464,0.0182,0.3354
DIAMONDS THREE DIAMONDS EIGHT,0.6192,0.019,0.3618
SPADES EIGHT CLUBS TWO,0.6348,0.017,0.3482
DIAMONDS THREE DIAMONDS NINE,0.604,0.0188,0.3772
SPADES NINE CLUBS TWO,0.6438,0.0186,0.3376
DIAMONDS THREE DIAMONDS SIX,0.607,0.017,0.376
SPADES SIX CLUBS TWO,0.6528,0.0192,0.328
DIAMONDS THREE DIAMONDS SEVEN,0.671,0.0664,0.2626
SPADES SEVEN CLUBS TWO,0.7094,0.0638,0.2268
CLUBS SIX CLUBS TWO,0.619,0.0218,0.3592
CLUBS FOUR CLUBS TWO,0.6088,0.0158,0.3754
CLUBS FIVE CLUBS TWO,0.6122,0.0176,0.3702
CLUBS TEN CLUBS JACK,0.2154,0.1092,0.6754
DIAMONDS FOUR DIAMONDS SIX,0.602,0.0182,0.3798
CLUBS TEN CLUBS QUEEN,0.3186,0.0078,0.6736
DIAMONDS FOUR DIAMONDS SEVEN,0.658,0.062,0.28
CLUBS TEN CLUBS KING,0.331,0.0062,0.6628
CLUBS TEN CLUBS ACE,0.3388,0.0038,0.6574
CLUBS EIGHT CLUBS TWO,0.61,0.015,0.375
DIAMONDS FIVE DIAMONDS FOUR,0.587,0.0186,0.3944
CLUBS NINE CLUBS TWO,0.5896,0.0184,0.392
DIAMONDS NINE DIAMONDS FOUR,0.627,0.0178,0.3552
DIAMONDS EIGHT DIAMONDS FOUR,0.5906,0.0186,0.3908
CLUBS THREE CLUBS TWO,0.618,0.0216,0.3604
DIAMONDS NINE DIAMONDS FIVE,0.588,0.0228,0.3892
CLUBS JACK DIAMONDS TWO,0.4792,0.3036,0.2172
DIAMONDS EIGHT DIAMONDS FIVE,0.5958,0.0206,0.3836
CLUBS TEN DIAMONDS TWO,0.6376,0.0186,0.3438
DIAMONDS FIVE DIAMONDS SEVEN,0.6396,0.0608,0.2996
DIAMONDS FIVE DIAMONDS SIX,0.5828,0.0184,0.3988
DIAMONDS TWO CLUBS ACE,0.4076,0.0052,0.5872
DIAMONDS TWO CLUBS KING,0.4142,0.009,0.5768
DIAMONDS TWO CLUBS QUEEN,0.4124,0.0094,0.5782
DIAMONDS EIGHT DIAMONDS SIX,0.5746,0.0198,0.4056
DIAMONDS NINE DIAMONDS SIX,0.5876,0.0194,0.393
HEARTS ACE SPADES THREE,0.4088,0.0044,0.5868
SPADES THREE HEARTS KING,0.4104,0.0088,0.5808
DIAMONDS SEVEN DIAMONDS SIX,0.655,0.0496,0.2954
HEARTS QUEEN SPADES THREE,0.4064,0.0094,0.5842
SPADES THREE HEARTS JACK,0.4682,0.301,0.2308
SPADES THREE HEARTS TEN,0.6272,0.016,0.3568
DIAMONDS EIGHT DIAMONDS SEVEN,0.639,0.0542,0.3068
DIAMONDS NINE DIAMONDS SEVEN,0.6488,0.0592,0.292
DIAMONDS NINE DIAMONDS EIGHT,0.5482,0.0136,0.4382
DIAMONDS KING HEARTS TEN,0.3486,0.0074,0.644
HEARTS THREE HEARTS TEN,0.6024,0.0156,0.382
SPADES JACK CLUBS SIX,0.484,0.3078,0.2082
DIAMONDS KING HEARTS JACK,0.248,0.0264,0.7256
HEARTS THREE HEARTS JACK,0.4444,0.2882,0.2674
SPADES TEN CLUBS SIX,0.6272,0.0146,0.3582
SPADES JACK SPADES FIVE,0.446,0.276,0.278
SPADES TEN SPADES FIVE,0.585,0.0174,0.3976
DIAMONDS KING HEARTS ACE,0.3328,0.0026,0.6646
HEARTS THREE HEARTS ACE,0.3824,0.0044,0.6132
SPADES ACE CLUBS SIX,0.4176,0.0034,0.579
DIAMONDS KING HEARTS QUEEN,0.322,0.0074,0.6706
HEARTS THREE HEARTS QUEEN,0.3924,0.011,0.5966
SPADES KING CLUBS SIX,0.4142,0.0052,0.5806
DIAMONDS KING HEARTS KING,0.1454,0.0082,0.8464
HEARTS THREE HEARTS KING,0.3896,0.0064,0.604
SPADES QUEEN CLUBS SIX,0.4062,0.0092,0.5846
SPADES NINE HEARTS TEN,0.5556,0.0114,0.433
SPADES NINE HEARTS JACK,0.2298,0.1664,0.6038
SPADES QUEEN SPADES FIVE,0.3772,0.0116,0.6112
SPADES KING SPADES FIVE,0.377,0.0076,0.6154
SPADES ACE SPADES FIVE,0.3738,0.0022,0.624
SPADES NINE HEARTS QUEEN,0.3532,0.0092,0.6376
SPADES NINE HEARTS KING,0.3514,0.0042,0.6444
SPADES NINE HEARTS ACE,0.3594,0.002,0.6386
CLUBS TEN SPADES JACK,0.2386,0.1122,0.6492
CLUBS TEN SPADES TEN,0.268,0.0224,0.7096
SPADES ACE CLUBS TEN,0.3452,0.0048,0.65
CLUBS TEN SPADES KING,0.3514,0.0074,0.6412
CLUBS TEN SPADES QUEEN,0.3278,0.009,0.6632
SPADES FIVE HEARTS QUEEN,0.3932,0.012,0.5948
SPADES FIVE HEARTS KING,0.4152,0.0064,0.5784
HEARTS ACE SPADES FIVE,0.3966,0.003,0.6004
CLUBS EIGHT SPADES TEN,0.5532,0.0166,0.4302
SPADES JACK HEARTS THREE,0.472,0.3002,0.2278
SPADES JACK DIAMONDS KING,0.2322,0.032,0.7358
SPADES TEN DIAMONDS KING,0.3392,0.0078,0.653
SPADES TEN HEARTS THREE,0.6328,0.016,0.3512
CLUBS EIGHT SPADES JACK,0.2108,0.2304,0.5588
CLUBS SIX HEARTS ACE,0.4092,0.0042,0.5866
SPADES ACE CLUBS EIGHT,0.3554,0.0032,0.6414
HEARTS FIVE CLUBS JACK,0.4772,0.2978,0.225
CLUBS TEN HEARTS FIVE,0.6418,0.0212,0.337
CLUBS SIX HEARTS QUEEN,0.4118,0.011,0.5772
SPADES QUEEN CLUBS EIGHT,0.3612,0.0098,0.629
CLUBS TEN SPADES THREE,0.6256,0.0162,0.3582
CLUBS SIX HEARTS KING,0.4116,0.0082,0.5802
SPADES KING CLUBS EIGHT,0.3726,0.007,0.6204
CLUBS JACK SPADES THREE,0.472,0.3036,0.2244
DIAMONDS TWO HEARTS JACK,0.4982,0.29,0.2118
SPADES THREE CLUBS QUEEN,0.4034,0.0112,0.5854
DIAMONDS TWO HEARTS TEN,0.634,0.0178,0.3482
SPADES THREE CLUBS KING,0.4086,0.0076,0.5838
HEARTS FIVE CLUBS ACE,0.396,0.0048,0.5992
SPADES FIVE HEARTS TEN,0.6372,0.0146,0.3482
SPADES THREE CLUBS ACE,0.4048,0.004,0.5912
HEARTS FIVE CLUBS KING,0.391,0.0074,0.6016
SPADES FIVE HEARTS JACK,0.4792,0.301,0.2198
HEARTS FIVE CLUBS QUEEN,0.3956,0.009,0.5954
HEARTS THREE CLUBS KING,0.4254,0.006,0.5686
DIAMONDS KING CLUBS KING,0.1362,0.0078,0.856
HEARTS THREE CLUBS QUEEN,0.4116,0.0116,0.5768
DIAMONDS KING CLUBS QUEEN,0.3136,0.0076,0.6788
HEARTS FIVE HEARTS JACK,0.4516,0.2778,0.2706
HEARTS FIVE HEARTS TEN,0.591,0.0156,0.3934
HEARTS THREE CLUBS ACE,0.4084,0.0046,0.587
DIAMONDS KING CLUBS ACE,0.3232,0.0044,0.6724
SPADES ACE CLUBS QUEEN,0.3288,0.0072,0.664
SPADES KING CLUBS QUEEN,0.3152,0.0048,0.68
CLUBS JACK HEARTS THREE,0.4808,0.293,0.2262
CLUBS JACK DIAMONDS KING,0.2286,0.0338,0.7376
SPADES QUEEN CLUBS QUEEN,0.1564,0.0114,0.8322
CLUBS TEN HEARTS THREE,0.6286,0.0182,0.3532
CLUBS TEN DIAMONDS KING,0.3466,0.0074,0.646
SPADES JACK CLUBS QUEEN,0.2252,0.0404,0.7344
CLUBS SIX CLUBS QUEEN,0.3868,0.0114,0.6018
SPADES TEN CLUBS QUEEN,0.3286,0.0102,0.6612
CLUBS SIX CLUBS KING,0.387,0.0066,0.6064
CLUBS SIX CLUBS ACE,0.3912,0.0042,0.6046
HEARTS FIVE HEARTS KING,0.3828,0.0052,0.612
HEARTS FIVE HEARTS QUEEN,0.376,0.0146,0.6094
CLUBS TEN CLUBS SIX,0.5916,0.0182,0.3902
HEARTS FIVE HEARTS ACE,0.3772,0.0034,0.6194
CLUBS JACK CLUBS SIX,0.4582,0.2894,0.2524
SPADES SEVEN HEARTS JACK,0.0256,0.952,0.0224
SPADES SEVEN HEARTS TEN,0.68,0.0566,0.2634
DIAMONDS TWO CLUBS TWO,0.4358,0.0432,0.521
DIAMONDS TWO CLUBS THREE,0.649,0.0226,0.3284
DIAMONDS TWO HEARTS SIX,0.66,0.0176,0.3224
DIAMONDS TWO HEARTS QUEEN,0.4112,0.0126,0.5762
HEARTS SEVEN DIAMONDS TWO,0.7228,0.0584,0.2188
DIAMONDS TWO HEARTS KING,0.4138,0.0076,0.5786
DIAMONDS TWO HEARTS EIGHT,0.639,0.017,0.344
DIAMONDS TWO HEARTS ACE,0.413,0.0038,0.5832
DIAMONDS TWO HEARTS NINE,0.644,0.018,0.338
DIAMONDS TWO DIAMONDS QUEEN,0.4014,0.015,0.5836
DIAMONDS TWO HEARTS TWO,0.4364,0.0398,0.5238
DIAMONDS TWO DIAMONDS KING,0.4126,0.0068,0.5806
DIAMONDS TWO HEARTS THREE,0.6512,0.0188,0.33
DIAMONDS TWO DIAMONDS ACE,0.3776,0.006,0.6164
HEARTS FOUR DIAMONDS TWO,0.6428,0.0184,0.3388
HEARTS FIVE DIAMONDS TWO,0.6298,0.0184,0.3518
SPADES SEVEN HEARTS ACE,0.2594,0.0244,0.7162
DIAMONDS TWO DIAMONDS TEN,0.602,0.016,0.382
SPADES SEVEN HEARTS KING,0.2552,0.0392,0.7056
SPADES SEVEN HEARTS QUEEN,0.2558,0.0454,0.6988
DIAMONDS TWO SPADES NINE,0.6336,0.0174,0.349
DIAMONDS TWO SPADES EIGHT,0.6434,0.0172,0.3394
DIAMONDS TWO SPADES SEVEN,0.7188,0.0654,0.2158
DIAMONDS TWO SPADES SIX,0.6682,0.0204,0.3114
DIAMONDS TWO SPADES FIVE,0.6426,0.0216,0.3358
DIAMONDS TWO SPADES FOUR,0.6482,0.022,0.3298
DIAMONDS TWO SPADES THREE,0.639,0.0186,0.3424
DIAMONDS TWO SPADES TWO,0.4338,0.0426,0.5236
DIAMONDS TWO CLUBS NINE,0.6378,0.0188,0.3434
CLUBS EIGHT DIAMONDS TWO,0.6272,0.021,0.3518
DIAMONDS TWO CLUBS SIX,0.654,0.0224,0.3236
DIAMONDS TWO CLUBS FIVE,0.6474,0.0182,0.3344
DIAMONDS TWO CLUBS FOUR,0.6454,0.0174,0.3372
CLUBS FOUR SPADES FIVE,0.6024,0.0228,0.3748
CLUBS FOUR SPADES FOUR,0.423,0.045,0.532
