opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN DIAMONDS KING
HEARTS FIVE SPADES TEN,0.6318,0.0072,0.361
HEARTS FIVE SPADES JACK,0.6272,0.0076,0.3652
CLUBS JACK SPADES FIVE,0.6378,0.0092,0.353
CLUBS TEN SPADES FIVE,0.6204,0.0096,0.37
CLUBS JACK CLUBS EIGHT,0.553,0.0074,0.4396
CLUBS TEN CLUBS EIGHT,0.5402,0.0056,0.4542
CLUBS EIGHT CLUBS KING,0.2196,0.2172,0.5632
SPADES FIVE CLUBS ACE,0.3886,0.0034,0.608
CLUBS EIGHT CLUBS QUEEN,0.5544,0.008,0.4376
SPADES FIVE CLUBS KING,0.461,0.312,0.227
SPADES FIVE CLUBS QUEEN,0.6308,0.0096,0.3596
CLUBS EIGHT CLUBS ACE,0.3376,0.003,0.6594
DIAMONDS TWO DIAMONDS THREE,0.6208,0.0118,0.3674
DIAMONDS TWO DIAMONDS FIVE,0.6082,0.0082,0.3836
HEARTS FIVE SPADES KING,0.4668,0.2958,0.2374
DIAMONDS TWO DIAMONDS FOUR,0.6212,0.0098,0.369
HEARTS FIVE SPADES QUEEN,0.6182,0.0062,0.3756
DIAMONDS TWO DIAMONDS SEVEN,0.7002,0.0412,0.2586
DIAMONDS TWO DIAMONDS SIX,0.6376,0.009,0.3534
SPADES ACE HEARTS FIVE,0.3804,0.0034,0.6162
DIAMONDS TWO DIAMONDS NINE,0.6198,0.007,0.3732
DIAMONDS TWO DIAMONDS EIGHT,0.6066,0.0082,0.3852
DIAMONDS THREE DIAMONDS FOUR,0.6014,0.0102,0.3884
CLUBS TWO SPADES FOUR,0.6532,0.0084,0.3384
DIAMONDS THREE DIAMONDS FIVE,0.6006,0.008,0.3914
SPADES FIVE CLUBS TWO,0.647,0.0074,0.3456
CLUBS TWO SPADES TWO,0.4602,0.0168,0.523
CLUBS TWO SPADES THREE,0.6538,0.0104,0.3358
DIAMONDS THREE DIAMONDS EIGHT,0.6136,0.0084,0.378
SPADES EIGHT CLUBS TWO,0.6536,0.0072,0.3392
DIAMONDS THREE DIAMONDS NINE,0.6166,0.0078,0.3756
SPADES NINE CLUBS TWO,0.6404,0.0086,0.351
DIAMONDS THREE DIAMONDS SIX,0.6228,0.0068,0.3704
SPADES SIX CLUBS TWO,0.6692,0.0102,0.3206
