opposingHand,winningChance,drawChance,lostChance
CLUBS SEVEN HEARTS TEN
HEARTS FIVE SPADES TEN,0.4798,0.299,0.2212
SPADES JACK HEARTS FIVE,0.4202,0.0168,0.563
CLUBS JACK SPADES FIVE,0.4174,0.0166,0.566
CLUBS TEN SPADES FIVE,0.4796,0.307,0.2134
CLUBS JACK CLUBS EIGHT,0.3424,0.0164,0.6412
CLUBS TEN CLUBS EIGHT,0.2278,0.217,0.5552
CLUBS EIGHT CLUBS KING,0.3616,0.0078,0.6306
SPADES FIVE CLUBS ACE,0.4184,0.0042,0.5774
CLUBS EIGHT CLUBS QUEEN,0.3512,0.012,0.6368
SPADES FIVE CLUBS KING,0.407,0.0076,0.5854
SPADES FIVE CLUBS QUEEN,0.4224,0.0104,0.5672
CLUBS EIGHT CLUBS ACE,0.3618,0.0022,0.636
DIAMONDS TWO DIAMONDS THREE,0.5954,0.0256,0.379
DIAMONDS TWO DIAMONDS FIVE,0.5928,0.0292,0.378
SPADES KING HEARTS FIVE,0.4236,0.0078,0.5686
DIAMONDS TWO DIAMONDS FOUR,0.592,0.023,0.385
SPADES QUEEN HEARTS FIVE,0.4236,0.0112,0.5652
DIAMONDS TWO DIAMONDS SEVEN,0.641,0.0838,0.2752
DIAMONDS TWO DIAMONDS SIX,0.5974,0.025,0.3776
SPADES ACE HEARTS FIVE,0.406,0.0036,0.5904
DIAMONDS TWO DIAMONDS NINE,0.6064,0.0254,0.3682
DIAMONDS TWO DIAMONDS EIGHT,0.5958,0.0282,0.376
DIAMONDS THREE DIAMONDS FOUR,0.583,0.0268,0.3902
CLUBS TWO SPADES FOUR,0.642,0.0248,0.3332
DIAMONDS THREE DIAMONDS FIVE,0.5732,0.0276,0.3992
SPADES FIVE CLUBS TWO,0.6364,0.0272,0.3364
CLUBS TWO SPADES TWO,0.4326,0.0618,0.5056
CLUBS TWO SPADES THREE,0.6316,0.0318,0.3366
DIAMONDS THREE DIAMONDS EIGHT,0.6014,0.0242,0.3744
SPADES EIGHT CLUBS TWO,0.648,0.0262,0.3258
DIAMONDS THREE DIAMONDS NINE,0.6026,0.0204,0.377
SPADES NINE CLUBS TWO,0.6446,0.023,0.3324
DIAMONDS THREE DIAMONDS SIX,0.5924,0.024,0.3836
SPADES SIX CLUBS TWO,0.6484,0.0276,0.324
DIAMONDS THREE DIAMONDS SEVEN,0.642,0.0796,0.2784
SPADES SEVEN CLUBS TWO,0.696,0.0828,0.2212
CLUBS SIX CLUBS TWO,0.6196,0.0242,0.3562
CLUBS FOUR CLUBS TWO,0.6078,0.028,0.3642
CLUBS FIVE CLUBS TWO,0.5914,0.0272,0.3814
CLUBS TEN CLUBS JACK,0.234,0.0482,0.7178
DIAMONDS FOUR DIAMONDS SIX,0.5964,0.0246,0.379
CLUBS TEN CLUBS QUEEN,0.2344,0.042,0.7236
DIAMONDS FOUR DIAMONDS SEVEN,0.6202,0.0752,0.3046
CLUBS TEN CLUBS KING,0.2504,0.0316,0.718
CLUBS TEN CLUBS ACE,0.249,0.0222,0.7288
CLUBS EIGHT CLUBS TWO,0.6076,0.0312,0.3612
DIAMONDS FIVE DIAMONDS FOUR,0.5624,0.0252,0.4124
CLUBS NINE CLUBS TWO,0.6122,0.0274,0.3604
DIAMONDS NINE DIAMONDS FOUR,0.608,0.0278,0.3642
DIAMONDS EIGHT DIAMONDS FOUR,0.5856,0.0244,0.39
CLUBS THREE CLUBS TWO,0.6042,0.0304,0.3654
DIAMONDS NINE DIAMONDS FIVE,0.5902,0.0214,0.3884
CLUBS JACK DIAMONDS TWO,0.4252,0.0172,0.5576
DIAMONDS EIGHT DIAMONDS FIVE,0.5808,0.0254,0.3938
CLUBS TEN DIAMONDS TWO,0.495,0.3016,0.2034
DIAMONDS FIVE DIAMONDS SEVEN,0.617,0.0768,0.3062
DIAMONDS FIVE DIAMONDS SIX,0.5762,0.0248,0.399
DIAMONDS TWO CLUBS ACE,0.4272,0.0046,0.5682
DIAMONDS TWO CLUBS KING,0.4308,0.0074,0.5618
DIAMONDS TWO CLUBS QUEEN,0.4198,0.0118,0.5684
DIAMONDS EIGHT DIAMONDS SIX,0.5732,0.0244,0.4024
DIAMONDS NINE DIAMONDS SIX,0.5706,0.024,0.4054
HEARTS ACE SPADES THREE,0.4036,0.0044,0.592
SPADES THREE HEARTS KING,0.4096,0.0078,0.5826
DIAMONDS SEVEN DIAMONDS SIX,0.6108,0.0836,0.3056
HEARTS QUEEN SPADES THREE,0.4208,0.0094,0.5698
SPADES THREE HEARTS JACK,0.4118,0.0214,0.5668
DIAMONDS EIGHT DIAMONDS SEVEN,0.62,0.069,0.311
DIAMONDS NINE DIAMONDS SEVEN,0.6278,0.0694,0.3028
DIAMONDS NINE DIAMONDS EIGHT,0.5244,0.0212,0.4544
SPADES JACK CLUBS SIX,0.4192,0.0182,0.5626
DIAMONDS KING HEARTS JACK,0.329,0.009,0.662
HEARTS THREE HEARTS JACK,0.3914,0.018,0.5906
SPADES TEN CLUBS SIX,0.4798,0.2996,0.2206
SPADES JACK SPADES FIVE,0.4006,0.0144,0.585
SPADES TEN SPADES FIVE,0.4578,0.27,0.2722
DIAMONDS KING HEARTS ACE,0.3518,0.0034,0.6448
HEARTS THREE HEARTS ACE,0.4114,0.0034,0.5852
SPADES ACE CLUBS SIX,0.405,0.0028,0.5922
DIAMONDS KING HEARTS QUEEN,0.3382,0.0072,0.6546
HEARTS THREE HEARTS QUEEN,0.3974,0.0118,0.5908
SPADES KING CLUBS SIX,0.4102,0.0056,0.5842
DIAMONDS KING HEARTS KING,0.1638,0.01,0.8262
HEARTS THREE HEARTS KING,0.4152,0.0078,0.577
SPADES QUEEN CLUBS SIX,0.4162,0.01,0.5738
SPADES NINE HEARTS JACK,0.3464,0.0164,0.6372
SPADES QUEEN SPADES FIVE,0.389,0.012,0.599
SPADES KING SPADES FIVE,0.3978,0.007,0.5952
SPADES ACE SPADES FIVE,0.3944,0.0042,0.6014
SPADES NINE HEARTS QUEEN,0.3486,0.0088,0.6426
SPADES NINE HEARTS KING,0.3684,0.0082,0.6234
SPADES NINE HEARTS ACE,0.3722,0.0034,0.6244
CLUBS TEN SPADES JACK,0.2438,0.0512,0.705
CLUBS TEN SPADES TEN,0.1128,0.0586,0.8286
SPADES ACE CLUBS TEN,0.2512,0.0228,0.726
CLUBS TEN SPADES KING,0.2506,0.0332,0.7162
CLUBS TEN SPADES QUEEN,0.253,0.0386,0.7084
SPADES FIVE HEARTS QUEEN,0.4102,0.0146,0.5752
SPADES FIVE HEARTS KING,0.414,0.0072,0.5788
HEARTS ACE SPADES FIVE,0.3958,0.0036,0.6006
CLUBS EIGHT SPADES TEN,0.2174,0.2206,0.562
HEARTS THREE SPADES JACK,0.4042,0.0206,0.5752
SPADES JACK DIAMONDS KING,0.3398,0.0078,0.6524
SPADES TEN DIAMONDS KING,0.2614,0.03,0.7086
HEARTS THREE SPADES TEN,0.4842,0.293,0.2228
CLUBS EIGHT SPADES JACK,0.3586,0.0164,0.625
CLUBS SIX HEARTS ACE,0.4142,0.0044,0.5814
SPADES ACE CLUBS EIGHT,0.3888,0.0038,0.6074
CLUBS JACK HEARTS FIVE,0.4018,0.0214,0.5768
CLUBS TEN HEARTS FIVE,0.4944,0.2988,0.2068
CLUBS SIX HEARTS QUEEN,0.427,0.0128,0.5602
SPADES QUEEN CLUBS EIGHT,0.3594,0.0074,0.6332
CLUBS TEN SPADES THREE,0.4762,0.3008,0.223
CLUBS SIX HEARTS KING,0.4122,0.006,0.5818
SPADES KING CLUBS EIGHT,0.3904,0.0078,0.6018
CLUBS JACK SPADES THREE,0.4222,0.0186,0.5592
DIAMONDS TWO HEARTS JACK,0.4248,0.0184,0.5568
SPADES THREE CLUBS QUEEN,0.4176,0.0096,0.5728
SPADES THREE CLUBS KING,0.4174,0.0082,0.5744
HEARTS FIVE CLUBS ACE,0.4124,0.0036,0.584
SPADES THREE CLUBS ACE,0.403,0.007,0.59
HEARTS FIVE CLUBS KING,0.4096,0.0084,0.582
SPADES FIVE HEARTS JACK,0.4162,0.0172,0.5666
HEARTS FIVE CLUBS QUEEN,0.4156,0.0116,0.5728
HEARTS THREE CLUBS KING,0.426,0.0078,0.5662
DIAMONDS KING CLUBS KING,0.1532,0.0108,0.836
HEARTS THREE CLUBS QUEEN,0.4236,0.0128,0.5636
DIAMONDS KING CLUBS QUEEN,0.3302,0.0058,0.664
HEARTS FIVE HEARTS JACK,0.389,0.0164,0.5946
HEARTS THREE CLUBS ACE,0.4212,0.0046,0.5742
DIAMONDS KING CLUBS ACE,0.3466,0.005,0.6484
