opposingHand,winningChance,drawChance,lostChance
CLUBS SIX CLUBS ACE
HEARTS FIVE SPADES TEN,0.6604,0.0042,0.3354
SPADES JACK HEARTS FIVE,0.6558,0.0042,0.34
SPADES FIVE CLUBS JACK,0.6538,0.0068,0.3394
CLUBS TEN SPADES FIVE,0.6378,0.0048,0.3574
CLUBS EIGHT CLUBS JACK,0.5962,0.0054,0.3984
CLUBS TEN CLUBS EIGHT,0.5772,0.0054,0.4174
CLUBS EIGHT CLUBS KING,0.6246,0.0072,0.3682
CLUBS EIGHT CLUBS QUEEN,0.6024,0.0064,0.3912
SPADES FIVE CLUBS KING,0.6582,0.0054,0.3364
SPADES FIVE CLUBS QUEEN,0.6446,0.0056,0.3498
DIAMONDS TWO DIAMONDS THREE,0.641,0.0064,0.3526
DIAMONDS TWO DIAMONDS FIVE,0.624,0.0048,0.3712
SPADES KING HEARTS FIVE,0.658,0.0026,0.3394
DIAMONDS TWO DIAMONDS FOUR,0.6248,0.005,0.3702
SPADES QUEEN HEARTS FIVE,0.647,0.0044,0.3486
DIAMONDS TWO DIAMONDS SEVEN,0.636,0.0034,0.3606
DIAMONDS TWO DIAMONDS SIX,0.7064,0.0268,0.2668
SPADES ACE HEARTS FIVE,0.42,0.3522,0.2278
DIAMONDS TWO DIAMONDS NINE,0.6282,0.0062,0.3656
DIAMONDS TWO DIAMONDS EIGHT,0.6276,0.0048,0.3676
DIAMONDS THREE DIAMONDS FOUR,0.6228,0.0052,0.372
CLUBS TWO SPADES FOUR,0.6754,0.0054,0.3192
DIAMONDS THREE DIAMONDS FIVE,0.6134,0.0052,0.3814
CLUBS TWO SPADES FIVE,0.6698,0.007,0.3232
CLUBS TWO SPADES TWO,0.4948,0.0072,0.498
CLUBS TWO SPADES THREE,0.6716,0.0064,0.322
DIAMONDS THREE DIAMONDS EIGHT,0.6188,0.0034,0.3778
SPADES EIGHT CLUBS TWO,0.6576,0.0036,0.3388
DIAMONDS THREE DIAMONDS NINE,0.6102,0.0052,0.3846
SPADES NINE CLUBS TWO,0.675,0.0038,0.3212
DIAMONDS THREE DIAMONDS SIX,0.686,0.0304,0.2836
CLUBS TWO SPADES SIX,0.7418,0.0306,0.2276
DIAMONDS THREE DIAMONDS SEVEN,0.609,0.0052,0.3858
CLUBS TWO SPADES SEVEN,0.6614,0.0038,0.3348
CLUBS SEVEN CLUBS TWO,0.6606,0.0048,0.3346
CLUBS FOUR CLUBS TWO,0.6682,0.0062,0.3256
CLUBS FIVE CLUBS TWO,0.6642,0.0066,0.3292
CLUBS TEN CLUBS JACK,0.5572,0.0082,0.4346
DIAMONDS FOUR DIAMONDS SIX,0.6844,0.025,0.2906
CLUBS TEN CLUBS QUEEN,0.5856,0.0042,0.4102
