opposingHand,winningChance,drawChance,lostChance
CLUBS SIX DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.4088,0.0236,0.5676
HEARTS FIVE SPADES JACK,0.41,0.0176,0.5724
CLUBS JACK SPADES FIVE,0.3938,0.0184,0.5878
CLUBS TEN SPADES FIVE,0.4128,0.0284,0.5588
CLUBS JACK CLUBS EIGHT,0.3468,0.0162,0.637
CLUBS TEN CLUBS EIGHT,0.3288,0.0234,0.6478
CLUBS EIGHT CLUBS KING,0.3668,0.0044,0.6288
SPADES FIVE CLUBS ACE,0.398,0.004,0.598
CLUBS EIGHT CLUBS QUEEN,0.3464,0.0126,0.641
SPADES FIVE CLUBS KING,0.3954,0.0088,0.5958
SPADES FIVE CLUBS QUEEN,0.408,0.0108,0.5812
CLUBS EIGHT CLUBS ACE,0.3438,0.0058,0.6504
DIAMONDS TWO DIAMONDS THREE,0.5886,0.0406,0.3708
DIAMONDS TWO DIAMONDS FIVE,0.5976,0.0424,0.36
HEARTS FIVE SPADES KING,0.4054,0.0072,0.5874
DIAMONDS TWO DIAMONDS FOUR,0.591,0.0452,0.3638
HEARTS FIVE SPADES QUEEN,0.406,0.0104,0.5836
DIAMONDS TWO DIAMONDS SEVEN,0.6012,0.0416,0.3572
DIAMONDS TWO DIAMONDS SIX,0.6274,0.106,0.2666
SPADES ACE HEARTS FIVE,0.3994,0.0036,0.597
DIAMONDS TWO DIAMONDS EIGHT,0.6016,0.041,0.3574
DIAMONDS THREE DIAMONDS FOUR,0.5804,0.0392,0.3804
CLUBS TWO SPADES FOUR,0.6202,0.045,0.3348
DIAMONDS THREE DIAMONDS FIVE,0.5808,0.0394,0.3798
SPADES FIVE CLUBS TWO,0.621,0.0414,0.3376
CLUBS TWO SPADES TWO,0.4146,0.0762,0.5092
CLUBS TWO SPADES THREE,0.6202,0.045,0.3348
DIAMONDS THREE DIAMONDS EIGHT,0.6058,0.0382,0.356
SPADES EIGHT CLUBS TWO,0.6416,0.0412,0.3172
SPADES NINE CLUBS TWO,0.411,0.3672,0.2218
DIAMONDS THREE DIAMONDS SIX,0.6142,0.1092,0.2766
SPADES SIX CLUBS TWO,0.6652,0.1098,0.225
DIAMONDS THREE DIAMONDS SEVEN,0.5924,0.0428,0.3648
SPADES SEVEN CLUBS TWO,0.6236,0.042,0.3344
CLUBS SEVEN CLUBS TWO,0.582,0.0412,0.3768
CLUBS FOUR CLUBS TWO,0.5862,0.0442,0.3696
CLUBS FIVE CLUBS TWO,0.5924,0.0418,0.3658
CLUBS TEN CLUBS JACK,0.3064,0.0128,0.6808
DIAMONDS FOUR DIAMONDS SIX,0.6008,0.1102,0.289
CLUBS TEN CLUBS QUEEN,0.3244,0.0122,0.6634
DIAMONDS FOUR DIAMONDS SEVEN,0.5702,0.039,0.3908
CLUBS TEN CLUBS KING,0.3342,0.0086,0.6572
CLUBS TEN CLUBS ACE,0.3116,0.0044,0.684
CLUBS EIGHT CLUBS TWO,0.5856,0.046,0.3684
DIAMONDS FIVE DIAMONDS FOUR,0.576,0.0446,0.3794
CLUBS NINE CLUBS TWO,0.3876,0.3574,0.255
DIAMONDS EIGHT DIAMONDS FOUR,0.5824,0.0482,0.3694
CLUBS THREE CLUBS TWO,0.5904,0.0458,0.3638
CLUBS JACK DIAMONDS TWO,0.418,0.0204,0.5616
DIAMONDS EIGHT DIAMONDS FIVE,0.5754,0.0402,0.3844
CLUBS TEN DIAMONDS TWO,0.4214,0.0302,0.5484
DIAMONDS FIVE DIAMONDS SEVEN,0.5568,0.0374,0.4058
DIAMONDS FIVE DIAMONDS SIX,0.5934,0.1054,0.3012
DIAMONDS TWO CLUBS ACE,0.405,0.0056,0.5894
DIAMONDS TWO CLUBS KING,0.4102,0.0104,0.5794
DIAMONDS TWO CLUBS QUEEN,0.4254,0.0126,0.562
DIAMONDS EIGHT DIAMONDS SIX,0.6138,0.106,0.2802
HEARTS ACE SPADES THREE,0.3928,0.0028,0.6044
SPADES THREE HEARTS KING,0.4204,0.0074,0.5722
DIAMONDS SEVEN DIAMONDS SIX,0.5928,0.1072,0.3
HEARTS QUEEN SPADES THREE,0.4232,0.0086,0.5682
SPADES THREE HEARTS JACK,0.4106,0.019,0.5704
SPADES THREE HEARTS TEN,0.4138,0.0234,0.5628
DIAMONDS EIGHT DIAMONDS SEVEN,0.5194,0.0424,0.4382
