opposingHand,winningChance,drawChance,lostChance
CLUBS SIX DIAMONDS SIX
HEARTS FIVE SPADES TEN,0.6548,0.0548,0.2904
HEARTS FIVE SPADES JACK,0.6452,0.0416,0.3132
CLUBS JACK SPADES FIVE,0.6466,0.0412,0.3122
CLUBS TEN SPADES FIVE,0.6476,0.0592,0.2932
CLUBS JACK CLUBS EIGHT,0.499,0.0368,0.4642
CLUBS TEN CLUBS EIGHT,0.5088,0.0456,0.4456
CLUBS EIGHT CLUBS KING,0.5204,0.0124,0.4672
SPADES FIVE CLUBS ACE,0.6276,0.0046,0.3678
CLUBS EIGHT CLUBS QUEEN,0.514,0.0226,0.4634
SPADES FIVE CLUBS KING,0.6598,0.0132,0.327
SPADES FIVE CLUBS QUEEN,0.6576,0.0246,0.3178
CLUBS EIGHT CLUBS ACE,0.5124,0.0046,0.483
DIAMONDS TWO DIAMONDS THREE,0.6952,0.1328,0.172
DIAMONDS TWO DIAMONDS FIVE,0.6926,0.129,0.1784
HEARTS FIVE SPADES KING,0.6432,0.0166,0.3402
DIAMONDS TWO DIAMONDS FOUR,0.7244,0.1198,0.1558
HEARTS FIVE SPADES QUEEN,0.6546,0.0286,0.3168
DIAMONDS TWO DIAMONDS SEVEN,0.641,0.1016,0.2574
SPADES ACE HEARTS FIVE,0.6274,0.0038,0.3688
DIAMONDS TWO DIAMONDS NINE,0.6186,0.0762,0.3052
DIAMONDS TWO DIAMONDS EIGHT,0.6318,0.0916,0.2766
DIAMONDS THREE DIAMONDS FOUR,0.6998,0.1336,0.1666
CLUBS TWO SPADES FOUR,0.7382,0.1382,0.1236
DIAMONDS THREE DIAMONDS FIVE,0.6886,0.1398,0.1716
SPADES FIVE CLUBS TWO,0.7374,0.125,0.1376
CLUBS TWO SPADES TWO,0.5732,0.2484,0.1784
CLUBS TWO SPADES THREE,0.75,0.1312,0.1188
DIAMONDS THREE DIAMONDS EIGHT,0.6238,0.0886,0.2876
SPADES EIGHT CLUBS TWO,0.6632,0.0866,0.2502
DIAMONDS THREE DIAMONDS NINE,0.6232,0.0724,0.3044
SPADES NINE CLUBS TWO,0.6726,0.07,0.2574
SPADES SIX CLUBS TWO,0.8266,0.1118,0.0616
DIAMONDS THREE DIAMONDS SEVEN,0.6242,0.1034,0.2724
SPADES SEVEN CLUBS TWO,0.6712,0.105,0.2238
CLUBS SEVEN CLUBS TWO,0.6374,0.0988,0.2638
CLUBS FOUR CLUBS TWO,0.708,0.122,0.17
CLUBS FIVE CLUBS TWO,0.705,0.1294,0.1656
CLUBS TEN CLUBS JACK,0.4688,0.0232,0.508
CLUBS TEN CLUBS QUEEN,0.489,0.0146,0.4964
DIAMONDS FOUR DIAMONDS SEVEN,0.6278,0.1008,0.2714
CLUBS TEN CLUBS KING,0.4962,0.0096,0.4942
CLUBS TEN CLUBS ACE,0.4814,0.005,0.5136
CLUBS EIGHT CLUBS TWO,0.617,0.0916,0.2914
DIAMONDS FIVE DIAMONDS FOUR,0.6978,0.121,0.1812
CLUBS NINE CLUBS TWO,0.616,0.0744,0.3096
DIAMONDS NINE DIAMONDS FOUR,0.626,0.0662,0.3078
DIAMONDS FOUR DIAMONDS EIGHT,0.6156,0.0944,0.29
CLUBS THREE CLUBS TWO,0.6974,0.126,0.1766
DIAMONDS NINE DIAMONDS FIVE,0.611,0.0664,0.3226
CLUBS JACK DIAMONDS TWO,0.6438,0.0488,0.3074
DIAMONDS FIVE DIAMONDS EIGHT,0.6144,0.0888,0.2968
CLUBS TEN DIAMONDS TWO,0.6562,0.0576,0.2862
DIAMONDS FIVE DIAMONDS SEVEN,0.6124,0.1002,0.2874
DIAMONDS TWO CLUBS ACE,0.6254,0.0042,0.3704
DIAMONDS TWO CLUBS KING,0.6686,0.0156,0.3158
DIAMONDS TWO CLUBS QUEEN,0.654,0.0306,0.3154
HEARTS ACE SPADES THREE,0.6316,0.0052,0.3632
SPADES THREE HEARTS KING,0.65,0.0158,0.3342
HEARTS QUEEN SPADES THREE,0.662,0.0238,0.3142
SPADES THREE HEARTS JACK,0.638,0.0436,0.3184
SPADES THREE HEARTS TEN,0.6498,0.0588,0.2914
DIAMONDS EIGHT DIAMONDS SEVEN,0.5118,0.0748,0.4134
DIAMONDS NINE DIAMONDS SEVEN,0.51,0.066,0.424
DIAMONDS NINE DIAMONDS EIGHT,0.486,0.063,0.451
DIAMONDS KING HEARTS TEN,0.5082,0.0078,0.484
HEARTS THREE HEARTS TEN,0.609,0.0614,0.3296
