opposingHand,winningChance,drawChance,lostChance
CLUBS SIX HEARTS FOUR
HEARTS FIVE SPADES TEN,0.3842,0.0298,0.586
HEARTS FIVE SPADES JACK,0.3654,0.0202,0.6144
CLUBS JACK SPADES FIVE,0.3728,0.0182,0.609
CLUBS TEN SPADES FIVE,0.376,0.029,0.595
CLUBS JACK CLUBS EIGHT,0.3382,0.0164,0.6454
CLUBS TEN CLUBS EIGHT,0.3274,0.0234,0.6492
CLUBS EIGHT CLUBS KING,0.3464,0.0076,0.646
SPADES FIVE CLUBS ACE,0.3648,0.0044,0.6308
CLUBS EIGHT CLUBS QUEEN,0.3394,0.0148,0.6458
SPADES FIVE CLUBS KING,0.3692,0.011,0.6198
SPADES FIVE CLUBS QUEEN,0.377,0.0134,0.6096
CLUBS EIGHT CLUBS ACE,0.3318,0.0056,0.6626
DIAMONDS TWO DIAMONDS THREE,0.48,0.1586,0.3614
DIAMONDS TWO DIAMONDS FIVE,0.4706,0.1462,0.3832
HEARTS FIVE SPADES KING,0.3746,0.008,0.6174
DIAMONDS TWO DIAMONDS FOUR,0.4522,0.2628,0.285
HEARTS FIVE SPADES QUEEN,0.3734,0.0108,0.6158
DIAMONDS TWO DIAMONDS SEVEN,0.3796,0.1042,0.5162
DIAMONDS TWO DIAMONDS SIX,0.278,0.463,0.259
SPADES ACE HEARTS FIVE,0.359,0.005,0.636
DIAMONDS TWO DIAMONDS NINE,0.397,0.044,0.559
DIAMONDS TWO DIAMONDS EIGHT,0.3974,0.0674,0.5352
DIAMONDS THREE DIAMONDS FOUR,0.4624,0.2612,0.2764
CLUBS TWO SPADES FOUR,0.485,0.275,0.24
DIAMONDS THREE DIAMONDS FIVE,0.4542,0.1512,0.3946
SPADES FIVE CLUBS TWO,0.5058,0.1692,0.325
CLUBS TWO SPADES TWO,0.3624,0.1502,0.4874
CLUBS TWO SPADES THREE,0.5234,0.1644,0.3122
DIAMONDS THREE DIAMONDS EIGHT,0.389,0.061,0.55
SPADES EIGHT CLUBS TWO,0.4134,0.0654,0.5212
DIAMONDS THREE DIAMONDS NINE,0.3746,0.0474,0.578
SPADES NINE CLUBS TWO,0.414,0.0426,0.5434
DIAMONDS THREE DIAMONDS SIX,0.258,0.4826,0.2594
SPADES SIX CLUBS TWO,0.2896,0.5082,0.2022
DIAMONDS THREE DIAMONDS SEVEN,0.3762,0.1004,0.5234
SPADES SEVEN CLUBS TWO,0.4246,0.1,0.4754
CLUBS SEVEN CLUBS TWO,0.391,0.1008,0.5082
CLUBS FOUR CLUBS TWO,0.4612,0.2714,0.2674
CLUBS FIVE CLUBS TWO,0.4766,0.149,0.3744
CLUBS TEN CLUBS JACK,0.341,0.0122,0.6468
DIAMONDS FOUR DIAMONDS SIX,0.0188,0.9148,0.0664
CLUBS TEN CLUBS QUEEN,0.3306,0.011,0.6584
DIAMONDS FOUR DIAMONDS SEVEN,0.2244,0.1822,0.5934
CLUBS TEN CLUBS KING,0.3392,0.0086,0.6522
CLUBS TEN CLUBS ACE,0.3254,0.0052,0.6694
CLUBS EIGHT CLUBS TWO,0.3842,0.0676,0.5482
DIAMONDS FIVE DIAMONDS FOUR,0.447,0.2596,0.2934
CLUBS NINE CLUBS TWO,0.3776,0.0448,0.5776
DIAMONDS NINE DIAMONDS FOUR,0.2476,0.1012,0.6512
DIAMONDS EIGHT DIAMONDS FOUR,0.2456,0.1466,0.6078
CLUBS THREE CLUBS TWO,0.4958,0.1516,0.3526
DIAMONDS NINE DIAMONDS FIVE,0.3484,0.034,0.6176
CLUBS JACK DIAMONDS TWO,0.402,0.0218,0.5762
DIAMONDS EIGHT DIAMONDS FIVE,0.347,0.059,0.594
CLUBS TEN DIAMONDS TWO,0.4154,0.0258,0.5588
DIAMONDS FIVE DIAMONDS SEVEN,0.3222,0.0938,0.584
DIAMONDS FIVE DIAMONDS SIX,0.2054,0.4222,0.3724
DIAMONDS TWO CLUBS ACE,0.4006,0.0048,0.5946
DIAMONDS TWO CLUBS KING,0.4182,0.0088,0.573
DIAMONDS TWO CLUBS QUEEN,0.4238,0.0146,0.5616
DIAMONDS EIGHT DIAMONDS SIX,0.2276,0.1506,0.6218
DIAMONDS NINE DIAMONDS SIX,0.2366,0.116,0.6474
HEARTS ACE SPADES THREE,0.3818,0.0034,0.6148
SPADES THREE HEARTS KING,0.4126,0.0062,0.5812
