opposingHand,winningChance,drawChance,lostChance
CLUBS SIX HEARTS NINE
HEARTS FIVE SPADES TEN,0.4026,0.0258,0.5716
SPADES JACK HEARTS FIVE,0.403,0.0158,0.5812
CLUBS JACK SPADES FIVE,0.4054,0.017,0.5776
CLUBS TEN SPADES FIVE,0.4018,0.0228,0.5754
CLUBS JACK CLUBS EIGHT,0.3428,0.0156,0.6416
CLUBS TEN CLUBS EIGHT,0.3324,0.0226,0.645
CLUBS EIGHT CLUBS KING,0.366,0.0068,0.6272
SPADES FIVE CLUBS ACE,0.4056,0.004,0.5904
CLUBS EIGHT CLUBS QUEEN,0.3468,0.0112,0.642
SPADES FIVE CLUBS KING,0.3994,0.0086,0.592
SPADES FIVE CLUBS QUEEN,0.4038,0.011,0.5852
CLUBS EIGHT CLUBS ACE,0.3546,0.0034,0.642
DIAMONDS TWO DIAMONDS THREE,0.5778,0.0432,0.379
DIAMONDS TWO DIAMONDS FIVE,0.5676,0.0374,0.395
SPADES KING HEARTS FIVE,0.406,0.007,0.587
DIAMONDS TWO DIAMONDS FOUR,0.5852,0.0438,0.371
SPADES QUEEN HEARTS FIVE,0.4066,0.012,0.5814
DIAMONDS TWO DIAMONDS SEVEN,0.587,0.0376,0.3754
DIAMONDS TWO DIAMONDS SIX,0.6032,0.109,0.2878
SPADES ACE HEARTS FIVE,0.4082,0.0054,0.5864
DIAMONDS TWO DIAMONDS NINE,0.3788,0.3554,0.2658
DIAMONDS TWO DIAMONDS EIGHT,0.5778,0.0418,0.3804
DIAMONDS THREE DIAMONDS FOUR,0.5626,0.0432,0.3942
CLUBS TWO SPADES FOUR,0.6252,0.038,0.3368
DIAMONDS THREE DIAMONDS FIVE,0.565,0.0398,0.3952
SPADES FIVE CLUBS TWO,0.6244,0.0466,0.329
CLUBS TWO SPADES TWO,0.4236,0.0754,0.501
CLUBS TWO SPADES THREE,0.606,0.0448,0.3492
DIAMONDS THREE DIAMONDS EIGHT,0.5868,0.0378,0.3754
SPADES EIGHT CLUBS TWO,0.6206,0.0418,0.3376
DIAMONDS THREE DIAMONDS NINE,0.3714,0.3528,0.2758
SPADES NINE CLUBS TWO,0.4062,0.375,0.2188
DIAMONDS THREE DIAMONDS SIX,0.6104,0.1096,0.28
SPADES SIX CLUBS TWO,0.6614,0.1084,0.2302
DIAMONDS THREE DIAMONDS SEVEN,0.578,0.0408,0.3812
SPADES SEVEN CLUBS TWO,0.6276,0.0416,0.3308
CLUBS SEVEN CLUBS TWO,0.5912,0.046,0.3628
CLUBS FOUR CLUBS TWO,0.584,0.043,0.373
CLUBS FIVE CLUBS TWO,0.5886,0.0402,0.3712
CLUBS TEN CLUBS JACK,0.2882,0.013,0.6988
DIAMONDS FOUR DIAMONDS SIX,0.598,0.1074,0.2946
CLUBS TEN CLUBS QUEEN,0.3164,0.01,0.6736
DIAMONDS FOUR DIAMONDS SEVEN,0.5482,0.048,0.4038
CLUBS TEN CLUBS KING,0.3342,0.007,0.6588
CLUBS TEN CLUBS ACE,0.3204,0.0054,0.6742
CLUBS EIGHT CLUBS TWO,0.5774,0.046,0.3766
DIAMONDS FIVE DIAMONDS FOUR,0.5586,0.0428,0.3986
CLUBS NINE CLUBS TWO,0.3958,0.3498,0.2544
DIAMONDS NINE DIAMONDS FOUR,0.3856,0.3452,0.2692
DIAMONDS EIGHT DIAMONDS FOUR,0.5738,0.0366,0.3896
CLUBS THREE CLUBS TWO,0.6026,0.0426,0.3548
DIAMONDS NINE DIAMONDS FIVE,0.373,0.3588,0.2682
CLUBS JACK DIAMONDS TWO,0.42,0.0212,0.5588
DIAMONDS EIGHT DIAMONDS FIVE,0.5648,0.0408,0.3944
CLUBS TEN DIAMONDS TWO,0.4092,0.0298,0.561
DIAMONDS FIVE DIAMONDS SEVEN,0.5572,0.039,0.4038
DIAMONDS FIVE DIAMONDS SIX,0.5826,0.1106,0.3068
DIAMONDS TWO CLUBS ACE,0.3988,0.005,0.5962
DIAMONDS TWO CLUBS KING,0.433,0.009,0.558
DIAMONDS TWO CLUBS QUEEN,0.404,0.0152,0.5808
DIAMONDS EIGHT DIAMONDS SIX,0.601,0.0948,0.3042
DIAMONDS NINE DIAMONDS SIX,0.0224,0.909,0.0686
HEARTS ACE SPADES THREE,0.4118,0.0038,0.5844
SPADES THREE HEARTS KING,0.4122,0.007,0.5808
DIAMONDS SEVEN DIAMONDS SIX,0.5938,0.0924,0.3138
HEARTS QUEEN SPADES THREE,0.4022,0.013,0.5848
SPADES THREE HEARTS JACK,0.401,0.0196,0.5794
SPADES THREE HEARTS TEN,0.4094,0.0242,0.5664
DIAMONDS EIGHT DIAMONDS SEVEN,0.525,0.0374,0.4376
DIAMONDS NINE DIAMONDS SEVEN,0.2186,0.294,0.4874
DIAMONDS NINE DIAMONDS EIGHT,0.2234,0.2074,0.5692
