opposingHand,winningChance,drawChance,lostChance
CLUBS SIX HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.6276,0.011,0.3614
SPADES JACK HEARTS FIVE,0.6376,0.0108,0.3516
CLUBS JACK SPADES FIVE,0.6248,0.0108,0.3644
CLUBS TEN SPADES FIVE,0.6272,0.0124,0.3604
CLUBS JACK CLUBS EIGHT,0.5358,0.0124,0.4518
CLUBS TEN CLUBS EIGHT,0.531,0.0094,0.4596
CLUBS EIGHT CLUBS KING,0.3446,0.0072,0.6482
SPADES FIVE CLUBS ACE,0.3734,0.0044,0.6222
CLUBS EIGHT CLUBS QUEEN,0.2166,0.206,0.5774
SPADES FIVE CLUBS KING,0.3894,0.0086,0.602
SPADES FIVE CLUBS QUEEN,0.3814,0.397,0.2216
CLUBS EIGHT CLUBS ACE,0.3346,0.0036,0.6618
DIAMONDS TWO DIAMONDS THREE,0.5918,0.0156,0.3926
DIAMONDS TWO DIAMONDS FIVE,0.5974,0.0122,0.3904
SPADES KING HEARTS FIVE,0.3898,0.0074,0.6028
DIAMONDS TWO DIAMONDS FOUR,0.5768,0.011,0.4122
SPADES QUEEN HEARTS FIVE,0.3866,0.3888,0.2246
DIAMONDS TWO DIAMONDS SEVEN,0.59,0.01,0.4
DIAMONDS TWO DIAMONDS SIX,0.6656,0.0542,0.2802
SPADES ACE HEARTS FIVE,0.3924,0.004,0.6036
DIAMONDS TWO DIAMONDS NINE,0.58,0.0134,0.4066
DIAMONDS TWO DIAMONDS EIGHT,0.5944,0.0128,0.3928
DIAMONDS THREE DIAMONDS FOUR,0.5846,0.0114,0.404
CLUBS TWO SPADES FOUR,0.6302,0.013,0.3568
DIAMONDS THREE DIAMONDS FIVE,0.5768,0.01,0.4132
SPADES FIVE CLUBS TWO,0.6356,0.0114,0.353
CLUBS TWO SPADES TWO,0.436,0.0308,0.5332
CLUBS TWO SPADES THREE,0.639,0.0134,0.3476
DIAMONDS THREE DIAMONDS EIGHT,0.5922,0.0134,0.3944
SPADES EIGHT CLUBS TWO,0.6422,0.0132,0.3446
DIAMONDS THREE DIAMONDS NINE,0.5914,0.0124,0.3962
SPADES NINE CLUBS TWO,0.6338,0.0088,0.3574
DIAMONDS THREE DIAMONDS SIX,0.6412,0.0506,0.3082
SPADES SIX CLUBS TWO,0.716,0.0498,0.2342
DIAMONDS THREE DIAMONDS SEVEN,0.5966,0.0134,0.39
SPADES SEVEN CLUBS TWO,0.6514,0.0132,0.3354
CLUBS SEVEN CLUBS TWO,0.5992,0.0086,0.3922
CLUBS FOUR CLUBS TWO,0.619,0.0164,0.3646
CLUBS FIVE CLUBS TWO,0.607,0.0156,0.3774
CLUBS TEN CLUBS JACK,0.511,0.0094,0.4796
DIAMONDS FOUR DIAMONDS SIX,0.6468,0.047,0.3062
CLUBS TEN CLUBS QUEEN,0.2252,0.116,0.6588
DIAMONDS FOUR DIAMONDS SEVEN,0.5754,0.0082,0.4164
CLUBS TEN CLUBS KING,0.3298,0.0076,0.6626
CLUBS TEN CLUBS ACE,0.3172,0.0044,0.6784
CLUBS EIGHT CLUBS TWO,0.5986,0.0144,0.387
DIAMONDS FIVE DIAMONDS FOUR,0.5758,0.013,0.4112
CLUBS NINE CLUBS TWO,0.5978,0.0122,0.39
DIAMONDS NINE DIAMONDS FOUR,0.5978,0.0098,0.3924
DIAMONDS EIGHT DIAMONDS FOUR,0.5832,0.0134,0.4034
CLUBS THREE CLUBS TWO,0.619,0.0132,0.3678
DIAMONDS NINE DIAMONDS FIVE,0.5754,0.0124,0.4122
CLUBS JACK DIAMONDS TWO,0.6242,0.0136,0.3622
DIAMONDS EIGHT DIAMONDS FIVE,0.567,0.0108,0.4222
CLUBS TEN DIAMONDS TWO,0.6318,0.0108,0.3574
DIAMONDS FIVE DIAMONDS SEVEN,0.549,0.0104,0.4406
DIAMONDS FIVE DIAMONDS SIX,0.624,0.0464,0.3296
DIAMONDS TWO CLUBS ACE,0.4018,0.0032,0.595
DIAMONDS TWO CLUBS KING,0.3924,0.0094,0.5982
DIAMONDS TWO CLUBS QUEEN,0.3982,0.3698,0.232
DIAMONDS EIGHT DIAMONDS SIX,0.6436,0.0402,0.3162
DIAMONDS NINE DIAMONDS SIX,0.6516,0.044,0.3044
HEARTS ACE SPADES THREE,0.3884,0.0048,0.6068
SPADES THREE HEARTS KING,0.3818,0.0074,0.6108
DIAMONDS SEVEN DIAMONDS SIX,0.6196,0.0456,0.3348
HEARTS JACK SPADES THREE,0.6366,0.0104,0.353
SPADES THREE HEARTS TEN,0.629,0.0102,0.3608
DIAMONDS EIGHT DIAMONDS SEVEN,0.5198,0.0116,0.4686
DIAMONDS NINE DIAMONDS SEVEN,0.536,0.011,0.453
DIAMONDS NINE DIAMONDS EIGHT,0.5214,0.011,0.4676
DIAMONDS KING HEARTS TEN,0.3376,0.0078,0.6546
HEARTS THREE HEARTS TEN,0.5892,0.0116,0.3992
DIAMONDS KING HEARTS JACK,0.3538,0.0068,0.6394
HEARTS THREE HEARTS JACK,0.6072,0.0104,0.3824
SPADES JACK SPADES FIVE,0.5872,0.0102,0.4026
SPADES TEN SPADES FIVE,0.5834,0.0116,0.405
DIAMONDS KING HEARTS ACE,0.3228,0.0054,0.6718
HEARTS THREE HEARTS ACE,0.376,0.0038,0.6202
DIAMONDS KING HEARTS KING,0.1298,0.0054,0.8648
HEARTS THREE HEARTS KING,0.3794,0.0066,0.614
SPADES NINE HEARTS TEN,0.5642,0.0098,0.426
SPADES NINE HEARTS JACK,0.5618,0.009,0.4292
SPADES QUEEN SPADES FIVE,0.3622,0.3722,0.2656
SPADES KING SPADES FIVE,0.3626,0.008,0.6294
SPADES ACE SPADES FIVE,0.351,0.0028,0.6462
SPADES NINE HEARTS KING,0.355,0.0068,0.6382
SPADES NINE HEARTS ACE,0.3474,0.004,0.6486
CLUBS TEN SPADES JACK,0.5358,0.0096,0.4546
CLUBS TEN SPADES TEN,0.2806,0.0152,0.7042
SPADES ACE CLUBS TEN,0.3492,0.0038,0.647
CLUBS TEN SPADES KING,0.3422,0.0062,0.6516
CLUBS TEN SPADES QUEEN,0.229,0.1274,0.6436
SPADES FIVE HEARTS KING,0.3806,0.0082,0.6112
HEARTS ACE SPADES FIVE,0.3818,0.0048,0.6134
CLUBS EIGHT SPADES TEN,0.5762,0.0112,0.4126
HEARTS THREE SPADES JACK,0.6348,0.011,0.3542
SPADES JACK DIAMONDS KING,0.3456,0.008,0.6464
SPADES TEN DIAMONDS KING,0.3466,0.0048,0.6486
HEARTS THREE SPADES TEN,0.6278,0.01,0.3622
CLUBS EIGHT SPADES JACK,0.5804,0.0082,0.4114
SPADES ACE CLUBS EIGHT,0.3612,0.002,0.6368
CLUBS JACK HEARTS FIVE,0.6122,0.0126,0.3752
CLUBS TEN HEARTS FIVE,0.6264,0.0144,0.3592
SPADES QUEEN CLUBS EIGHT,0.2172,0.232,0.5508
CLUBS TEN SPADES THREE,0.6316,0.0158,0.3526
SPADES KING CLUBS EIGHT,0.3564,0.0048,0.6388
CLUBS JACK SPADES THREE,0.6354,0.0096,0.355
DIAMONDS TWO HEARTS JACK,0.6384,0.0136,0.348
SPADES THREE CLUBS QUEEN,0.382,0.386,0.232
DIAMONDS TWO HEARTS TEN,0.6354,0.01,0.3546
SPADES THREE CLUBS KING,0.3992,0.0074,0.5934
HEARTS FIVE CLUBS ACE,0.3738,0.0044,0.6218
SPADES FIVE HEARTS TEN,0.6296,0.0096,0.3608
SPADES THREE CLUBS ACE,0.3816,0.0022,0.6162
HEARTS FIVE CLUBS KING,0.3854,0.009,0.6056
SPADES FIVE HEARTS JACK,0.6246,0.0106,0.3648
HEARTS FIVE CLUBS QUEEN,0.3998,0.3884,0.2118
HEARTS THREE CLUBS KING,0.403,0.0082,0.5888
DIAMONDS KING CLUBS KING,0.1308,0.003,0.8662
HEARTS THREE CLUBS QUEEN,0.4046,0.3786,0.2168
DIAMONDS KING CLUBS QUEEN,0.2212,0.0266,0.7522
HEARTS FIVE HEARTS JACK,0.5954,0.013,0.3916
HEARTS FIVE HEARTS TEN,0.6098,0.0108,0.3794
HEARTS THREE CLUBS ACE,0.3948,0.005,0.6002
DIAMONDS KING CLUBS ACE,0.3152,0.0034,0.6814
SPADES ACE CLUBS QUEEN,0.2228,0.0174,0.7598
SPADES KING CLUBS QUEEN,0.237,0.026,0.737
CLUBS JACK HEARTS THREE,0.6402,0.0108,0.349
CLUBS JACK DIAMONDS KING,0.3382,0.005,0.6568
SPADES QUEEN CLUBS QUEEN,0.0844,0.0266,0.889
CLUBS TEN HEARTS THREE,0.632,0.013,0.355
CLUBS TEN DIAMONDS KING,0.3424,0.0066,0.651
SPADES JACK CLUBS QUEEN,0.2286,0.0938,0.6776
SPADES TEN CLUBS QUEEN,0.2362,0.118,0.6458
HEARTS FIVE HEARTS KING,0.3592,0.0064,0.6344
HEARTS FIVE HEARTS ACE,0.3714,0.0038,0.6248
SPADES SEVEN HEARTS JACK,0.5882,0.0084,0.4034
SPADES SEVEN HEARTS TEN,0.5816,0.0138,0.4046
DIAMONDS TWO CLUBS TWO,0.4528,0.027,0.5202
DIAMONDS TWO CLUBS THREE,0.651,0.013,0.336
HEARTS SIX DIAMONDS TWO,0.7124,0.054,0.2336
DIAMONDS TWO HEARTS SEVEN,0.6504,0.0156,0.334
DIAMONDS TWO HEARTS KING,0.4042,0.0066,0.5892
DIAMONDS TWO HEARTS EIGHT,0.6384,0.0114,0.3502
DIAMONDS TWO HEARTS ACE,0.39,0.006,0.604
DIAMONDS TWO HEARTS NINE,0.6358,0.0118,0.3524
DIAMONDS TWO DIAMONDS QUEEN,0.372,0.3462,0.2818
DIAMONDS TWO HEARTS TWO,0.4414,0.0334,0.5252
DIAMONDS TWO DIAMONDS KING,0.3812,0.0054,0.6134
HEARTS THREE DIAMONDS TWO,0.6392,0.014,0.3468
DIAMONDS TWO DIAMONDS ACE,0.3698,0.0032,0.627
HEARTS FOUR DIAMONDS TWO,0.6484,0.0144,0.3372
DIAMONDS TWO HEARTS FIVE,0.646,0.014,0.34
SPADES SEVEN HEARTS ACE,0.3622,0.004,0.6338
DIAMONDS TWO DIAMONDS TEN,0.5834,0.0112,0.4054
SPADES SEVEN HEARTS KING,0.3532,0.0074,0.6394
DIAMONDS TWO DIAMONDS JACK,0.5804,0.011,0.4086
DIAMONDS TWO SPADES NINE,0.6286,0.0096,0.3618
DIAMONDS TWO SPADES EIGHT,0.6356,0.0108,0.3536
DIAMONDS TWO SPADES SEVEN,0.6338,0.0124,0.3538
DIAMONDS TWO SPADES SIX,0.7062,0.0528,0.241
DIAMONDS TWO SPADES FIVE,0.6392,0.0126,0.3482
DIAMONDS TWO SPADES FOUR,0.626,0.015,0.359
DIAMONDS TWO SPADES THREE,0.6312,0.014,0.3548
DIAMONDS TWO SPADES TWO,0.422,0.028,0.55
DIAMONDS TWO CLUBS NINE,0.6398,0.0102,0.35
CLUBS EIGHT DIAMONDS TWO,0.6226,0.0124,0.365
DIAMONDS TWO CLUBS SEVEN,0.6306,0.0126,0.3568
DIAMONDS TWO CLUBS FIVE,0.648,0.0114,0.3406
DIAMONDS TWO CLUBS FOUR,0.6448,0.0146,0.3406
CLUBS FOUR SPADES FIVE,0.6256,0.0132,0.3612
CLUBS FOUR SPADES FOUR,0.4386,0.0272,0.5342
CLUBS FOUR SPADES THREE,0.6274,0.0168,0.3558
CLUBS FOUR SPADES TWO,0.6472,0.0104,0.3424
SPADES NINE CLUBS FOUR,0.6322,0.0102,0.3576
SPADES EIGHT CLUBS FOUR,0.6306,0.011,0.3584
SPADES SEVEN CLUBS FOUR,0.6246,0.0126,0.3628
CLUBS FOUR SPADES SIX,0.6906,0.0508,0.2586
SPADES ACE DIAMONDS SIX,0.2362,0.0258,0.738
SPADES QUEEN DIAMONDS SIX,0.0244,0.955,0.0206
SPADES KING DIAMONDS SIX,0.2382,0.0442,0.7176
SPADES TEN DIAMONDS SIX,0.695,0.046,0.259
SPADES JACK DIAMONDS SIX,0.7106,0.0448,0.2446
SPADES QUEEN SPADES TWO,0.3716,0.3496,0.2788
SPADES KING SPADES TWO,0.3716,0.0074,0.621
SPADES ACE SPADES TWO,0.354,0.0034,0.6426
CLUBS JACK DIAMONDS JACK,0.2846,0.01,0.7054
CLUBS TEN DIAMONDS JACK,0.5472,0.0072,0.4456
DIAMONDS JACK CLUBS KING,0.3338,0.008,0.6582
DIAMONDS JACK CLUBS QUEEN,0.2298,0.0896,0.6806
DIAMONDS THREE DIAMONDS JACK,0.5858,0.0098,0.4044
DIAMONDS THREE DIAMONDS TEN,0.5874,0.0122,0.4004
DIAMONDS JACK CLUBS ACE,0.3408,0.0038,0.6554
DIAMONDS THREE DIAMONDS KING,0.364,0.009,0.627
HEARTS THREE DIAMONDS THREE,0.4236,0.0284,0.548
DIAMONDS THREE DIAMONDS QUEEN,0.3762,0.3532,0.2706
DIAMONDS THREE HEARTS TWO,0.6428,0.012,0.3452
HEARTS FIVE DIAMONDS THREE,0.6178,0.0152,0.367
DIAMONDS THREE DIAMONDS ACE,0.349,0.0058,0.6452
HEARTS FOUR DIAMONDS THREE,0.6404,0.0116,0.348
DIAMONDS THREE HEARTS SEVEN,0.6304,0.016,0.3536
SPADES TEN SPADES NINE,0.508,0.0074,0.4846
HEARTS SIX DIAMONDS THREE,0.6944,0.0506,0.255
SPADES JACK SPADES NINE,0.523,0.0082,0.4688
DIAMONDS THREE HEARTS NINE,0.6226,0.013,0.3644
