opposingHand,winningChance,drawChance,lostChance
CLUBS SIX HEARTS THREE
HEARTS FIVE SPADES TEN,0.3674,0.0284,0.6042
HEARTS FIVE SPADES JACK,0.3632,0.0174,0.6194
CLUBS JACK SPADES FIVE,0.3568,0.0196,0.6236
CLUBS TEN SPADES FIVE,0.3672,0.0322,0.6006
CLUBS JACK CLUBS EIGHT,0.328,0.018,0.654
CLUBS TEN CLUBS EIGHT,0.3324,0.0264,0.6412
CLUBS EIGHT CLUBS KING,0.3346,0.0084,0.657
SPADES FIVE CLUBS ACE,0.3412,0.007,0.6518
CLUBS EIGHT CLUBS QUEEN,0.3268,0.0148,0.6584
SPADES FIVE CLUBS KING,0.3656,0.0094,0.625
SPADES FIVE CLUBS QUEEN,0.369,0.015,0.616
CLUBS EIGHT CLUBS ACE,0.3164,0.0054,0.6782
DIAMONDS TWO DIAMONDS THREE,0.4542,0.2686,0.2772
DIAMONDS TWO DIAMONDS FIVE,0.4606,0.1506,0.3888
HEARTS FIVE SPADES KING,0.3752,0.0084,0.6164
DIAMONDS TWO DIAMONDS FOUR,0.4452,0.1486,0.4062
HEARTS FIVE SPADES QUEEN,0.3636,0.0134,0.623
DIAMONDS TWO DIAMONDS SEVEN,0.3584,0.103,0.5386
DIAMONDS TWO DIAMONDS SIX,0.266,0.474,0.26
SPADES ACE HEARTS FIVE,0.3528,0.004,0.6432
DIAMONDS TWO DIAMONDS NINE,0.3708,0.0464,0.5828
DIAMONDS TWO DIAMONDS EIGHT,0.3864,0.0662,0.5474
DIAMONDS THREE DIAMONDS FOUR,0.455,0.255,0.29
CLUBS TWO SPADES FOUR,0.488,0.1654,0.3466
DIAMONDS THREE DIAMONDS FIVE,0.4558,0.247,0.2972
SPADES FIVE CLUBS TWO,0.5022,0.1604,0.3374
CLUBS TWO SPADES TWO,0.3412,0.1514,0.5074
CLUBS TWO SPADES THREE,0.4786,0.2876,0.2338
DIAMONDS THREE DIAMONDS EIGHT,0.2442,0.1344,0.6214
SPADES EIGHT CLUBS TWO,0.3956,0.0716,0.5328
DIAMONDS THREE DIAMONDS NINE,0.2518,0.0948,0.6534
SPADES NINE CLUBS TWO,0.419,0.0432,0.5378
DIAMONDS THREE DIAMONDS SIX,0.0176,0.9126,0.0698
SPADES SIX CLUBS TWO,0.276,0.5164,0.2076
DIAMONDS THREE DIAMONDS SEVEN,0.2322,0.1826,0.5852
SPADES SEVEN CLUBS TWO,0.399,0.1074,0.4936
CLUBS SEVEN CLUBS TWO,0.3786,0.0948,0.5266
CLUBS FOUR CLUBS TWO,0.4634,0.1556,0.381
