opposingHand,winningChance,drawChance,lostChance
CLUBS TEN CLUBS FIVE
HEARTS FIVE SPADES TEN,0.0676,0.9092,0.0232
SPADES JACK HEARTS FIVE,0.285,0.0626,0.6524
CLUBS JACK SPADES FIVE,0.2526,0.0638,0.6836
CLUBS JACK CLUBS EIGHT,0.3278,0.0186,0.6536
CLUBS EIGHT CLUBS KING,0.3514,0.0072,0.6414
SPADES FIVE CLUBS ACE,0.2604,0.0296,0.71
CLUBS EIGHT CLUBS QUEEN,0.3486,0.0114,0.64
SPADES FIVE CLUBS KING,0.2614,0.0374,0.7012
SPADES FIVE CLUBS QUEEN,0.268,0.0466,0.6854
CLUBS EIGHT CLUBS ACE,0.3434,0.0054,0.6512
DIAMONDS TWO DIAMONDS THREE,0.6082,0.028,0.3638
DIAMONDS TWO DIAMONDS FIVE,0.6468,0.0782,0.275
SPADES KING HEARTS FIVE,0.2864,0.034,0.6796
DIAMONDS TWO DIAMONDS FOUR,0.6186,0.0238,0.3576
SPADES QUEEN HEARTS FIVE,0.2884,0.0444,0.6672
DIAMONDS TWO DIAMONDS SEVEN,0.6036,0.0272,0.3692
DIAMONDS TWO DIAMONDS SIX,0.5944,0.0244,0.3812
SPADES ACE HEARTS FIVE,0.2892,0.0234,0.6874
DIAMONDS TWO DIAMONDS NINE,0.6066,0.025,0.3684
DIAMONDS TWO DIAMONDS EIGHT,0.6146,0.0222,0.3632
DIAMONDS THREE DIAMONDS FOUR,0.594,0.0338,0.3722
CLUBS TWO SPADES FOUR,0.6516,0.0282,0.3202
DIAMONDS THREE DIAMONDS FIVE,0.6126,0.079,0.3084
CLUBS TWO SPADES FIVE,0.6832,0.0796,0.2372
CLUBS TWO SPADES TWO,0.4182,0.0694,0.5124
CLUBS TWO SPADES THREE,0.6472,0.0276,0.3252
DIAMONDS THREE DIAMONDS EIGHT,0.6162,0.023,0.3608
SPADES EIGHT CLUBS TWO,0.6384,0.0258,0.3358
DIAMONDS THREE DIAMONDS NINE,0.609,0.0228,0.3682
SPADES NINE CLUBS TWO,0.6322,0.0252,0.3426
DIAMONDS THREE DIAMONDS SIX,0.588,0.028,0.384
CLUBS TWO SPADES SIX,0.6386,0.0294,0.332
DIAMONDS THREE DIAMONDS SEVEN,0.6026,0.0256,0.3718
CLUBS TWO SPADES SEVEN,0.6434,0.0274,0.3292
CLUBS SIX CLUBS TWO,0.6264,0.0314,0.3422
CLUBS SEVEN CLUBS TWO,0.6346,0.0328,0.3326
CLUBS FOUR CLUBS TWO,0.6414,0.0322,0.3264
DIAMONDS FOUR DIAMONDS SIX,0.5802,0.0262,0.3936
DIAMONDS FOUR DIAMONDS SEVEN,0.5742,0.0276,0.3982
CLUBS EIGHT CLUBS TWO,0.6342,0.0264,0.3394
DIAMONDS FIVE DIAMONDS FOUR,0.621,0.0768,0.3022
CLUBS NINE CLUBS TWO,0.6298,0.0256,0.3446
DIAMONDS NINE DIAMONDS FOUR,0.6054,0.0268,0.3678
DIAMONDS EIGHT DIAMONDS FOUR,0.5946,0.027,0.3784
CLUBS TWO CLUBS THREE,0.633,0.0354,0.3316
DIAMONDS NINE DIAMONDS FIVE,0.6514,0.0696,0.279
CLUBS JACK DIAMONDS TWO,0.4186,0.0208,0.5606
DIAMONDS EIGHT DIAMONDS FIVE,0.6294,0.0672,0.3034
DIAMONDS FIVE DIAMONDS SEVEN,0.6286,0.0728,0.2986
DIAMONDS FIVE DIAMONDS SIX,0.61,0.0764,0.3136
DIAMONDS TWO CLUBS ACE,0.413,0.005,0.582
DIAMONDS TWO CLUBS KING,0.4132,0.008,0.5788
DIAMONDS TWO CLUBS QUEEN,0.4122,0.015,0.5728
DIAMONDS EIGHT DIAMONDS SIX,0.548,0.0214,0.4306
DIAMONDS NINE DIAMONDS SIX,0.5568,0.0252,0.418
HEARTS ACE SPADES THREE,0.4202,0.0054,0.5744
HEARTS KING SPADES THREE,0.4222,0.0092,0.5686
DIAMONDS SEVEN DIAMONDS SIX,0.5364,0.0246,0.439
