opposingHand,winningChance,drawChance,lostChance
CLUBS TEN CLUBS FOUR
HEARTS FIVE SPADES TEN,0.2742,0.4382,0.2876
SPADES JACK HEARTS FIVE,0.4042,0.018,0.5778
CLUBS JACK SPADES FIVE,0.3822,0.0188,0.599
CLUBS JACK CLUBS EIGHT,0.3356,0.0164,0.648
CLUBS EIGHT CLUBS KING,0.3578,0.0108,0.6314
SPADES FIVE CLUBS ACE,0.3886,0.0042,0.6072
CLUBS EIGHT CLUBS QUEEN,0.3392,0.011,0.6498
SPADES FIVE CLUBS KING,0.3808,0.0116,0.6076
SPADES FIVE CLUBS QUEEN,0.391,0.0114,0.5976
CLUBS EIGHT CLUBS ACE,0.3434,0.0068,0.6498
DIAMONDS TWO DIAMONDS THREE,0.602,0.03,0.368
DIAMONDS TWO DIAMONDS FIVE,0.5886,0.028,0.3834
SPADES KING HEARTS FIVE,0.4042,0.0086,0.5872
DIAMONDS TWO DIAMONDS FOUR,0.6294,0.0802,0.2904
SPADES QUEEN HEARTS FIVE,0.3948,0.0104,0.5948
DIAMONDS TWO DIAMONDS SEVEN,0.6078,0.0292,0.363
DIAMONDS TWO DIAMONDS SIX,0.5892,0.0272,0.3836
SPADES ACE HEARTS FIVE,0.3978,0.0056,0.5966
DIAMONDS TWO DIAMONDS NINE,0.6076,0.0242,0.3682
DIAMONDS TWO DIAMONDS EIGHT,0.5956,0.0236,0.3808
DIAMONDS THREE DIAMONDS FOUR,0.6252,0.0736,0.3012
CLUBS TWO SPADES FOUR,0.6722,0.08,0.2478
DIAMONDS THREE DIAMONDS FIVE,0.5724,0.0328,0.3948
CLUBS TWO SPADES FIVE,0.6202,0.0312,0.3486
CLUBS TWO SPADES TWO,0.4324,0.0676,0.5
CLUBS TWO SPADES THREE,0.6408,0.0324,0.3268
DIAMONDS THREE DIAMONDS EIGHT,0.6032,0.026,0.3708
SPADES EIGHT CLUBS TWO,0.6372,0.0282,0.3346
DIAMONDS THREE DIAMONDS NINE,0.5794,0.0252,0.3954
SPADES NINE CLUBS TWO,0.6276,0.03,0.3424
