opposingHand,winningChance,drawChance,lostChance
CLUBS TEN CLUBS KING
HEARTS FIVE SPADES TEN,0.7542,0.035,0.2108
SPADES JACK HEARTS FIVE,0.6698,0.009,0.3212
SPADES FIVE CLUBS JACK,0.6736,0.0066,0.3198
CLUBS EIGHT CLUBS JACK,0.644,0.0058,0.3502
SPADES FIVE CLUBS ACE,0.444,0.0048,0.5512
CLUBS EIGHT CLUBS QUEEN,0.6614,0.0084,0.3302
SPADES FIVE CLUBS QUEEN,0.666,0.0076,0.3264
CLUBS EIGHT CLUBS ACE,0.402,0.006,0.592
DIAMONDS TWO DIAMONDS THREE,0.6324,0.0072,0.3604
DIAMONDS TWO DIAMONDS FIVE,0.6348,0.0072,0.358
SPADES KING HEARTS FIVE,0.6618,0.1102,0.228
DIAMONDS TWO DIAMONDS FOUR,0.641,0.0078,0.3512
SPADES QUEEN HEARTS FIVE,0.6634,0.0044,0.3322
DIAMONDS TWO DIAMONDS SEVEN,0.6486,0.0062,0.3452
DIAMONDS TWO DIAMONDS SIX,0.6432,0.006,0.3508
SPADES ACE HEARTS FIVE,0.4558,0.003,0.5412
DIAMONDS TWO DIAMONDS NINE,0.6602,0.0066,0.3332
DIAMONDS TWO DIAMONDS EIGHT,0.647,0.0076,0.3454
DIAMONDS THREE DIAMONDS FOUR,0.6176,0.0076,0.3748
CLUBS TWO SPADES FOUR,0.661,0.0088,0.3302
DIAMONDS THREE DIAMONDS FIVE,0.6148,0.0072,0.378
CLUBS TWO SPADES FIVE,0.6736,0.0092,0.3172
CLUBS TWO SPADES TWO,0.4874,0.009,0.5036
CLUBS TWO SPADES THREE,0.6696,0.0068,0.3236
DIAMONDS THREE DIAMONDS EIGHT,0.6444,0.0084,0.3472
SPADES EIGHT CLUBS TWO,0.6918,0.009,0.2992
DIAMONDS THREE DIAMONDS NINE,0.6358,0.0076,0.3566
SPADES NINE CLUBS TWO,0.697,0.006,0.297
DIAMONDS THREE DIAMONDS SIX,0.626,0.0084,0.3656
CLUBS TWO SPADES SIX,0.6752,0.008,0.3168
DIAMONDS THREE DIAMONDS SEVEN,0.6364,0.0068,0.3568
CLUBS TWO SPADES SEVEN,0.6866,0.0084,0.305
CLUBS SIX CLUBS TWO,0.675,0.008,0.317
CLUBS SEVEN CLUBS TWO,0.6938,0.0096,0.2966
CLUBS FOUR CLUBS TWO,0.66,0.009,0.331
CLUBS FIVE CLUBS TWO,0.6618,0.0128,0.3254
DIAMONDS FOUR DIAMONDS SIX,0.6192,0.0068,0.374
DIAMONDS FOUR DIAMONDS SEVEN,0.6284,0.0074,0.3642
CLUBS EIGHT CLUBS TWO,0.6942,0.0098,0.296
DIAMONDS FIVE DIAMONDS FOUR,0.6062,0.0088,0.385
CLUBS NINE CLUBS TWO,0.6826,0.0056,0.3118
DIAMONDS NINE DIAMONDS FOUR,0.651,0.0096,0.3394
DIAMONDS EIGHT DIAMONDS FOUR,0.637,0.0082,0.3548
CLUBS TWO CLUBS THREE,0.6698,0.0094,0.3208
DIAMONDS NINE DIAMONDS FIVE,0.6484,0.007,0.3446
DIAMONDS TWO CLUBS JACK,0.6786,0.008,0.3134
DIAMONDS EIGHT DIAMONDS FIVE,0.637,0.0074,0.3556
DIAMONDS FIVE DIAMONDS SEVEN,0.6116,0.0086,0.3798
DIAMONDS FIVE DIAMONDS SIX,0.6104,0.0072,0.3824
DIAMONDS TWO CLUBS ACE,0.443,0.0048,0.5522
DIAMONDS TWO CLUBS QUEEN,0.6788,0.008,0.3132
DIAMONDS EIGHT DIAMONDS SIX,0.6124,0.0062,0.3814
DIAMONDS NINE DIAMONDS SIX,0.6282,0.0072,0.3646
HEARTS ACE SPADES THREE,0.455,0.0058,0.5392
HEARTS KING SPADES THREE,0.6678,0.1102,0.222
DIAMONDS SEVEN DIAMONDS SIX,0.6174,0.0042,0.3784
SPADES THREE HEARTS QUEEN,0.6776,0.0056,0.3168
HEARTS JACK SPADES THREE,0.6754,0.006,0.3186
SPADES THREE HEARTS TEN,0.7494,0.0372,0.2134
DIAMONDS EIGHT DIAMONDS SEVEN,0.612,0.0056,0.3824
DIAMONDS NINE DIAMONDS SEVEN,0.6298,0.0054,0.3648
DIAMONDS NINE DIAMONDS EIGHT,0.629,0.0034,0.3676
DIAMONDS KING HEARTS TEN,0.0666,0.9096,0.0238
HEARTS THREE HEARTS TEN,0.7166,0.0316,0.2518
CLUBS SIX SPADES JACK,0.6846,0.0072,0.3082
DIAMONDS KING HEARTS JACK,0.283,0.0886,0.6284
HEARTS THREE HEARTS JACK,0.6272,0.0056,0.3672
CLUBS SIX SPADES TEN,0.7402,0.033,0.2268
SPADES JACK SPADES FIVE,0.641,0.0074,0.3516
SPADES TEN SPADES FIVE,0.7068,0.0292,0.264
DIAMONDS KING HEARTS ACE,0.2972,0.0098,0.693
HEARTS THREE HEARTS ACE,0.411,0.0058,0.5832
SPADES ACE CLUBS SIX,0.4528,0.0054,0.5418
DIAMONDS KING HEARTS QUEEN,0.284,0.0572,0.6588
HEARTS THREE HEARTS QUEEN,0.6342,0.007,0.3588
SPADES KING CLUBS SIX,0.6606,0.1098,0.2296
DIAMONDS KING HEARTS KING,0.159,0.0126,0.8284
HEARTS THREE HEARTS KING,0.6224,0.108,0.2696
SPADES QUEEN CLUBS SIX,0.6758,0.0046,0.3196
SPADES NINE HEARTS TEN,0.7244,0.0298,0.2458
SPADES NINE HEARTS JACK,0.648,0.0062,0.3458
SPADES QUEEN SPADES FIVE,0.6386,0.0062,0.3552
SPADES KING SPADES FIVE,0.6232,0.104,0.2728
SPADES ACE SPADES FIVE,0.4308,0.005,0.5642
SPADES NINE HEARTS QUEEN,0.6692,0.0058,0.325
SPADES NINE HEARTS KING,0.6854,0.1028,0.2118
SPADES NINE HEARTS ACE,0.4518,0.005,0.5432
SPADES FIVE HEARTS QUEEN,0.6774,0.0084,0.3142
HEARTS KING SPADES FIVE,0.6746,0.1046,0.2208
SPADES FIVE HEARTS ACE,0.4614,0.0034,0.5352
CLUBS EIGHT SPADES TEN,0.7186,0.034,0.2474
HEARTS THREE SPADES JACK,0.6798,0.0072,0.313
SPADES JACK DIAMONDS KING,0.2822,0.081,0.6368
SPADES TEN DIAMONDS KING,0.0702,0.9098,0.02
HEARTS THREE SPADES TEN,0.7418,0.0364,0.2218
CLUBS EIGHT SPADES JACK,0.663,0.0072,0.3298
SPADES ACE CLUBS EIGHT,0.4552,0.0038,0.541
HEARTS FIVE CLUBS JACK,0.6772,0.009,0.3138
CLUBS SIX HEARTS ACE,0.4488,0.004,0.5472
CLUBS EIGHT SPADES QUEEN,0.6646,0.0068,0.3286
CLUBS SIX HEARTS QUEEN,0.6678,0.0066,0.3256
CLUBS EIGHT SPADES KING,0.6754,0.1138,0.2108
SPADES THREE CLUBS JACK,0.6644,0.0086,0.327
CLUBS SIX HEARTS KING,0.6698,0.1064,0.2238
DIAMONDS TWO HEARTS JACK,0.6742,0.0062,0.3196
SPADES THREE CLUBS QUEEN,0.6778,0.0076,0.3146
DIAMONDS TWO HEARTS TEN,0.7578,0.0316,0.2106
HEARTS FIVE CLUBS ACE,0.4478,0.0048,0.5474
SPADES FIVE HEARTS TEN,0.7476,0.0376,0.2148
SPADES THREE CLUBS ACE,0.4438,0.0062,0.55
SPADES FIVE HEARTS JACK,0.678,0.0064,0.3156
HEARTS FIVE CLUBS QUEEN,0.6726,0.0066,0.3208
HEARTS THREE CLUBS QUEEN,0.6648,0.0062,0.329
DIAMONDS KING CLUBS QUEEN,0.2778,0.0524,0.6698
HEARTS FIVE HEARTS JACK,0.635,0.0078,0.3572
HEARTS FIVE HEARTS TEN,0.7,0.0366,0.2634
HEARTS THREE CLUBS ACE,0.4388,0.0066,0.5546
DIAMONDS KING CLUBS ACE,0.2836,0.0138,0.7026
SPADES ACE CLUBS QUEEN,0.4068,0.0046,0.5886
SPADES KING CLUBS QUEEN,0.2752,0.0542,0.6706
HEARTS THREE CLUBS JACK,0.6788,0.0082,0.313
DIAMONDS KING CLUBS JACK,0.2758,0.0868,0.6374
SPADES QUEEN CLUBS QUEEN,0.3342,0.0042,0.6616
SPADES JACK CLUBS QUEEN,0.6088,0.006,0.3852
CLUBS SIX CLUBS QUEEN,0.6668,0.0086,0.3246
SPADES TEN CLUBS QUEEN,0.7398,0.0296,0.2306
CLUBS SIX CLUBS ACE,0.4184,0.0064,0.5752
HEARTS FIVE HEARTS KING,0.6306,0.1072,0.2622
HEARTS FIVE HEARTS QUEEN,0.6352,0.0076,0.3572
HEARTS FIVE HEARTS ACE,0.4432,0.0046,0.5522
CLUBS SIX CLUBS JACK,0.667,0.0064,0.3266
SPADES SEVEN HEARTS JACK,0.6656,0.005,0.3294
SPADES SEVEN HEARTS TEN,0.7292,0.03,0.2408
DIAMONDS TWO CLUBS TWO,0.515,0.011,0.474
DIAMONDS TWO CLUBS THREE,0.679,0.0088,0.3122
HEARTS SIX DIAMONDS TWO,0.6754,0.0076,0.317
DIAMONDS TWO HEARTS QUEEN,0.6766,0.006,0.3174
DIAMONDS TWO HEARTS SEVEN,0.6982,0.0062,0.2956
DIAMONDS TWO HEARTS KING,0.6678,0.111,0.2212
DIAMONDS TWO HEARTS EIGHT,0.6896,0.0064,0.304
DIAMONDS TWO HEARTS ACE,0.4646,0.0048,0.5306
DIAMONDS TWO HEARTS NINE,0.6932,0.0046,0.3022
DIAMONDS TWO DIAMONDS QUEEN,0.627,0.0086,0.3644
DIAMONDS TWO HEARTS TWO,0.5138,0.0124,0.4738
DIAMONDS TWO DIAMONDS KING,0.6394,0.1082,0.2524
HEARTS THREE DIAMONDS TWO,0.6718,0.0086,0.3196
DIAMONDS TWO DIAMONDS ACE,0.4306,0.005,0.5644
HEARTS FOUR DIAMONDS TWO,0.6612,0.0068,0.332
DIAMONDS TWO HEARTS FIVE,0.675,0.0094,0.3156
SPADES SEVEN HEARTS ACE,0.4566,0.0048,0.5386
DIAMONDS TWO DIAMONDS TEN,0.7108,0.0348,0.2544
SPADES SEVEN HEARTS KING,0.6818,0.1108,0.2074
DIAMONDS TWO DIAMONDS JACK,0.6336,0.0074,0.359
SPADES SEVEN HEARTS QUEEN,0.677,0.0062,0.3168
DIAMONDS TWO SPADES NINE,0.6984,0.0074,0.2942
DIAMONDS TWO SPADES EIGHT,0.6882,0.0072,0.3046
DIAMONDS TWO SPADES SEVEN,0.6988,0.0074,0.2938
DIAMONDS TWO SPADES SIX,0.6876,0.0082,0.3042
DIAMONDS TWO SPADES FIVE,0.684,0.0078,0.3082
DIAMONDS TWO SPADES FOUR,0.666,0.0076,0.3264
DIAMONDS TWO SPADES THREE,0.6734,0.0078,0.3188
DIAMONDS TWO SPADES TWO,0.5128,0.011,0.4762
CLUBS NINE DIAMONDS TWO,0.6992,0.0066,0.2942
CLUBS EIGHT DIAMONDS TWO,0.6952,0.0088,0.296
DIAMONDS TWO CLUBS SEVEN,0.6948,0.0064,0.2988
CLUBS SIX DIAMONDS TWO,0.6794,0.0078,0.3128
DIAMONDS TWO CLUBS FIVE,0.6628,0.0106,0.3266
DIAMONDS TWO CLUBS FOUR,0.6556,0.008,0.3364
CLUBS FOUR SPADES FIVE,0.6446,0.0064,0.349
CLUBS FOUR SPADES FOUR,0.513,0.0088,0.4782
CLUBS FOUR SPADES THREE,0.6476,0.0088,0.3436
CLUBS FOUR SPADES TWO,0.6662,0.0052,0.3286
CLUBS FOUR SPADES NINE,0.6778,0.0082,0.314
CLUBS FOUR SPADES EIGHT,0.6838,0.0082,0.308
CLUBS FOUR SPADES SEVEN,0.6682,0.0078,0.324
CLUBS FOUR SPADES SIX,0.6596,0.0074,0.333
SPADES ACE DIAMONDS SIX,0.4618,0.004,0.5342
SPADES QUEEN DIAMONDS SIX,0.679,0.0058,0.3152
SPADES KING DIAMONDS SIX,0.6718,0.1092,0.219
SPADES TEN DIAMONDS SIX,0.7464,0.0318,0.2218
SPADES JACK DIAMONDS SIX,0.6734,0.0068,0.3198
SPADES QUEEN SPADES TWO,0.625,0.0074,0.3676
SPADES KING SPADES TWO,0.6286,0.1146,0.2568
SPADES ACE SPADES TWO,0.4514,0.0054,0.5432
DIAMONDS JACK CLUBS JACK,0.3264,0.0064,0.6672
DIAMONDS JACK CLUBS QUEEN,0.5988,0.0074,0.3938
DIAMONDS THREE DIAMONDS JACK,0.6262,0.006,0.3678
DIAMONDS THREE DIAMONDS TEN,0.7,0.0378,0.2622
DIAMONDS JACK CLUBS ACE,0.4018,0.005,0.5932
DIAMONDS THREE DIAMONDS KING,0.6356,0.1118,0.2526
HEARTS THREE DIAMONDS THREE,0.5142,0.012,0.4738
DIAMONDS THREE DIAMONDS QUEEN,0.6266,0.0084,0.365
DIAMONDS THREE HEARTS TWO,0.6692,0.0094,0.3214
HEARTS FIVE DIAMONDS THREE,0.6604,0.0078,0.3318
DIAMONDS THREE DIAMONDS ACE,0.4428,0.003,0.5542
HEARTS FOUR DIAMONDS THREE,0.6572,0.0068,0.336
DIAMONDS THREE HEARTS SEVEN,0.687,0.0074,0.3056
SPADES TEN SPADES NINE,0.6822,0.0284,0.2894
HEARTS SIX DIAMONDS THREE,0.673,0.0066,0.3204
SPADES JACK SPADES NINE,0.6174,0.0078,0.3748
DIAMONDS THREE HEARTS NINE,0.7018,0.0068,0.2914
HEARTS JACK DIAMONDS FOUR,0.6786,0.0068,0.3146
HEARTS KING HEARTS ACE,0.274,0.013,0.713
SPADES TEN SPADES TWO,0.7172,0.0316,0.2512
DIAMONDS THREE HEARTS EIGHT,0.6954,0.0076,0.297
HEARTS TEN DIAMONDS FOUR,0.7474,0.0364,0.2162
SPADES JACK SPADES TWO,0.6396,0.0092,0.3512
HEARTS QUEEN DIAMONDS FOUR,0.6748,0.0068,0.3184
HEARTS KING DIAMONDS FOUR,0.6582,0.1174,0.2244
SPADES ACE SPADES NINE,0.4112,0.0052,0.5836
HEARTS ACE DIAMONDS FOUR,0.4568,0.005,0.5382
SPADES KING SPADES NINE,0.621,0.1112,0.2678
SPADES QUEEN SPADES NINE,0.6132,0.007,0.3798
DIAMONDS THREE SPADES NINE,0.7028,0.0076,0.2896
DIAMONDS THREE SPADES EIGHT,0.7,0.0064,0.2936
DIAMONDS THREE SPADES SEVEN,0.6828,0.0074,0.3098
DIAMONDS THREE SPADES SIX,0.6696,0.0086,0.3218
CLUBS SIX DIAMONDS THREE,0.6548,0.008,0.3372
CLUBS ACE DIAMONDS FOUR,0.4364,0.0046,0.559
CLUBS SIX CLUBS FIVE,0.6356,0.009,0.3554
CLUBS SEVEN CLUBS FIVE,0.6482,0.0078,0.344
CLUBS SEVEN DIAMONDS THREE,0.6726,0.007,0.3204
DIAMONDS THREE CLUBS FOUR,0.657,0.01,0.333
DIAMONDS FOUR CLUBS QUEEN,0.6838,0.0064,0.3098
DIAMONDS THREE CLUBS FIVE,0.6564,0.0088,0.3348
DIAMONDS THREE CLUBS TWO,0.6868,0.011,0.3022
DIAMONDS THREE CLUBS THREE,0.4996,0.0096,0.4908
DIAMONDS FOUR CLUBS JACK,0.6656,0.0096,0.3248
DIAMONDS THREE SPADES FOUR,0.6642,0.0058,0.33
DIAMONDS THREE SPADES FIVE,0.6542,0.0074,0.3384
DIAMONDS THREE SPADES TWO,0.6784,0.009,0.3126
DIAMONDS THREE SPADES THREE,0.5154,0.0088,0.4758
CLUBS EIGHT DIAMONDS THREE,0.6822,0.0092,0.3086
CLUBS NINE DIAMONDS THREE,0.6884,0.0068,0.3048
SPADES SEVEN CLUBS ACE,0.4396,0.0052,0.5552
SPADES SEVEN CLUBS QUEEN,0.666,0.0064,0.3276
CLUBS FIVE SPADES SEVEN,0.659,0.0084,0.3326
CLUBS FIVE SPADES SIX,0.6412,0.0072,0.3516
SPADES SEVEN CLUBS JACK,0.6622,0.006,0.3318
SPADES NINE CLUBS FIVE,0.6816,0.0088,0.3096
CLUBS FIVE SPADES EIGHT,0.668,0.0086,0.3234
CLUBS FIVE SPADES THREE,0.644,0.0066,0.3494
CLUBS FIVE SPADES TWO,0.6692,0.0092,0.3216
CLUBS FIVE SPADES FIVE,0.4936,0.0078,0.4986
CLUBS FIVE SPADES FOUR,0.6454,0.007,0.3476
CLUBS NINE CLUBS FIVE,0.6842,0.009,0.3068
CLUBS EIGHT CLUBS FIVE,0.6684,0.0078,0.3238
CLUBS ACE CLUBS QUEEN,0.3658,0.0042,0.63
DIAMONDS TEN DIAMONDS FOUR,0.6974,0.029,0.2736
DIAMONDS JACK DIAMONDS FOUR,0.6266,0.0078,0.3656
DIAMONDS NINE CLUBS JACK,0.6356,0.01,0.3544
SPADES NINE CLUBS JACK,0.6484,0.0076,0.344
DIAMONDS ACE DIAMONDS FOUR,0.4268,0.005,0.5682
HEARTS FOUR DIAMONDS FOUR,0.5044,0.0102,0.4854
DIAMONDS JACK HEARTS TEN,0.7188,0.0294,0.2518
DIAMONDS TWO SPADES TEN,0.7614,0.0318,0.2068
DIAMONDS NINE CLUBS ACE,0.4322,0.0054,0.5624
HEARTS FIVE DIAMONDS FOUR,0.635,0.0076,0.3574
HEARTS JACK DIAMONDS JACK,0.3454,0.0042,0.6504
SPADES NINE CLUBS QUEEN,0.6588,0.006,0.3352
DIAMONDS TWO SPADES JACK,0.683,0.0048,0.3122
DIAMONDS QUEEN DIAMONDS FOUR,0.6372,0.0062,0.3566
HEARTS TWO DIAMONDS FOUR,0.668,0.01,0.322
DIAMONDS NINE CLUBS QUEEN,0.6516,0.0054,0.343
DIAMONDS KING DIAMONDS FOUR,0.6304,0.109,0.2606
HEARTS THREE DIAMONDS FOUR,0.6568,0.0088,0.3344
SPADES NINE CLUBS ACE,0.4332,0.0048,0.562
HEARTS ACE DIAMONDS JACK,0.416,0.0032,0.5808
SPADES ACE DIAMONDS TWO,0.4746,0.0052,0.5202
DIAMONDS JACK HEARTS QUEEN,0.6196,0.0068,0.3736
SPADES QUEEN DIAMONDS TWO,0.6792,0.0062,0.3146
HEARTS KING DIAMONDS JACK,0.286,0.0802,0.6338
SPADES KING DIAMONDS TWO,0.6756,0.1094,0.215
SPADES JACK SPADES SEVEN,0.6288,0.0076,0.3636
SPADES TEN SPADES SEVEN,0.6694,0.0314,0.2992
CLUBS SEVEN CLUBS THREE,0.6758,0.0082,0.316
CLUBS SIX CLUBS THREE,0.6684,0.01,0.3216
CLUBS FIVE CLUBS THREE,0.6386,0.0116,0.3498
CLUBS FOUR CLUBS THREE,0.6576,0.0088,0.3336
CLUBS NINE CLUBS THREE,0.6774,0.0094,0.3132
CLUBS EIGHT CLUBS THREE,0.6898,0.0082,0.302
CLUBS THREE SPADES FIVE,0.6582,0.0094,0.3324
CLUBS THREE SPADES FOUR,0.6678,0.008,0.3242
CLUBS THREE SPADES THREE,0.5188,0.0088,0.4724
CLUBS THREE SPADES TWO,0.6712,0.0096,0.3192
CLUBS THREE SPADES SIX,0.6632,0.007,0.3298
SPADES SEVEN CLUBS THREE,0.6922,0.0066,0.3012
SPADES EIGHT CLUBS THREE,0.685,0.0096,0.3054
SPADES NINE CLUBS THREE,0.6946,0.0076,0.2978
SPADES TWO DIAMONDS FOUR,0.67,0.0112,0.3188
SPADES THREE DIAMONDS FOUR,0.6514,0.0086,0.34
SPADES FOUR DIAMONDS FOUR,0.499,0.0108,0.4902
SPADES FIVE DIAMONDS FOUR,0.652,0.0082,0.3398
SPADES SIX DIAMONDS FOUR,0.6494,0.0086,0.342
SPADES SEVEN DIAMONDS FOUR,0.659,0.0074,0.3336
SPADES EIGHT DIAMONDS FOUR,0.6726,0.0074,0.32
SPADES NINE DIAMONDS FOUR,0.6946,0.007,0.2984
CLUBS FIVE DIAMONDS FOUR,0.6384,0.0074,0.3542
CLUBS FOUR DIAMONDS FOUR,0.5028,0.0098,0.4874
CLUBS SEVEN DIAMONDS FOUR,0.6648,0.0052,0.33
CLUBS SIX DIAMONDS FOUR,0.6612,0.0078,0.331
CLUBS NINE DIAMONDS FOUR,0.698,0.0086,0.2934
CLUBS EIGHT DIAMONDS FOUR,0.6874,0.0072,0.3054
DIAMONDS FOUR HEARTS SEVEN,0.664,0.0072,0.3288
HEARTS SIX DIAMONDS FOUR,0.6632,0.0048,0.332
HEARTS NINE DIAMONDS FOUR,0.6966,0.0084,0.295
DIAMONDS FOUR HEARTS EIGHT,0.683,0.0088,0.3082
CLUBS THREE DIAMONDS FOUR,0.6568,0.0076,0.3356
CLUBS TWO DIAMONDS FOUR,0.6688,0.0118,0.3194
DIAMONDS TEN DIAMONDS FIVE,0.7072,0.0342,0.2586
DIAMONDS JACK DIAMONDS FIVE,0.6306,0.0084,0.361
DIAMONDS NINE HEARTS QUEEN,0.6594,0.0052,0.3354
HEARTS KING DIAMONDS NINE,0.6692,0.1098,0.221
DIAMONDS NINE HEARTS ACE,0.4564,0.003,0.5406
DIAMONDS NINE HEARTS TEN,0.7112,0.0328,0.256
DIAMONDS NINE HEARTS JACK,0.6336,0.0064,0.36
CLUBS QUEEN DIAMONDS SIX,0.671,0.008,0.321
CLUBS ACE DIAMONDS SIX,0.4614,0.0048,0.5338
SPADES KING DIAMONDS FOUR,0.6682,0.1126,0.2192
SPADES ACE SPADES SEVEN,0.4402,0.0046,0.5552
